word,total_count
telescreen,110
prole,60
doublethink,49
speakwrite,15
crimestop,10
thoughtcrime,9
alterable,6
fullwise,5
gateleg,5
ref,5
antefiling,4
blackwhite,4
crimethink,4
dayorder,4
doubleplusungood,4
misprint,4
oilstove,4
pyramidal,4
saboteur,4
stratify,4
breadcrust,3
duckspeak,3
goodthink,3
goodthinker,3
goodthinkful,3
imposture,3
instructress,3
newspeak,3
oldthink,3
pannikin,3
raping,3
sexcrime,3
solipsism,3
adjectival,2
adoptive,2
arst,2
bedhead,2
bellyfeel,2
besieged,2
collectivism,2
collectivization,2
contortionist,2
cooly,2
counterrevolution,2
demoralization,2
doubleplusgood,2
ealth,2
equivocal,2
execrate,2
fecundity,2
goodsex,2
horseflesh,2
inefficiently,2
jewess,2
malquote,2
malreporte,2
miniplenty,2
molehill,2
newsflash,2
nib,2
overfulfille,2
prolefeed,2
pronounceable,2
rainwatery,2
realizable,2
regrouping,2
rulership,2
ruminant,2
softening,2
stallkeeper,2
strenuousness,2
teacupful,2
ungood,2
unsatisfye,2
unsinkable,2
unwearying,2
versificator,2
vilifie,2
yp,2
amateurishly,1
anodyne,1
antegette,1
antonym,1
aprone,1
artsem,1
at,1
balminess,1
beastlike,1
berkhampstead,1
blacket,1
blowlamp,1
bluebottle,1
boozer,1
booziness,1
butted,1
cared,1
caricaturist,1
cheaper,1
compendium,1
constructionwise,1
contourless,1
counterpaned,1
crumbling,1
curable,1
dateness,1
defiler,1
deprecating,1
discountenance,1
disreputability,1
donno,1
dono,1
doubleplus,1
doublepluscold,1
driveling,1
duckspeaker,1
eroticism,1
etiolate,1
etymologically,1
euphony,1
facecrime,1
fattish,1
filthiest,1
flogged,1
foreshortening,1
fourpence,1
goodest,1
goodthinke,1
goodthinking,1
goodthinkwise,1
goodwise,1
gracelessness,1
groveling,1
guv'nor,1
haggling,1
handleless,1
illegitimately,1
immovably,1
impalement,1
inapplicable,1
inconsequently,1
inkstaine,1
inscrutability,1
intellectuality,1
intercommunication,1
internationalism,1
irresolutely,1
lest,1
levitation,1
mantlepiece,1
meagerness,1
milkless,1
misquotation,1
mongolian,1
naggingly,1
neurotically,1
nobby,1
nonexistence,1
nonpolitical,1
nonsmoker,1
oilcake,1
omened,1
outflank,1
overfulfillment,1
panegyric,1
partisanship,1
paymaster,1
pediment,1
penknive,1
persiflage,1
philologist,1
pinchbeck,1
pluscold,1
plusful,1
predestined,1
prerevolutionary,1
purposive,1
rearreste,1
redhaire,1
redivision,1
reducible,1
rehashing,1
reinscribe,1
ruffianism,1
sallower,1
sandlike,1
schoolmasterish,1
seaborne,1
servantlike,1
shall,1
shapeliness,1
shopfront,1
showpiece,1
skeletonlike,1
sloppiness,1
sluttish,1
sourish,1
speakwritten,1
speedful,1
speedwise,1
stationer,1
sulphuric,1
synonyms,1
teleprogram,1
they'll,1
thinkpol,1
truism,1
typography,1
unbellyfeel,1
uncold,1
uncorking,1
undark,1
undeclared,1
undercharge,1
underheate,1
undermost,1
understood,1
undigeste,1
unimagine,1
unlight,1
unproceed,1
unprocurable,1
unrepented,1
unreprove,1
verging,1
wastepipe,1
wildrose,1
workmate,1
yenas,1
