word,total_count,chapter_count,chapters
say,415,1,1:415
go,206,1,1:206
get,202,1,1:202
come,176,1,1:176
look,150,1,1:150
guy,141,1,1:141
ai,121,1,1:121
little,109,1,1:109
hand,94,1,1:94
know,91,1,1:91
right,88,1,1:88
tell,85,1,1:85
want,80,1,1:80
man,76,1,1:76
rabbit,66,1,1:66
see,66,1,1:66
time,62,1,1:62
head,60,1,1:60
eye,59,1,1:59
think,59,1,1:59
hell,57,1,1:57
old,54,1,1:54
place,54,1,1:54
face,53,1,1:53
let,53,1,1:53
damn,52,1,1:52
good,50,1,1:50
maybe,47,1,1:47
sit,47,1,1:47
turn,46,1,1:46
door,44,1,1:44
bunk,43,1,1:43
nice,43,1,1:43
room,43,1,1:43
thing,42,1,1:42
away,40,1,1:40
big,39,1,1:39
work,39,1,1:39
barn,38,1,1:38
house,37,1,1:37
pup,37,1,1:37
stand,36,1,1:36
dog,34,1,1:34
ju,34,1,1:34
ask,33,1,1:33
cry,33,1,1:33
voice,33,1,1:33
buck,31,1,1:31
lie,31,1,1:31
talk,31,1,1:31
watch,31,1,1:31
wife,31,1,1:31
card,30,1,1:30
remember,30,1,1:30
take,30,1,1:30
long,29,1,1:29
like,28,1,1:28
ranch,28,1,1:28
stop,28,1,1:28
trouble,28,1,1:28
brush,27,1,1:27
crook,27,1,1:27
jus,27,1,1:27
mouse,27,1,1:27
pool,27,1,1:27
run,27,1,1:27
set,27,1,1:27
water,27,1,1:27
close,26,1,1:26
leave,26,1,1:26
sound,26,1,1:26
light,25,1,1:25
mean,25,1,1:25
moment,25,1,1:25
night,25,1,1:25
boss,24,1,1:24
try,24,1,1:24
well,24,1,1:24
foot,23,1,1:23
hurt,23,1,1:23
outa,23,1,1:23
hay,22,1,1:22
listen,22,1,1:22
move,22,1,1:22
open,22,1,1:22
wall,22,1,1:22
kill,21,1,1:21
mad,20,1,1:20
outside,20,1,1:20
stick,20,1,1:20
sure,20,1,1:20
tend,20,1,1:20
throw,20,1,1:20
walk,20,1,1:20
way,20,1,1:20
bad,19,1,1:19
finger,19,1,1:19
girl,19,1,1:19
hat,19,1,1:19
hold,19,1,1:19
live,19,1,1:19
shoot,19,1,1:19
slowly,19,1,1:19
bet,18,1,1:18
forget,18,1,1:18
guess,18,1,1:18
horse,18,1,1:18
lay,18,1,1:18
lean,18,1,1:18
reach,18,1,1:18
softly,18,1,1:18
word,18,1,1:18
answer,17,1,1:17
box,17,1,1:17
break,17,1,1:17
find,17,1,1:17
fire,17,1,1:17
play,17,1,1:17
pocket,17,1,1:17
raise,17,1,1:17
river,17,1,1:17
bastard,16,1,1:16
bring,16,1,1:16
day,16,1,1:16
eat,16,1,1:16
fella,16,1,1:16
grow,16,1,1:16
pet,16,1,1:16
smile,16,1,1:16
star,16,1,1:16
stay,16,1,1:16
step,16,1,1:16
swamper,16,1,1:16
tol,16,1,1:16
book,15,1,1:15
care,15,1,1:15
chicken,15,1,1:15
drink,15,1,1:15
gun,15,1,1:15
speak,15,1,1:15
wear,15,1,1:15
bitch,14,1,1:14
end,14,1,1:14
feel,14,1,1:14
laugh,14,1,1:14
leaf,14,1,1:14
slim,14,1,1:14
small,14,1,1:14
stake,14,1,1:14
talkin,14,1,1:14
bed,13,1,1:13
bit,13,1,1:13
draw,13,1,1:13
drop,13,1,1:13
got,13,1,1:13
hide,13,1,1:13
minute,13,1,1:13
month,13,1,1:13
nigger,13,1,1:13
pretty,13,1,1:13
quickly,13,1,1:13
quietly,13,1,1:13
read,13,1,1:13
rub,13,1,1:13
shoulder,13,1,1:13
shout,13,1,1:13
stable,13,1,1:13
suddenly,13,1,1:13
bright,12,1,1:12
catch,12,1,1:12
cause,12,1,1:12
cover,12,1,1:12
dead,12,1,1:12
fall,12,1,1:12
give,12,1,1:12
half,12,1,1:12
hear,12,1,1:12
kind,12,1,1:12
knee,12,1,1:12
lady,12,1,1:12
lookin,12,1,1:12
pile,12,1,1:12
repeat,12,1,1:12
sun,12,1,1:12
table,12,1,1:12
bag,11,1,1:11
bean,11,1,1:11
black,11,1,1:11
comin,11,1,1:11
crazy,11,1,1:11
dark,11,1,1:11
dress,11,1,1:11
ever'body,11,1,1:11
follow,11,1,1:11
hair,11,1,1:11
hang,11,1,1:11
hard,11,1,1:11
job,11,1,1:11
kid,11,1,1:11
kinda,11,1,1:11
mess,11,1,1:11
new,11,1,1:11
pull,11,1,1:11
puppy,11,1,1:11
quiet,11,1,1:11
red,11,1,1:11
roll,11,1,1:11
sleep,11,1,1:11
white,11,1,1:11
window,11,1,1:11
arm,10,1,1:10
bank,10,1,1:10
bindle,10,1,1:10
boy,10,1,1:10
call,10,1,1:10
can,10,1,1:10
chain,10,1,1:10
continue,10,1,1:10
demand,10,1,1:10
ear,10,1,1:10
fun,10,1,1:10
han,10,1,1:10
horseshoe,10,1,1:10
land,10,1,1:10
lip,10,1,1:10
lose,10,1,1:10
machine,10,1,1:10
morning,10,1,1:10
need,10,1,1:10
nod,10,1,1:10
pick,10,1,1:10
shake,10,1,1:10
son,10,1,1:10
sycamore,10,1,1:10
town,10,1,1:10
alfalfa,9,1,1:9
barley,9,1,1:9
blue,9,1,1:9
bust,9,1,1:9
candy,9,1,1:9
coat,9,1,1:9
couple,9,1,1:9
cut,9,1,1:9
doorway,9,1,1:9
easy,9,1,1:9
figure,9,1,1:9
forward,9,1,1:9
gently,9,1,1:9
grain,9,1,1:9
green,9,1,1:9
ground,9,1,1:9
happen,9,1,1:9
help,9,1,1:9
hill,9,1,1:9
line,9,1,1:9
lot,9,1,1:9
mile,9,1,1:9
money,9,1,1:9
quit,9,1,1:9
s'pose,9,1,1:9
scowl,9,1,1:9
shelf,9,1,1:9
skinner,9,1,1:9
slip,9,1,1:9
solitaire,9,1,1:9
start,9,1,1:9
stroke,9,1,1:9
team,9,1,1:9
travel,9,1,1:9
wash,9,1,1:9
wrist,9,1,1:9
ast,8,1,1:8
body,8,1,1:8
carry,8,1,1:8
chance,8,1,1:8
clean,8,1,1:8
course,8,1,1:8
deep,8,1,1:8
floor,8,1,1:8
game,8,1,1:8
gettin,8,1,1:8
hunderd,8,1,1:8
jump,8,1,1:8
ketchup,8,1,1:8
kick,8,1,1:8
magazine,8,1,1:8
mouth,8,1,1:8
neck,8,1,1:8
plenty,8,1,1:8
shot,8,1,1:8
silence,8,1,1:8
snap,8,1,1:8
soft,8,1,1:8
square,8,1,1:8
stink,8,1,1:8
stove,8,1,1:8
strong,8,1,1:8
study,8,1,1:8
tree,8,1,1:8
wind,8,1,1:8
yell,8,1,1:8
young,8,1,1:8
air,7,1,1:7
beat,7,1,1:7
brown,7,1,1:7
carefully,7,1,1:7
clear,7,1,1:7
coulda,7,1,1:7
dollar,7,1,1:7
edge,7,1,1:7
evening,7,1,1:7
excitedly,7,1,1:7
explain,7,1,1:7
feed,7,1,1:7
fly,7,1,1:7
gut,7,1,1:7
halter,7,1,1:7
handy,7,1,1:7
hardly,7,1,1:7
harm,7,1,1:7
helplessly,7,1,1:7
left,7,1,1:7
nail,7,1,1:7
near,7,1,1:7
nuts,7,1,1:7
pause,7,1,1:7
people,7,1,1:7
piece,7,1,1:7
point,7,1,1:7
rattle,7,1,1:7
rest,7,1,1:7
sand,7,1,1:7
scar,7,1,1:7
sharply,7,1,1:7
silent,7,1,1:7
soon,7,1,1:7
steal,7,1,1:7
touch,7,1,1:7
valley,7,1,1:7
wisht,7,1,1:7
afternoon,6,1,1:6
ago,6,1,1:6
angrily,6,1,1:6
aroun,6,1,1:6
bend,6,1,1:6
blanket,6,1,1:6
build,6,1,1:6
cave,6,1,1:6
ceiling,6,1,1:6
crop,6,1,1:6
die,6,1,1:6
elbow,6,1,1:6
fill,6,1,1:6
finally,6,1,1:6
finish,6,1,1:6
garden,6,1,1:6
heavily,6,1,1:6
highway,6,1,1:6
hurry,6,1,1:6
jerk,6,1,1:6
joke,6,1,1:6
lead,6,1,1:6
letter,6,1,1:6
lift,6,1,1:6
matter,6,1,1:6
mind,6,1,1:6
nut,6,1,1:6
pass,6,1,1:6
patch,6,1,1:6
paw,6,1,1:6
pig,6,1,1:6
quick,6,1,1:6
shuffle,6,1,1:6
slightly,6,1,1:6
snort,6,1,1:6
stall,6,1,1:6
struggle,6,1,1:6
supper,6,1,1:6
swing,6,1,1:6
takin,6,1,1:6
tar,6,1,1:6
wanta,6,1,1:6
willow,6,1,1:6
wonder,6,1,1:6
wood,6,1,1:6
write,6,1,1:6
anger,5,1,1:5
angry,5,1,1:5
approach,5,1,1:5
bear,5,1,1:5
begin,5,1,1:5
boot,5,1,1:5
cheek,5,1,1:5
clang,5,1,1:5
closed,5,1,1:5
coldly,5,1,1:5
colored,5,1,1:5
country,5,1,1:5
cow,5,1,1:5
crack,5,1,1:5
difference,5,1,1:5
dirty,5,1,1:5
disappear,5,1,1:5
distance,5,1,1:5
dumb,5,1,1:5
far,5,1,1:5
fatta,5,1,1:5
fine,5,1,1:5
fist,5,1,1:5
flame,5,1,1:5
flop,5,1,1:5
footstep,5,1,1:5
funny,5,1,1:5
gradually,5,1,1:5
happily,5,1,1:5
heel,5,1,1:5
high,5,1,1:5
hopelessly,5,1,1:5
huge,5,1,1:5
jack,5,1,1:5
leather,5,1,1:5
lick,5,1,1:5
liniment,5,1,1:5
meet,5,1,1:5
milk,5,1,1:5
miserably,5,1,1:5
mule,5,1,1:5
nearly,5,1,1:5
nervously,5,1,1:5
nose,5,1,1:5
pair,5,1,1:5
reassure,5,1,1:5
ring,5,1,1:5
sack,5,1,1:5
sayin,5,1,1:5
scared,5,1,1:5
settin,5,1,1:5
shade,5,1,1:5
shirt,5,1,1:5
shoe,5,1,1:5
show,5,1,1:5
shut,5,1,1:5
side,5,1,1:5
smart,5,1,1:5
snake,5,1,1:5
sock,5,1,1:5
spine,5,1,1:5
stuff,5,1,1:5
terror,5,1,1:5
thought,5,1,1:5
thumb,5,1,1:5
tonight,5,1,1:5
warm,5,1,1:5
week,5,1,1:5
whisker,5,1,1:5
whisky,5,1,1:5
winter,5,1,1:5
yellow,5,1,1:5
acre,4,1,1:4
alla,4,1,1:4
anyways,4,1,1:4
attention,4,1,1:4
back,4,1,1:4
bait,4,1,1:4
ball,4,1,1:4
barrel,4,1,1:4
beg,4,1,1:4
belong,4,1,1:4
blind,4,1,1:4
blow,4,1,1:4
bottle,4,1,1:4
broom,4,1,1:4
burst,4,1,1:4
cage,4,1,1:4
calm,4,1,1:4
cat,4,1,1:4
cautiously,4,1,1:4
chew,4,1,1:4
clearing,4,1,1:4
climb,4,1,1:4
comb,4,1,1:4
crash,4,1,1:4
creep,4,1,1:4
crouch,4,1,1:4
curl,4,1,1:4
darken,4,1,1:4
darkness,4,1,1:4
dinner,4,1,1:4
don,4,1,1:4
drag,4,1,1:4
drive,4,1,1:4
dry,4,1,1:4
dunno,4,1,1:4
eagerly,4,1,1:4
eatin,4,1,1:4
egg,4,1,1:4
fast,4,1,1:4
fat,4,1,1:4
fight,4,1,1:4
food,4,1,1:4
forgot,4,1,1:4
forth,4,1,1:4
fulla,4,1,1:4
future,4,1,1:4
george'll,4,1,1:4
glance,4,1,1:4
glass,4,1,1:4
great,4,1,1:4
harness,4,1,1:4
hate,4,1,1:4
hot,4,1,1:4
interrupt,4,1,1:4
iron,4,1,1:4
jail,4,1,1:4
jean,4,1,1:4
keepin,4,1,1:4
kneel,4,1,1:4
knife,4,1,1:4
lan,4,1,1:4
latch,4,1,1:4
limb,4,1,1:4
litter,4,1,1:4
lock,4,1,1:4
lonely,4,1,1:4
lousy,4,1,1:4
low,4,1,1:4
make,4,1,1:4
middle,4,1,1:4
nest,4,1,1:4
path,4,1,1:4
peer,4,1,1:4
peg,4,1,1:4
pink,4,1,1:4
pitcher,4,1,1:4
poor,4,1,1:4
pound,4,1,1:4
punk,4,1,1:4
push,4,1,1:4
question,4,1,1:4
rack,4,1,1:4
rain,4,1,1:4
reason,4,1,1:4
road,4,1,1:4
sadly,4,1,1:4
sausage,4,1,1:4
scoop,4,1,1:4
scratch,4,1,1:4
sense,4,1,1:4
settle,4,1,1:4
sheep,4,1,1:4
short,4,1,1:4
shotgun,4,1,1:4
sick,4,1,1:4
slope,4,1,1:4
smoke,4,1,1:4
split,4,1,1:4
spoon,4,1,1:4
stamp,4,1,1:4
stiff,4,1,1:4
stiffly,4,1,1:4
stump,4,1,1:4
subject,4,1,1:4
suppose,4,1,1:4
surface,4,1,1:4
tail,4,1,1:4
tart,4,1,1:4
thick,4,1,1:4
thin,4,1,1:4
tone,4,1,1:4
top,4,1,1:4
trail,4,1,1:4
understand,4,1,1:4
wait,4,1,1:4
wave,4,1,1:4
whisper,4,1,1:4
whistle,4,1,1:4
wide,4,1,1:4
worker,4,1,1:4
wouldn,4,1,1:4
year,4,1,1:4
able,3,1,1:3
acrost,3,1,1:3
agree,3,1,1:3
ahead,3,1,1:3
alive,3,1,1:3
ancient,3,1,1:3
appear,3,1,1:3
apple,3,1,1:3
arise,3,1,1:3
ash,3,1,1:3
asleep,3,1,1:3
avoid,3,1,1:3
awmighty,3,1,1:3
baby,3,1,1:3
bar,3,1,1:3
bent,3,1,1:3
blaze,3,1,1:3
blood,3,1,1:3
branch,3,1,1:3
breakfast,3,1,1:3
brightness,3,1,1:3
buckin,3,1,1:3
bull,3,1,1:3
bunch,3,1,1:3
burn,3,1,1:3
bus,3,1,1:3
careful,3,1,1:3
casually,3,1,1:3
chair,3,1,1:3
