word,total_count
swamper,16
fatta,5
george'll,4
awmighty,3
buckin,3
cultivator,3
ever'the,3
gon'ta,3
scairt,3
som'pin,3
yellin,3
alot,2
bucker,2
curley'll,2
foun,2
hadda,2
husban,2
oughten,2
pettin,2
sheepdog,2
som'thin,2
supposin,2
swampin,2
tomorra,2
vaseline,2
win'mill,2
worl,2
absorbedly,1
b'jesus,1
bastard'd,1
becomin,1
blabbin,1
brothers'd,1
causin,1
cockier'n,1
concealin,1
di'n't,1
ejector,1
enda,1
framin,1
gi'me,1
goos,1
grayback,1
guy'll,1
guys'll,1
halterchain,1
handlin,1
hoosegow,1
know'd,1
lef,1
li'ble,1
nosey,1
pups'll,1
rassel,1
sat'iday,1
sof,1
sonofabitche,1
spoilin,1
spreadpad,1
squack,1
strokin,1
thrashin,1
twicet,1
unburie,1
unfilled,1
unpainte,1
whing,1
why'n't,1
wouldn'ta,1
wristband,1
yammered,1
yor,1
