word,total_count,chapter_count,chapters
fish,284,3,"1:79,2:105,3:100"
man,264,3,"1:110,2:95,3:59"
old,243,3,"1:113,2:84,3:46"
think,208,3,"1:48,2:83,3:77"
say,179,3,"1:76,2:56,3:47"
line,159,3,"1:49,2:17,3:93"
hand,134,3,"1:10,2:32,3:92"
come,120,3,"1:38,2:48,3:34"
water,106,3,"1:40,2:35,3:31"
boy,92,3,"1:64,2:20,3:8"
know,91,3,"1:30,2:34,3:27"
go,80,3,"1:37,2:26,3:17"
feel,73,3,"1:18,2:30,3:25"
great,70,3,"1:28,2:21,3:21"
head,69,3,"1:10,2:39,3:20"
eat,67,3,"1:29,2:7,3:31"
shark,65,3,"1:5,2:57,3:3"
see,64,3,"1:17,2:26,3:21"
look,58,3,"1:17,2:22,3:19"
time,56,3,"1:17,2:17,3:22"
boat,50,3,"1:28,2:7,3:15"
pull,49,3,"1:10,2:13,3:26"
sun,48,3,"1:22,2:4,3:22"
good,47,3,"1:18,2:17,3:12"
skiff,47,3,"1:12,2:26,3:9"
hold,44,3,"1:15,2:8,3:21"
dark,42,3,"1:12,2:10,3:20"
sea,42,3,"1:13,2:15,3:14"
take,42,3,"1:13,2:16,3:13"
fast,41,3,"1:11,2:20,3:10"
cut,40,3,"1:6,2:8,3:26"
kill,40,3,"1:4,2:23,3:13"
long,39,3,"1:16,2:10,3:13"
big,38,3,"1:19,2:11,3:8"
left,38,3,"1:2,2:2,3:34"
let,38,3,"1:11,2:9,3:18"
work,38,3,"1:10,2:5,3:23"
bring,37,3,"1:12,2:21,3:4"
right,37,3,"1:4,2:5,3:28"
day,36,3,"1:22,2:2,3:12"
turn,35,3,"1:9,2:19,3:7"
watch,35,3,"1:13,2:14,3:8"
aloud,34,3,"1:13,2:11,3:10"
bow,34,3,"1:7,2:11,3:16"
bird,33,3,"1:18,2:1,3:14"
eye,33,3,"1:15,2:9,3:9"
hook,33,3,"1:17,2:4,3:12"
sail,33,3,"1:8,2:24,3:1"
shoulder,33,3,"1:7,2:10,3:16"
light,32,3,"1:10,2:10,3:12"
try,32,3,"1:4,2:14,3:14"
circle,31,3,"1:7,2:8,3:16"
bait,30,2,"1:22,3:8"
night,30,3,"1:7,2:6,3:17"
rise,30,3,"1:10,2:6,3:14"
sleep,30,3,"1:6,2:5,3:19"
hit,29,3,"1:2,2:25,3:2"
fly,27,3,"1:11,2:1,3:15"
little,27,3,"1:5,2:8,3:14"
move,27,3,"1:11,2:5,3:11"
slowly,27,3,"1:6,2:5,3:16"
jump,26,3,"1:6,2:1,3:19"
rest,26,3,"1:3,2:5,3:18"
tail,26,3,"1:3,2:16,3:7"
dolphin,25,2,"1:5,3:20"
fisherman,25,3,"1:15,2:8,3:2"
oar,25,3,"1:7,2:13,3:5"
start,25,3,"1:4,2:11,3:10"
thing,25,3,"1:9,2:9,3:7"
remember,24,2,"1:19,3:5"
wish,24,3,"1:6,2:9,3:9"
far,23,3,"1:9,2:11,3:3"
high,23,3,"1:6,2:10,3:7"
small,23,3,"1:8,2:5,3:10"
stern,23,3,"1:5,2:8,3:10"
foot,22,3,"1:7,2:5,3:10"
knife,22,3,"1:1,2:14,3:7"
strong,22,3,"1:11,2:3,3:8"
way,22,3,"1:3,2:9,3:10"
coil,21,3,"1:11,2:1,3:9"
dream,21,3,"1:8,2:9,3:4"
away,20,3,"1:5,2:10,3:5"
clear,20,3,"1:2,2:11,3:7"
hard,20,3,"1:9,2:5,3:6"
tell,20,3,"1:9,2:5,3:6"
well,20,3,"1:3,2:6,3:11"
ask,19,3,"1:7,2:5,3:7"
deep,19,3,"1:9,2:5,3:5"
harpoon,19,2,"1:6,2:13"
jaw,19,2,"2:17,3:2"
open,19,3,"1:6,2:6,3:7"
stay,19,2,"1:5,3:14"
want,19,3,"1:7,2:7,3:5"
close,18,3,"1:3,2:14,3:1"
heavy,18,3,"1:6,2:5,3:7"
