word,total_count,chapter_count,chapters
look,570,5,"3:124,4:133,6:100,8:101,10:112"
say,516,5,"3:80,4:103,6:98,8:87,10:148"
get,416,6,"1:1,3:101,4:101,6:67,8:72,10:74"
come,385,5,"3:79,4:89,6:62,8:62,10:93"
go,337,5,"3:59,4:79,6:65,8:60,10:74"
hand,320,5,"3:81,4:83,6:40,8:40,10:76"
man,310,6,"1:1,3:68,4:74,6:45,8:65,10:57"
tell,298,5,"3:69,4:50,6:46,8:69,10:64"
think,287,5,"3:45,4:66,6:57,8:63,10:56"
time,282,5,"3:68,4:76,6:42,8:43,10:53"
boy,280,5,"3:69,4:68,6:48,8:26,10:69"
know,278,5,"3:57,4:69,6:58,8:44,10:50"
black,276,5,"3:62,4:68,6:41,8:30,10:75"
way,276,5,"3:75,4:45,6:55,8:52,10:49"
thing,255,5,"3:45,4:56,6:52,8:42,10:60"
big,244,5,"3:57,4:59,6:31,8:52,10:45"
little,227,5,"3:70,4:47,6:27,8:46,10:37"
head,225,5,"3:49,4:37,6:45,8:33,10:61"
guy,211,5,"3:32,4:55,6:28,8:53,10:43"
eye,206,5,"3:56,4:44,6:31,8:24,10:51"
face,206,5,"3:63,4:40,6:36,8:14,10:53"
fly,203,6,"1:6,3:40,4:48,6:35,8:33,10:41"
hear,194,5,"3:40,4:59,6:31,8:23,10:41"
day,190,5,"3:50,4:54,6:19,8:28,10:39"
right,186,5,"3:49,4:51,6:29,8:21,10:36"
nest,182,6,"1:6,3:37,4:41,6:31,8:30,10:37"
room,182,5,"3:42,4:48,6:35,8:7,10:50"
cuckoo,181,6,"1:6,3:38,4:41,6:31,8:29,10:36"
turn,178,5,"3:32,4:44,6:33,8:30,10:39"
nurse,176,5,"3:46,4:31,6:33,8:20,10:46"
try,175,5,"3:38,4:40,6:31,8:24,10:42"
take,170,5,"3:38,4:41,6:26,8:24,10:41"
talk,168,5,"3:39,4:37,6:20,8:37,10:35"
ward,168,6,"1:2,3:54,4:32,6:21,8:12,10:47"
see,167,6,"1:1,3:33,4:41,6:28,8:38,10:26"
door,164,5,"3:37,4:43,6:24,8:19,10:41"
stand,162,6,"1:1,3:33,4:28,6:33,8:31,10:36"
old,159,5,"3:45,4:46,6:20,8:19,10:29"
want,156,5,"3:27,4:38,6:30,8:32,10:29"
doctor,155,5,"3:45,4:22,6:15,8:48,10:25"
good,155,5,"3:34,4:41,6:17,8:29,10:34"
sit,154,5,"3:35,4:36,6:32,8:18,10:33"
let,152,5,"3:33,4:41,6:20,8:27,10:31"
long,151,6,"1:1,3:27,4:40,6:24,8:24,10:35"
watch,142,5,"3:32,4:33,6:26,8:34,10:17"
work,140,5,"3:40,4:31,6:18,8:30,10:21"
laugh,136,5,"3:47,4:18,6:14,8:32,10:25"
run,128,6,"1:1,3:27,4:28,6:20,8:19,10:33"
stop,127,5,"3:22,4:27,6:16,8:30,10:32"
hold,126,5,"3:33,4:30,6:16,8:23,10:24"
start,117,5,"3:26,4:28,6:16,8:23,10:24"
ask,114,5,"3:21,4:9,6:22,8:27,10:35"
girl,106,5,"3:10,4:5,6:6,8:38,10:47"
white,106,5,"3:24,4:18,6:15,8:23,10:26"
give,105,6,"1:1,3:17,4:24,6:20,8:12,10:31"
arm,104,6,"1:1,3:21,4:16,6:24,8:15,10:27"
open,104,5,"3:28,4:19,6:13,8:12,10:32"
walk,103,5,"3:16,4:23,6:27,8:15,10:22"
wait,102,5,"3:25,4:19,6:16,8:17,10:25"
make,98,5,"3:27,4:24,6:14,8:15,10:18"
feel,97,5,"3:14,4:22,6:18,8:25,10:18"
patient,97,6,"1:2,3:29,4:32,6:16,8:6,10:12"
hall,96,6,"1:1,3:17,4:24,6:15,8:15,10:24"
leave,96,5,"3:24,4:20,6:13,8:17,10:22"
meeting,95,5,"3:23,4:23,6:30,8:4,10:15"
red,95,5,"3:16,4:34,6:8,8:20,10:17"
light,93,5,"3:7,4:20,6:9,8:17,10:40"
year,93,5,"3:35,4:22,6:12,8:14,10:10"
bed,92,5,"3:9,4:25,6:6,8:26,10:26"
close,92,5,"3:26,4:19,6:15,8:11,10:21"
away,89,5,"3:21,4:21,6:14,8:20,10:13"
chair,89,5,"3:25,4:32,6:19,8:3,10:10"
place,89,5,"3:24,4:21,6:15,8:18,10:11"
foot,88,5,"3:10,4:23,6:9,8:24,10:22"
grin,86,5,"3:19,4:16,6:9,8:12,10:30"
sound,86,5,"3:24,4:28,6:7,8:11,10:16"
keep,85,5,"3:18,4:16,6:11,8:16,10:24"
pull,80,5,"3:17,4:21,6:15,8:15,10:12"
smile,80,5,"3:24,4:13,6:19,8:10,10:14"
minute,78,5,"3:22,4:24,6:14,8:15,10:3"
shake,78,5,"3:21,4:14,6:13,8:6,10:24"
wall,78,5,"3:32,4:23,6:10,8:4,10:9"
line,75,5,"3:10,4:12,6:17,8:26,10:10"
floor,73,5,"3:19,4:15,6:12,8:11,10:16"
morning,72,5,"3:26,4:25,6:4,8:10,10:7"
bring,71,5,"3:20,4:18,6:6,8:6,10:21"
hard,71,5,"3:15,4:22,6:15,8:9,10:10"
lean,71,5,"3:24,4:16,6:10,8:16,10:5"
cigarette,69,5,"3:14,4:18,6:27,8:1,10:9"
rest,69,5,"3:13,4:14,6:11,8:18,10:13"
boat,68,3,"6:1,8:66,10:1"
fog,67,5,"3:8,4:52,6:4,8:1,10:2"
friend,67,5,"3:29,4:10,6:13,8:6,10:9"
glass,67,5,"3:19,4:19,6:9,8:12,10:8"
mean,67,5,"3:22,4:14,6:18,8:4,10:9"
act,66,5,"3:12,4:10,6:25,8:10,10:9"
figure,66,5,"3:15,4:21,6:12,8:9,10:9"
voice,66,5,"3:17,4:18,6:7,8:9,10:15"
maybe,65,5,"3:13,4:17,6:9,8:9,10:17"
night,65,5,"3:4,4:26,6:9,8:11,10:15"
water,65,5,"3:7,4:8,6:18,8:22,10:10"
dorm,63,5,"3:5,4:20,6:10,8:9,10:19"
help,63,5,"3:15,4:16,6:7,8:11,10:14"
window,63,5,"3:8,4:12,6:13,8:12,10:18"
finally,62,5,"3:13,4:12,6:12,8:13,10:12"
lift,62,5,"3:5,4:21,6:9,8:13,10:14"
lose,62,5,"3:12,4:25,6:10,8:9,10:6"
people,62,5,"3:11,4:7,6:11,8:15,10:18"
finger,60,5,"3:15,4:12,6:12,8:8,10:13"
kid,59,5,"3:6,4:9,6:10,8:20,10:14"
play,59,5,"3:14,4:21,6:5,8:6,10:13"
kind,58,5,"3:13,4:11,6:15,8:8,10:11"
roll,58,5,"3:7,4:23,6:6,8:10,10:12"
table,57,4,"3:14,4:27,6:7,10:9"
well,57,5,"3:12,4:12,6:9,8:13,10:11"
card,56,4,"3:26,4:17,6:10,10:3"
mouth,56,5,"3:19,4:10,6:13,8:7,10:7"
need,56,5,"3:15,4:12,6:9,8:8,10:12"
remember,56,5,"3:15,4:10,6:7,8:9,10:15"
sure,56,5,"3:15,4:16,6:11,8:4,10:10"
clear,55,5,"3:12,4:14,6:10,8:10,10:9"
cold,54,5,"3:15,4:13,6:6,8:3,10:17"
end,54,5,"3:13,4:13,6:5,8:10,10:13"
happen,54,5,"3:7,4:16,6:10,8:4,10:17"
lot,54,5,"3:14,4:9,6:8,8:14,10:9"
fall,53,5,"3:6,4:11,6:13,8:14,10:9"
game,53,6,"1:1,3:9,4:25,6:7,8:2,10:9"
sign,53,5,"3:4,4:8,6:6,8:28,10:7"
staff,53,5,"3:12,4:12,6:24,8:2,10:3"
find,52,5,"3:10,4:10,6:7,8:13,10:12"
nose,52,5,"3:18,4:7,6:5,8:9,10:13"
bad,51,5,"3:10,4:12,6:5,8:11,10:13"
fish,51,5,"3:4,4:2,6:2,8:41,10:2"
hospital,51,5,"3:15,4:5,6:11,8:12,10:8"
call,50,5,"3:10,4:6,6:9,8:11,10:14"
hair,50,5,"3:11,4:13,6:7,8:5,10:14"
new,50,5,"3:22,4:14,6:2,8:8,10:4"
shoulder,50,5,"3:10,4:9,6:6,8:8,10:17"
step,50,5,"3:5,4:6,6:12,8:13,10:14"
week,49,5,"3:7,4:9,6:14,8:3,10:16"
woman,49,5,"3:15,4:7,6:3,8:14,10:10"
hang,48,5,"3:7,4:15,6:11,8:10,10:5"
high,48,5,"3:13,4:6,6:12,8:6,10:11"
listen,47,5,"3:9,4:7,6:10,8:12,10:9"
move,47,5,"3:9,4:15,6:8,8:4,10:11"
point,47,5,"3:13,4:12,6:5,8:9,10:8"
green,46,5,"3:11,4:9,6:8,8:14,10:4"
nod,46,5,"3:12,4:9,6:3,8:7,10:15"
real,46,5,"3:16,4:10,6:7,8:9,10:4"
word,46,5,"3:9,4:15,6:5,8:11,10:6"
able,45,5,"3:8,4:7,6:9,8:14,10:7"
believe,45,5,"3:10,4:8,6:11,8:5,10:11"
bird,45,5,"3:11,4:11,6:3,8:15,10:5"
catch,45,5,"3:7,4:9,6:2,8:12,10:15"
lock,45,5,"3:10,4:8,6:6,8:7,10:14"
answer,44,5,"3:11,4:7,6:8,8:7,10:11"
hell,44,5,"3:15,4:12,6:5,8:8,10:4"
paper,44,5,"3:9,4:10,6:4,8:10,10:11"
pick,44,5,"3:9,4:14,6:3,8:7,10:11"
stick,44,5,"3:14,4:11,6:9,8:4,10:6"
blow,43,5,"3:9,4:13,6:6,8:7,10:8"
clean,43,5,"3:10,4:7,6:12,8:8,10:6"
machine,43,5,"3:16,4:17,6:2,8:4,10:4"
set,43,6,"1:1,3:7,4:12,6:12,8:7,10:4"
ai,42,5,"3:11,4:8,6:10,8:8,10:5"
break,42,5,"3:4,4:8,6:7,8:11,10:12"
lie,42,5,"3:3,4:4,6:8,8:15,10:12"
pocket,42,5,"3:12,4:7,6:9,8:8,10:6"
