word,total_count
joost,7
sirup,6
whambam,6
peckin,5
zzzth,5
footbath,4
sefelt,4
hydrotherapy,3
iou,3
pht,3
alky,2
bibbit,2
brushin,2
christsake,2
cooler'n,2
everlovin,2
gnake,2
gunstock,2
gyppo,2
hooeee,2
hoorahe,2
lightfoote,2
lockwork,2
poozle,2
skillo,2
su,2
wigwag,2
abloom,1
achually,1
aeee,1
ahe,1
appearing,1
ashake,1
bedcord,1
betsy,1
birthmarke,1
birthmarked,1
blacksnaking,1
blier,1
blooie,1
bluetick,1
bonebreaker,1
bookwork,1
bracer,1
brahma,1
breakaway,1
bullhead,1
bullreed,1
burry,1
catskinner,1
cedure,1
ceedure,1
chabob,1
chargin,1
chastising,1
chinook,1
chune,1
cisely,1
clangy,1
collectin,1
collitch,1
compren,1
conductant,1
conniption,1
convulsant,1
cormorant,1
crookie,1
croupi,1
crowbarre,1
cruisin,1
dadgum,1
dang,1
dange,1
duckin,1
egomania,1
ethereally,1
evahbody,1
excusable,1
exec,1
exertin,1
fartin,1
feedstore,1
fencerow,1
fffffffuck,1
fishrack,1
flunked,1
footworke,1
forcep,1
fryin,1
funsie,1
gawkin,1
gennulman,1
germicide,1
godblesse,1
godblessed,1
greasemonkey,1
gunbarrel,1
gutpower,1
hallucinatin,1
hassler,1
hippity,1
horning,1
hotheaded,1
hydrocephalus,1
im,1
implying,1
insi,1
insteek,1
interceptor,1
interviewing,1
jewly,1
just'd,1
kashash,1
keelhaul,1
landlubber,1
lenience,1
leucotomy,1
li,1
lifeguarde,1
lips'd,1
lordamighty,1
lubbers'd,1
mamamamurphy,1
mastlike,1
mcmurphy'd,1
meathook,1
mel,1
monday,1
mossbacke,1
mothah,1
motivationally,1
murphy,1
musclebound,1
muthuh,1
oakleaf,1
oole,1
opiate,1
overzealousness,1
oxblood,1
paleface,1
pasted,1
pastureland,1
pathic,1
patient'll,1
patients'll,1
people'd,1
phumph,1
plaidshirte,1
pouring,1
preme,1
probly,1
pryin,1
puker,1
rabbithood,1
rasslin,1
ratched,1
redcheeked,1
reekerpution,1
refrigerated,1
reminiscing,1
revote,1
rollin,1
sault,1
sbe,1
scanlon,1
scareder,1
scatterbraine,1
sea'd,1
shaming,1
shindig,1
shittin,1
sidemeat,1
simon,1
sinuate,1
sitdown,1
siuslaw,1
skitterish,1
slicin,1
sloshin,1
snorter,1
snowwhite,1
sonabitch,1
sonofabitchin,1
sonofagun,1
soundin,1
sourball,1
speechlessness,1
spoofing,1
staff'd,1
startlin,1
stelazine,1
stitchmark,1
stompdown,1
stompin,1
sunnyside,1
sunstreake,1
superego,1
swordfighter,1
tangleweed,1
tarbabie,1
tbroat,1
temptate,1
thanklessly,1
that'er,1
that'psychopath,1
tickled,1
tightwad,1
tiuhly,1
tizzy,1
toughlooking,1
trippin,1
trudging,1
uhd,1
uhvvv,1
umming,1
ummm,1
undreaming,1
unheroic,1
us'd,1
vacilitie,1
vertible,1
wardful,1
waterin,1
wawz,1
weeder,1
weedin,1
weee,1
wharrup,1
wheatman,1
whispy,1
whyn't,1
wind'd,1
zee,1
zo,1
