word,total_count,chapter_count,chapters
say,1383,6,"1:123,2:112,3:380,4:369,5:206,6:193"
know,533,6,"1:56,2:84,3:135,4:125,5:67,6:66"
look,379,6,"1:52,2:55,3:87,4:96,5:43,6:46"
think,336,6,"1:44,2:36,3:89,4:76,5:41,6:50"
come,277,6,"1:33,2:39,3:58,4:70,5:40,6:37"
dor,275,5,"2:14,3:91,4:77,5:48,6:45"
time,260,6,"1:39,2:47,3:71,4:46,5:20,6:37"
want,253,6,"1:28,2:25,3:60,4:52,5:33,6:55"
way,237,6,"1:24,2:33,3:54,4:64,5:30,6:32"
tell,233,6,"1:19,2:25,3:60,4:65,5:28,6:36"
world,231,6,"1:41,2:32,3:66,4:39,5:8,6:45"
man,202,6,"1:49,2:12,3:33,4:48,5:34,6:26"
go,198,6,"1:20,2:32,3:52,4:50,5:26,6:18"
find,196,6,"1:29,2:36,3:46,4:48,5:29,6:8"
hand,188,6,"1:25,2:19,3:42,4:38,5:39,6:25"
people,181,6,"1:25,2:32,3:28,4:57,5:29,6:10"
feel,165,6,"1:30,2:40,3:35,4:26,5:13,6:21"
ask,164,6,"1:12,2:17,3:53,4:38,5:20,6:24"
right,156,6,"1:16,2:26,3:27,4:32,5:44,6:11"
mean,151,6,"1:19,2:21,3:41,4:35,5:18,6:17"
try,149,6,"1:18,2:20,3:32,4:36,5:26,6:17"
place,148,6,"1:15,2:18,3:35,4:42,5:27,6:11"
let,146,6,"1:20,2:11,3:30,4:42,5:23,6:20"
thing,146,6,"1:18,2:25,3:38,4:36,5:15,6:14"
turn,146,6,"1:18,2:21,3:38,4:35,5:19,6:15"
head,143,6,"1:16,2:16,3:37,4:42,5:14,6:18"
eye,142,6,"1:25,2:11,3:27,4:51,5:11,6:17"
long,138,6,"1:12,2:22,3:35,4:31,5:14,6:24"
psychohistory,136,6,"1:16,2:20,3:19,4:27,5:7,6:47"
good,135,6,"1:24,2:20,3:27,4:28,5:13,6:23"
woman,133,6,"1:6,2:18,3:35,4:40,5:8,6:26"
use,132,6,"1:14,2:20,3:39,4:25,5:16,6:18"
course,131,6,"1:22,2:23,3:32,4:24,5:10,6:20"
work,130,6,"1:9,2:30,3:36,4:29,5:5,6:21"
take,129,6,"1:13,2:22,3:36,4:29,5:11,6:18"
sure,119,6,"1:8,2:8,3:41,4:28,5:16,6:18"
speak,118,6,"1:20,2:8,3:39,4:22,5:5,6:24"
little,117,6,"1:9,2:20,3:31,4:24,5:15,6:18"
leave,116,6,"1:14,2:20,3:33,4:21,5:20,6:8"
see,116,6,"1:12,2:21,3:26,4:32,5:12,6:13"
face,114,6,"1:17,2:20,3:23,4:27,5:9,6:18"
smile,112,6,"1:12,2:22,3:23,4:27,5:15,6:13"
robot,111,4,"1:10,3:4,4:55,6:42"
human,108,6,"1:23,2:10,3:18,4:27,5:7,6:23"
hear,107,6,"1:13,2:24,3:19,4:25,5:13,6:13"
get,106,6,"1:5,2:23,3:20,4:29,5:23,6:6"
history,103,6,"1:16,2:31,3:25,4:13,5:5,6:13"
voice,103,6,"1:5,2:9,3:27,4:30,5:16,6:16"
light,102,6,"1:15,2:23,3:34,4:22,5:4,6:4"
small,102,6,"1:23,2:13,3:36,4:20,5:3,6:7"
suppose,101,6,"1:11,2:17,3:33,4:21,5:11,6:8"
talk,101,6,"1:12,2:5,3:30,4:33,5:10,6:11"
word,101,6,"1:17,2:4,3:26,4:26,5:5,6:23"
day,100,6,"1:15,2:26,3:18,4:17,5:8,6:16"
matter,100,6,"1:15,2:23,3:21,4:14,5:13,6:14"
year,97,6,"1:18,2:12,3:29,4:18,5:3,6:17"
room,96,6,"1:9,2:12,3:16,4:28,5:18,6:13"
away,95,6,"1:20,2:11,3:20,4:21,5:15,6:8"
young,92,6,"1:22,2:16,3:22,4:15,5:4,6:13"
knife,90,5,"1:3,2:1,4:25,5:57,6:4"
help,89,6,"1:7,2:16,3:17,4:16,5:15,6:18"
far,88,6,"1:23,2:15,3:21,4:13,5:4,6:12"
moment,88,6,"1:7,2:10,3:17,4:23,5:15,6:16"
believe,84,6,"1:17,2:2,3:23,4:17,5:6,6:19"
hair,83,6,"1:5,2:8,3:34,4:25,5:7,6:4"
life,81,6,"1:8,2:12,3:32,4:11,5:4,6:14"
old,81,6,"1:14,2:2,3:13,4:31,5:6,6:15"
sit,81,6,"1:15,2:13,3:18,4:14,5:5,6:16"
move,80,6,"1:10,2:15,3:18,4:19,5:14,6:4"
point,80,6,"1:11,2:11,3:24,4:16,5:7,6:11"
open,78,6,"1:14,2:19,3:18,4:12,5:7,6:8"
mind,77,6,"1:11,2:15,3:21,4:15,5:2,6:13"
force,76,6,"1:13,2:5,3:16,4:5,5:13,6:24"
happen,76,6,"1:13,2:7,3:28,4:13,5:6,6:9"
door,75,6,"1:3,2:14,3:15,4:23,5:12,6:8"
need,75,6,"1:6,2:7,3:20,4:17,5:7,6:18"
wait,74,6,"1:8,2:8,3:14,4:22,5:13,6:9"
give,73,6,"1:19,2:12,3:13,4:17,5:4,6:8"
mathematician,73,6,"1:21,2:22,3:5,4:17,5:2,6:6"
air,72,6,"1:16,2:10,3:18,4:15,5:6,6:7"
hold,72,6,"1:8,2:4,3:15,4:17,5:12,6:16"
understand,72,6,"1:5,2:10,3:18,4:14,5:7,6:18"
well,72,6,"1:14,2:16,3:12,4:19,5:6,6:5"
pass,71,6,"1:15,2:7,3:15,4:18,5:2,6:14"
case,70,6,"1:7,2:8,3:28,4:11,5:11,6:5"
great,70,6,"1:16,2:14,3:10,4:20,5:5,6:5"
like,70,6,"1:7,2:18,3:11,4:18,5:9,6:7"
possible,70,6,"1:17,2:15,3:13,4:13,5:6,6:6"
question,70,6,"1:11,2:10,3:16,4:18,5:5,6:10"
