word,total_count
dor,275
kirtle,35
tribespeople,30
skincap,26
heatsinker,19
heatsink,16
microfarm,15
upperside,15
holovision,10
meteorology,10
daneel,9
psychohistorical,9
timeband,9
tribeswoman,9
gravi,6
holocast,6
hypership,6
microfusion,6
quire,6
seismograph,6
twentyfive,6
depilation,5
humaniform,5
microfood,5
streeling,5
supernaturalistic,5
holo,4
transducer,4
birthrate,3
changeover,3
crossover,3
hyperspatial,3
ingrown,3
jetdown,3
nubbin,3
streele,3
teleprint,3
voiceprint,3
wye,3
airjet,2
antigrav,2
appanage,2
axial,2
bookfilm,2
cloudiness,2
computere,2
decentralization,2
demerzel,2
freezingly,2
hairlessness,2
hyperbolic,2
kirde,2
knifer,2
leftward,2
motherlackey,2
obiah,2
saprophyte,2
acrophobic,1
amaryl,1
amoeba,1
amphisexual,1
anion,1
antidiarrhetic,1
automata,1
automation,1
baring,1
barring,1
bas,1
billibotton,1
biotechnician,1
birthdate,1
boggin,1
ceramoid,1
changelessness,1
chinking,1
chokingly,1
cloche,1
complainant,1
computomap,1
concatenation,1
concisely,1
conformable,1
connoisseurship,1
contriving,1
crosspassage,1
dahl,1
dahlite,1
decillion,1
decolletage,1
decorativeness,1
demeaning,1
demoire,1
detoxification,1
dishabille,1
disoblige,1
dissidence,1
doit,1
dowdiness,1
dragonlike,1
earthpeople,1
eggy,1
emasculation,1
empress,1
encomium,1
equisexual,1
ethos,1
everpresent,1
excruciate,1
f'me,1
fe,1
fernlike,1
findable,1
fiveminute,1
flimsiest,1
floorbase,1
forecasting,1
forgivingly,1
fortyfive,1
gastronomy,1
gazetteer,1
glidecart,1
gnomelike,1
gov'ment,1
grottos,1
hari,1
headband,1
hypercomputer,1
idealization,1
inactivated,1
infra,1
interconnection,1
jetport,1
kirtlery,1
knifeman,1
lacer,1
lefty,1
lightskinne,1
loafin,1
longsuffering,1
magma,1
mathematicized,1
mephitic,1
mesonic,1
metastable,1
microcard,1
microcomputer,1
microculture,1
microderivative,1
microprint,1
microproduct,1
militarist,1
misfeasance,1
misinterpretation,1
mistily,1
mothballing,1
moustached,1
multicellular,1
multigovernmental,1
mycelium,1
mycogen,1
natin'n,1
nephelometric,1
nightline,1
nonhistorian,1
nonmathematician,1
nonoverlapping,1
nonrelativistic,1
nonrepetitive,1
nonslip,1
nonvituperative,1
nutritionally,1
obloquy,1
obtrusively,1
oftused,1
oldish,1
otherworlder,1
outbid,1
overcrowd,1
overintently,1
overlying,1
paleolinguist,1
parkishness,1
phosphoresce,1
policewoman,1
prehuman,1
primitivism,1
primitivistic,1
probabilistic,1
proficiently,1
propagandize,1
proselytization,1
provinciality,1
pseudomagnetic,1
pseudoorganic,1
psychohistorifie,1
psychsociology,1
quasimember,1
quicktwist,1
quixotically,1
radioholography,1
rancidity,1
rashness,1
refractometer,1
reinvigoration,1
religiosity,1
rightie,1
robot's,1
robothood,1
rosiness,1
rowdiness,1
sacratorium,1
sashe,1
seismological,1
seismology,1
selfcontradictory,1
selfdefense,1
selfstyled,1
semipowerful,1
sensitize,1
skyhigh,1
sleepwalking,1
solstice,1
splithead,1
spoilage,1
staire,1
stonite,1
stopover,1
stylized,1
suborning,1
suggestibility,1
sunmaster,1
superconductive,1
superfluity,1
superluminal,1
superoptical,1
tasselled,1
thermopile,1
thinlippe,1
titillating,1
tongueclicke,1
tribesmen,1
tritheistic,1
tumescently,1
twitt,1
twittery,1
twodimensional,1
unconverted,1
underestimation,1
undomed,1
uneconomic,1
unification,1
unornamented,1
unpadded,1
unstiffen,1
urbanized,1
usurping,1
vertex,1
wanner,1
winnowing,1
worldcity,1
yeasted,1
