word,total_count,chapter_count,chapters
boy,553,2,"2:313,3:240"
look,342,2,"2:186,3:156"
say,306,2,"2:145,3:161"
go,275,2,"2:157,3:118"
stand,260,2,"2:151,3:109"
road,256,3,"1:1,2:138,3:117"
sit,215,2,"2:116,3:99"
come,189,2,"2:107,3:82"
man,176,2,"2:64,3:112"
hand,158,2,"2:88,3:70"
hold,154,2,"2:91,3:63"
think,152,2,"2:78,3:74"
blanket,126,2,"2:67,3:59"
cart,126,3,"1:1,2:61,3:64"
get,125,2,"2:79,3:46"
fire,124,2,"2:67,3:57"
take,122,2,"2:73,3:49"
watch,121,2,"2:59,3:62"
know,117,3,"1:1,2:58,3:58"
wood,114,2,"2:76,3:38"
long,113,2,"2:62,3:51"
turn,107,3,"1:1,2:56,3:50"
light,106,2,"2:66,3:40"
water,106,2,"2:63,3:43"
stop,104,2,"2:64,3:40"
cold,100,3,"1:1,2:61,3:38"
find,96,2,"2:52,3:44"
walk,96,3,"1:1,2:51,3:44"
set,95,2,"2:56,3:39"
dark,93,3,"1:1,2:50,3:42"
day,93,2,"2:56,3:37"
time,90,2,"2:56,3:34"
old,89,2,"2:49,3:40"
pull,86,2,"2:43,3:43"
lie,83,2,"2:51,3:32"
away,79,2,"2:43,3:36"
eat,79,2,"2:46,3:33"
dead,78,2,"2:48,3:30"
gray,75,3,"1:1,2:43,3:31"
night,75,2,"2:46,3:29"
fall,74,3,"1:1,2:56,3:17"
door,72,2,"2:51,3:21"
leave,69,2,"2:41,3:28"
black,68,2,"2:43,3:25"
good,68,3,"1:1,2:36,3:31"
small,67,2,"2:42,3:25"
ash,66,3,"1:1,2:43,3:22"
wrap,66,2,"2:43,3:23"
carry,65,2,"2:32,3:33"
open,64,2,"2:33,3:31"
wake,64,2,"2:40,3:24"
house,63,2,"2:44,3:19"
sleep,63,2,"2:43,3:20"
thing,63,2,"2:32,3:31"
plastic,62,2,"2:35,3:27"
tree,62,2,"2:48,3:14"
floor,61,2,"2:35,3:26"
try,61,2,"2:34,3:27"
wind,61,3,"1:1,2:26,3:34"
snow,60,3,"1:1,2:57,3:2"
tarp,60,2,"2:33,3:27"
head,58,2,"2:30,3:28"
see,57,2,"2:24,3:33"
pistol,56,3,"1:1,2:25,3:30"
little,54,2,"2:31,3:23"
way,53,2,"2:29,3:24"
foot,52,2,"2:33,3:19"
rain,51,2,"2:27,3:24"
push,50,2,"2:30,3:20"
cross,49,2,"2:30,3:19"
coat,48,2,"2:36,3:12"
right,48,2,"2:22,3:26"
world,48,3,"1:1,2:28,3:19"
burn,47,3,"1:1,2:26,3:20"
hear,47,2,"2:31,3:16"
eye,46,2,"2:20,3:26"
far,46,2,"2:29,3:17"
rise,46,2,"2:22,3:24"
river,46,2,"2:35,3:11"
let,45,2,"2:27,3:18"
pile,45,2,"2:23,3:22"
sand,45,2,"2:7,3:38"
dry,44,2,"2:33,3:11"
want,44,2,"2:22,3:22"
listen,42,2,"2:25,3:17"
begin,41,2,"2:19,3:22"
step,41,2,"2:26,3:15"
run,40,2,"2:24,3:16"
blow,39,2,"2:17,3:22"
beach,38,2,"2:1,3:37"
child,38,2,"2:28,3:10"
cover,38,2,"2:23,3:15"
face,38,3,"1:1,2:22,3:15"
ground,38,2,"2:29,3:9"
bridge,37,2,"2:29,3:8"
shoulder,37,2,"2:23,3:14"
track,37,2,"2:21,3:16"
wet,37,2,"2:26,3:11"
okay,36,2,"2:15,3:21"
smell,36,2,"2:20,3:16"
die,35,2,"2:18,3:17"
pass,35,2,"2:24,3:11"
people,35,3,"1:1,2:12,3:22"
place,35,2,"2:17,3:18"
talk,35,2,"2:12,3:23"
whisper,35,2,"2:20,3:15"
arm,34,2,"2:19,3:15"
cough,34,2,"2:14,3:20"
field,34,2,"2:22,3:12"
jar,34,2,"2:19,3:15"
room,34,2,"2:18,3:16"
shape,34,2,"2:20,3:14"
shoe,34,2,"2:20,3:14"
country,33,2,"2:19,3:14"
morning,33,2,"2:21,3:12"
wall,33,2,"2:23,3:10"
window,33,2,"2:18,3:15"
close,32,2,"2:14,3:18"
drink,32,2,"2:16,3:16"
end,32,3,"1:1,2:15,3:16"
half,32,2,"2:20,3:12"
box,31,2,"2:18,3:13"
edge,31,2,"2:18,3:13"
glass,31,2,"2:17,3:14"
pick,31,2,"2:17,3:14"
wait,31,2,"2:16,3:15"
dream,30,2,"2:18,3:12"
rock,30,2,"2:17,3:13"
bottle,29,2,"2:22,3:7"
drag,29,2,"2:20,3:9"
move,29,3,"1:1,2:19,3:9"
follow,28,2,"2:20,3:8"
keep,28,3,"1:1,2:15,3:12"
lean,28,2,"2:12,3:16"
reach,28,2,"2:17,3:11"
slowly,28,2,"2:18,3:10"
year,28,2,"2:16,3:12"
break,27,2,"2:14,3:13"
darkness,27,2,"2:22,3:5"
hair,27,2,"2:19,3:8"
pocket,27,2,"2:21,3:6"
raise,27,2,"2:18,3:9"
tin,27,2,"2:10,3:17"
climb,26,2,"2:24,3:2"
hang,26,2,"2:18,3:8"
leaf,26,2,"2:18,3:8"
tell,26,2,"2:17,3:9"
yard,26,2,"2:23,3:3"
metal,25,2,"2:20,3:5"
pack,25,2,"2:17,3:8"
rest,25,2,"2:14,3:11"
wheel,25,2,"2:13,3:12"
clothe,24,3,"1:1,2:8,3:15"
cry,24,2,"2:13,3:11"
feel,24,2,"2:11,3:13"
grass,24,2,"2:18,3:6"
great,24,2,"2:14,3:10"
lamp,24,2,"2:22,3:2"
lay,24,2,"2:18,3:6"
mile,24,2,"2:15,3:9"
smoke,24,2,"2:17,3:7"
thin,24,2,"2:17,3:7"
deep,23,2,"2:11,3:12"
heart,23,2,"2:15,3:8"
stay,23,2,"2:9,3:14"
town,23,2,"2:9,3:14"
answer,22,2,"2:12,3:10"
camp,22,2,"2:14,3:8"
corner,22,2,"2:17,3:5"
father,22,3,"1:2,2:7,3:13"
flame,22,2,"2:19,3:3"
lift,22,2,"2:9,3:13"
roadside,22,2,"2:12,3:10"
shake,22,2,"2:13,3:9"
silence,22,2,"2:14,3:8"
sort,22,2,"2:11,3:11"
stair,22,2,"2:14,3:8"
stone,22,3,"1:1,2:19,3:2"
street,22,2,"2:10,3:12"
swing,22,2,"2:16,3:6"
truck,22,2,"2:21,3:1"
can,21,2,"2:8,3:13"
drift,21,2,"2:14,3:7"
faint,21,2,"2:12,3:9"
finally,21,2,"2:13,3:8"
food,21,3,"1:1,2:11,3:9"
