word,total_count,chapter_count,chapters
man,274,25,"2:2,3:49,4:1,5:10,6:15,7:16,8:4,9:1,10:3,11:6,12:20,13:25,14:9,15:7,16:9,17:21,18:5,19:1,20:13,21:3,23:15,24:6,25:12,26:16,27:5"
child,249,22,"3:5,5:8,6:2,7:10,8:7,9:43,10:10,11:38,13:5,14:2,15:10,16:2,17:1,18:20,19:18,21:11,22:29,23:4,24:7,25:7,26:6,27:4"
little,227,24,"3:39,5:6,6:5,7:4,8:7,9:24,10:7,11:13,12:2,13:6,14:3,15:14,16:7,17:5,18:13,19:14,20:6,21:6,22:14,23:6,24:8,25:6,26:8,27:4"
old,206,26,"3:55,4:2,5:6,6:2,7:5,8:1,9:3,10:6,11:15,12:7,13:9,14:5,15:8,16:3,17:9,18:6,19:5,20:3,21:1,22:5,23:17,24:10,25:6,26:8,27:8,28:1"
look,181,25,"3:20,4:1,5:6,6:11,7:7,8:6,9:8,10:10,11:11,12:5,13:14,14:3,15:10,16:2,17:8,18:5,19:4,20:8,21:5,22:6,23:8,24:6,25:8,26:6,27:3"
mother,178,21,"5:3,6:1,7:2,8:2,9:30,10:10,11:19,13:5,14:3,15:6,16:3,17:1,18:21,19:22,21:6,22:20,23:3,24:7,25:9,26:2,27:3"
minister,171,21,"5:1,6:2,7:1,8:2,10:1,11:9,12:12,13:14,14:6,15:22,16:2,18:5,19:4,20:12,21:3,22:6,23:30,24:3,25:13,26:17,27:6"
life,163,26,"2:2,3:37,5:4,6:4,7:4,8:6,9:6,10:2,11:4,12:11,13:6,14:6,15:3,16:4,17:10,18:2,19:5,20:10,21:3,22:1,23:6,24:4,25:6,26:6,27:10,28:1"
come,161,26,"3:20,4:1,5:6,6:5,7:4,8:4,9:9,10:6,11:6,12:4,13:5,14:5,15:15,16:6,17:6,18:1,19:5,20:3,21:5,22:12,23:7,24:5,25:7,26:10,27:3,28:1"
heart,152,25,"3:10,4:1,5:4,6:9,7:6,8:6,9:9,10:2,11:5,12:5,13:13,14:5,15:6,16:5,17:5,18:13,19:4,20:11,21:7,22:4,23:5,24:2,25:7,26:4,27:4"
long,151,26,"3:35,4:1,5:1,6:4,7:2,8:5,9:2,10:2,11:4,12:5,13:3,14:2,15:9,16:10,17:4,18:4,19:2,20:13,21:6,22:6,23:8,24:9,25:3,26:1,27:9,28:1"
say,150,24,"3:5,5:2,6:12,7:8,8:2,9:4,10:4,11:14,12:5,13:11,14:1,15:9,16:1,17:8,18:7,19:12,20:10,21:3,22:6,23:7,24:6,25:5,26:7,27:1"
hand,141,24,"3:16,5:6,6:2,7:4,8:6,9:3,10:2,11:7,12:6,13:5,14:1,15:13,16:7,17:9,18:8,19:3,20:6,21:2,22:10,23:6,24:4,25:10,26:4,27:1"
thou,138,17,"6:4,7:13,8:1,9:6,10:1,11:14,13:2,15:7,17:9,18:4,19:12,20:25,21:7,22:16,24:3,25:9,26:5"
good,136,21,"3:29,5:6,6:7,7:3,9:2,10:1,11:9,12:7,13:10,14:1,15:11,16:3,17:9,18:3,19:3,20:9,21:1,23:14,24:4,25:2,27:2"
know,136,26,"2:1,3:20,4:1,5:3,6:5,7:9,8:1,9:5,11:7,12:4,13:6,14:4,15:4,16:2,17:5,18:6,19:3,20:7,21:6,22:6,23:6,24:6,25:9,26:6,27:3,28:1"
letter,136,24,"0:1,3:10,5:8,6:5,7:5,8:10,9:6,10:7,11:4,13:3,14:1,15:6,16:8,17:6,18:14,19:3,20:4,21:3,22:4,24:4,25:6,26:5,27:12,28:1"
eye,133,24,"3:10,5:7,6:9,7:7,8:7,9:9,10:2,11:3,12:4,13:8,14:3,15:8,16:1,17:6,18:5,19:2,20:13,21:5,22:5,23:2,24:2,25:5,26:8,27:2"
day,125,25,"2:1,3:28,5:6,6:2,7:2,8:4,9:6,10:3,11:3,12:2,13:8,15:6,16:2,17:2,18:1,19:6,20:2,21:1,22:2,23:9,24:13,25:4,26:3,27:5,28:4"
work,119,23,"2:2,3:6,4:1,5:3,6:1,7:1,8:6,9:2,10:1,11:3,12:1,13:2,16:2,17:1,18:2,20:1,22:1,23:2,24:1,25:1,26:2,27:7,28:70"
woman,115,23,"2:1,3:4,4:1,5:16,6:13,7:7,8:12,9:3,10:2,11:9,12:3,13:2,16:11,17:2,18:2,19:1,20:4,21:1,23:1,24:1,25:6,26:6,27:7"
scarlet,112,23,"0:1,3:6,5:4,6:5,7:4,8:10,9:5,10:8,11:7,13:2,14:2,15:1,16:7,17:5,18:7,19:4,20:4,21:2,22:4,24:4,25:5,26:5,27:10"
time,111,23,"3:24,5:5,6:3,7:1,8:3,9:2,10:3,11:3,12:4,13:4,14:3,15:7,16:3,17:1,18:6,19:5,20:1,22:3,23:10,24:5,25:10,26:1,27:4"
stand,102,21,"3:7,5:9,6:12,7:1,8:3,9:3,10:1,11:4,12:1,13:3,15:17,16:2,18:1,19:4,20:4,21:2,22:4,23:3,24:5,25:5,26:11"
year,97,24,"2:2,3:27,4:1,5:2,6:3,7:2,8:2,10:4,11:4,12:1,14:1,15:1,16:6,17:7,18:2,20:5,21:4,22:1,23:5,24:8,25:1,26:2,27:5,28:1"
see,91,23,"2:1,3:13,5:4,6:4,8:3,9:3,10:5,11:4,12:2,13:3,14:1,15:8,16:2,18:4,19:2,20:4,21:1,22:2,23:1,24:3,25:14,26:4,27:3"
world,87,22,"3:11,5:2,6:1,7:3,8:3,9:10,11:4,12:3,13:1,14:4,15:3,16:8,18:2,19:1,20:7,21:2,22:3,23:4,24:4,25:3,26:3,27:5"
face,86,23,"3:7,5:8,6:6,7:5,8:1,9:4,10:1,11:3,12:1,13:3,14:4,15:4,16:1,17:3,18:5,19:1,20:4,21:1,22:3,23:4,24:8,25:4,26:5"
