word,total_count
hester,20
characterise,6
honourable,6
requital,6
shipmaster,6
noontide,5
thitherward,5
tm,5
dishonour,4
futurity,4
guardianship,4
puritanic,4
darksome,3
distinctness,3
effluence,3
magistracy,3
requite,3
wherewith,3
authorised,2
behoof,2
behove,2
browe,2
coarser,2
columbine,2
dearth,2
delusive,2
effervescence,2
ejectment,2
estrange,2
etherealise,2
foolscap,2
forbode,2
forborne,2
fourscore,2
frizzle,2
fulness,2
goodwife,2
inauspicious,2
intangibility,2
interposition,2
ledst,2
lightsome,2
lucubration,2
margine,2
nutriment,2
phantasmagoric,2
phantasy,2
seafare,2
sinfulness,2
spiritualise,2
spiritualize,2
sumptuary,2
symbolise,2
tempter,2
toilsome,2
townward,2
unamiable,2
unvaried,2
wayfarer,2
wearest,2
wearisomely,2
wreathed,2
agonised,1
anatto,1
animadversion,1
antiquarian,1
antiquary,1
apotheosised,1
armourer,1
aspiringly,1
assignable,1
aweary,1
bedazzled,1
bestrew,1
betook,1
blasone,1
bloodthirstiness,1
branded,1
buccaneer,1
buckramed,1
cankered,1
catarrh,1
chandler,1
chirurgical,1
christened,1
civilised,1
clergyman's,1
coadjutor,1
commodiousness,1
commonweal,1
compeer,1
concord,1
conjuration,1
contumaciously,1
cuirass,1
damages,1
decipherable,1
decry,1
deductible,1
deletion,1
deniest,1
discoverable,1
drearier,1
dreariest,1
dryad,1
dulness,1
dutiable,1
dwellest,1
ecstacy,1
elfs,1
elvish,1
emancipate,1
emblematic,1
embowe,1
endowed,1
escutcheon,1
eulogium,1
eventide,1
expiate,1
extenuation,1
extinguished,1
fancifully,1
feebleness,1
festal,1
flightiness,1
forebore,1
forfeited,1
fouler,1
foundress,1
galliard,1
gat,1
gentler,1
gesticulation,1
gleeman,1
gorget,1
gourmandism,1
grandam,1
greave,1
halberd,1
handicraftsman,1
healthfulness,1
heathendom,1
helpfulness,1
henbane,1
heterodox,1
hitherward,1
honoured,1
humanise,1
humourous,1
humoursome,1
hurrieth,1
hypertext,1
idolise,1
imbued,1
immortally,1
imparted,1
impiety,1
implied,1
imposed,1
impost,1
impressiveness,1
incommoditie,1
incumbency,1
indefeasible,1
indemnify,1
inditing,1
inefficacious,1
inexcusably,1
infirmitie,1
inopportuneness,1
inquietude,1
inquisitorial,1
instilment,1
instructed,1
intenseness,1
interfuse,1
intervolution,1
intreaty,1
intrusiveness,1
invalidity,1
inveterately,1
irreverently,1
jocularity,1
liberality,1
lifemate,1
lovest,1
maidenhood,1
malefactresse,1
materiality,1
meddl,1
meed,1
merchantibility,1
millionfold,1
misdemeanour,1
misguidance,1
morion,1
naturalise,1
necromancer,1
nonproprietary,1
overfill,1
palliate,1
pardonable,1
parochial,1
pensiveness,1
perille,1
pern,1
perverted,1
philosophise,1
pitiably,1
plainness,1
plashy,1
polemical,1
possesse,1
premeditated,1
prolixity,1
proneness,1
propinquity,1
provided,1
pseud,1
pursuance,1
rarest,1
readier,1
received,1
redeemable,1
reduplicate,1
refuseth,1
remaineth,1
repine,1
residuum,1
rotundity,1
saddened,1
sagamore,1
scantly,1
scintillate,1
scorching,1
scrofula,1
scrutinise,1
seasonably,1
sedulous,1
sepulchre,1
showy,1
skille,1
slumberous,1
smouldering,1
snailshell,1
soldiership,1
solicitation,1
somniferous,1
sportiveness,1
statesmen,1
stigmatise,1
stomacher,1
straitly,1
striven,1
succour,1
sympathising,1
symphonious,1
tenaciously,1
thenceforward,1
tithing,1
traditionary,1
trammelle,1
transfigured,1
transplantation,1
traversing,1
treadest,1
trow,1
truculency,1
unappropriate,1
unbenignantly,1
unbreeched,1
uncaptivate,1
uncheerful,1
unchristianised,1
undissembled,1
undutiful,1
unenforceability,1
unfaded,1
unfeignedly,1
ungladdened,1
unhumanised,1
unimpassioned,1
uninstructed,1
unjoyous,1
unlink,1
unmalleable,1
unperforme,1
unpremeditated,1
unrecognise,1
unreserved,1
unsearchable,1
unsunned,1
unsympathise,1
unsympathizing,1
untempered,1
unthrifty,1
untransmitted,1
unvalued,1
unweariable,1
unyielded,1
velvete,1
viler,1
vitae,1
vivify,1
vixenly,1
waggon,1
wampum,1
whig,1
wholesomeness,1
wofully,1
womankind,1
workest,1
wottest,1
yester,1
