word,total_count,chapter_count,chapters
say,796,56,"10:15,12:15,14:15,16:9,18:15,20:16,26:18,28:24,30:43,32:46,34:36,36:5,40:5,42:18,44:47,46:58,48:14,50:14,52:24,54:27,56:23,58:6,60:1,62:4,66:10,68:3,70:11,72:32,74:1,76:1,78:43,80:3,82:1,84:8,86:9,88:1,92:25,94:8,96:2,98:1,100:11,102:11,104:19,106:7,108:15,110:1,112:4,114:11,116:3,118:9,124:6,126:14,128:6,130:6,132:14,136:2"
come,589,63,"6:2,10:4,12:4,14:20,16:20,18:10,20:23,22:3,26:2,28:10,30:10,32:11,34:6,36:1,40:11,42:4,44:15,46:15,48:12,50:9,52:8,54:16,56:7,58:15,62:11,66:15,68:11,70:12,72:6,74:5,78:14,80:10,82:15,84:7,86:10,88:23,92:26,94:4,96:10,98:6,100:3,102:6,104:7,106:8,108:17,110:2,112:5,114:8,116:16,118:7,120:12,122:7,124:23,126:11,128:3,130:10,132:7,135:1,136:2,137:3,141:6,142:1,152:1"
go,568,59,"10:6,12:8,14:12,16:14,18:16,20:14,22:1,26:6,30:10,32:15,34:17,36:1,40:15,42:1,44:29,46:17,48:8,50:8,52:18,54:15,56:8,58:15,60:4,62:7,66:7,68:8,70:9,72:12,74:8,78:21,80:12,82:3,84:8,86:7,88:10,92:22,94:7,96:8,98:9,100:12,102:5,104:5,106:10,108:33,110:1,112:6,114:12,116:2,118:7,120:2,122:5,124:10,126:8,128:9,130:8,132:9,137:2,138:3,141:3"
look,513,59,"10:8,12:6,14:6,16:8,18:15,20:6,22:4,26:11,28:8,30:8,32:16,34:26,36:6,40:22,42:7,44:18,46:23,48:13,50:10,52:4,54:5,56:10,58:13,62:5,66:3,68:7,70:2,72:11,74:4,76:1,78:12,80:23,82:14,84:10,86:9,88:3,92:17,94:6,96:3,98:7,100:3,102:12,104:8,106:5,108:24,112:4,114:3,116:10,118:4,120:4,122:1,124:2,126:7,128:8,130:9,132:10,137:1,138:3,141:5"
think,446,62,"10:11,12:5,14:8,16:15,18:9,20:10,22:2,26:9,28:6,30:6,32:25,34:10,36:2,40:10,42:7,44:17,46:23,48:5,50:13,52:16,54:16,56:14,58:7,60:2,62:8,68:3,70:3,72:14,74:3,76:1,78:28,80:5,82:11,84:2,86:3,88:1,92:13,94:5,96:5,98:3,100:4,102:4,104:3,106:9,108:20,110:2,112:2,114:3,116:4,118:4,120:3,122:2,124:1,126:2,128:2,130:8,132:6,133:1,137:1,138:1,141:7,150:1"
know,425,58,"1:1,10:3,12:2,14:10,16:10,18:6,20:7,22:1,26:4,28:4,30:7,32:32,34:3,40:14,42:2,44:16,46:16,48:12,50:6,52:15,54:25,56:8,58:4,60:2,62:3,66:4,68:4,70:2,72:32,74:1,78:16,80:3,82:9,84:7,86:2,88:1,92:21,94:4,98:2,100:8,102:1,104:7,106:3,108:16,110:2,112:7,114:7,116:6,118:6,120:1,122:3,124:12,126:6,128:2,130:1,132:6,137:8,138:2"
hand,422,62,"6:1,10:6,12:2,14:4,16:8,18:6,20:8,22:1,26:3,28:8,30:5,32:9,34:7,36:4,40:14,42:10,44:24,46:6,48:9,50:8,52:7,54:9,56:4,58:10,60:1,62:7,66:10,68:6,70:7,72:5,74:3,76:1,78:29,80:3,82:9,84:2,86:3,88:12,92:4,94:14,96:9,98:3,100:5,102:4,104:16,106:4,108:27,110:2,112:5,114:6,116:11,118:3,120:15,122:6,124:1,126:5,128:3,130:2,132:3,137:1,138:1,141:1"
thing,341,55,"6:1,10:3,12:7,14:6,16:16,18:10,20:2,22:1,28:1,32:20,34:8,36:1,40:15,42:3,44:10,46:34,50:9,52:8,54:30,58:3,62:10,66:4,68:3,70:8,72:11,74:2,76:1,78:15,80:6,82:5,84:1,86:1,88:6,92:11,94:2,96:3,98:6,100:1,102:3,104:2,108:10,112:1,116:2,118:2,120:4,122:1,124:7,126:8,128:2,130:2,132:7,137:3,138:1,141:1,151:1"
time,312,57,"10:7,12:2,14:3,16:18,18:4,20:11,22:2,28:3,30:7,32:12,34:5,40:7,42:4,44:9,46:14,48:10,50:6,52:10,54:6,56:1,58:6,60:1,62:4,66:5,68:5,70:6,72:9,74:2,78:15,80:5,82:3,84:1,86:6,88:4,92:10,94:2,96:4,100:4,102:8,104:8,106:2,108:10,110:1,112:2,114:4,116:8,118:6,120:2,122:4,124:1,126:7,128:1,130:4,132:5,137:1,141:4,153:1"
get,302,52,"10:5,14:26,16:8,18:8,20:5,26:4,28:4,30:10,32:16,34:2,36:1,40:7,42:5,44:6,46:3,48:9,50:6,52:10,54:9,56:2,58:4,60:1,62:4,66:8,68:2,70:5,72:5,74:2,78:16,80:1,82:7,84:2,86:3,88:6,92:12,96:1,100:6,104:2,106:2,108:11,112:3,114:9,116:4,118:5,120:3,122:5,126:6,128:3,130:4,132:5,137:2,141:7"
