word,total_count,chapter_count,chapters
say,493,59,"6:11,7:6,8:4,9:8,10:3,13:5,14:8,15:10,16:8,17:6,18:10,19:7,20:40,21:12,22:42,23:2,25:2,26:16,28:9,29:6,30:1,31:4,32:22,33:2,34:10,35:12,36:6,37:4,38:8,39:7,41:3,42:13,44:24,45:22,46:7,47:9,49:12,50:10,51:2,52:4,53:2,54:4,55:2,56:2,57:16,58:2,59:3,60:6,61:2,62:5,63:7,64:9,65:3,66:8,68:6,69:8,70:3,71:7,72:1"
know,370,59,"6:14,7:6,8:2,9:8,10:7,11:1,13:4,14:6,15:6,16:2,17:8,18:4,19:11,20:14,21:8,22:10,25:5,26:11,28:1,29:13,31:6,32:8,33:6,34:2,35:8,36:8,37:11,38:6,39:2,40:1,41:6,42:4,43:2,44:19,45:11,46:4,47:4,49:6,50:2,51:8,52:3,53:2,54:7,55:1,56:4,57:16,58:3,59:1,60:4,61:2,62:5,63:11,64:16,66:18,68:6,69:2,70:1,71:1,72:2"
look,282,57,"5:1,6:10,7:3,8:3,9:16,11:1,12:3,14:2,15:7,16:3,17:2,18:3,19:6,20:17,21:3,22:9,23:4,26:1,27:1,28:4,29:3,30:2,31:3,32:8,33:1,35:12,36:2,37:6,38:3,39:1,40:1,41:5,42:5,43:2,44:23,45:6,46:2,47:12,49:10,50:4,51:3,52:1,54:1,55:2,56:1,57:10,58:3,60:2,62:10,63:7,64:8,65:2,66:13,68:4,69:2,70:2,72:1"
come,280,60,"6:8,7:5,8:1,9:10,11:2,12:1,13:6,15:9,16:4,17:5,18:3,19:7,20:14,21:3,22:9,23:2,25:2,26:4,27:2,28:4,29:3,30:1,31:2,32:7,33:6,35:7,36:3,37:3,38:2,40:2,41:3,42:3,43:1,44:5,45:6,46:11,47:11,48:2,49:5,50:6,51:9,53:2,54:2,55:3,56:8,57:6,58:2,59:5,60:3,61:6,62:7,63:5,64:9,65:1,66:11,67:1,68:2,69:6,71:1,72:1"
get,251,59,"6:3,7:1,8:2,9:6,10:1,13:14,14:1,15:3,16:1,17:2,18:10,19:8,20:19,21:5,22:2,23:5,25:3,26:3,28:5,29:5,30:1,31:1,32:4,33:2,34:3,35:5,36:4,37:4,38:3,39:1,40:3,41:8,42:2,44:9,45:4,46:6,47:6,48:4,49:7,51:2,52:2,53:1,54:4,55:1,56:2,57:11,58:3,59:6,60:2,61:3,62:1,63:9,64:12,65:5,66:5,68:1,69:1,71:2,72:2"
think,236,50,"6:3,7:2,8:5,9:18,13:2,14:4,15:5,17:7,18:3,19:5,20:4,22:6,23:2,26:8,27:1,28:8,29:2,31:1,32:9,33:1,34:8,35:12,36:3,37:11,38:6,39:1,40:2,41:2,42:5,44:9,45:8,47:4,49:3,51:3,52:3,54:2,55:4,56:1,57:11,59:4,60:3,61:2,62:3,63:6,64:15,65:1,66:3,68:1,69:2,70:2"
starling,217,39,"6:8,7:2,8:2,9:4,10:3,11:2,13:6,14:2,15:12,16:5,17:2,18:3,19:3,20:16,21:6,22:7,26:8,27:3,28:5,29:2,31:1,32:9,34:4,35:1,37:1,41:3,44:28,45:10,49:6,50:5,54:1,57:13,58:1,60:3,62:10,63:6,66:8,68:4,70:2"
time,215,61,"4:1,6:5,7:5,8:3,9:1,10:1,11:1,12:2,13:8,14:1,15:6,16:2,17:2,18:4,19:7,20:12,21:1,22:8,23:2,24:1,25:1,26:8,27:1,28:2,29:6,30:1,32:2,33:2,34:1,35:5,36:4,37:3,38:5,39:2,40:2,41:3,42:4,43:4,44:7,45:4,46:7,47:1,49:6,50:2,51:7,55:2,56:4,57:4,58:2,59:2,60:3,61:4,62:1,63:8,64:6,65:1,66:7,68:3,69:1,70:2,72:2"
go,213,55,"4:1,6:3,7:2,8:2,10:2,13:2,15:5,17:7,18:1,19:5,20:7,21:1,22:4,23:4,24:4,25:2,26:6,28:2,30:1,32:7,33:5,34:1,35:5,36:2,37:5,39:1,40:1,41:2,42:7,44:6,45:7,46:10,47:12,48:2,49:2,50:1,51:7,52:2,53:1,55:2,56:7,57:4,59:3,60:3,61:1,63:5,64:13,65:1,66:14,67:1,68:1,69:8,70:1,71:1,72:1"
want,213,52,"6:8,7:1,8:1,9:4,10:2,13:8,14:2,15:7,16:2,17:12,19:5,20:4,21:5,22:6,23:1,26:4,27:1,28:3,29:3,31:1,32:9,34:6,35:5,36:1,37:2,38:6,39:1,41:10,42:10,43:1,44:5,45:4,46:1,47:7,49:4,50:2,51:3,54:3,55:4,56:2,57:6,59:8,61:3,62:5,63:2,64:6,65:1,66:7,69:5,70:2,71:1,72:1"
