word,total_count
starle,134
transsexual,20
pilcher,16
kimberly,7
larice,7
speedloader,5
trotline,5
chrysalis,4
pupa,4
asphyxia,3
clarice,3
criminology,3
emollient,3
entomologist,3
entomology,3
gumb,3
knifemaker,3
minicam,3
odora,3
placket,3
stacy,3
telex,3
warder,3
alonzo,2
atherine,2
causal,2
chaetaxy,2
copycat,2
dishmop,2
doorstop,2
fficer,2
flutist,2
gossage,2
hardshell,2
hebephrenic,2
hereshecome,2
humidifier,2
icer,2
interservice,2
proton,2
pupal,2
rawford,2
rdelia,2
roscoe,2
transsexualism,2
unicef,2
warmup,2
acacia,1
acherontia,1
ame,1
anorexia,1
apexe,1
araund,1
archrival,1
atropo,1
backshot,1
backsplash,1
balled,1
ballpoinf,1
ballsandeye,1
bangy,1
barbering,1
basher,1
beause,1
behaviorism,1
bellman,1
benson,1
blueeyed,1
boonie,1
bunched,1
burled,1
busybusy,1
cabretta,1
catnip,1
confined,1
cosmetically,1
craniofacial,1
crashy,1
datafax,1
depersonalize,1
diethylstilbestrol,1
doodlebug,1
dorsocephalic,1
draper,1
dressy,1
durn,1
eather,1
ehavioral,1
electrocardiogram,1
enucleate,1
escende,1
escrow,1
evience,1
eviscerated,1
eyelet,1
fava,1
fiendishly,1
filmed,1
floodlamp,1
fluorescence,1
forwarder,1
furlike,1
galeae,1
getmeout,1
glycerine,1
gnomish,1
goatish,1
grandbabie,1
guardroom,1
guesser,1
gunnery,1
hadna,1
hashish,1
heartwarming,1
hexenoic,1
hirn,1
histamine,1
holistic,1
hollowpoint,1
hortly,1
humm,1
iii,1
indention,1
instnictor,1
interfacing,1
intraoffice,1
items,1
largest,1
leapfrog,1
lilyfinger,1
lunchpail,1
lycra,1
manageability,1
matchless,1
maxillae,1
merchandising,1
mesal,1
mesothorax,1
misprision,1
multilevel,1
mummification,1
newswoman,1
nocere,1
noctuid,1
nonstick,1
notegaper,1
nowuse,1
obtect,1
ormally,1
owlet,1
pajamalike,1
palatal,1
palooka,1
pam,1
paschal,1
patiendy,1
pearlcorder,1
pease,1
peplum,1
pilifer,1
piped,1
pix,1
plantar,1
pluperfect,1
pointable,1
police've,1
polydactyly,1
pouter,1
precis,1
prefabricate,1
presenting,1
prothoracic,1
pussyfoot,1
raver,1
recreationally,1
reevaluation,1
refrigefator,1
remailing,1
revenuer,1
rheostat,1
rop,1
rorschach,1
rummager,1
saraband,1
schmooze,1
schneckloth,1
scrapper,1
seized,1
serg,1
seventyeightseventynineeightyeightyone,1
shako,1
sixtyfivesixtysixsixtysevensixtyeightsixty,1
sleazo,1
snitching,1
squawle,1
stakeout,1
standup,1
statuary,1
stung,1
styx,1
subjunctive,1
suitbag,1
sunlamp,1
swats,1
sylphe,1
tabloids'll,1
tarling,1
taxiway,1
tearily,1
thanatopsis,1
thibugh,1
thieflike,1
thymus,1
tilling,1
tomooooooorooow,1
trenchcoat,1
trochar,1
umm,1
undaunte,1
unperfumed,1
videocassette,1
watchband,1
waterslide,1
wazoo,1
weasing,1
weathered,1
wjth,1
would'nt,1
wrecking,1
wrongheadedness,1
wy,1
yous,1
zipped,1
