word,total_count,chapter_count,chapters
go,316,10,"3:24,4:55,5:27,6:18,7:73,8:36,9:14,10:27,11:29,12:13"
say,297,10,"3:31,4:35,5:23,6:9,7:77,8:38,9:5,10:35,11:38,12:6"
time,152,10,"3:12,4:25,5:14,6:14,7:33,8:11,9:3,10:9,11:28,12:3"
come,147,11,"3:13,4:17,5:15,6:12,7:40,8:9,9:5,10:15,11:14,12:6,13:1"
war,130,10,"3:32,4:12,5:14,6:5,7:26,8:13,9:1,10:7,11:18,12:2"
tell,112,9,"3:14,4:14,5:14,6:8,7:24,8:6,10:15,11:15,12:2"
man,106,9,"3:11,4:8,5:20,6:3,7:24,8:9,10:11,11:19,12:1"
people,104,9,"3:14,4:15,5:6,6:2,7:21,8:8,9:4,10:13,11:21"
know,100,11,"1:1,3:20,4:10,5:2,6:5,7:26,8:7,9:5,10:7,11:16,12:1"
look,95,10,"3:10,4:13,5:6,6:5,7:20,8:7,9:2,10:10,11:20,12:2"
old,95,10,"3:12,4:9,5:8,6:5,7:16,8:13,9:6,10:13,11:11,12:2"
see,95,9,"3:10,4:8,5:9,6:6,7:22,8:8,9:5,10:18,11:9"
thing,90,9,"3:9,4:9,5:10,6:2,7:18,8:7,9:5,10:10,11:20"
think,77,9,"3:15,4:12,5:3,6:3,7:20,8:5,9:2,10:10,11:7"
book,75,5,"3:26,4:3,7:16,10:10,11:20"
find,73,10,"3:3,4:18,5:8,6:2,7:11,8:5,9:3,10:10,11:10,12:3"
ask,71,10,"3:11,4:5,5:2,6:3,7:19,8:7,9:4,10:5,11:12,12:3"
day,71,10,"3:2,4:8,5:4,6:7,7:12,8:12,9:7,10:8,11:6,12:5"
little,71,10,"2:1,3:9,4:9,5:1,6:3,7:21,8:10,10:7,11:8,12:2"
year,71,10,"3:8,4:10,5:8,6:3,7:14,8:6,9:2,10:8,11:9,12:3"
take,69,10,"3:12,4:6,5:7,6:8,7:14,8:5,9:2,10:2,11:10,12:3"
want,59,10,"3:3,4:9,5:4,6:2,7:14,8:6,9:3,10:4,11:13,12:1"
dead,58,11,"3:4,4:8,5:8,6:5,7:11,8:7,9:2,10:4,11:7,12:1,13:1"
