word,total_count
earthle,7
golliwog,4
dogtag,3
optometry,3
schlachthof,3
weet,3
antitank,2
deedlee,2
delousing,2
doorchime,2
geodesic,2
lumbermill,2
optometer,2
ress,2
stranger'll,2
sweatsock,2
ager,1
airman,1
allen,1
amoretti,1
anagram,1
androgyne,1
anodized,1
aperback,1
architecturally,1
barometric,1
bedenklich,1
beetfield,1
blackbread,1
blutwurst,1
bombenfest,1
boohooing,1
brainlessly,1
breastfeed,1
calmingly,1
clatteringly,1
clogs,1
clonk,1
cookstove,1
covetously,1
crankcase,1
dames'll,1
dashingly,1
deutete,1
drooler,1
dums,1
einen,1
eingerichtet,1
essing,1
estimable,1
explainer,1
exploratorily,1
fabulously,1
faun,1
flappingly,1
frumpish,1
frumpishly,1
fugace,1
german,1
gute,1
halftrack,1
haloed,1
hmmmmmmmmm,1
hooved,1
illy,1
importune,1
iodide,1
jazzing,1
leidigen,1
lethargical,1
leven,1
loveplay,1
lyrically,1
madrigal,1
nach,1
nacreous,1
nazism,1
negligibility,1
obert,1
obstetrician,1
obtaining,1
pitier,1
potche,1
quintuplet,1
rade,1
ratproofe,1
refractive,1
rodomontade,1
roe,1
saltwater,1
saved,1
schon,1
screamingly,1
selectivity,1
semierect,1
shellburst,1
sniffingly,1
snootful,1
soaringly,1
stereophonic,1
sterilized,1
stingingly,1
stunk,1
stylishly,1
suffocatingly,1
suffragette,1
sundrenche,1
telephoner,1
topknot,1
trackside,1
trafficker,1
trifocal,1
unpressed,1
veek,1
vesicle,1
windburned,1
windmille,1
years'll,1
