word,total_count,chapter_count,chapters
tuh,600,22,"4:7,5:7,6:2,7:19,8:12,9:11,10:67,11:94,12:4,13:35,14:16,15:14,16:44,17:40,18:37,19:15,20:5,21:26,22:26,23:33,24:66,25:20"
get,347,23,"4:5,5:4,6:15,7:18,8:11,9:11,10:31,11:55,12:8,13:9,14:4,15:12,16:24,17:15,18:20,19:21,20:1,21:11,22:20,23:10,24:33,25:8,27:1"
come,305,23,"4:5,5:3,6:12,7:19,8:8,9:11,10:26,11:35,12:2,13:12,14:7,15:10,16:10,17:3,18:28,19:11,20:2,21:9,22:11,23:22,24:47,25:9,26:3"
know,286,25,"2:1,4:6,5:4,6:17,7:28,8:10,9:8,10:20,11:38,12:4,13:17,14:8,15:8,16:12,17:9,18:12,19:3,20:4,21:13,22:8,23:12,24:38,25:3,26:2,29:1"
man,234,24,"1:1,4:9,5:6,6:5,7:12,8:1,9:8,10:25,11:33,12:7,13:4,14:9,15:4,16:4,17:8,18:11,19:15,20:1,21:7,22:11,23:20,24:31,25:1,26:1"
time,216,23,"2:1,4:9,5:10,6:9,7:22,8:5,9:5,10:11,11:29,12:6,13:12,14:8,15:8,16:10,17:4,18:12,19:7,20:1,21:9,22:4,23:15,24:17,25:2"
thing,212,24,"1:2,4:2,5:1,6:12,7:11,8:7,9:5,10:23,11:31,12:6,13:11,14:13,15:3,16:5,17:6,18:9,19:3,20:2,21:7,22:5,23:14,24:20,25:9,26:5"
tell,209,23,"4:8,5:6,6:14,7:12,8:4,9:4,10:18,11:33,12:1,13:8,14:1,15:3,16:10,17:3,18:19,19:6,20:2,21:2,22:16,23:2,24:30,25:5,26:2"
go,207,24,"1:2,2:2,4:2,5:3,6:11,7:11,8:3,9:6,10:12,11:22,12:3,13:7,14:7,15:7,16:11,17:8,18:22,19:8,20:3,21:4,22:1,23:21,24:27,25:4"
dat,203,19,"6:10,7:17,8:5,9:7,10:26,11:34,12:4,13:9,14:1,15:5,16:14,17:11,18:6,19:4,21:8,22:8,23:7,24:23,25:4"
look,200,22,"5:3,6:5,7:15,8:6,9:7,10:15,11:23,12:9,13:13,14:3,15:9,16:11,17:7,18:12,19:7,20:1,21:6,22:4,23:10,24:26,25:4,26:4"
wid,194,19,"6:9,7:19,8:5,9:9,10:14,11:24,12:3,13:6,15:3,16:25,17:9,18:13,19:4,20:4,21:13,22:4,23:5,24:20,25:5"
want,185,24,"1:1,4:4,5:2,6:6,7:17,8:7,9:7,10:13,11:22,12:2,13:6,14:6,15:2,16:14,17:9,18:13,19:2,20:2,21:8,22:3,23:5,24:30,25:2,26:2"
woman,166,22,"4:14,5:22,6:6,7:7,8:3,9:1,10:13,11:11,12:7,13:2,14:4,15:3,16:5,17:8,18:11,19:2,20:3,21:9,22:14,23:1,24:12,26:8"
mah,149,22,"4:1,5:1,6:8,7:31,8:2,9:8,10:11,11:15,12:3,13:3,14:2,15:5,16:10,17:1,18:16,19:1,20:4,21:6,22:7,23:6,24:6,25:2"
way,147,23,"4:5,5:2,6:7,7:9,8:9,9:4,10:19,11:17,12:2,13:8,14:3,15:2,16:4,17:7,18:6,19:4,20:1,21:4,22:8,23:7,24:14,25:2,26:3"
right,143,23,"4:1,5:1,6:4,7:5,8:2,9:2,10:19,11:22,12:2,13:4,14:1,15:7,16:11,17:2,18:8,19:5,21:1,22:9,23:7,24:23,25:2,26:2,29:3"
day,138,24,"1:2,4:3,5:1,6:3,7:10,8:7,9:4,10:12,11:10,12:4,13:2,14:2,15:4,16:6,17:5,18:13,19:15,20:3,21:1,22:4,23:8,24:13,25:3,26:3"
think,135,23,"4:3,5:3,6:6,7:6,8:4,9:5,10:12,11:15,12:5,13:10,14:1,15:2,16:10,17:6,18:7,19:5,20:2,21:2,22:2,23:4,24:14,25:6,26:5"
ai,130,20,"6:7,7:10,8:3,9:3,10:11,11:15,12:9,13:5,14:2,15:5,16:6,17:17,18:4,19:3,20:2,21:2,22:10,23:3,24:10,25:3"
say,126,23,"1:1,4:1,5:6,6:3,7:6,8:4,9:3,10:16,11:20,12:3,13:4,14:2,15:4,16:7,17:2,18:7,19:5,20:1,21:3,22:2,23:11,24:10,26:5"
good,124,21,"4:2,6:8,7:9,8:1,9:5,10:10,11:9,12:3,13:5,14:1,15:8,16:6,17:3,18:10,19:7,20:2,21:2,22:7,23:8,24:17,25:1"
see,123,21,"1:1,5:2,6:4,7:14,8:1,9:2,10:15,11:14,12:3,13:3,14:5,15:2,16:3,17:1,18:5,19:1,21:2,22:3,23:14,24:26,26:2"
find,122,22,"2:1,4:5,5:8,6:4,7:7,8:1,9:2,10:6,11:11,13:5,14:7,15:2,16:2,18:12,19:1,20:2,21:3,22:3,23:7,24:22,25:2,26:9"
folk,121,21,"3:1,4:1,5:3,6:2,7:6,8:5,9:10,10:16,11:9,12:2,13:1,14:1,15:3,16:5,17:5,18:5,19:2,21:16,22:3,23:6,24:19"
