word,total_count
gointuh,52
lak,37
ah'll,34
skeere,17
keer,15
youse,15
hongry,11
mahself,10
wuzn't,10
atall,9
useter,9
intuh,7
tuhnight,7
dawg,6
jook,6
nuff,5
s'posin,5
aginst,4
astin,4
heben,4
keerful,4
likker,4
overhall,4
p'tater,4
tuhday,4
combin,3
figgere,3
onliest,3
tuhgether,3
tuhmorrow,3
accordin,2
aimin,2
boogerboo,2
boogerman,2
buryin,2
cawn,2
ceptin,2
compellment,2
consolate,2
dawgs,2
diasticutis,2
eed,2
friende,2
gran'chillun,2
gravemarker,2
gripin,2
gwine,2
hawg,2
knockin,2
learnin,2
meriny,2
monstropolous,2
orality,2
plantin,2
pompe,2
prizewinne,2
prowlin,2
rawbony,2
skeered,2
strainin,2
subjick,2
talkers,2
teasin,2
tiniest,2
tromple,2
tuhmorrer,2
umph,2
understandin,2
usin,2
wrassle,2
you'se,2
aggravatin,1
ahaman,1
alumnae,1
ather,1
backbiter,1
bander,1
barkin,1
beatyuh,1
beddin,1
beglamore,1
belov,1
betta,1
bettah,1
blessin,1
blige,1
boilin,1
boomin,1
bowin,1
calyx,1
calyxe,1
cannily,1
canonization,1
chastisin,1
chawnce,1
chear,1
chessy,1
christi,1
cityfied,1
cleanin,1
clownin,1
coachman,1
colleck,1
compermise,1
contested,1
coondick,1
courtin,1
cuffin,1
cutinary,1
deferred,1
delimit,1
devilin,1
disa,1
disengaged,1
disfavorite,1
dishevelment,1
dishpan,1
disincourage,1
doctah,1
doodly,1
dudgeon,1
dumpin,1
duskin,1
eale,1
earoplane,1
emancipation,1
extendin,1
ez,1
fairer,1
faultfinding,1
fflicte,1
figgure,1
fillin,1
flommuck,1
folkish,1
freezolity,1
further'n,1
furthermo,1
g'bye,1
gahn,1
gainin,1
gentlemanfie,1
ginerally,1
ginst,1
gloaty,1
grabbin,1
grandmama,1
griot,1
guidin,1
handin,1
handksher,1
hatin,1
hawgs,1
hawse,1
headrag,1
heere,1
hightoned,1
hisn,1
hissef,1
hoodoo,1
huuh,1
inseck,1
inspirit,1
interiority,1
justifiable,1
kerflommuck,1
killick,1
kissed,1
kivver,1
ladin,1
lamplighting,1
landin,1
lias,1
linking,1
lipted,1
lonesomenes,1
lowin,1
markin,1
masquerader,1
miration,1
mislove,1
modernism,1
moufy,1
muckty,1
multiplied,1
nailin,1
neb,1
negroness,1
ninchy,1
nonblack,1
nonwriter,1
nuanced,1
ora,1
oversport,1
pacifyin,1
palma,1
peepin,1
pennilessness,1
pharaohs,1
pleasurin,1
pledger,1
poisonin,1
pollinate,1
poorness,1
poutin,1
proagin,1
protolapsis,1
puhtectin,1
questionizin,1
rootwork,1
ruint,1
sankle,1
sayso,1
scorchy,1
scufflin,1
selve,1
seraph,1
shamery,1
shonough,1
skullhead,1
sleeveholder,1
slouchy,1
spitefulness,1
splittin,1
sportin,1
sposed,1
spuddin,1
ssociatin,1
ssociation,1
stirrin,1
stolidness,1
strack,1
straighthaire,1
suppressed,1
swimmin,1
synecdoche,1
tell'em,1
tendin,1
teppentine,1
tereckly,1
tetch,1
thanky,1
tomatuhs,1
totin,1
tradin,1
treasurin,1
turn't,1
turnt,1
twudn't,1
uhlikin,1
uhnother,1
uhround,1
undergird,1
undiminishe,1
unhhunh,1
unreconcile,1
unstructured,1
usetuh,1
uuh,1
verglade,1
vibrantly,1
waggin,1
we'se,1
whippin,1
widowhood,1
womanist,1
worshippin,1
wringing,1
wrongside,1
wroppe,1
wusn't,1
zen,1
zigaboo,1
