word,total_count,chapter_count,chapters
say,1191,27,"1:65,2:57,3:46,4:46,5:22,6:51,7:65,8:32,9:33,10:39,11:16,12:58,13:72,14:51,15:55,16:27,17:62,18:28,19:43,20:72,21:40,22:23,23:27,24:50,25:37,26:49,27:25"
go,353,27,"1:19,2:10,3:12,4:11,5:14,6:24,7:23,8:17,9:12,10:5,11:2,12:10,13:23,14:11,15:9,16:3,17:16,18:9,19:20,20:21,21:10,22:5,23:15,24:16,25:13,26:11,27:12"
know,347,27,"1:16,2:16,3:12,4:15,5:10,6:4,7:20,8:12,9:10,10:10,11:10,12:8,13:22,14:9,15:22,16:10,17:17,18:11,19:9,20:23,21:10,22:9,23:15,24:17,25:17,26:9,27:4"
look,332,27,"1:13,2:25,3:13,4:13,5:7,6:17,7:11,8:10,9:6,10:17,11:4,12:20,13:15,14:11,15:15,16:7,17:11,18:7,19:17,20:19,21:11,22:10,23:11,24:11,25:19,26:6,27:6"
come,320,27,"1:26,2:10,3:12,4:13,5:4,6:12,7:19,8:8,9:8,10:14,11:4,12:3,13:19,14:11,15:20,16:10,17:6,18:5,19:10,20:25,21:13,22:6,23:8,24:22,25:13,26:9,27:10"
think,290,27,"1:14,2:13,3:7,4:8,5:2,6:10,7:12,8:17,9:8,10:2,11:5,12:15,13:13,14:7,15:10,16:11,17:16,18:9,19:14,20:33,21:14,22:5,23:6,24:13,25:13,26:7,27:6"
tell,273,27,"1:13,2:9,3:6,4:10,5:9,6:5,7:23,8:16,9:7,10:16,11:3,12:4,13:19,14:10,15:6,16:5,17:11,18:2,19:17,20:20,21:15,22:13,23:9,24:12,25:6,26:6,27:1"
time,236,27,"1:23,2:5,3:10,4:8,5:3,6:12,7:12,8:10,9:5,10:8,11:5,12:6,13:9,14:12,15:4,16:4,17:14,18:10,19:4,20:10,21:9,22:6,23:10,24:13,25:11,26:9,27:4"
man,224,25,"1:4,2:14,3:6,5:1,6:23,7:8,8:5,9:2,10:5,11:26,12:8,13:8,14:5,15:13,16:5,17:31,19:7,20:17,21:5,22:3,23:2,24:6,25:15,26:4,27:1"
get,216,27,"1:5,2:8,3:11,4:8,5:4,6:10,7:12,8:12,9:2,10:15,11:3,12:6,13:9,14:11,15:8,16:3,17:10,18:3,19:12,20:14,21:8,22:4,23:7,24:7,25:12,26:7,27:5"
ask,213,27,"1:2,2:9,3:10,4:6,5:8,6:7,7:19,8:8,9:6,10:17,11:1,12:17,13:7,14:13,15:10,16:5,17:10,18:6,19:5,20:10,21:3,22:11,23:4,24:8,25:1,26:8,27:2"
way,200,27,"1:11,2:6,3:9,4:3,5:4,6:4,7:5,8:9,9:3,10:4,11:7,12:4,13:9,14:16,15:10,16:10,17:3,18:5,19:9,20:11,21:4,22:6,23:4,24:6,25:17,26:15,27:6"
hear,187,27,"1:8,2:6,3:6,4:4,5:1,6:8,7:14,8:13,9:4,10:4,11:2,12:11,13:8,14:6,15:2,16:6,17:2,18:6,19:11,20:24,21:4,22:2,23:6,24:6,25:4,26:3,27:16"
thing,185,27,"1:9,2:6,3:4,4:7,5:7,6:4,7:9,8:8,9:6,10:5,11:4,12:3,13:14,14:4,15:8,16:13,17:9,18:7,19:10,20:13,21:5,22:4,23:3,24:6,25:8,26:8,27:1"
