word,total_count
chiffarobe,11
entailment,8
cootie,4
fishpool,4
lawe,4
scuppernong,4
butterbean,3
carhouse,3
fittin,3
wadn't,3
calpurnia,2
cheatin,2
hookworm,2
linotype,2
morphodite,2
redbug,2
ss,2
watchpocket,2
wheek,2
yessum,2
a'comin,1
a'stande,1
alist,1
ambidextrous,1
another'n,1
atticus'd,1
badder'n,1
bammin,1
baptistry,1
behavin,1
bettin,1
booksack,1
bovine,1
breastwork,1
brushbroom,1
burgle,1
c'n,1
cal'd,1
castile,1
catawba,1
cecil,1
champertous,1
characterture,1
charlotte,1
chewer,1
churchtime,1
constructionist,1
corncrib,1
cottonseed,1
could'a,1
crepey,1
crokersack,1
cups'n,1
cured,1
cussin,1
defendin,1
departeth,1
devaluin,1
devilry,1
dicta,1
distangled,1
dooing,1
dubose,1
duckfluff,1
dunkey,1
dyou,1
earworm,1
enarmored,1
endin,1
expectin,1
eyetooth,1
fanning,1
fence'll,1
fishingpole,1
floursack,1
folks'n,1
folks've,1
fought'n'hollere,1
fraid,1
funnier'n,1
g'on,1
good'n,1
govamint'd,1
guestroom,1
habiliment,1
hairdressing,1
hankerin,1
here're,1
hided,1
hidy,1
hipped,1
hollered'n'kicked'n'fought,1
hotheadedness,1
illicitly,1
impressionistic,1
includin,1
irrelevant'n'immaterial,1
jee,1
juryman,1
kind'd,1
ladies'd,1
landholder,1
lavation,1
leadin,1
lineament,1
little'un,1
lovelier,1
luncher,1
m'load,1
m'shoe,1
ma'amin,1
martin,1
maycomb,1
me'd,1
minetti,1
misfigure,1
mockin,1
monosyllabic,1
nigger'd,1
nightbug,1
o'kindlin,1
o'my,1
o'trouble,1
oversteppin,1
palliation,1
pantin,1
passe,1
patchworke,1
peachtree,1
philippic,1
picknicker,1
pizene,1
plants'll,1
postoffice,1
prosecutin,1
provocate,1
psychical,1
qua,1
rainin,1
reachin,1
remarkin,1
ringworm,1
rk,1
rustlin,1
sandbed,1
scout'd,1
sewin,1
shamin,1
skeetere,1
smilax,1
smockin,1
squallin,1
starchiness,1
stumphole,1
sturbe,1
sunscorche,1
suspendere,1
swept,1
teacherless,1
tention,1
testifyin,1
thing'll,1
thunderer,1
toadfrog,1
tollable,1
tomorrow'll,1
tootin,1
tormenter,1
touchous,1
tuggin,1
tusslin,1
twitchin,1
unacknowledge,1
unceiled,1
undelectable,1
uninitiate,1
unlighte,1
unoffensive,1
unrouged,1
unwindin,1
who'da,1
witness'll,1
workbasket,1
yappy,1
