word,total_count,chapter_count,chapters
look,58,5,"6:19,7:15,8:11,9:10,10:3"
boy,54,3,"6:36,7:16,8:2"
come,54,5,"6:23,7:12,8:11,9:2,10:6"
say,49,5,"6:21,7:4,8:18,9:2,10:4"
man,47,5,"6:19,7:5,8:17,9:2,10:4"
know,44,5,"6:16,7:6,8:16,9:2,10:4"
bread,37,3,"6:24,8:2,10:11"
go,37,5,"6:16,7:7,8:9,9:4,10:1"
little,37,4,"6:16,7:15,8:4,10:2"
old,36,4,"6:22,7:4,8:1,10:9"
time,36,5,"6:14,7:9,8:8,9:1,10:4"
book,34,2,"7:33,8:1"
way,32,4,"6:19,7:6,8:6,9:1"
get,31,5,"6:14,7:4,8:11,9:1,10:1"
think,31,4,"6:15,7:7,8:6,9:3"
girl,29,5,"6:16,7:9,8:2,9:1,10:1"
good,29,5,"6:6,7:7,8:8,9:3,10:5"
child,28,5,"6:10,7:4,8:9,9:1,10:4"
penny,28,3,"6:18,8:2,10:8"
day,27,4,"6:10,7:7,8:4,10:6"
work,27,5,"6:5,7:2,8:11,9:6,10:3"
big,26,4,"6:16,7:4,8:3,10:3"
away,23,4,"6:7,7:9,8:6,10:1"
buy,23,4,"6:14,7:2,8:1,10:6"
horse,23,2,"7:20,8:3"
see,23,4,"6:11,7:8,8:3,9:1"
stand,23,4,"6:11,7:7,8:4,9:1"
home,22,5,"6:10,7:5,8:3,9:1,10:3"
run,22,4,"6:9,7:8,8:4,10:1"
want,22,4,"6:6,7:5,8:9,10:2"
people,21,5,"6:11,7:5,8:2,9:1,10:2"
read,21,4,"6:1,7:18,8:1,10:1"
tell,21,5,"6:9,7:2,8:4,9:4,10:2"
give,20,4,"6:11,7:3,8:5,10:1"
long,20,5,"6:5,7:3,8:4,9:3,10:5"
mother,20,3,"6:6,8:10,9:4"
thing,20,5,"6:10,7:1,8:2,9:2,10:5"
cent,19,4,"6:15,7:2,8:1,9:1"
love,19,4,"6:3,7:1,8:12,10:3"
store,18,4,"6:12,7:1,8:1,10:4"
wait,18,4,"6:10,7:3,8:4,9:1"
wear,18,4,"6:6,8:6,9:4,10:2"
take,17,4,"6:9,7:4,8:3,9:1"
walk,17,3,"6:13,7:1,8:3"
white,17,4,"6:5,7:8,8:2,10:2"
coffee,16,3,"6:12,8:2,10:2"
iron,16,3,"6:3,7:2,8:11"
small,16,3,"6:7,7:8,10:1"
smell,16,3,"6:10,7:4,8:2"
wonderful,16,5,"6:8,7:4,8:2,9:1,10:1"
eye,15,4,"6:7,7:4,9:1,10:3"
father,15,2,"7:1,8:14"
feel,15,5,"6:10,7:2,8:1,9:1,10:1"
money,15,4,"6:8,7:2,8:4,10:1"
street,15,2,"6:12,7:3"
throw,15,5,"6:6,7:2,8:4,9:1,10:2"
week,15,5,"6:3,7:6,8:2,9:3,10:1"
bag,14,2,"6:13,7:1"
black,14,5,"6:5,7:1,8:3,9:2,10:3"
kid,14,5,"6:9,7:1,8:2,9:1,10:1"
like,14,4,"6:5,7:5,8:3,10:1"
open,14,4,"6:8,7:4,8:1,9:1"
paper,14,3,"6:7,8:5,10:2"
push,14,2,"6:9,7:5"
sit,14,5,"6:8,7:2,8:1,9:2,10:1"
talk,14,5,"6:2,7:3,8:7,9:1,10:1"
clean,13,3,"6:4,7:2,8:7"
fine,13,4,"6:6,7:3,8:2,10:2"
life,13,5,"6:4,7:4,8:2,9:2,10:1"
pick,13,3,"6:9,7:3,8:1"
right,13,4,"6:7,8:1,9:4,10:1"
start,13,3,"6:6,7:3,8:4"
wagon,13,3,"6:3,7:9,8:1"
watch,13,2,"6:9,7:4"
window,13,3,"6:6,7:5,8:2"
baby,12,3,"6:10,7:1,8:1"
costume,12,1,9:12
hot,12,5,"6:3,7:1,8:2,9:1,10:5"
nickel,12,2,"6:10,8:2"
night,12,4,"6:1,7:3,8:4,9:4"
thin,12,4,"6:3,7:2,8:5,10:2"
tree,12,2,"6:9,7:3"
turn,12,4,"6:7,7:1,8:3,9:1"
water,12,4,"6:3,7:4,9:1,10:4"
woman,12,3,"6:6,7:3,8:3"
world,12,3,"6:8,7:3,10:1"
afternoon,11,3,"6:7,7:3,8:1"
arm,11,4,"6:4,7:2,8:1,9:4"
brown,11,3,"6:2,7:5,10:4"
candy,11,4,"6:5,7:2,8:1,10:3"
cup,11,4,"6:6,8:2,9:1,10:2"
door,11,4,"6:5,7:4,8:1,9:1"
eat,11,4,"6:6,7:1,8:1,10:3"
end,11,3,"6:7,7:2,10:2"
green,11,5,"6:5,7:3,8:1,9:1,10:1"
grow,11,3,"6:7,7:2,9:2"
hair,11,3,"6:7,8:2,10:2"
hand,11,5,"6:6,7:1,8:2,9:1,10:1"
head,11,4,"6:4,7:4,8:2,9:1"
hear,11,4,"6:5,7:3,8:2,10:1"
hold,11,3,"6:3,7:3,8:5"
job,11,3,"6:1,8:9,9:1"
