word,total_count,chapter_count,chapters
chip,426,24,"5:2,11:43,12:4,14:8,15:8,16:12,18:22,20:10,21:24,22:5,23:29,24:4,27:9,28:27,31:9,34:10,35:12,36:26,37:24,38:1,39:4,40:8,42:63,44:62"
know,294,30,"3:2,7:6,8:2,9:2,10:18,11:25,12:24,14:4,15:18,16:2,18:6,20:4,21:8,22:8,23:6,24:2,25:2,28:18,31:4,34:2,35:8,36:16,37:8,39:3,40:7,42:48,43:4,44:33,46:1,47:3"
time,177,37,"3:3,5:1,7:4,8:4,9:4,10:6,11:13,12:9,13:1,14:1,15:3,18:11,21:1,22:13,23:3,24:1,25:2,26:1,27:4,28:1,29:13,30:3,31:6,33:1,34:1,35:4,36:8,37:5,38:3,39:2,40:2,42:18,43:8,44:12,45:1,46:2,47:2"
go,176,26,"3:2,5:4,7:2,10:2,11:10,12:7,15:5,18:6,19:1,20:5,21:9,22:13,23:6,28:9,29:5,35:5,36:10,37:6,38:1,39:2,40:8,42:14,43:10,44:25,46:6,47:3"
think,162,24,"3:4,5:1,7:10,10:11,11:6,12:13,14:2,15:4,16:4,21:2,22:8,23:6,24:2,28:6,29:2,35:6,36:4,37:4,39:2,40:14,42:24,43:2,44:21,47:4"
look,147,27,"3:1,5:2,7:1,9:2,10:1,11:8,12:5,14:7,15:12,18:2,20:2,22:4,24:1,27:2,28:28,29:1,30:1,31:10,35:2,36:13,37:2,39:2,40:2,42:22,43:1,44:12,46:1"
come,132,22,"3:1,7:7,10:11,11:6,12:1,15:10,16:4,18:2,20:4,22:4,28:9,29:4,31:10,36:8,37:6,38:1,39:5,40:2,42:9,43:5,44:22,45:1"
want,131,19,"5:2,7:6,10:12,11:14,12:5,15:8,16:4,18:2,20:3,21:2,22:6,23:6,28:4,31:4,36:4,40:2,42:24,44:22,47:1"
tell,124,21,"3:1,9:1,10:12,11:4,12:6,15:6,21:2,22:1,24:5,25:4,28:16,31:2,32:2,35:4,36:24,37:10,39:2,42:13,43:2,44:4,46:3"
get,118,22,"3:1,10:7,11:9,12:7,15:2,16:2,20:2,21:8,22:3,23:3,25:2,27:2,28:5,29:2,30:1,31:6,34:2,37:2,40:6,42:31,43:4,44:11"
right,103,25,"2:1,5:1,10:2,11:10,12:5,15:2,16:2,18:2,20:2,21:2,23:8,28:9,30:1,31:3,34:4,36:2,37:4,39:2,40:4,41:1,42:24,43:2,44:7,46:2,47:1"
room,102,16,"5:2,11:4,12:1,18:2,21:8,22:9,23:7,28:23,29:1,34:3,36:2,37:3,40:2,42:28,44:6,45:1"
mean,100,18,"8:2,9:2,10:4,11:8,12:1,14:4,15:18,21:6,22:14,28:2,31:4,35:4,36:6,37:4,40:4,41:2,42:11,44:4"
old,99,25,"6:1,7:4,8:4,9:3,10:2,11:7,12:4,14:1,15:3,18:4,20:4,21:3,22:2,28:7,29:7,30:3,31:2,34:2,36:7,37:4,38:2,39:4,40:2,42:5,44:12"
man,98,25,"3:1,5:8,7:1,8:6,10:5,11:4,14:2,15:3,16:4,22:8,23:3,25:1,28:24,29:4,31:3,34:4,35:3,36:4,37:1,39:1,40:2,42:2,43:1,44:1,47:2"
life,92,22,"6:1,7:3,9:1,10:2,11:7,15:1,16:2,18:4,21:2,22:2,28:5,29:2,35:2,36:4,37:3,39:1,40:1,42:23,43:4,44:14,46:2,47:6"
way,92,20,"3:2,8:1,11:6,12:9,14:2,15:4,21:2,22:3,23:6,24:1,28:13,31:6,35:1,36:3,37:6,40:1,41:1,42:17,44:7,47:1"
door,88,18,"6:1,7:3,9:1,10:4,11:11,12:3,15:1,19:2,20:3,22:4,23:2,28:13,29:1,30:2,31:8,42:14,43:1,44:14"
try,88,17,"7:2,10:3,11:4,21:4,22:6,23:4,28:9,30:1,31:2,36:4,37:7,39:2,40:4,42:20,43:2,44:12,47:2"
money,87,18,"6:1,10:4,11:5,12:2,18:2,20:4,21:8,22:19,23:14,24:3,25:4,28:2,31:9,34:2,37:2,40:2,44:2,46:2"
say,87,19,"3:1,5:3,11:9,15:10,22:2,23:2,24:1,27:4,28:1,29:6,31:1,35:4,36:14,37:1,39:1,42:5,43:6,44:14,47:2"
thing,86,18,"3:5,10:10,11:8,12:4,16:4,18:2,21:2,22:2,23:2,28:12,29:6,35:4,36:2,37:4,42:4,43:6,44:4,47:5"
voice,82,13,"8:1,10:14,11:5,14:1,15:13,22:6,23:3,28:2,34:4,37:2,41:6,42:1,44:24"
hear,81,27,"5:3,7:6,8:1,10:12,11:1,13:1,14:2,15:2,16:3,21:2,22:6,23:4,24:1,26:1,28:6,30:3,34:2,35:2,37:4,39:3,40:1,42:1,43:3,44:7,45:1,46:2,47:1"
work,80,16,"5:1,10:1,11:9,12:12,15:2,18:2,22:4,23:2,28:5,30:1,37:6,40:2,42:20,44:3,46:1,47:9"
dead,75,16,"5:2,8:1,9:2,10:1,11:2,16:4,18:10,21:4,22:4,27:8,28:5,34:2,36:10,39:2,42:12,44:6"
long,73,22,"5:1,6:1,9:5,10:3,11:1,12:2,15:2,21:2,22:4,25:2,27:3,28:2,29:2,32:3,35:2,37:3,41:2,42:8,43:3,44:20,45:1,47:1"
hand,72,18,"3:1,8:2,9:1,10:1,11:5,12:2,14:2,16:2,20:2,21:2,22:3,25:2,36:13,37:8,40:5,42:6,44:13,47:2"
open,71,18,"5:1,9:3,10:3,11:8,19:1,20:3,22:3,23:1,24:6,25:1,26:1,28:8,31:1,36:4,39:1,42:7,43:2,44:17"
read,71,24,"3:1,5:2,7:1,8:1,10:4,11:8,12:9,13:1,18:1,22:11,23:1,24:1,26:1,28:4,29:4,31:2,34:1,36:1,37:4,39:4,42:6,44:1,46:1,47:1"
people,70,22,"5:2,6:4,8:2,9:3,10:3,11:4,12:6,15:2,16:2,20:2,21:4,22:2,23:2,24:1,28:1,34:1,35:2,37:2,42:7,43:6,44:10,47:2"
half,69,14,"7:3,9:3,10:5,18:10,22:2,28:6,29:2,35:2,37:1,40:1,42:14,43:6,44:13,45:1"
see,67,21,"7:1,8:2,10:5,11:7,15:3,18:1,21:5,23:1,24:1,25:2,27:2,28:1,34:1,36:7,37:2,38:1,39:3,40:1,42:6,44:13,45:2"
place,66,25,"7:2,9:3,10:5,11:2,12:2,14:1,15:2,18:8,19:1,20:2,23:2,24:1,28:4,29:2,31:4,36:4,37:3,39:1,40:2,42:4,43:4,44:3,45:1,46:2,47:1"
talk,66,17,"8:2,9:2,10:14,12:6,15:11,16:2,18:2,20:1,21:4,22:2,23:4,24:1,28:1,42:5,43:4,44:4,46:1"
cold,65,20,"7:1,8:1,9:1,10:3,12:11,16:5,18:3,19:1,20:4,21:4,22:4,24:1,28:3,35:2,36:2,42:10,43:2,44:5,45:1,47:1"
find,65,22,"3:1,5:2,7:1,8:3,9:2,11:2,15:2,20:2,21:4,23:4,24:6,25:2,28:8,29:1,31:2,34:2,37:3,39:2,42:6,43:2,44:6,47:2"
hold,65,20,"5:2,7:2,10:3,11:5,15:3,18:2,19:1,21:1,22:1,23:3,24:1,28:3,31:3,32:2,34:8,39:3,40:1,42:8,44:8,47:5"
happen,64,16,"3:2,9:1,10:3,12:2,20:4,22:2,23:4,28:6,34:2,36:8,37:6,40:8,42:10,44:4,46:1,47:1"
hotel,64,7,"21:10,22:7,23:11,36:4,40:5,42:14,44:13"
let,64,18,"9:2,10:5,11:2,15:8,18:2,20:4,21:2,22:2,23:2,24:3,28:2,29:1,31:4,37:4,39:1,42:6,43:2,44:12"
coin,63,12,"11:9,15:7,21:13,22:12,23:2,24:2,29:1,34:4,37:2,43:2,44:2,46:7"
face,63,21,"5:3,6:2,9:3,10:6,11:2,12:3,14:2,15:3,18:1,20:1,21:2,22:5,23:1,28:6,31:3,36:2,37:2,40:2,42:3,44:9,47:2"
