word,total_count
herbert,48
spraycan,27
poscre,19
matchfolder,16
precog,16
mick,14
wirt,14
synch,13
dorn,12
lifer,11
protophason,11
ashwood,10
pac,9
aposto,7
runciter,7
curvi,6
interplanetarily,4
interwire,4
ketosis,4
microdot,4
nullifie,4
reclusive,4
wayle,4
acetyl,2
aminophenol,2
archane,2
ascorbic,2
cerebration,2
collapsed,2
cortisone,2
cutpurse,2
deformation,2
digitali,2
encephalogram,2
enervation,2
exeunt,2
flown,2
francy,2
frowningly,2
germicidal,2
gloonk,2
gratuity,2
grau,2
groundlevel,2
gumflapping,2
handthreade,2
homosimulacric,2
impregnation,2
inflammable,2
interoffice,2
juiceless,2
longline,2
lots,2
mapboard,2
maturely,2
minitude,2
mude,2
nosily,2
numismatical,2
offbrand,2
phonocode,2
problems,2
protophasic,2
psis,2
quarreling,2
recalled,2
revamping,2
schoenheit,2
siegfried,2
stinkpit,2
submolecular,2
superimposition,2
symptomatic,2
tastebud,2
teaspoonful,2
thalamus,2
tosses,2
transduction,2
trimotor,2
ubik,2
ubiks,2
ubique,2
worlds,2
aphrodite,1
auteur,1
beethoven,1
buckingly,1
contractually,1
crosstalk,1
distendedly,1
earbreake,1
easychair,1
edi,1
eisenglas,1
elixer,1
ergic,1
fogging,1
gummer,1
hardpresse,1
heolithic,1
highspeed,1
holography,1
hovership,1
hovertruck,1
hydraulically,1
joltingly,1
khz,1
laceless,1
leafs,1
masterwork,1
modernesque,1
multichambered,1
optione,1
paperwasp,1
parenthetical,1
perambulate,1
photographed,1
popup,1
prolongedly,1
punchcard,1
redial,1
refold,1
regressive,1
representationalism,1
schmucko,1
serendipitous,1
shittiness,1
skywriting,1
splittingly,1
substructure,1
tinkly,1
totteringly,1
transactional,1
transversal,1
tropism,1
turkish,1
unanticipated,1
unchangingness,1
undefrosted,1
unglimpse,1
unwinkingly,1
videophone,1
vitiated,1
windsock,1
