word,total_count,chapter_count,chapters
say,564,18,"4:34,5:40,6:19,8:7,9:25,10:21,11:17,12:44,13:6,14:9,15:17,16:30,17:9,18:61,20:26,21:54,22:65,23:80"
look,324,22,"0:1,1:1,4:17,5:19,6:33,8:1,9:6,10:7,11:15,12:46,13:1,14:4,15:5,16:9,17:2,18:39,20:36,21:27,22:27,23:26,24:1,25:1"
feel,248,18,"4:26,5:22,6:5,8:2,9:9,10:4,11:7,12:16,13:2,14:2,15:5,16:5,17:8,18:21,20:28,21:23,22:35,23:28"
know,228,19,"4:12,5:15,6:24,8:2,9:8,10:6,11:8,12:15,13:7,14:5,15:2,16:5,17:7,18:18,20:14,21:33,22:13,23:32,24:2"
go,215,17,"4:10,5:13,6:61,8:3,9:1,10:4,11:5,12:16,13:4,14:6,15:8,16:12,17:4,18:18,21:18,22:17,23:15"
eye,168,17,"4:11,5:11,6:22,8:3,9:6,10:3,11:12,12:13,13:2,14:3,16:6,17:4,18:23,20:6,21:11,22:13,23:19"
time,161,18,"4:5,5:15,6:18,9:4,10:5,11:10,12:12,13:1,14:1,15:4,16:5,17:4,18:15,20:17,21:7,22:16,23:21,24:1"
think,160,17,"4:6,5:10,6:17,8:2,9:3,10:7,11:3,12:23,14:3,15:4,16:4,17:1,18:12,20:12,21:15,22:17,23:21"
come,152,18,"4:8,5:6,6:27,8:1,9:7,10:3,11:9,12:18,13:2,14:2,15:8,16:2,17:2,18:19,20:8,21:10,22:9,23:11"
dolly,141,1,18:141
face,141,16,"4:5,5:16,6:13,8:1,9:6,10:1,11:5,12:7,15:3,16:1,17:1,18:11,20:16,21:13,22:19,23:23"
year,141,20,"3:2,4:9,5:24,6:5,8:5,9:9,10:4,11:5,12:2,13:2,14:4,15:6,16:3,17:1,18:10,20:10,21:8,22:11,23:20,24:1"
ask,140,17,"4:10,5:13,6:7,8:2,9:9,10:5,11:4,12:8,14:2,15:8,16:7,17:1,18:13,20:16,21:10,22:9,23:16"
take,139,17,"4:17,5:15,6:8,9:4,10:3,11:3,12:8,13:1,14:2,15:3,16:3,17:4,18:28,20:8,21:10,22:11,23:11"
want,136,17,"4:6,5:10,6:6,8:2,9:6,10:4,11:3,12:11,14:2,15:2,16:12,17:3,18:15,20:15,21:20,22:9,23:10"
way,127,18,"4:11,5:8,6:6,8:1,9:6,10:4,11:1,12:11,13:1,14:1,15:3,16:1,17:3,18:6,20:24,21:15,22:11,23:14"
long,119,16,"3:2,4:5,5:4,6:10,9:2,10:7,11:8,12:8,15:2,16:2,17:4,18:9,20:12,21:11,22:16,23:17"
people,112,17,"3:2,4:10,5:4,6:12,8:1,9:1,10:3,11:4,12:5,14:4,15:1,17:1,18:13,20:14,21:10,22:3,23:24"
old,111,19,"4:8,5:9,6:6,8:3,9:8,10:4,11:17,12:3,13:1,14:2,15:2,16:5,17:1,18:6,20:7,21:7,22:5,23:16,26:1"
hand,110,18,"4:10,5:8,6:4,8:1,9:5,10:3,11:5,12:7,13:1,14:2,15:2,16:4,17:1,18:18,20:13,21:9,22:7,23:10"
find,108,19,"3:2,4:7,5:9,6:4,8:1,9:4,10:5,11:6,12:4,13:1,14:1,15:2,16:3,17:1,18:13,20:4,21:9,22:14,23:18"
head,105,18,"4:10,5:6,6:8,8:1,9:3,10:3,11:6,12:5,13:1,14:2,15:1,16:2,17:1,18:14,20:10,21:17,22:8,23:7"
leave,104,18,"4:12,5:5,6:7,8:2,9:4,10:3,11:3,12:9,13:2,14:1,15:2,16:4,17:3,18:7,20:2,21:15,22:12,23:11"
day,103,18,"4:3,5:5,6:10,8:3,9:3,10:3,11:8,12:14,13:2,14:1,15:3,16:3,17:4,18:6,20:11,21:6,22:7,23:11"
hair,101,17,"4:3,5:10,6:14,9:3,10:5,11:2,12:7,13:3,14:1,15:1,16:1,17:1,18:8,20:12,21:9,22:12,23:9"
turn,100,15,"4:10,5:8,6:10,9:5,10:4,11:5,12:9,15:5,16:3,17:1,18:10,20:10,21:9,22:7,23:4"
see,99,16,"4:13,5:7,6:10,9:7,10:1,11:2,12:11,13:1,15:1,16:1,17:1,18:14,20:7,21:6,22:10,23:7"
tell,99,16,"4:13,5:7,6:16,9:7,10:3,11:4,12:8,13:1,14:1,15:1,16:4,18:8,20:5,21:13,22:1,23:7"
hear,98,16,"4:5,5:7,6:7,8:4,9:5,10:1,11:2,12:8,14:1,16:4,17:3,18:11,20:2,21:12,22:6,23:20"
away,97,17,"4:4,5:5,6:7,8:5,9:4,10:2,11:1,12:7,14:1,15:1,16:2,17:3,18:11,20:5,21:13,22:15,23:11"
try,97,16,"4:6,5:8,6:14,8:1,9:1,10:1,11:7,12:2,15:1,16:4,17:1,18:14,20:8,21:8,22:7,23:14"
get,95,17,"4:5,5:11,6:9,9:2,10:2,11:3,12:9,13:3,15:4,16:5,17:4,18:6,20:4,21:17,22:4,23:6,24:1"
room,93,15,"4:7,5:7,6:15,9:6,10:4,11:6,12:7,13:1,15:2,16:3,18:7,20:2,21:7,22:16,23:3"
open,91,16,"2:1,4:8,5:8,6:7,8:1,9:7,10:2,11:3,12:6,16:2,17:2,18:8,20:8,21:7,22:11,23:10"
thing,86,15,"4:17,5:11,6:8,8:2,9:1,10:1,11:4,12:8,16:2,17:2,18:6,20:6,21:6,22:3,23:9"
general,85,3,"8:1,18:82,20:2"
girl,81,14,"4:3,5:6,6:9,8:2,10:4,11:4,12:9,13:1,15:1,18:6,20:8,21:7,22:7,23:14"
right,80,17,"4:5,5:10,6:7,8:2,9:1,10:2,12:4,14:4,15:1,16:4,18:4,20:5,21:9,22:7,23:12,24:2,26:1"
