word,total_count
rolph,13
roadie,5
asswipe,4
bonsai,4
cholo,4
cowbell,4
eczematous,4
jule,4
palazzi,4
rossi,4
vibrato,3
babysat,2
badinage,2
blondish,2
commingling,2
corruptibility,2
crandale,2
debouchment,2
druggy,2
effeteness,2
fluorescently,2
hav,2
highlighted,2
martyrish,2
memoirist,2
minibar,2
orangey,2
parrothood,2
quaalude,2
scrofulous,2
stardom,2
sundress,2
t'd,2
thop,2
unlistenable,2
abt,1
activator,1
adaptability,1
aggravation,1
apeshit,1
aphrodisiac,1
backbeat,1
bandmate,1
beanbag,1
biscuity,1
bix,1
blooper,1
boinge,1
borzoi,1
bready,1
brn,1
bummed,1
burrito,1
butiful,1
cabernet,1
calcified,1
chrono,1
clicky,1
coconspirator,1
commuteless,1
concertgoer,1
contextually,1
copyedit,1
coursework,1
crabbed,1
creepazoid,1
crotchless,1
datebook,1
dated,1
deejaye,1
demimonde,1
describable,1
deskless,1
detectiveproof,1
digitization,1
disillusioning,1
dismantler,1
drifty,1
entwined,1
ethnographic,1
excoriation,1
extr,1
extractor,1
faceup,1
fantasized,1
fervid,1
fibrillating,1
flameout,1
foldout,1
frenetically,1
grazingly,1
guardate,1
henna,1
hider,1
honeybunch,1
humanize,1
hypercritical,1
iming,1
immolation,1
implosion,1
indented,1
inelegance,1
interclub,1
invsbl,1
invysbl,1
ionize,1
irrevocability,1
jaundiced,1
juiced,1
kidless,1
kneesock,1
lalema,1
lightheartedly,1
litmus,1
lolli,1
lousier,1
malapropism,1
malty,1
merci,1
miniaturist,1
muddiness,1
namescape,1
narow,1
naughtily,1
niente,1
no,1
nobile,1
nonfamous,1
nyc,1
obliviousness,1
origamis,1
outreach,1
overbleache,1
overhandle,1
overlooked,1
oversolicitous,1
pacifier,1
paperless,1
pastrami,1
personhood,1
pesticide,1
pimpled,1
planty,1
porridgy,1
pos,1
postpiracy,1
preadolescent,1
premarriage,1
preparenthood,1
preresponsibility,1
preverbal,1
puka,1
purism,1
queasines,1
reapply,1
reify,1
remix,1
replug,1
rivery,1
safarigoer,1
salade,1
salmonella,1
scarification,1
scotty,1
sensate,1
shirking,1
sinsemilla,1
slaving,1
slicingly,1
snrack,1
sophistry,1
spangly,1
speedball,1
springing,1
spurs,1
stomachy,1
stratospheric,1
studly,1
sunniness,1
surfing,1
swaybacked,1
tetherball,1
titanium,1
topspin,1
trac,1
triplex,1
tropically,1
ukulele,1
unchewe,1
unlockable,1
unstinte,1
untappe,1
untouristed,1
updraft,1
waffly,1
wheaty,1
wrk,1
ws,1
wyf,1
yolklike,1
