"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Slipping Through My Fingers","ABBA","The Visitors (Deluxe Edition)","","June 1981","2443278","282","38","","https://genius.com/Abba-slipping-through-my-fingers-lyrics","396301","Schoolbag in hand, she leaves home in the early morning
Waving goodbye with an absent-minded smile
I watch her go with a surge of that well-known sadness
And I have to sit down for a while

The feeling that I'm losing her forever
And without really entering her world
I'm glad whenever I can share her laughter
That funny little girl

Slipping through my fingers all the time
I try to capture every minute
The feeling in it
Slipping through my fingers all the time
Do I really see what's in her mind?
Each time I think I'm close to knowing
She keeps on growing
Slipping through my fingers all the time

Sleep in our eyes, her and me at the breakfast table
Barely awake, I let precious time go by
Then when she's gone, there's that odd melancholy feeling
And a sense of guilt I can't deny

What happened to the wonderful adventures
The places I had planned for us to go? (Slipping through my fingers all the time)
Well, some of that we did, but most we didn't
And why, I just don't know

Slipping through my fingers all the time
I try to capture every minute
The feeling in it
Slipping through my fingers all the time
Do I really see what's in her mind?
Each time I think I'm close to knowing
She keeps on growing
Slipping through my fingers all the time

Sometimes, I wish that I could freeze the picture
And save it from the funny tricks of time
Slipping through my fingers

Slipping through my fingers all the time
Schoolbag in hand, she leaves home in the early morning
Waving goodbye with an absent-minded smile"
"2","Dancing Queen","ABBA","Thank You for the Music","","August 15, 1976","2291444","214","36","","https://genius.com/Abba-dancing-queen-lyrics","395791","Ooh-ooh, you can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

Friday night and the lights are low
Looking out for a place to go
Mmm, where they play the right music
Getting in the swing
You come to look for a king

Anybody could be that guy
Night is young and the music's high
With a bit of rock music, everything is fine
You're in the mood for a dance
And when you get the chance

You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh, yeah

You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

You're a teaser, you turn 'em on
Leave 'em burning and then you're gone
Looking out for another, anyone will do
You're in the mood for a dance
And when you get the chance

You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh, yeah

You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen
Digging the dancing queen"
"3","Mamma Mia","ABBA","Thank You for the Music","","April 21, 1975","1025067","316","43","","https://genius.com/Abba-mamma-mia-lyrics","396222","I've been cheated by you since I don't know when
So I made up my mind, it must come to an end
Look at me now, will I ever learn?
I don't know how, but I suddenly lose control
There's a fire within my soul

Just one look and I can hear a bell ring
One more look and I forget everything, woah

Mamma mia, here I go again
My, my, how can I resist you?
Mamma mia, does it show again?
My, my, just how much I've missed you
Yes, I've been broken-hearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, now I really know
My, my, I could never let you go

I've been angry and sad about things that you do
I can't count all the times that I've told you we're through
And when you go, when you slam the door
I think you know that you won't be away too long
You know that I'm not that strong

Just one look and I can hear a bell ring
One more look and I forget everything, woah

Mamma mia, here I go again
My, my, how can I resist you?
Mamma mia, does it show again
My, my, just how much I've missed you?
Yes, I've been broken-hearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, even if I say
Bye-bye, leave me now or never
Mamma mia, it's a game we play
""Bye-bye"" doesn't mean forever
Mamma mia, here I go again
My, my, how can I resist you?
Mamma mia, does it show again
My, my, just how much I've missed you?
Yes, I've been broken-hearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, now I really know
My, my, I could never let you go"
"4","Dancing Queen (Live 1986)","ABBA","ABBA Live","","August 18, 1986","729723","220","37","","https://genius.com/Abba-dancing-queen-live-1986-lyrics","4001464","You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

Friday night and the lights are low
Looking out for a place to go
Where they play the right music, getting in the swing
You come to look for a king
Anybody could be that guy
Night is young and the music's high
With a bit of rock music, everything is fine
You're in the mood for a dance
And when you get the chance

You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

You're a teaser, you turn 'em on
Leave 'em burning and then you're gone
Looking out for another, anyone will do
You're in the mood for a dance
And when you get the chance

You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

Digging the dancing queen
Digging the dancing queen
Digging the dancing queen"
"5","The Winner Takes It All","ABBA","Thank You for the Music","","July 21, 1980","665550","330","61","","https://genius.com/Abba-the-winner-takes-it-all-lyrics","396339","I don't wanna talk about things we've gone through
Though it's hurting me, now it's history
I've played all my cards
And that's what you've done, too
Nothing more to say, no more ace to play

The winner takes it all
The loser standing small
Beside the victory
That's her destiny

I was in your arms, thinkin' I belonged there
I figured it made sense building me a fence
Building me a home, thinking I'd be strong there
But I was a fool playing by the rules

The gods may throw a dice
Their minds as cold as ice
And someone way down here
Loses someone dear
The winner takes it all (Takes it all)
The loser has to fall (Has to fall)
It's simple and it's plain (Yes, it's plain)
Why should I complain? (Why complain?)

But tell me, does she kiss like I used to kiss you?
Does it feel the same when she calls your name?
Somewhere deep inside, you must know I miss you
But what can I say? Rules must be obeyed

The judges will decide (
They decide
)
The likes of me abide (
We abide
)
Spectators of the show (
Of the show
)
Always stayin' low (
Staying low
)
The game is on again (
On again
)
A lover or a friend (
Or a friend
)
A big thing or a small (
Big or small
)
The winner takes it all (
Takes it all
)

I don't wanna talk if it makes you feel sad
And I understand, you've come to shake my hand
I apologise if it makes you feel bad
Seeing me so tense, no self-confidence

But you see, the winner takes it all
The winner takes it all

So the winner takes it all
And the loser has to fall
Throw a dice, cold as ice
Way down here, someone dear
Takes it all, has to fall
Yes, it's plain, why complain?"
"6","Chiquitita","ABBA","Thank You for the Music","","January 16, 1979","553760","396","40","","https://genius.com/Abba-chiquitita-lyrics","395764","Chiquitita, tell me what's wrong
You're enchained by your own sorrow
In your eyes, there is no hope for tomorrow
How I hate to see you like this
There is no way you can deny it
I can see that you're oh, so sad, so quiet

Chiquitita, tell me the truth
I'm a shoulder you can cry on
Your best friend, I'm the one you must rely on
You were always sure of yourself
Now I see you've broken a feather (How it hurts to see you cry and how it hurts to see you sad)
I hope we can patch it up together

Chiquitita, you and I know
How the heartaches come and they go and the scars they're leaving
You'll be dancing once again and the pain will end
You will have no time for grieving
Chiquitita, you and I cry
But the sun is still in the sky and shining above you (Even though you cry, the sun is shining in the sky)
Let me hear you sing once more like you did before (So let me hear you sing some more the way you used to do before)
Sing a new song, Chiquitita
Try once more, like you did before
Sing a new song, Chiquitita

So the walls came tumbling down
And your love's a blown out candle
All is gone and it seems too hard to handle
Chiquitita, tell me the truth
There is no way you can deny it
I see that you're oh, so sad, so quiet

Chiquitita, you and I know
How the heartaches come and they go and the scars they're leaving (You and I, we know, how all the heartaches come and go)
You'll be dancing once again and the pain will end (You'll be dancing once again and all the pain you take will end)
You will have no time for grieving
Chiquitita, you and I cry
But the sun is still in the sky and shining above you (Even though you cry, the sun is shining in the sky)
Let me hear you sing once more like you did before (So let me hear you sing some more the way you used to do before)
Sing a new song, Chiquitita
Try once more, like you did before
Sing a new song, Chiquitita

Try once more, like you did before
Sing a new song, Chiquitita"
"7","Happy New Year","ABBA","The Essential Collection","","December 15, 1980","479110","297","47","","https://genius.com/Abba-happy-new-year-lyrics","106054","No more champagne
And the fireworks are through
Here we are, me and you
Feeling lost and feeling blue
It's the end of the party
And the morning seems so grey
So unlike yesterday
Now's the time for us to say

Happy New Year, Happy New Year
May we all have a vision now and then
Of a world where every neighbour is a friend
Happy New Year, Happy New Year
May we all have our hopes, our will to try
If we don't, we might as well lay down and die
You and I

Sometimes I see
How the brave new world arrives
And I see how it thrives
In the ashes of our lives
Oh yes, man is a fool
And he thinks he'll be okay
Dragging on, feet of clay
Never knowing he's astray
Keeps on going anyway

Happy New Year, Happy New Year
May we all have a vision now and then
Of a world where every neighbour is a friend
Happy New Year, Happy New Year
May we all have our hopes, our will to try
If we don't, we might as well lay down and die
You and I

Seems to me now
That the dreams we had before
Are all dead, nothing more
Than confetti on the floor
It's the end of a decade
In another ten years time
Who can say what we'll find
What lies waiting down the line
In the end of eighty-nine

Happy New Year, Happy New Year
May we all have a vision now and then
Of a world where every neighbour is a friend
Happy New Year, Happy New Year
May we all have our hopes, our will to try
If we don't, we might as well lay down and die
You and I"
"8","Thank You for the Music","ABBA","The Definitive Collection","","November 6, 1977","470589","304","35","","https://genius.com/Abba-thank-you-for-the-music-lyrics","396315","I'm nothing special, in fact I'm a bit of a bore
If I tell a joke, you've probably heard it before
But I have a talent, a wonderful thing
'Cause everyone listens when I start to sing
I'm so grateful and proud
All I want is to sing it out loud

So I say thank you for the music, the songs I'm singing
Thanks for all the joy they're bringing
Who can live without it? I ask in all honesty
What would life be?
Without a song or a dance, what are we?
So I say thank you for the music, for giving it to me

Mother says I was a dancer before I could walk
Mhm, she says I began to sing long before I could talk
And I've often wondered, how did it all start?
Who found out that nothing can capture a heart
Like a melody can?
Well, whoever it was, I'm a fan

So I say thank you for the music, the songs I'm singing
Thanks for all the joy they're bringing
Who can live without it? I ask in all honesty
What would life be?
Without a song or a dance, what are we?
So I say thank you for the music, for giving it to me

I've been so lucky
I am the girl with golden hair
I wanna sing it out to everybody
What a joy, what a life, what a chance

Thank you for the music, the songs I'm singing
Thanks for all the joy they're bringing
Who can live without it? I ask in all honesty
What would life be?
Without a song or a dance, what are we?
So I say thank you for the music, for giving it to me

So I say thank you for the music, for giving it to me"
"9","Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA","Thank You for the Music","","October 2, 1979","456200","272","36","","https://genius.com/Abba-gimme-gimme-gimme-a-man-after-midnight-lyrics","395833","Half-past twelve
And I'm watchin' the late show in my flat, all alone
How I hate to spend the evening on my own
Autumn winds
Blowin' outside the window as I look around the room
And it makes me so depressed to see the gloom

There's not a soul out there
No one to hear my prayer

Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day

Movie stars
Find the end of the rainbow with a fortune to win
It's so different from the world I'm livin' in
Tired of TV
I open the window and I gaze into the night
But there's nothing there to see, no one in sight

There's not a soul out there
No one to hear my prayer

Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day

Gimme, gimme, gimme a man after midnight
Gimme, gimme, gimme a man after midnight

There's not a soul out there
No one to hear my prayer

Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day
Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day"
"10","Lay All Your Love on Me","ABBA","Thank You for the Music","","July 3, 1981","403144","243","40","","https://genius.com/Abba-lay-all-your-love-on-me-lyrics","396186","I wasn't jealous before we met
Now every woman I see is a potential threat
And I'm possessive, it isn't nice
You've heard me saying that smoking was my only vice

But now it isn't true
Now everything is new
And all I've learned has overturned
I beg of you

Don't go wasting your emotion
Lay all your love on me

It was like shooting a sitting duck
A little small talk, a smile, and baby, I was stuck
I still don't know what you've done with me
A grown-up woman should never fall so easily

I feel a kind of fear
When I don't have you near
Unsatisfied, I skip my pride
I beg you, dear

Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me

I've had a few little love affairs
They didn't last very long and they've been pretty scarce
I used to think that was sensible
It makes the truth even more incomprehensible

'Cause everything is new
And everything is you
And all I've learned has overturned
What can I do?

Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me
Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me
Don't go wasting your emotion
Lay all your love on me"
