word,exclusion_category
acercaban,FOREIGN
ahora,FOREIGN
al,FOREIGN
ala,FOREIGN
alegría,FOREIGN
algo,FOREIGN
allá,FOREIGN
alrededor,FOREIGN
andando,FOREIGN
aquel,FOREIGN
aquí,FOREIGN
arreglar,FOREIGN
así,FOREIGN
atrás,FOREIGN
aunque,FOREIGN
ayer,FOREIGN
azul,FOREIGN
aún,FOREIGN
ba,SOUND_EFFECT
bailar,FOREIGN
believе,PARSE_ERROR
bien,FOREIGN
bittеrsweet,PARSE_ERROR
brillaba,FOREIGN
brillan,FOREIGN
c'est,FOREIGN
callarlo,FOREIGN
canción,FOREIGN
carrie,PROPER_NOUN
chiquitita,FOREIGN
claridad,FOREIGN
como,FOREIGN
compartir,FOREIGN
confesar,FOREIGN
conmigo,FOREIGN
conocí,FOREIGN
cuenta,FOREIGN
curada,FOREIGN
dallas,PROPER_NOUN
de,FOREIGN
desaparecen,FOREIGN
disfrutar,FOREIGN
disimularlo,FOREIGN
dolor,FOREIGN
durmió,FOREIGN
déjamela,FOREIGN
dímelo,FOREIGN
echar,FOREIGN
eiffel,PROPER_NOUN
el,FOREIGN
ella,FOREIGN
en,FOREIGN
encadena,FOREIGN
es,FOREIGN
escuchar,FOREIGN
ese,FOREIGN
esos,FOREIGN
estrellas,FOREIGN
estás,FOREIGN
eternidad,FOREIGN
feliz,FOREIGN
fernando,PROPER_NOUN
flore,FOREIGN
florecen,FOREIGN
fue,FOREIGN
ganas,FOREIGN
glasgow,PROPER_NOUN
guitarrear,FOREIGN
había,FOREIGN
hacer,FOREIGN
haría,FOREIGN
hasta,FOREIGN
havе,PARSE_ERROR
hearte,PARSE_ERROR
hombro,FOREIGN
hoy,FOREIGN
hе,PARSE_ERROR
imaginеd,PARSE_ERROR
jamás,FOREIGN
juventud,FOREIGN
kilkenny,PROPER_NOUN
la,FOREIGN
las,FOREIGN
lisa,PROPER_NOUN
llegó,FOREIGN
llorando,FOREIGN
llorar,FOREIGN
lo,FOREIGN
logramos,FOREIGN
lumbre,FOREIGN
marilyn,PROPER_NOUN
mi,FOREIGN
mia,PROPER_NOUN
momento,FOREIGN
mona,PROPER_NOUN
monaco,PROPER_NOUN
morir,FOREIGN
muy,FOREIGN
más,FOREIGN
nadie,FOREIGN
napoleon,PROPER_NOUN
ni,FOREIGN
noche,FOREIGN
nosotros,FOREIGN
notre,FOREIGN
ojos,FOREIGN
orgullo,FOREIGN
otra,FOREIGN
para,FOREIGN
pareciera,FOREIGN
parecía,FOREIGN
paris,PROPER_NOUN
pasaba,FOREIGN
paz,FOREIGN
pena,FOREIGN
penas,FOREIGN
pensaba,FOREIGN
pensabámos,FOREIGN
pensábamos,FOREIGN
perder,FOREIGN
podía,FOREIGN
por,FOREIGN
protección,FOREIGN
puedes,FOREIGN
que,FOREIGN
quebrada,FOREIGN
quiera,FOREIGN
quieres,FOREIGN
quiero,FOREIGN
quisiera,FOREIGN
quizá,FOREIGN
qué,FOREIGN
recuerda,FOREIGN
redoblar,FOREIGN
refleja,FOREIGN
rio,PROPER_NOUN
sabe,FOREIGN
se,FOREIGN
seguir,FOREIGN
segura,FOREIGN
sentí,FOREIGN
serás,FOREIGN
si,FOREIGN
siento,FOREIGN
sombra,FOREIGN
sonreír,FOREIGN
sordo,FOREIGN
tambor,FOREIGN
tambore,FOREIGN
tarareabas,FOREIGN
te,FOREIGN
temor,FOREIGN
ti,FOREIGN
tiempo,FOREIGN
tiе,PARSE_ERROR
triste,FOREIGN
tu,FOREIGN
tus,FOREIGN
tuve,FOREIGN
tuviera,FOREIGN
tú,FOREIGN
un,FOREIGN
una,FOREIGN
unsatisfie,PARSE_ERROR
vas,FOREIGN
vegas,PROPER_NOUN
vejez,FOREIGN
veo,FOREIGN
ver,FOREIGN
vergüenza,FOREIGN
verte,FOREIGN
vez,FOREIGN
vida,FOREIGN
vienen,FOREIGN
vivimos,FOREIGN
volverlo,FOREIGN
voulez,FOREIGN
vous,FOREIGN
élysée,PROPER_NOUN
еnough,PARSE_ERROR
еye,PARSE_ERROR
