word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,829,45,"Andante, Andante; Angeleyes; Chiquitita; Does Your Mother Know; Don’t Shut Me Down; Eagle; Fernando; Gimme! Gimme! Gimme! (A Man After Midnight); Happy New Year; Hasta Mañana; Head Over Heels; Honey, Honey; I Do, I Do, I Do, I Do, I Do; I Have a Dream; I Still Have Faith in You; If It Wasn’t for the Nights; I’ve Been Waiting for You; Keep an Eye on Dan; Knowing Me, Knowing You; Lay All Your Love on Me; Mamma Mia; Money, Money, Money; My Love, My Life; On and On and On; One of Us; Our Last Summer; Ring Ring; SOS; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; Thank You for the Music; That’s Me; The Day Before You Came; The Name of the Game; The Visitors; The Winner Takes It All; Tiger; Under Attack; Voulez-Vous; Waterloo; When All Is Said and Done; When I Kissed the Teacher; When You Danced with Me; Why Did It Have to Be Me?",18.42,True,1
the,the,DET,590,47,"Andante, Andante; Angeleyes; Chiquitita; Dancing Queen; Dancing Queen (Early Version); Dancing Queen (Live 1986); Does Your Mother Know; Don’t Shut Me Down; Eagle; Fernando; Gimme! Gimme! Gimme! (A Man After Midnight); Happy New Year; Hasta Mañana; Head Over Heels; Honey, Honey; I Have a Dream; I Still Have Faith in You; If It Wasn’t for the Nights; I’ve Been Waiting for You; Keep an Eye on Dan; Knowing Me, Knowing You; Lay All Your Love on Me; Mamma Mia; Money, Money, Money; My Love, My Life; On and On and On; One of Us; Our Last Summer; Ring Ring; SOS; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; Thank You for the Music; That’s Me; The Day Before You Came; The Name of the Game; The Visitors; The Winner Takes It All; Tiger; Under Attack; Voulez-Vous; Waterloo; When All Is Said and Done; When I Kissed the Teacher; When You Danced with Me; Why Did It Have to Be Me?",12.55,True,2
you,you,PRON,538,41,"Andante, Andante; Angeleyes; Chiquitita; Dancing Queen; Dancing Queen (Early Version); Dancing Queen (Live 1986); Does Your Mother Know; Don’t Shut Me Down; Fernando; Happy New Year; Hasta Mañana; Head Over Heels; Honey, Honey; I Do, I Do, I Do, I Do, I Do; I Have a Dream; I Still Have Faith in You; If It Wasn’t for the Nights; I’ve Been Waiting for You; Keep an Eye on Dan; Knowing Me, Knowing You; Lay All Your Love on Me; Mamma Mia; My Love, My Life; On and On and On; One of Us; Our Last Summer; Ring Ring; SOS; Super Trouper; Take a Chance on Me; Thank You for the Music; That’s Me; The Day Before You Came; The Name of the Game; The Winner Takes It All; Tiger; Voulez-Vous; Waterloo; When All Is Said and Done; When You Danced with Me; Why Did It Have to Be Me?",13.12,True,3
and,and,CCONJ,343,47,"Andante, Andante; Angeleyes; Chiquitita; Dancing Queen; Dancing Queen (Early Version); Dancing Queen (Live 1986); Does Your Mother Know; Don’t Shut Me Down; Eagle; Fernando; Gimme! Gimme! Gimme! (A Man After Midnight); Happy New Year; Hasta Mañana; Head Over Heels; Honey, Honey; I Do, I Do, I Do, I Do, I Do; I Have a Dream; I Still Have Faith in You; If It Wasn’t for the Nights; I’ve Been Waiting for You; Keep an Eye on Dan; Lay All Your Love on Me; Mamma Mia; Money, Money, Money; My Love, My Life; On and On and On; One of Us; Our Last Summer; Ring Ring; SOS; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; Thank You for the Music; That’s Me; The Day Before You Came; The Name of the Game; The Visitors; The Winner Takes It All; Tiger; Under Attack; Voulez-Vous; Waterloo; When All Is Said and Done; When I Kissed the Teacher; When You Danced with Me; Why Did It Have to Be Me?",7.3,True,4
a,a,DET,304,45,"Andante, Andante; Angeleyes; Chiquitita; Chiquitita (Spanish Version); Dancing Queen; Dancing Queen (Early Version); Dancing Queen (Live 1986); Does Your Mother Know; Don’t Shut Me Down; Eagle; Fernando; Fernando (Spanish Version); Gimme! Gimme! Gimme! (A Man After Midnight); Happy New Year; Hasta Mañana; Head Over Heels; Honey, Honey; I Have a Dream; I Still Have Faith in You; If It Wasn’t for the Nights; Keep an Eye on Dan; Lay All Your Love on Me; Mamma Mia; Money, Money, Money; My Love, My Life; On and On and On; One of Us; Our Last Summer; Ring Ring; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; Thank You for the Music; That’s Me; The Day Before You Came; The Name of the Game; The Visitors; The Winner Takes It All; Tiger; Under Attack; Voulez-Vous; Waterloo; When I Kissed the Teacher; When You Danced with Me; Why Did It Have to Be Me?",6.76,True,5
me,i,PRON,297,41,"Andante, Andante; Angeleyes; Chiquitita; Does Your Mother Know; Don’t Shut Me Down; Fernando; Fernando (Spanish Version); Gimme! Gimme! Gimme! (A Man After Midnight); Happy New Year; Hasta Mañana; Honey, Honey; I Do, I Do, I Do, I Do, I Do; I Have a Dream; I Still Have Faith in You; If It Wasn’t for the Nights; I’ve Been Waiting for You; Keep an Eye on Dan; Knowing Me, Knowing You; Lay All Your Love on Me; Mamma Mia; Money, Money, Money; My Love, My Life; On and On and On; One of Us; Ring Ring; SOS; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; Thank You for the Music; That’s Me; The Day Before You Came; The Name of the Game; The Visitors; The Winner Takes It All; Tiger; Under Attack; When All Is Said and Done; When I Kissed the Teacher; When You Danced with Me; Why Did It Have to Be Me?",7.24,True,6
to,to,PART,282,46,"Angeleyes; Chiquitita; Dancing Queen; Dancing Queen (Early Version); Dancing Queen (Live 1986); Does Your Mother Know; Don’t Shut Me Down; Eagle; Fernando; Gimme! Gimme! Gimme! (A Man After Midnight); Happy New Year; Hasta Mañana; Head Over Heels; Honey, Honey; I Have a Dream; I Still Have Faith in You; If It Wasn’t for the Nights; I’ve Been Waiting for You; Keep an Eye on Dan; Knowing Me, Knowing You; Lay All Your Love on Me; Mamma Mia; Money, Money, Money; My Love, My Life; On and On and On; One of Us; Our Last Summer; Ring Ring; SOS; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; Thank You for the Music; That’s Me; The Day Before You Came; The Name of the Game; The Visitors; The Winner Takes It All; Tiger; Under Attack; Voulez-Vous; Waterloo; When All Is Said and Done; When I Kissed the Teacher; When You Danced with Me; Why Did It Have to Be Me?",6.13,True,7
it,it,PRON,249,45,"Andante, Andante; Angeleyes; Chiquitita; Does Your Mother Know; Don’t Shut Me Down; Eagle; Fernando; Gimme! Gimme! Gimme! (A Man After Midnight); Happy New Year; Hasta Mañana; Head Over Heels; Honey, Honey; I Do, I Do, I Do, I Do, I Do; I Have a Dream; I Still Have Faith in You; If It Wasn’t for the Nights; I’ve Been Waiting for You; Keep an Eye on Dan; Knowing Me, Knowing You; Lay All Your Love on Me; Mamma Mia; Money, Money, Money; My Love, My Life; On and On and On; One of Us; Our Last Summer; Ring Ring; SOS; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; Thank You for the Music; That’s Me; The Day Before You Came; The Name of the Game; The Visitors; The Winner Takes It All; Tiger; Under Attack; Voulez-Vous; Waterloo; When All Is Said and Done; When I Kissed the Teacher; When You Danced with Me; Why Did It Have to Be Me?",5.53,True,8
n't,not,PART,168,33,"Andante, Andante; Angeleyes; Does Your Mother Know; Don’t Shut Me Down; Fernando; Gimme! Gimme! Gimme! (A Man After Midnight); Happy New Year; Hasta Mañana; Honey, Honey; I Do, I Do, I Do, I Do, I Do; If It Wasn’t for the Nights; I’ve Been Waiting for You; Keep an Eye on Dan; Lay All Your Love on Me; Mamma Mia; Money, Money, Money; My Love, My Life; On and On and On; Ring Ring; SOS; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; That’s Me; The Day Before You Came; The Visitors; The Winner Takes It All; Tiger; Under Attack; Voulez-Vous; Waterloo; When I Kissed the Teacher; Why Did It Have to Be Me?",5.09,True,9
do,do,AUX,168,35,"Andante, Andante; Angeleyes; Dancing Queen; Dancing Queen (Early Version); Dancing Queen (Live 1986); Does Your Mother Know; Don’t Shut Me Down; Fernando; Happy New Year; Hasta Mañana; Honey, Honey; I Do, I Do, I Do, I Do, I Do; I Still Have Faith in You; If It Wasn’t for the Nights; I’ve Been Waiting for You; Keep an Eye on Dan; Knowing Me, Knowing You; Lay All Your Love on Me; Mamma Mia; Money, Money, Money; My Love, My Life; On and On and On; Ring Ring; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; That’s Me; The Day Before You Came; The Name of the Game; The Visitors; The Winner Takes It All; Tiger; Under Attack; Voulez-Vous; Why Did It Have to Be Me?",4.8,True,10
in,in,ADP,160,40,"Andante, Andante; Angeleyes; Chiquitita; Dancing Queen; Dancing Queen (Early Version); Dancing Queen (Live 1986); Does Your Mother Know; Don’t Shut Me Down; Eagle; Fernando; Gimme! Gimme! Gimme! (A Man After Midnight); Happy New Year; Head Over Heels; Honey, Honey; I Have a Dream; I Still Have Faith in You; I’ve Been Waiting for You; Knowing Me, Knowing You; Money, Money, Money; My Love, My Life; On and On and On; One of Us; Our Last Summer; Ring Ring; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; Thank You for the Music; That’s Me; The Day Before You Came; The Name of the Game; The Visitors; The Winner Takes It All; Tiger; Voulez-Vous; Waterloo; When All Is Said and Done; When I Kissed the Teacher; When You Danced with Me; Why Did It Have to Be Me?",4.0,True,11
my,my,PRON,154,30,"Andante, Andante; Angeleyes; Don’t Shut Me Down; Eagle; Fernando; Gimme! Gimme! Gimme! (A Man After Midnight); Hasta Mañana; I Do, I Do, I Do, I Do, I Do; I Have a Dream; If It Wasn’t for the Nights; I’ve Been Waiting for You; Keep an Eye on Dan; Knowing Me, Knowing You; Lay All Your Love on Me; Mamma Mia; Money, Money, Money; My Love, My Life; On and On and On; One of Us; Our Last Summer; Ring Ring; Slipping Through My Fingers; Take a Chance on Me; That’s Me; The Day Before You Came; The Visitors; The Winner Takes It All; Under Attack; Waterloo; When I Kissed the Teacher",5.13,True,12
s,be,AUX,152,36,"Andante, Andante; Angeleyes; Chiquitita; Dancing Queen; Dancing Queen (Early Version); Dancing Queen (Live 1986); Does Your Mother Know; Don’t Shut Me Down; Eagle; Fernando; Gimme! Gimme! Gimme! (A Man After Midnight); Happy New Year; Head Over Heels; Honey, Honey; I Do, I Do, I Do, I Do, I Do; If It Wasn’t for the Nights; Keep an Eye on Dan; Knowing Me, Knowing You; Mamma Mia; Money, Money, Money; On and On and On; One of Us; Ring Ring; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; That’s Me; The Day Before You Came; The Name of the Game; The Visitors; The Winner Takes It All; Tiger; Under Attack; When All Is Said and Done; When You Danced with Me; Why Did It Have to Be Me?",4.22,True,13
of,of,ADP,146,36,"Andante, Andante; Chiquitita; Dancing Queen; Dancing Queen (Early Version); Dancing Queen (Live 1986); Does Your Mother Know; Don’t Shut Me Down; Fernando; Gimme! Gimme! Gimme! (A Man After Midnight); Happy New Year; Head Over Heels; Honey, Honey; I Have a Dream; I Still Have Faith in You; If It Wasn’t for the Nights; Keep an Eye on Dan; Lay All Your Love on Me; My Love, My Life; On and On and On; One of Us; Our Last Summer; Ring Ring; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; Thank You for the Music; That’s Me; The Day Before You Came; The Name of the Game; The Visitors; The Winner Takes It All; Tiger; Under Attack; Voulez-Vous; When All Is Said and Done; When I Kissed the Teacher",4.06,True,14
na,to,PART,145,6,"Honey, Honey; If It Wasn’t for the Nights; I’ve Been Waiting for You; Super Trouper; Take a Chance on Me; When I Kissed the Teacher",24.17,False,15
m,be,AUX,142,28,"Andante, Andante; Angeleyes; Chiquitita; Does Your Mother Know; Don’t Shut Me Down; Eagle; Fernando; Gimme! Gimme! Gimme! (A Man After Midnight); Honey, Honey; If It Wasn’t for the Nights; I’ve Been Waiting for You; Keep an Eye on Dan; Lay All Your Love on Me; Mamma Mia; On and On and On; Ring Ring; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; Thank You for the Music; That’s Me; The Day Before You Came; The Name of the Game; The Visitors; Under Attack; Voulez-Vous; When All Is Said and Done; When You Danced with Me",5.07,True,16
on,on,ADP,137,30,"Andante, Andante; Chiquitita; Dancing Queen; Dancing Queen (Early Version); Dancing Queen (Live 1986); Does Your Mother Know; Don’t Shut Me Down; Eagle; Gimme! Gimme! Gimme! (A Man After Midnight); Happy New Year; Honey, Honey; I Do, I Do, I Do, I Do, I Do; I Still Have Faith in You; If It Wasn’t for the Nights; Keep an Eye on Dan; Lay All Your Love on Me; My Love, My Life; On and On and On; Ring Ring; SOS; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; That’s Me; The Day Before You Came; The Winner Takes It All; Under Attack; Waterloo; When All Is Said and Done; Why Did It Have to Be Me?",4.57,True,17
that,that,DET,121,35,"Angeleyes; Chiquitita; Dancing Queen; Dancing Queen (Early Version); Dancing Queen (Live 1986); Does Your Mother Know; Don’t Shut Me Down; Eagle; Fernando; Happy New Year; Hasta Mañana; Head Over Heels; Honey, Honey; I Still Have Faith in You; If It Wasn’t for the Nights; I’ve Been Waiting for You; Keep an Eye on Dan; Lay All Your Love on Me; Mamma Mia; Money, Money, Money; My Love, My Life; On and On and On; One of Us; Our Last Summer; Ring Ring; Slipping Through My Fingers; Super Trouper; Take a Chance on Me; Thank You for the Music; That’s Me; The Day Before You Came; The Winner Takes It All; Under Attack; When You Danced with Me; Why Did It Have to Be Me?",3.46,True,18
we,we,PRON,120,23,"Chiquitita; Eagle; Fernando; Happy New Year; Hasta Mañana; Head Over Heels; I Do, I Do, I Do, I Do, I Do; I Still Have Faith in You; Knowing Me, Knowing You; Lay All Your Love on Me; Mamma Mia; My Love, My Life; On and On and On; Our Last Summer; Ring Ring; Slipping Through My Fingers; Take a Chance on Me; Thank You for the Music; The Name of the Game; The Visitors; The Winner Takes It All; Voulez-Vous; When All Is Said and Done",5.22,True,19
