"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","T.N.T.","AC/DC","Iron Man 2","","December 1, 1975","858669","208","57","","https://genius.com/Ac-dc-tnt-lyrics","132510","Oi, oi, oi, oi
Oi, oi, oi, oi
Oi, oi, oi, oi
Oi, oi, oi

See me ride out of the sunset
On your colour TV screen
Out for all that I can get
If you know what I mean

Women to the left of me
And women to the right
Ain't got no gun, ain't got no knife
Don't you start no fight

'Cause I'm T.N.T., I'm dynamite
T.N.T.,
and I'll win the fight
T.N.T.,
I'm a power load
T.N.T.,
watch me explode

I'm dirty, mean, I'm mighty unclean
I'm a wanted man
Public enemy number one
Understand?

So lock up your daughter, lock up your wife
Lock up your back door and run for your life
The man is back in town
So don't you mess me 'round

'Cause I'm T.N.T., I'm dynamite
T.N.T.,
and I'll win the fight
T.N.T.,
I'm a power load
T.N.T.,
watch me explode

T.N.T. (
Oi, oi, oi
)
T.N.T. (
Oi, oi, oi
)
T.N.T. (
Oi, oi, oi
)
T.N.T. (
Oi, oi, oi
)

T.N.T. (
Oi, oi, oi
), I'm dynamite
T.N.T. (
Oi, oi, oi
), and I'll win the fight
T.N.T. (
Oi, oi, oi
), I'm a power load
T.N.T.
, watch me explode"
"2","Back in Black","AC/DC","Bonfire","","December 21, 1980","593161","261","56","","https://genius.com/Ac-dc-back-in-black-lyrics","73849","Back in black, I hit the sack
I've been too long, I'm glad to be back
Yes, I'm let loose from the noose
That's kept me hangin' about
I'm just a-lookin' at the sky 'cause it's gettin' me high
Forget the hearse, 'cause I'll never die
I got nine lives, cat's eyes
Abusin' every one of them and runnin' wild

'Cause I'm back
Yes, I'm back
Well, I'm back
Yes, I'm back
Well, I'm back
Back
Well, I'm back in black
Yes, I'm back in black

Oh, back in the back of a Cadillac
Number one with a bullet, I'm a power pack
Yes, I'm in a bang with a gang
They've got to catch me if they want me to hang
'Cause I'm back on the track and I'm beatin' the flak
Nobody's gonna get me on another rap
So, look at me now, I'm just a-makin' my play
Don't try to push your luck, just get outta my way

'Cause I'm back
Yes, I'm back
Well, I'm back
Yes, I'm back
Well, I'm back
Back
Well, I'm back in black
Yes, I'm back in black

Well, I'm back
Yes, I'm back
Well, I'm back
Yes, I'm back
Well, I'm back
Back
Well, I'm back in black
Yes, I'm back in black, ow

Ah, yeah
Oh, yeah
Take my love
Oh, yeah
Yeah
Ah, hey, yeah
Ooh, yeah

Well, I'm back (I'm back)
Back, well, I'm (I'm back)
Back (I'm back)
Back (I'm back)
Back (I'm back)
Back
It's back in black
Yes, I'm back in black

Outta the sack"
"3","Highway to Hell","AC/DC","Iron Man 2","","July 27, 1979","570550","204","46","","https://genius.com/Ac-dc-highway-to-hell-lyrics","82653","Livin' easy, lovin' free
Season ticket on a one-way ride
Askin' nothin', leave me be
Takin' everything in my stride
Don't need reason, don't need rhyme
Ain't nothin' I'd rather do
Goin' down, party time
My friends are gonna be there too, yeah

I'm on the highway to Hell
On the highway to Hell
Highway to Hell
I'm on the highway to Hell

No stop signs, speed limit
Nobody's gonna slow me down
Like a wheel, gonna spin it
Nobody's gonna mess me around
Hey, Satan, payin' my dues
Playin' in a rockin' band
Hey, mama, look at me
I'm on the way to the promised land, woah

I'm on the highway to Hell
Highway to Hell
I'm on the highway to Hell
Highway to Hell

Mm
Don't stop me
Hey, hey, ooh

I'm on the highway to Hell
On the highway to Hell
I'm on the highway to Hell
On the highway to Hell
(
Highway to Hell
) I'm on the highway to Hell
(
Highway to Hell
) Highway to Hell
(
Highway to Hell
) I'm on the highway to Hell
(
Highway to Hell
)

And I'm goin' down
All the way, woah
I'm on the highway to Hell"
"4","Thunderstruck","AC/DC","Iron Man 2","","September 24, 1990","480450","257","63","","https://genius.com/Ac-dc-thunderstruck-lyrics","291696","Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Thunder, ah-ah, ah-ah-ah
Thunder, ah-ah, ah-ah-ah
Thunder, ah-ah, ah-ah-ah
Thunder, ah-ah, ah-ah-ah
Thunder, ah-ah, ah-ah-ah
Thunder, ah-ah, ah-ah-ah
Thunder
Thunder
Thunder
Thunder

I was caught in the middle of a railroad track (Thunder)
I looked 'round and I knew there was no turnin' back (Thunder)
My mind raced and I thought, ""What could I do?"" (Thunder)
And I knew there was no help, no help from you (Thunder)
Sound of the drums beatin' in my heart
The thunder of guns, yeah, tore me apart

You've been
Thunderstruck

Went down the highway, broke the limit, we hit the town
Went through to Texas, yeah, Texas, and we had some fun
We met some girls, some dancers who gave a good time
Broke all the rules, played all the fools
Yeah, yeah, they, they, they blew our minds

And I was shakin' at the knees
Could I come again, please?
Yeah, the ladies were too kind

You've been
Thunderstruck
Thunderstruck
Yeah, yeah, yeah, thunderstruck
Ooh, thunderstruck
Yeah

I was shakin' at the knees
Could I come again, please? Yow

Ooh, ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah
Ah-ah, ah-ah-ah, yeah

Ooh, thunderstruck
Thunderstruck
Yeah, yeah, yeah, thunderstruck
Thunderstruck
Yeah, yeah, yeah

Said, yeah, it's all right
We're doin' fine
Yeah, it's all right
We're doin' fine, so fine

Thunderstruck
Yeah, yeah, yeah, thunderstruck
Thunderstruck (Thunderstruck)
Whoa, baby, baby (Thunderstruck)
You've been thunderstruck
(Ah-ah, ah-ah-ah) Thunderstruck
(Ah-ah, ah-ah-ah) Thunderstruck
(Ah-ah, ah-ah-ah) Thunderstruck
(Ah-ah, ah-ah-ah) You've been thunderstruck"
"5","You Shook Me All Night Long","AC/DC","Bonfire","","August 19, 1980","401643","249","30","","https://genius.com/Ac-dc-you-shook-me-all-night-long-lyrics","75951","She was a fast machine, she kept her motor clean
She was the best damn woman that I ever seen
She had the sightless eyes, tellin' me no lies
Knockin' me out with those American thighs
Takin' more than her share, had me fightin' for air
She told me to come, but I was already there
'Cause the walls start shakin', the Earth was quakin'
My mind was achin', and we were makin' it

And you shook me all night long
Yeah, you shook me all night long

Workin' double-time on the seduction line
She's one of a kind, she's just a-mine, all mine
Wanted no applause, just another course
Made a meal outta me, and come back for more
Had to cool me down to take another round
Now, I'm back in the ring to take another swing
That the walls were shakin', the Earth was quakin'
My mind was achin', and we were makin' it

And you shook me all night long
Yeah, you shook me all night long
It knocked me out that you shook me all night long
It had me shakin' and you shook me all night long

Yeah, you shook me
Well, you took me

You really took me and you shook me all night long
Ah, you shook me all night long
Yeah, yeah, you shook me all night long
You really got me and you shook me all night long

Yeah, you shook me
Yeah, you shook me all night long"
"6","Hells Bells","AC/DC","Bonfire","","October 31, 1980","364083","218","37","","https://genius.com/Ac-dc-hells-bells-lyrics","75945","I'm a rollin' thunder, pourin' rain
I'm comin' on like a hurricane
White lightning's flashin' across the sky
You're only young, but you're gonna die

I won't take no prisoners, won't spare no lives
Nobody's puttin' up a fight
I got my bell, I'm gonna take you to Hell
I'm gonna get you, Satan get you

Oh, Hell's bells
Yeah, Hell's bells
You got me ringin' Hell's bells
My temperature's high, Hell's bells

I'll give you black sensations up and down your spine
If you're into evil, you're a friend of mine
See my white light flashin' as I split the night
'Cause if good's on the left, then I'm stickin' to the right

I won't take no prisoners, won't spare no lives
Nobody's puttin' up a fight
I got my bell, I'm gonna take you to Hell
I'm gonna get you, Satan get you

Hell's bells
Oh, Hell's bells
You got me ringin' Hell's bells
My temperature's high, Hell's bells

Yow

Hell's bells, Satan's comin' to you
Hell's bells, he's ringin' them now
Those Hell's bells, the temperature's high
Hell's bells, across the sky
Hell's bells, they're takin' you down
Hell's bells, they're draggin' you under
Hell's bells, gonna split the night
Hell's bells, there's no way to fight, yeah

Ow
Ow, ow
Ow, yes
Hell's bells"
"7","Dirty Deeds Done Dirt Cheap","AC/DC","Dirty Deeds Done Dirt Cheap","","September 20, 1976","302085","281","63","","https://genius.com/Ac-dc-dirty-deeds-done-dirt-cheap-lyrics","108584","If you're havin' trouble with the high school head
He's givin' you the blues
You wanna graduate, but not in his bed
Here's what you gotta do
Pick up the phone, I'm always home
Call me anytime

Just ring: 3-6, 2-4, 3-6, hey
I lead a life of crime

Dirty deeds,
done dirt cheap
Dirty deeds,
done dirt cheap
Dirty deeds,
done dirt cheap
Dirty deeds and they're done dirt cheap
Dirty deeds and they're done dirt cheap

You got problems in your life of love?
You got a broken heart?
He's double dealin' with your best friend
That's when the teardrops start, fella
Pick up the phone, I'm here alone
Or make a social call

Come right in, forget about him
We'll have ourselves a ball, hey

Dirty deeds,
done dirt cheap
Dirty deeds,
done dirt cheap
Dirty deeds,
done dirt cheap
Dirty deeds and they're done dirt cheap
(Oh)
Dirty deeds and they're done dirt cheap

(Oh, yeah)

If you got a lady and you want her gone
But you ain't got the guts
She keeps naggin' at you night and day
Enough to drive you nuts
Pick up the phone, leave her alone
It's time you made a stand

For a fee, I'm happy to be
Your back-door man, hey

Dirty deeds,
done dirt cheap
Dirty deeds,
done dirt cheap
Dirty deeds,
done dirt cheap
Dirty deeds and they're done dirt cheap
(Yeah)
Dirty deeds and they're done dirt cheap

Concrete shoes, cyanide
TNT (Done dirt cheap), ooh
Neck ties, contracts
High voltage (Done dirt cheap, yeah)

Dirty deeds,
do anythin' you want me to
Done dirt cheap
Dirty deeds,
dirty deeds
Dirty deeds
done dirt cheap
Yeah!"
"8","Big Balls","AC/DC","Dirty Deeds Done Dirt Cheap (Australia)","","September 20, 1976","287729","301","35","","https://genius.com/Ac-dc-big-balls-lyrics","118585","Well, I'm upper, upper-class, high-society
God's gift to ballroom notoriety
And I always fill my ballroom, the event is never small
The social pages say I've got the biggest balls of all

I've got big balls, I've got big balls
They're such big balls, and they're dirty big balls
And he's got big balls and she's got big balls
But we've got the biggest balls of them all

And my balls are always bouncing, my ballroom always full
And everybody comes and comes again
If your name is on the guest list, no one can take you higher
Everybody says I've got great balls of fire

I've got big balls, oh, I've got big balls
And they're such big balls, dirty big balls
And he's got big balls and she's got big balls
But we've got the biggest balls of them all

Some balls are held for charity and some for fancy dress
But when they're held for pleasure, they're the balls that I like best
My balls are always bouncing to the left and to the right
It's my belief that my big balls should be held every night

Oh, we've got big balls, we've got big balls
We've got big balls, dirty big balls
He's got big balls and she's got big balls
But we've got the biggest balls of them all
Oh, we've got big balls, we've got big balls
And I'm just itching to tell you about them (We've got big balls)
(Dirty big balls) Oh, we had such wonderful fun
(And he's got big balls) Seafood cocktail (She's got big balls), crabs
(But we've got the biggest balls of them all) Crayfish

Oh, bollocks, knackers, bollocks, knackers
Bollocks, knackers, bollocks, knackers
Bollocks, knackers, bollocks, knackers
Bollocks, knackers, bollocks, knackers
Bollocks, knackers, bollocks, knackers
Bollocks, knackers, oh—"
"9","It’s a Long Way to the Top (If You Wanna Rock ‘n’ Roll)","AC/DC","High Voltage","","December 8, 1975","141530","216","32","","https://genius.com/Ac-dc-its-a-long-way-to-the-top-if-you-wanna-rock-n-roll-lyrics","132134","Alright

Ridin' down the highway
Goin' to a show
Stoppin' on the byways
Playin' rock 'n' roll

Gettin' robbed, gettin' stoned
Gettin' beat up, broken-boned
Gettin' had, gettin' took
I tell you, folks, it's harder than it looks

It's a long way to the top if you wanna rock 'n' roll
It's a long way to the top if you wanna rock 'n' roll
If you think it's easy doin' one-night stands
Try playin' in a rock-roll band
It's a long way to the top if you wanna rock 'n' roll

Hotel, motel
Make you wanna cry
Ladies do the hard sell
Know the reason why

Gettin' old, gettin' grey
Gettin' ripped off, underpaid
Gettin' sold, second-hand
That's how it goes, playin' in a band

It's a long way to the top if you wanna rock 'n' roll
It's a long way to the top if you wanna rock 'n' roll
If you wanna be a star of stage and screen
Look out, it's rough and mean
It's a long way to the top if you wanna rock 'n' roll
It's a long way to the top if you wanna rock 'n' roll

Well, it's a long way
Yeah, it's a long way, you should have told me
It's a long way
Such a long way"
"10","Shoot to Thrill","AC/DC","Bonfire","","July 25, 1980","111726","357","55","","https://genius.com/Ac-dc-shoot-to-thrill-lyrics","75946","All you women who want a man of the street
And don't know which way you wanna turn
Just keep a-comin' and put your hand out to me
'Cause I'm the one who's gonna make you burn

I'm gonna take you down
Oh, down, down, down
So don't you fool around
I'm gonna pull it, pull it, pull the trigger

Shoot to thrill, play to kill
Too many women with too many pills, yeah
Shoot to thrill, play to kill
I got my gun at the ready, gonna fire at will, yeah

I'm like evil, I get under your skin
Just like a bomb that's ready to blow
'Cause I'm illegal, I got everything
That all you women might need to know

I'm gonna take you down
Yeah, down, down, down
So don't you fool around
I'm gonna pull it, pull it, pull the trigger

Shoot to thrill, play to kill
Too many women with too many pills, yeah
Shoot to thrill, play to kill
I got my gun at the ready, gonna fire at will
'Cause I shoot to thrill, and I'm ready to kill
I can't get enough, and I can't get my fill
I shoot to thrill, play to kill, yeah

Pull the trigger
Pull it
Pull it, pull it, pull the trigger

Oh, shoot to thrill, play to kill
Too many women with too many pills, I said
Shoot to thrill, play to kill
I got my gun at the ready, gonna fire at will
'Cause I shoot to thrill and I'm ready to kill
And I can't get enough, and I can't get my fill
'Cause I shoot to thrill, play to kill

Yeah
Shoot you down, yeah
I'm gonna get you down on the bottom, girl
Shoot you, I'm gonna shoot you
Ooh-hoo, yeah, yeah, yeah
I'm gonna shoot you down
Yeah, yeah, I'm gonna get you down
Down, down, down, down

Shoot you, shoot you
Shoot you, shoot you down
Shoot you, shoot you
Shoot you down
Oh, oh, oh
Oh, oh, oh, yeah
I'm gonna shoot to thrill
Play to kill
Shoot to thrill, yeah, yeah
Ah, yeah, ha"
