word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,532,49,Are You Ready; Back in Black; Ballbreaker; Beating Around the Bush; Big Balls; Demon Fire; Dirty Deeds Done Dirt Cheap; For Those About to Rock (We Salute You); Girls Got Rhythm; Givin the Dog a Bone; Gone Shootin’; Have a Drink on Me; Hell Ain’t a Bad Place to Be; Hells Bells; High Voltage; Highway to Hell; If You Want Blood (You’ve Got It); It’s a Long Way to the Top (If You Wanna Rock ‘n’ Roll); Jailbreak; Let Me Put My Love Into You; Let There Be Rock; Let’s Get It Up; Live Wire; Moneytalks; Night Prowler; Problem Child; Realize; Ride On; Riff Raff; Rock N’ Roll Train; Rock and Roll Ain’t Noise Pollution; Shake a Leg; She’s Got Balls; Shoot to Thrill; Shot Down in Flames; Shot in the Dark; Sin City; Stiff Upper Lip; T.N.T.; The Jack; Through the Mists of Time; Thunderstruck; Touch Too Much; Walk All Over You; War Machine; What Do You Do for Money Honey; Who Made Who; Whole Lotta Rosie; You Shook Me All Night Long,10.86,True,1
you,you,PRON,468,42,Are You Ready; Ballbreaker; Beating Around the Bush; Big Balls; Demon Fire; Dirty Deeds Done Dirt Cheap; For Those About to Rock (We Salute You); Girls Got Rhythm; Givin the Dog a Bone; Have a Drink on Me; Hell Ain’t a Bad Place to Be; Hells Bells; High Voltage; If You Want Blood (You’ve Got It); It’s a Long Way to the Top (If You Wanna Rock ‘n’ Roll); Let Me Put My Love Into You; Let There Be Rock; Live Wire; Moneytalks; Night Prowler; Problem Child; Realize; Riff Raff; Rock N’ Roll Train; Rock and Roll Ain’t Noise Pollution; Shake a Leg; She’s Got Balls; Shoot to Thrill; Shot Down in Flames; Shot in the Dark; Sin City; Stiff Upper Lip; T.N.T.; The Jack; Thunderstruck; Touch Too Much; Walk All Over You; War Machine; What Do You Do for Money Honey; Who Made Who; Whole Lotta Rosie; You Shook Me All Night Long,11.14,True,2
i,i,PRON,431,46,Are You Ready; Back in Black; Ballbreaker; Beating Around the Bush; Big Balls; Demon Fire; Dirty Deeds Done Dirt Cheap; Girls Got Rhythm; Givin the Dog a Bone; Gone Shootin’; Have a Drink on Me; Hell Ain’t a Bad Place to Be; Hells Bells; High Voltage; Highway to Hell; If You Want Blood (You’ve Got It); It’s a Long Way to the Top (If You Wanna Rock ‘n’ Roll); Jailbreak; Let Me Put My Love Into You; Let’s Get It Up; Live Wire; Night Prowler; Problem Child; Realize; Ride On; Riff Raff; Rock N’ Roll Train; Rock and Roll Ain’t Noise Pollution; Shake a Leg; She’s Got Balls; Shoot to Thrill; Shot Down in Flames; Shot in the Dark; Sin City; Squealer; Stiff Upper Lip; T.N.T.; The Jack; Thunderstruck; Touch Too Much; Walk All Over You; War Machine; What Do You Do for Money Honey; Who Made Who; Whole Lotta Rosie; You Shook Me All Night Long,9.37,True,3
a,a,DET,388,48,Are You Ready; Back in Black; Ballbreaker; Demon Fire; Dirty Deeds Done Dirt Cheap; For Those About to Rock (We Salute You); Girls Got Rhythm; Givin the Dog a Bone; Gone Shootin’; Have a Drink on Me; Hell Ain’t a Bad Place to Be; Hells Bells; High Voltage; Highway to Hell; If You Want Blood (You’ve Got It); It’s a Long Way to the Top (If You Wanna Rock ‘n’ Roll); Jailbreak; Let Me Put My Love Into You; Let There Be Rock; Let’s Get It Up; Live Wire; Moneytalks; Night Prowler; Problem Child; Realize; Ride On; Riff Raff; Rock N’ Roll Train; Rock and Roll Ain’t Noise Pollution; Shake a Leg; She’s Got Balls; Shoot to Thrill; Shot Down in Flames; Shot in the Dark; Sin City; Squealer; Stiff Upper Lip; T.N.T.; The Jack; Through the Mists of Time; Thunderstruck; Touch Too Much; Walk All Over You; War Machine; What Do You Do for Money Honey; Who Made Who; Whole Lotta Rosie; You Shook Me All Night Long,8.08,True,4
and,and,CCONJ,251,48,Are You Ready; Back in Black; Ballbreaker; Beating Around the Bush; Big Balls; Dirty Deeds Done Dirt Cheap; For Those About to Rock (We Salute You); Girls Got Rhythm; Givin the Dog a Bone; Gone Shootin’; Have a Drink on Me; Hell Ain’t a Bad Place to Be; Hells Bells; High Voltage; Highway to Hell; If You Want Blood (You’ve Got It); It’s a Long Way to the Top (If You Wanna Rock ‘n’ Roll); Jailbreak; Let Me Put My Love Into You; Let There Be Rock; Let’s Get It Up; Live Wire; Moneytalks; Night Prowler; Problem Child; Realize; Ride On; Riff Raff; Rock and Roll Ain’t Noise Pollution; Shake a Leg; She’s Got Balls; Shoot to Thrill; Shot Down in Flames; Shot in the Dark; Sin City; Squealer; Stiff Upper Lip; T.N.T.; The Jack; Through the Mists of Time; Thunderstruck; Touch Too Much; Walk All Over You; War Machine; What Do You Do for Money Honey; Who Made Who; Whole Lotta Rosie; You Shook Me All Night Long,5.23,True,5
s,be,AUX,246,40,Are You Ready; Back in Black; Beating Around the Bush; Big Balls; Demon Fire; Dirty Deeds Done Dirt Cheap; For Those About to Rock (We Salute You); Girls Got Rhythm; Givin the Dog a Bone; Gone Shootin’; Hell Ain’t a Bad Place to Be; Hells Bells; High Voltage; Highway to Hell; If You Want Blood (You’ve Got It); It’s a Long Way to the Top (If You Wanna Rock ‘n’ Roll); Jailbreak; Let Me Put My Love Into You; Let’s Get It Up; Moneytalks; Night Prowler; Problem Child; Realize; Ride On; Riff Raff; Rock N’ Roll Train; Rock and Roll Ain’t Noise Pollution; Shake a Leg; She’s Got Balls; Shoot to Thrill; Shot Down in Flames; Shot in the Dark; Sin City; The Jack; Thunderstruck; Touch Too Much; War Machine; What Do You Do for Money Honey; Whole Lotta Rosie; You Shook Me All Night Long,6.15,True,6
it,it,PRON,244,44,Are You Ready; Back in Black; Ballbreaker; Beating Around the Bush; Big Balls; Demon Fire; Dirty Deeds Done Dirt Cheap; For Those About to Rock (We Salute You); Girls Got Rhythm; Givin the Dog a Bone; Gone Shootin’; Have a Drink on Me; Hell Ain’t a Bad Place to Be; High Voltage; Highway to Hell; If You Want Blood (You’ve Got It); It’s a Long Way to the Top (If You Wanna Rock ‘n’ Roll); Jailbreak; Let Me Put My Love Into You; Let There Be Rock; Let’s Get It Up; Moneytalks; Night Prowler; Problem Child; Realize; Ride On; Riff Raff; Rock N’ Roll Train; Rock and Roll Ain’t Noise Pollution; Shake a Leg; Shoot to Thrill; Shot Down in Flames; Shot in the Dark; Sin City; Squealer; Stiff Upper Lip; The Jack; Thunderstruck; Touch Too Much; Walk All Over You; What Do You Do for Money Honey; Who Made Who; Whole Lotta Rosie; You Shook Me All Night Long,5.55,True,7
to,to,ADP,233,48,Back in Black; Ballbreaker; Beating Around the Bush; Big Balls; Demon Fire; Dirty Deeds Done Dirt Cheap; For Those About to Rock (We Salute You); Girls Got Rhythm; Givin the Dog a Bone; Gone Shootin’; Have a Drink on Me; Hell Ain’t a Bad Place to Be; Hells Bells; High Voltage; Highway to Hell; If You Want Blood (You’ve Got It); It’s a Long Way to the Top (If You Wanna Rock ‘n’ Roll); Jailbreak; Let Me Put My Love Into You; Let There Be Rock; Let’s Get It Up; Live Wire; Moneytalks; Night Prowler; Problem Child; Realize; Ride On; Riff Raff; Rock N’ Roll Train; Rock and Roll Ain’t Noise Pollution; Shake a Leg; She’s Got Balls; Shoot to Thrill; Shot Down in Flames; Shot in the Dark; Sin City; Squealer; Stiff Upper Lip; T.N.T.; The Jack; Thunderstruck; Touch Too Much; Walk All Over You; War Machine; What Do You Do for Money Honey; Who Made Who; Whole Lotta Rosie; You Shook Me All Night Long,4.85,True,8
got,get,VERB,210,37,Back in Black; Beating Around the Bush; Big Balls; Dirty Deeds Done Dirt Cheap; For Those About to Rock (We Salute You); Girls Got Rhythm; Givin the Dog a Bone; Gone Shootin’; Hell Ain’t a Bad Place to Be; Hells Bells; High Voltage; If You Want Blood (You’ve Got It); Jailbreak; Let Me Put My Love Into You; Let There Be Rock; Live Wire; Problem Child; Realize; Ride On; Rock N’ Roll Train; Rock and Roll Ain’t Noise Pollution; Shake a Leg; She’s Got Balls; Shoot to Thrill; Shot Down in Flames; Shot in the Dark; Sin City; Squealer; Stiff Upper Lip; T.N.T.; The Jack; Touch Too Much; Walk All Over You; What Do You Do for Money Honey; Who Made Who; Whole Lotta Rosie; You Shook Me All Night Long,5.68,False,9
on,on,ADP,207,42,Back in Black; Ballbreaker; Beating Around the Bush; Big Balls; Demon Fire; For Those About to Rock (We Salute You); Have a Drink on Me; Hell Ain’t a Bad Place to Be; Hells Bells; High Voltage; Highway to Hell; If You Want Blood (You’ve Got It); It’s a Long Way to the Top (If You Wanna Rock ‘n’ Roll); Jailbreak; Let Me Put My Love Into You; Let’s Get It Up; Live Wire; Moneytalks; Night Prowler; Problem Child; Realize; Ride On; Riff Raff; Rock N’ Roll Train; Rock and Roll Ain’t Noise Pollution; Shake a Leg; She’s Got Balls; Shoot to Thrill; Shot Down in Flames; Shot in the Dark; Sin City; Stiff Upper Lip; T.N.T.; The Jack; Through the Mists of Time; Touch Too Much; Walk All Over You; War Machine; What Do You Do for Money Honey; Who Made Who; Whole Lotta Rosie; You Shook Me All Night Long,4.93,True,10
