word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1095,50,All I Ask; All Night Parking Interlude; Best for Last; Can I Get It; Can’t Be Together; Can’t Let Go; Chasing Pavements; Crazy for You; Cry Your Heart Out; Daydreamer; Don’t You Remember; Easy On Me; First Love; He Won’t Go; Hello; Hold On; Hometown Glory; I Drink Wine; I Found a Boy; I Miss You; I’ll Be Waiting; Lay Me Down; Love Is A Game; Love in the Dark; Lovesong; Make You Feel My Love; Melt My Heart to Stone; Million Years Ago; My Little Love; Oh My God; One and Only; Remedy; Right as Rain; River Lea; Rolling in the Deep; Rumour Has It; Send My Love (To Your New Lover); Set Fire to the Rain; Skyfall; Someone Like You; Strangers By Nature; Sweetest Devotion; Take It All; To Be Loved; Turning Tables; Water Under the Bridge; When We Were Young; Why Do You Love Me; Wild Wild West; Woman Like Me,21.9,True,1
you,you,PRON,722,47,All I Ask; All Night Parking Interlude; Best for Last; Can I Get It; Can’t Be Together; Can’t Let Go; Chasing Pavements; Crazy for You; Cry Your Heart Out; Daydreamer; Don’t You Remember; Easy On Me; First Love; He Won’t Go; Hello; Hold On; Hometown Glory; I Drink Wine; I Found a Boy; I Miss You; I’ll Be Waiting; Lay Me Down; Love Is A Game; Love in the Dark; Lovesong; Make You Feel My Love; Melt My Heart to Stone; My Little Love; Oh My God; One and Only; Remedy; Right as Rain; River Lea; Rolling in the Deep; Rumour Has It; Send My Love (To Your New Lover); Set Fire to the Rain; Skyfall; Someone Like You; Sweetest Devotion; Take It All; To Be Loved; Turning Tables; Water Under the Bridge; When We Were Young; Why Do You Love Me; Woman Like Me,15.36,True,2
the,the,DET,472,47,All I Ask; All Night Parking Interlude; Best for Last; Can I Get It; Can’t Be Together; Can’t Let Go; Chasing Pavements; Crazy for You; Cry Your Heart Out; Daydreamer; Don’t You Remember; Easy On Me; First Love; He Won’t Go; Hello; Hold On; Hometown Glory; I Drink Wine; I Found a Boy; I Miss You; I’ll Be Waiting; Lay Me Down; Love Is A Game; Love in the Dark; Make You Feel My Love; Melt My Heart to Stone; Million Years Ago; My Little Love; Oh My God; One and Only; Remedy; River Lea; Rolling in the Deep; Rumour Has It; Send My Love (To Your New Lover); Set Fire to the Rain; Skyfall; Someone Like You; Strangers By Nature; Sweetest Devotion; To Be Loved; Turning Tables; Water Under the Bridge; When We Were Young; Why Do You Love Me; Wild Wild West; Woman Like Me,10.04,True,3
it,it,PRON,432,46,All I Ask; All Night Parking Interlude; Best for Last; Can I Get It; Can’t Be Together; Can’t Let Go; Chasing Pavements; Crazy for You; Cry Your Heart Out; Easy On Me; First Love; He Won’t Go; Hello; Hold On; Hometown Glory; I Drink Wine; I Miss You; I’ll Be Waiting; Lay Me Down; Love Is A Game; Love in the Dark; Make You Feel My Love; Melt My Heart to Stone; Million Years Ago; My Little Love; Oh My God; One and Only; Remedy; Right as Rain; River Lea; Rolling in the Deep; Rumour Has It; Send My Love (To Your New Lover); Set Fire to the Rain; Skyfall; Someone Like You; Strangers By Nature; Sweetest Devotion; Take It All; To Be Loved; Turning Tables; Water Under the Bridge; When We Were Young; Why Do You Love Me; Wild Wild West; Woman Like Me,9.39,True,4
me,i,PRON,422,45,All I Ask; All Night Parking Interlude; Best for Last; Can I Get It; Can’t Be Together; Can’t Let Go; Crazy for You; Cry Your Heart Out; Don’t You Remember; Easy On Me; First Love; He Won’t Go; Hello; Hold On; I Drink Wine; I Found a Boy; I Miss You; I’ll Be Waiting; Lay Me Down; Love Is A Game; Love in the Dark; Lovesong; Make You Feel My Love; Melt My Heart to Stone; Million Years Ago; My Little Love; Oh My God; One and Only; Remedy; Right as Rain; River Lea; Rolling in the Deep; Rumour Has It; Send My Love (To Your New Lover); Set Fire to the Rain; Skyfall; Someone Like You; Sweetest Devotion; Take It All; Turning Tables; Water Under the Bridge; When We Were Young; Why Do You Love Me; Wild Wild West; Woman Like Me,9.38,True,5
to,to,PART,407,49,All I Ask; All Night Parking Interlude; Best for Last; Can I Get It; Can’t Be Together; Can’t Let Go; Chasing Pavements; Crazy for You; Cry Your Heart Out; Daydreamer; Don’t You Remember; Easy On Me; First Love; He Won’t Go; Hello; Hold On; Hometown Glory; I Drink Wine; I Found a Boy; I Miss You; I’ll Be Waiting; Lay Me Down; Love Is A Game; Love in the Dark; Make You Feel My Love; Melt My Heart to Stone; Million Years Ago; My Little Love; Oh My God; One and Only; Remedy; Right as Rain; River Lea; Rolling in the Deep; Rumour Has It; Send My Love (To Your New Lover); Set Fire to the Rain; Skyfall; Someone Like You; Strangers By Nature; Sweetest Devotion; Take It All; To Be Loved; Turning Tables; Water Under the Bridge; When We Were Young; Why Do You Love Me; Wild Wild West; Woman Like Me,8.31,True,6
n't,not,PART,337,45,All I Ask; All Night Parking Interlude; Best for Last; Can I Get It; Can’t Be Together; Can’t Let Go; Chasing Pavements; Crazy for You; Cry Your Heart Out; Daydreamer; Don’t You Remember; Easy On Me; First Love; He Won’t Go; Hello; Hold On; Hometown Glory; I Drink Wine; I Found a Boy; I Miss You; Lay Me Down; Love Is A Game; Love in the Dark; Make You Feel My Love; Million Years Ago; My Little Love; Oh My God; One and Only; Remedy; Right as Rain; River Lea; Rolling in the Deep; Rumour Has It; Send My Love (To Your New Lover); Set Fire to the Rain; Someone Like You; Sweetest Devotion; Take It All; To Be Loved; Turning Tables; Water Under the Bridge; When We Were Young; Why Do You Love Me; Wild Wild West; Woman Like Me,7.49,True,7
my,my,PRON,278,48,All I Ask; All Night Parking Interlude; Best for Last; Can I Get It; Can’t Be Together; Can’t Let Go; Chasing Pavements; Crazy for You; Cry Your Heart Out; Daydreamer; Don’t You Remember; Easy On Me; First Love; He Won’t Go; Hold On; Hometown Glory; I Drink Wine; I Found a Boy; I Miss You; I’ll Be Waiting; Lay Me Down; Love Is A Game; Love in the Dark; Make You Feel My Love; Melt My Heart to Stone; Million Years Ago; My Little Love; Oh My God; One and Only; Remedy; Right as Rain; River Lea; Rolling in the Deep; Rumour Has It; Send My Love (To Your New Lover); Set Fire to the Rain; Skyfall; Someone Like You; Strangers By Nature; Sweetest Devotion; Take It All; To Be Loved; Turning Tables; Water Under the Bridge; When We Were Young; Why Do You Love Me; Wild Wild West; Woman Like Me,5.79,True,8
and,and,CCONJ,270,47,All I Ask; All Night Parking Interlude; Best for Last; Can I Get It; Can’t Be Together; Can’t Let Go; Chasing Pavements; Crazy for You; Daydreamer; Don’t You Remember; Easy On Me; First Love; He Won’t Go; Hello; Hold On; Hometown Glory; I Drink Wine; I Found a Boy; I Miss You; I’ll Be Waiting; Lay Me Down; Love Is A Game; Love in the Dark; Make You Feel My Love; Melt My Heart to Stone; Million Years Ago; My Little Love; Oh My God; One and Only; Remedy; Right as Rain; River Lea; Rolling in the Deep; Rumour Has It; Send My Love (To Your New Lover); Set Fire to the Rain; Skyfall; Someone Like You; Strangers By Nature; Sweetest Devotion; Take It All; To Be Loved; Water Under the Bridge; When We Were Young; Why Do You Love Me; Wild Wild West; Woman Like Me,5.74,True,9
do,do,AUX,221,39,All I Ask; All Night Parking Interlude; Best for Last; Can I Get It; Can’t Be Together; Can’t Let Go; Chasing Pavements; Crazy for You; Don’t You Remember; Easy On Me; First Love; He Won’t Go; Hello; Hold On; Hometown Glory; I Drink Wine; I Found a Boy; I Miss You; I’ll Be Waiting; Lay Me Down; Love Is A Game; Love in the Dark; Make You Feel My Love; Melt My Heart to Stone; Million Years Ago; My Little Love; Oh My God; One and Only; Right as Rain; Rolling in the Deep; Rumour Has It; Someone Like You; Take It All; To Be Loved; Water Under the Bridge; When We Were Young; Why Do You Love Me; Wild Wild West; Woman Like Me,5.67,True,10
