"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Forever Young","Alphaville","First Harvest 1984-92","","September 20, 1984","872681","268","38","","https://genius.com/Alphaville-forever-young-lyrics","217981","Let's dance in style, let's dance for a while
Heaven can wait, we're only watching the skies
Hoping for the best but expecting the worst
Are you gonna drop the bomb or not?
Let us die young or let us live forever
We don't have the power but we never say never
Sitting in a sandpit, life is a short trip
The music's for the sad man

Can you imagine when this race is won?
Turn our golden faces into the sun
Praising our leaders, we're getting in tune
The music's played by the, the mad man

Forever young, I want to be forever young
Do you really want to live forever?
Forever, and ever
Forever young, I want to be forever young
Do you really want to live forever?
Forever young

Some are like water, some are like the heat
Some are a melody and some are the beat
Sooner or later, they all will be gone
Why don't they stay young?
It's so hard to get old without a cause
I don't want to perish like a fading horse
Youth's like diamonds in the sun
And diamonds are forever

So many adventures couldn't happen today
So many songs we forgot to play
So many dreams swinging out of the blue
We let them come true

Forever young, I want to be forever young
Do you really want to live forever?
Forever, and ever
Forever young, I want to be forever young
Do you really want to live forever?
Forever, and ever

Forever young, I wanna be forever young
Do you really want to live forever? (Forever)"
"2","Big in Japan","Alphaville","Forever Young","","January 1984","268761","355","52","","https://genius.com/Alphaville-big-in-japan-lyrics","796812","Winter's city side, crystal bits of snowflakes
All around my head and in the wind
I had no illusions that I'd ever find
A glimpse of summer's heatwaves in your eyes

You did what you did to me
Now it's history I see
Here's my comeback on the road again
Things will happen while they can
I will wait here for my man tonight
It's easy when you're big in Japan

Oh, when you're big in Japan, tonight
Big in Japan, be tight
Big in Japan, ooh, the eastern sea's so blue
Big in Japan, alright
Pay, then I'll sleep by your side
Things are easy when you're big in Japan
Oh, when you're big in Japan

Neon on my naked skin
Passing silhouettes of strange illuminated mannequins
Shall I stay here at the zoo?
Or should I go and change my point of view for other ugly scenes?

You did what you did to me
Now it's history, oh, you see
Things will happen while they can
I will wait here for my man tonight
It's easy when you're big in Japan

Oh, when you're big in Japan, tonight
Big in Japan, be tight
Big in Japan, ooh, the eastern sea's so blue
Big in Japan, alright
Pay, then I'll sleep by your side
Things are easy when you're big in Japan
Oh, when you're big in Japan, tonight
Big in Japan, be tight
Big in Japan, ooh, the eastern sea's so blue
Big in Japan, alright
Pay, then I'll sleep by your side
Things are easy when you're big in Japan
Oh, when you're big in Japan

Oh, when you're big in Japan, tonight
Big in Japan, be tight
Big in Japan, ooh, the eastern sea's so blue
Big in Japan, alright
Pay, then I'll sleep by your side
Things are easy when you're big in Japan
Oh, when you're big in Japan, tonight
Big in Japan, be tight
Big in Japan, ooh, the eastern sea's so blue
Big in Japan, alright
Pay, then I'll sleep by your side
Things are easy when you're big in Japan
Oh, when you're big in Japan"
"3","Sounds Like a Melody","Alphaville","CrazyShow","","September 27, 1984","26142","241","24","","https://genius.com/Alphaville-sounds-like-a-melody-lyrics","797376","It's a trick of my mind, two faces bathing in the screen light
She's so soft and warm in my arms
I tune it into the scene, my hands are resting on her shoulders
When we're dancing away for a while

Oh, we're moving, we're falling, we step into the fire
By the hour of the wolf in a midnight dream
There's no reason to hurry, just start that brand new story
Set it alight, we're head over heels in love, head over heels

The ringing of your laughter, it sounds like a melody
To once forbidden places, we'll go for a while
The ringing of your laughter, it sounds like a melody
To once forbidden places, we'll go for a while

It's the definite show, our shadows resting in the moonlight
It's so clear and bright in your eyes
It's the touch of your sighs, my lips are resting on your shoulder
When we're moving so soft and slow

We need the ecstasy, the jealousy, the comedy of love
Like the Cary Grants and Kellys once before
Give me more tragedy, more harmony, and fantasy, my dear
And set it alight, just staring at the satellite, set it alight

The ringing of your laughter, it sounds like a melody
To once forbidden places, we'll go for a while
The ringing of your laughter, it sounds like a melody
To once forbidden places, we'll go for a, go for a while"
"4","Summer in Berlin","Alphaville","Forever Young","","September 27, 1984","7876","320","66","","https://genius.com/Alphaville-summer-in-berlin-lyrics","797046","This day's an invitation
And it's just for you
You've got a reservation
For the 17th of June
Open your eyes
And let the Sun break in for a while
There may be something
That you've never seen inside

Feel how your heart beats like a
Heavy machine
The sound of the traffic is like a
Silent dream

The dust in the park
The exhaust from the cars
Ascends in that heated afternoon
You touch a sweaty body

Summer in Berlin
It's alright (it's alright)
The days feel so tired
From the lead in the air
And the fire in the skies
Life seemed to be a fault of grace
But it's okay
It gave you a kiss
In the middle of the crossroads

Feel how your heart beats like a
Heavy machine
The sound of the traffic is like a
Silent dream

The dust in the park
The exhaust from the cars
Ascends in that heated afternoon
You touch a sweaty body

Summer in Berlin
It's alright (it's alright)
The days feel so tired
From the lead in the air
And the fire in the sky
Life seemed to be a fault of grace
But it's okay
It gave you a kiss
In the middle of the crossroads

Summer in Berlin
Summer in Berlin
It's alright (it's alright)
The heat of the sun
Which is stored in the pavement
Feels so fine
Here stands the innocent
And there it comes oh so wild
That's when you're longing
For a summer by the wall

Summer in Berlin
Summer in Berlin
It's alright (it's alright)
It's a summer in Berlin
The heat of the sun
Which is stored in the pavement
Feels so fine
It's a summer in Berlin
Here stands the innocent
And there it comes oh so wild
It's a summer in Berlin
That's when you're longing
For a summer by the wall
It's a summer by the wall"
"5","A Victory of Love","Alphaville","Forever Young","","September 27, 1984","7686","218","55","","https://genius.com/Alphaville-a-victory-of-love-lyrics","797472","Waiting for a change in the weather
I'm waiting for a shift in the air
Could we get it together, ever
Hoping for your return
Hoping for your sweet, sweet return

Hello, is this heaven calling?
Hello, hello
Is somebody there?
She must be somewhere
And then she says
Hello, hello, hello
She's really an angel
She stands in the sunshine
She's closing her eyes
She's starting to dream
She's pulling the strings
She's dreaming a strange dream
Where nothing is grey
Then she takes me away
And she's pulling the strings
When she's playing with love

Hello, hello
She's playing with love
Hello, hello
She's playing with love
Hello, hello
She's playing with love
Hello, hello
Ah, she's playing with love
Hello, hello
She's playing with love
Hello, hello
She's playing with love

Counting, I count every second
And I'm standing
I stand in the rain
I walk up that lane
Which leads to the sunshine
She stands in the sunshine
She's closing her eyes
Then she takes me away
And she's pulling the strings
When she's playing with love

Hello, hello
She's playing with love
Hello, hello
She's playing with love
Hello, hello
She's playing with love
Hello, hello
Ah, she's playing with love
Hello, hello
She's playing with love
Hello, hello
She's playing with love"
"6","Dance with Me","Alphaville","Afternoons in Utopia","","June 5, 1986","7032","301","28","","https://genius.com/Alphaville-dance-with-me-lyrics","797594","When the heat of light melts into the speeding time
When the king returns from the ivory cityside
Let the Magnet-Mages wave the signals, flashing, oh, so fast
There you'll meet me, dear, under the moonshine

In a lover's Heaven, we'll keep our promises at last
In a lover's Heaven, we'll forget the past

Do you want to dance with me through one of those lonely nights?
It's more than a dream, maybe we're reaching the gardens of delight
Do you want to dance with me through one of those lonely nights?
It's more than a dream, maybe we're drowning in Empires of Delight

In the stardust dawn underneath the crystal roofs
Where the Solar Boys are playing games they never lose
Where the sailors are swaying through the Lightdomes shining from the skies
There you'll meet me, darling, anyway

In a lover's Heaven, we'll keep our promises at last
In a lover's Heaven, we'll forget the past

Do you want to dance with me through one of those lonely nights?
It's more than a dream, maybe we're reaching the gardens of delight
Do you want to dance with me through one of those lonely nights?
It's more than a dream, maybe we're drowning in Empires of Delight

In a lover's Heaven, we'll keep our promises at last
In a lover's Heaven, we'll forget the past

Do you want to dance with me through one of those lonely nights?
It's more than a dream, maybe we're reaching the gardens of delight
Do you want to dance with me through one of those lonely nights?
It's more than a dream, maybe we're drowning in Empires of Delight

Do you want to dance with me through one of those lonely nights?
It's more than a dream, maybe we're reaching the gardens of delight"
"7","To Germany With Love","Alphaville","Forever Young","","September 27, 1984","6687","324","68","","https://genius.com/Alphaville-to-germany-with-love-lyrics","797470","I am an emigre
I write to Germany
In foreign words
A tongue of actuality
Coated in grey gloves
To Germany with love
A war between the wars
To Germany with love

I am an emigre
I write to Germany
In foreign words
A tongue of actuality
Coated in grey gloves
Coated in grey gloves
To Germany with love
To Germany with love
A war between the wars
A war between the wars
A war between the wars
A war between the wars

Triumph over by-gone sorrow
Can in unity be won
Let them all persue this purpose
'Til reality is gone
I am an unexpected spy
From the outside of my eye
Translate it first then comprehend
I'm here indeed but there I stand

I write to Germany
I write to Germany
To Germany with love
Germany with love
I write to Germany
I write to Germany
To Germany with love
Germany with love

This is the turn of colours
All real but still unseen
There is no more decision
'Cause there's too much in between
Let us build a nightmare nation
Learn and work as never yet
That this cold new generation
Faith in its own fears beget
Here comes the modern rat
Here comes the terror-squad
Ours is the salt of wisdom
Here we come all dressed in black
From the ruins risen slowly
To the future turned we stand
Flourish in this blessing glory
Flourish, German fatherland

I write to Germany
I write to Germany
To Germany with love
Germany with love
I write to Germany
I write to Germany
Germany with love
Germany with love
I write to Germany (I write to Germany)
I write to Germany (I write to Germany)
I write to Germany (I write to Germany)
I write to Germany (I write to Germany)
To Germany
I write to Germany (I write to Germany)
I write to Germany (I write to Germany)
I write in Germany"
"8","Fallen Angel","Alphaville","Forever Young","","September 27, 1984","","420","77","","https://genius.com/Alphaville-fallen-angel-lyrics","797281","I hear those voices on the radio
I switched it off because she told me so
She's an investigator
She's like an elevator
Nobody told me we'd be all alone
You know
Somewhere my friend he'd left me
In that red light zone
You know
She said: I've seen your deepest secrets, son
They're just as lightning
In the look of your eyes

I said: I want you, baby
I said: I want some more
I said: I never ever felt it like that moment before
She's an assassin
She's melting steel in my heart
But I long for more
She said: I want your body
She said: I want your soul
She said: A fallen angel takes it but she'll never let go
She's an invader
She's from another world
But I beg for more and more

She's raising feelings cutting like a knife
She's pouring fire into my liquid life
There's no escaping from her mysteries
She gives my kisses of the strangest kind

She says: I know you'll like it
So come over here
She says: Just let that rhythm filter
Through your body, dear
And then she...
She always did it and she always will
She'll stay that hunter
'Till the end of time

I said: I want you, baby
I said: I want some more
I said: I never ever felt it like that moment before
She's an assassin
She's melting steel in my heart
But I long for more
She said: I want your body
She said: I want your soul
She said: A fallen angel takes it but she'll never let go
She's an invader
She's from another world
But I beg for more and more

I said: I want you, baby
I said: I want some more
I said: I never ever felt it like that moment before
She's an assassin
She's melting steel in my heart
In my heart...
In my heart!
In my, in my, in my heart...
In my heart...
In my heart...
In my heart...
In my heart...
In my heart...
I said: I want you, baby
In my heart...
Never ever felt it
In my, in my heart...
Like that moment before
In my, in my heart...
She's melting steel in my heart
In my, in my heart...
Like that moment before
In my, in my heart...
In my, in my heart...
Never ever felt it
In my, in my heart...
Like that moment before
She's melting steel in my heart
She's melting steel in my heart"
"9","Jerusalem","Alphaville","First Harvest 1984-92 [digital version]","","June 5, 1986","","200","36","","https://genius.com/Alphaville-jerusalem-lyrics","797095","Waiting on this empty street
Watching the river's waves go by
Feeling mellow, lighting a cigarette
Silver moon floats through the night
Eris, Princess of the Isles
Disperse your sparkling trace
Lead him on to the house of love
Where the God may turn his eyes

To Jerusalem, we pray
It's time to meet you there
Let's take love to Jerusalem, oh yeah
Let's take love to Jerusalem
Rain on, love

You might be the one I'm waiting for
I think we've met somewhere for sure
Chasing shadows leaves you feeling blue
This situation needs a cure
New assassins, new messiahs
Keepers of the balanced law
Strangest lovers of the fire
Which ignites the Halo of our souls

Oh, Jerusalem, we pray
It's time to meet you there
Let's take love to Jerusalem, oh yeah
Let's take love
To Jerusalem, we pray
It's time to meet you there
Let's take love to Jerusalem, oh yeah
Oh, Jerusalem

Big yellow cadillac, carry me back home (Carry me back home)
On glory roads of pure delight
We head out for the stars

To Jerusalem, we pray
It's time to meet you there
Let's take love to Jerusalem, oh yeah
Reign our love"
"10","The Jet Set","Alphaville","Forever Young","","September 27, 1984","","325","48","","https://genius.com/Alphaville-the-jet-set-lyrics","796776","Yeah

This is the time, now gimme that beat
Feel how the rhythm grips your feet
Kitty baby, take my hand
She's like a devil, heaven sent
I'm in her arms and she's in mine
Maybe we make the film on time
Sitting in the 15th row
Oh baby, baby, I love you so

We are the jet set society
We are the jet set and that means liberty, liberty
The jet set society
We are the jet set set, we are the jet set set
Society

We're on the run, we know where to go
We got the tickets for the midnight show
These nights are burning out so fast
Hop on the beam, you won't be last
The Russians seem to be that way
We love them like we love D. Kaye
We need no money, we get it for free
We are the high-high-high-high-high society

We are the jet set society
We are the jet set and that means liberty, liberty
The jet set society
We are the jet set set, we are the jet set set
Society

We are the jet set, hop on the beam
We are the jet set, hop on the beam
We are the jet set, hop on the beam
We are the jet set, hop on the beam
Hop on the beam
Shine on, society, shine on, liberty
Shine on, luxury, shine on, society

Streets are full of love and fear
This could be the final year
Enrico's dead but still okay
We dance the streets, feeling well
If she's a liar, I'm her lover
If she's a priestess, I'm her cover
If she's a lady, I'm her man
If she's a man, I'll do what I can

We are the jet set society
We are the jet set and that means liberty, liberty
The jet set society
We are the jet set set, we are the jet set set
Society

Let's go to the moon"
