word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,722,50,A Handful of Darkness; A Victory of Love; Afternoons in Utopia; Apollo; Ariana; Around the Universe; Beyond the Laughing Sky; Big In Japan - Original; Big in Japan; Big in Japan [1988 Remix]; Call Me Down; Carol Masters; Dance with Me; Enigma; Fallen Angel; Fantastic Dream; Flame; Fools; For a Million; Forever Young; Forever Young (demo remix); Forever Young (mSOLO Remix); Forever Young - Remastered Version; Forever Young [Special Dance Version]; Heartbreak City; House of Ghosts; I Die For You Today; In the Mood; Iron John; Jerusalem; Lassie Come Home; Lies; Mafia Island; Marionettes with Halos; Nevermore; Next Generation (remix); Red Rose; Romeos; Seeds; Sensations; She Fades Away; Song For No One; Sounds Like a Melody; Summer Rain; Summer in Berlin; The Jet Set; The Mysteries of Love; The Things I Didn’t Do; To Germany With Love; Universal Daddy,14.44,True,1
i,i,PRON,413,38,A Handful of Darkness; A Victory of Love; Apollo; Around the Universe; Beyond the Laughing Sky; Big In Japan - Original; Big in Japan; Big in Japan [1988 Remix]; Call Me Down; Carol Masters; Enigma; Fallen Angel; Flame; For a Million; Forever Young; Forever Young (demo remix); Forever Young (mSOLO Remix); Forever Young - Remastered Version; Forever Young [Special Dance Version]; Heartbreak City; House of Ghosts; I Die For You Today; Jerusalem; Lassie Come Home; Lies; Nevermore; Next Generation (remix); Red Rose; Seeds; She Fades Away; Song For No One; Sounds Like a Melody; Summer Rain; The Jet Set; The Mysteries of Love; The Things I Didn’t Do; To Germany With Love; Universal Daddy,10.87,True,2
you,you,PRON,373,44,A Handful of Darkness; Afternoons in Utopia; Apollo; Ariana; Around the Universe; Beyond the Laughing Sky; Big In Japan - Original; Big in Japan; Big in Japan [1988 Remix]; Call Me Down; Carol Masters; Dance with Me; Enigma; Fallen Angel; Fantastic Dream; Flame; Fools; For a Million; Forever Young; Forever Young (demo remix); Forever Young (mSOLO Remix); Forever Young - Remastered Version; Forever Young [Special Dance Version]; Heartbreak City; House of Ghosts; I Die For You Today; In the Mood; Iron John; Jerusalem; Lassie Come Home; Lies; Marionettes with Halos; Nevermore; Next Generation (remix); Red Rose; Romeos; Seeds; Sensations; Song For No One; Summer in Berlin; The Jet Set; The Mysteries of Love; The Things I Didn’t Do; Universal Daddy,8.48,True,3
in,in,ADP,348,44,A Handful of Darkness; A Victory of Love; Afternoons in Utopia; Apollo; Beyond the Laughing Sky; Big In Japan - Original; Big in Japan; Big in Japan [1988 Remix]; Carol Masters; Dance with Me; Enigma; Fallen Angel; Fantastic Dream; Flame; For a Million; Forever Young; Forever Young (demo remix); Forever Young (mSOLO Remix); Forever Young - Remastered Version; Forever Young [Special Dance Version]; Heartbreak City; House of Ghosts; I Die For You Today; In the Mood; Iron John; Lassie Come Home; Lies; Mafia Island; Marionettes with Halos; Nevermore; Next Generation (remix); Red Rose; Romeos; Seeds; Sensations; She Fades Away; Sounds Like a Melody; Summer Rain; Summer in Berlin; The Jet Set; The Mysteries of Love; The Things I Didn’t Do; To Germany With Love; Universal Daddy,7.91,True,4
to,to,PART,317,47,A Handful of Darkness; A Victory of Love; Afternoons in Utopia; Apollo; Ariana; Around the Universe; Beyond the Laughing Sky; Big In Japan - Original; Big in Japan; Big in Japan [1988 Remix]; Call Me Down; Carol Masters; Dance with Me; Enigma; Fantastic Dream; Flame; Fools; For a Million; Forever Young; Forever Young (demo remix); Forever Young (mSOLO Remix); Forever Young - Remastered Version; Forever Young [Special Dance Version]; Heartbreak City; House of Ghosts; I Die For You Today; In the Mood; Iron John; Jerusalem; Lassie Come Home; Lies; Mafia Island; Nevermore; Next Generation (remix); Red Rose; Seeds; Sensations; She Fades Away; Song For No One; Sounds Like a Melody; Summer Rain; Summer in Berlin; The Jet Set; The Mysteries of Love; The Things I Didn’t Do; To Germany With Love; Universal Daddy,6.74,True,5
s,us,PRON,307,44,A Handful of Darkness; A Victory of Love; Afternoons in Utopia; Apollo; Ariana; Around the Universe; Beyond the Laughing Sky; Big In Japan - Original; Big in Japan; Big in Japan [1988 Remix]; Call Me Down; Carol Masters; Dance with Me; Enigma; Fallen Angel; Fantastic Dream; Fools; Forever Young; Forever Young (demo remix); Forever Young (mSOLO Remix); Forever Young - Remastered Version; Forever Young [Special Dance Version]; Heartbreak City; House of Ghosts; In the Mood; Iron John; Jerusalem; Lassie Come Home; Lies; Mafia Island; Marionettes with Halos; Nevermore; Next Generation (remix); Red Rose; Romeos; Sensations; She Fades Away; Song For No One; Sounds Like a Melody; Summer in Berlin; The Jet Set; The Mysteries of Love; To Germany With Love; Universal Daddy,6.98,True,6
a,a,DET,258,45,A Handful of Darkness; A Victory of Love; Apollo; Ariana; Around the Universe; Beyond the Laughing Sky; Big In Japan - Original; Big in Japan; Big in Japan [1988 Remix]; Carol Masters; Dance with Me; Enigma; Fallen Angel; Flame; Fools; For a Million; Forever Young; Forever Young (demo remix); Forever Young (mSOLO Remix); Forever Young - Remastered Version; Forever Young [Special Dance Version]; Heartbreak City; House of Ghosts; I Die For You Today; In the Mood; Iron John; Jerusalem; Lassie Come Home; Lies; Mafia Island; Marionettes with Halos; Next Generation (remix); Red Rose; Romeos; Seeds; Sensations; She Fades Away; Sounds Like a Melody; Summer Rain; Summer in Berlin; The Jet Set; The Mysteries of Love; The Things I Didn’t Do; To Germany With Love; Universal Daddy,5.73,True,7
and,and,CCONJ,243,46,A Handful of Darkness; A Victory of Love; Afternoons in Utopia; Apollo; Ariana; Around the Universe; Beyond the Laughing Sky; Big In Japan - Original; Big in Japan; Big in Japan [1988 Remix]; Call Me Down; Carol Masters; Enigma; Fallen Angel; Flame; Fools; For a Million; Forever Young; Forever Young (demo remix); Forever Young (mSOLO Remix); Forever Young - Remastered Version; Forever Young [Special Dance Version]; Heartbreak City; House of Ghosts; I Die For You Today; In the Mood; Iron John; Lassie Come Home; Lies; Mafia Island; Marionettes with Halos; Nevermore; Next Generation (remix); Red Rose; Romeos; Seeds; Sensations; She Fades Away; Song For No One; Sounds Like a Melody; Summer Rain; Summer in Berlin; The Jet Set; The Mysteries of Love; The Things I Didn’t Do; To Germany With Love,5.28,True,8
of,of,ADP,193,45,A Handful of Darkness; Apollo; Around the Universe; Beyond the Laughing Sky; Big In Japan - Original; Big in Japan; Big in Japan [1988 Remix]; Call Me Down; Carol Masters; Dance with Me; Fallen Angel; Fantastic Dream; Flame; Fools; For a Million; Forever Young; Forever Young (demo remix); Forever Young (mSOLO Remix); Forever Young - Remastered Version; Forever Young [Special Dance Version]; House of Ghosts; I Die For You Today; In the Mood; Iron John; Jerusalem; Lassie Come Home; Lies; Mafia Island; Marionettes with Halos; Nevermore; Next Generation (remix); Red Rose; Romeos; Seeds; Sensations; She Fades Away; Song For No One; Sounds Like a Melody; Summer Rain; Summer in Berlin; The Jet Set; The Mysteries of Love; The Things I Didn’t Do; To Germany With Love; Universal Daddy,4.29,True,9
we,we,PRON,185,30,A Handful of Darkness; A Victory of Love; Afternoons in Utopia; Apollo; Ariana; Carol Masters; Dance with Me; Enigma; Fallen Angel; Fantastic Dream; Flame; Fools; For a Million; Forever Young; Forever Young (demo remix); Forever Young (mSOLO Remix); Forever Young - Remastered Version; Forever Young [Special Dance Version]; In the Mood; Jerusalem; Mafia Island; Red Rose; Romeos; Sensations; Sounds Like a Melody; Summer Rain; The Jet Set; The Mysteries of Love; The Things I Didn’t Do; To Germany With Love,6.17,True,10
it,it,PRON,159,36,A Handful of Darkness; A Victory of Love; Apollo; Around the Universe; Beyond the Laughing Sky; Big In Japan - Original; Big in Japan; Big in Japan [1988 Remix]; Dance with Me; Fallen Angel; Fantastic Dream; For a Million; Forever Young; Forever Young (demo remix); Forever Young (mSOLO Remix); Forever Young - Remastered Version; Forever Young [Special Dance Version]; Heartbreak City; I Die For You Today; In the Mood; Iron John; Jerusalem; Lassie Come Home; Lies; Nevermore; Next Generation (remix); Red Rose; Romeos; Seeds; She Fades Away; Sounds Like a Melody; Summer in Berlin; The Jet Set; The Mysteries of Love; To Germany With Love; Universal Daddy,4.42,True,11
for,for,ADP,140,41,A Handful of Darkness; A Victory of Love; Afternoons in Utopia; Apollo; Ariana; Around the Universe; Beyond the Laughing Sky; Big In Japan - Original; Big in Japan; Big in Japan [1988 Remix]; Carol Masters; Enigma; Fallen Angel; Fantastic Dream; Flame; Fools; For a Million; Forever Young; Forever Young (demo remix); Forever Young (mSOLO Remix); Forever Young - Remastered Version; Forever Young [Special Dance Version]; Heartbreak City; House of Ghosts; I Die For You Today; In the Mood; Iron John; Jerusalem; Lies; Mafia Island; Marionettes with Halos; Nevermore; Romeos; Sensations; Song For No One; Sounds Like a Melody; Summer Rain; Summer in Berlin; The Jet Set; The Things I Didn’t Do; Universal Daddy,3.41,True,12
