"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Do I Wanna Know?","Arctic Monkeys","AM (Live EP Bonus Edition)","","June 18, 2013","7416015","394","50","","https://genius.com/Arctic-monkeys-do-i-wanna-know-lyrics","154314","Have you got colour in your cheeks?
Do you ever get that fear that you can't shift the type
That sticks around like summat in your teeth?
Are there some aces up your sleeve?
Have you no idea that you're in deep?
I've dreamt about you nearly every night this week
How many secrets can you keep?
'Cause there's this tune I found
That makes me think of you somehow an' I play it on repeat
Until I fall asleep, spillin' drinks on my settee

(Do I wanna know) If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you'd stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day

Crawlin' back to you
Ever thought of callin' when
You've had a few?
'Cause I always do
Maybe I'm too
Busy bein' yours
To fall for somebody new
Now I've thought it through
Crawlin' back to you

So have you got the guts?
Been wonderin' if your heart's still open
And if so, I wanna know what time it shuts
Simmer down an' pucker up, I'm sorry to interrupt
It's just I'm constantly on the cusp of tryin' to kiss you
But I don't know if you feel the same as I do
But we could be together if you wanted to

(Do I wanna know) If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you'd stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day

Crawlin' back to you (Crawlin' back to you)
Ever thought of callin' when
You've had a few? (You've had a few)
'Cause I always do ('Cause I always do)
Maybe I'm too (Maybe I'm too busy)
Busy bein' yours (Bein' yours)
To fall for somebody new
Now I've thought it through
Crawlin' back to you

(Do I wanna know) If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you'd stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day
(Do I wanna know?) Too busy bein' yours to fall
(Sad to see you go) Ever thought of callin', darlin'?
(Do I wanna know?) Do you want me crawlin' back to you?"
"2","505","Arctic Monkeys","Favourite Worst Nightmare","","April 18, 2007","2612836","211","29","","https://genius.com/Arctic-monkeys-505-lyrics","93916","I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side
With your hands between your thighs

Stop and wait a sec
And when you look at me like that, my darlin'
What did you expect?
I'd probably still adore you
With your hands around my neck
Or I did last time I checked
Not shy of a spark
The knife twists at the thought
That I should fall short of the mark
Frightened by the bite, though
It's no harsher than the bark
The middle of adventure
Such a perfect place to start

I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side
With your hands between your thighs

But I crumble completely when you cry
It seems like once again you've had to greet me with goodbye
I'm always just about to go and spoil the surprise
Take my hands off of your eyes too soon

I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side
With your hands between your thighs and a smile"
"3","Fluorescent Adolescent","Arctic Monkeys","Favourite Worst Nightmare","","July 4, 2007","2318729","348","54","","https://genius.com/Arctic-monkeys-fluorescent-adolescent-lyrics","88856","You used to get it in your fishnets
Now you only get it in your night dress
Discarded all the naughty nights for niceness
Landed in a very common crisis
Everything's in order in a black hole
Nothing seems as pretty as the past though
That Bloody Mary's lacking in Tabasco
Remember when you used to be a rascal?

Oh, the boy's a slag, the best you ever had
The best you ever had is just a memory
And those dreams weren't as daft as they seem
As daft as they seem, my love, when you dream them up

Flicking through a little book of sex tips
Remember when the boys were all electric?
And now, when she's told she's gonna get it
I'm guessing that she'd rather just forget it
Clinging to not getting sentimental
Said she wasn't going but she went still
Likes her gentlemen not to be gentle
Was it a Mecca Dauber or a betting pencil?

Oh, the boy's a slag, the best you ever had
The best you ever had is just a memory
And those dreams weren't as daft as they seem
Not as daft as they seem, my love, when you dream them up

Oh, Flo, where did you go?
Where did you go? Where did you go?

You're falling about
You took a left off Last Laugh Lane
Just sounding it out
But you're not coming back again
You're falling about
You took a left off Last Laugh Lane
You were just sounding it out
But you're not coming back again

You used to get it in your fishnets
(
Falling about
)
Now you only get it in your night dress
Discarded all the naughty nights for niceness
(
You took a left off Last Laugh Lane
)
Landed in a very common crisis
Everything's in order in a black hole
(
You were just sounding it out
)
Is anything as pretty in the past though?
That Bloody Mary's lacking in Tabasco
(
You're not coming back again
)
Remember when you used to be a rascal, oh?"
"4","Why’d You Only Call Me When You’re High?","Arctic Monkeys","AM (Live EP Bonus Edition)","","August 11, 2013","1610116","268","36","","https://genius.com/Arctic-monkeys-whyd-you-only-call-me-when-youre-high-lyrics","197412","The mirror's image tells me it's home time
But I'm not finished, 'cause you're not by my side
And as I arrived I thought I saw you leavin'
Carryin' your shoes
Decided that once again I was just dreamin'
Of bumpin' into you

Now, it's three in the mornin'
And I'm tryna' change your mind
Left you multiple missed calls
And to my message, you reply
""Why'd you only call me when you're high?""
""Hi, why'd you only call me when you're high?""

Somewhere darker, talkin' the same shite
I need a partner, (High) well are you out tonight?
It's harder and harder to get you to listen
More I get through the gears
Incapable of makin' alright decisions
And having bad ideas

Now, it's three in the mornin'
And I'm tryna' change your mind
Left you multiple missed calls
And to my message, you reply (Message, you reply)
""Why'd you only call me when you're high?""
(Why'd you only call me when you're)
""Hi, why'd you only call me when you're high?""

And I can't see you here, wonder where I might
It sort of feels like I'm runnin' out of time
I haven't found all I was hopin' to find
You said you got to be up in the mornin'
Gonna have an early night
And you're startin' to bore me, baby
""Why'd you only call me when you're high?""

""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're (high)?"""
"5","I Wanna Be Yours","Arctic Monkeys","AM (Live EP Bonus Edition)","","September 6, 2013","1584770","237","44","","https://genius.com/Arctic-monkeys-i-wanna-be-yours-lyrics","213161","I wanna be your vacuum cleaner
Breathin' in your dust
I wanna be your Ford Cortina
I will never rust
If you like your coffee hot
Let me be your coffee pot
You call the shots, babe
I just wanna be yours

Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours

I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

Let me be your 'leccy meter
An' I'll never run out
Let me be the portable heater
That you'll get cold without
I wanna be your setting lotion (Wanna be)
Hold your hair in deep devotion (How deep?)
At least as deep as the Pacific Ocean
I wanna be yours

Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours

I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

I wanna be your vacuum cleaner (Wanna be yours)
Breathin' in your dust (Wanna be yours)
I wanna be your Ford Cortina (Wanna be yours)
I will never rust (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)"
"6","R U Mine?","Arctic Monkeys","AM (Live EP Bonus Edition)","","February 27, 2012","1151040","295","40","","https://genius.com/Arctic-monkeys-r-u-mine-lyrics","75913","I'm a puppet on a string
Tracy Island, time-traveling
Diamond cutter-shaped heartaches
That come to find you four in some velvet morning
Years too late, she's a silver lining
Lone ranger riding through an open space
In my mind when she's not right there beside me

I go crazy 'cause here isn't where I wanna be
And satisfaction feels like a distant memory
And I can't help myself, all I
Wanna hear her say is ""Are you mine?""
Well, are you mine?
Are you mine?
Are you mine? Oh, ah

I guess what I'm trying to say is I need the deep end
Keep imagining meeting, wished away entire lifetimes
Unfair we're not somewhere misbehaving for days
Great escape, lost track of time and space
She's a silver lining climbing on my desire

And I go crazy 'cause here isn't where I wanna be
And satisfaction feels like a distant memory
And I can't help myself, all I
Wanna hear her say is ""Are you mine?""
Well, are you mine? (Are you mine tomorrow?)
Are you mine? (Or just mine tonight?)
Are you mine? (Are you mine, mine?)

And the thrill of the chase moves in mysterious ways
So in case I'm mistaken, I
Just wanna hear you say, ""You got me, baby, are you mine?""

She's a silver lining
Lone ranger riding through an open space
In my mind when she's not right there beside me

I go crazy 'cause here isn't where I wanna be
And satisfaction feels like a distant memory
And I can't help myself, all I
Wanna hear her say is ""Are you mine?""
Well, are you mine? (Are you mine tomorrow?)
Are you mine? (Or just mine tonight?)
Are you mine? (Are you mine tomorrow?)
(Or just mine tonight?)"
"7","Arabella","Arctic Monkeys","AM (Live EP Bonus Edition)","","September 6, 2013","1044813","253","37","","https://genius.com/Arctic-monkeys-arabella-lyrics","212611","Arabella's got some interstellar-gator skin boots
And a Helter Skelter 'round her little finger
And I ride it endlessly
She's got a Barbarella silver swimsuit
And when she needs to shelter from reality
She takes a dip in my daydreams

My days end best when the sunset gets itself behind
That little lady sittin' on the passenger side
It's much less picturesque without her catchin' the light
The horizon tries but it's just not as kind on the eyes

As Arabella, oh
As Arabella
Just might've tapped into your mind and soul
You can't be sure

Arabella's got a '70s head
But she's a modern lover, it's an exploration
She's made of outer space
And her lips are like the galaxy's edge
And a kiss the colour of a constellation
Fallin' into place

My days end best when the sunset gets itself behind
That little lady sittin' on the passenger side
It's much less picturesque without her catchin' the light
The horizon tries but it's just not as kind on the eyes

As Arabella, oh
As Arabella
Just might've tapped into your mind and soul
You can't be sure

(That's magic) In a cheetah print coat
(Just a slip) Underneath it, I hope
(Asking if) I can have one of those
(Organic) Cigarettes that she smokes
(Wraps her lips) 'Round the Mexican Coke
(Makes you wish) That you were the bottle
(Takes a sip) Of your soul, and it sounds like

Just might've tapped into your mind and soul
You can't be sure"
"8","No. 1 Party Anthem","Arctic Monkeys","AM (Live EP Bonus Edition)","","September 6, 2013","966365","301","50","","https://genius.com/Arctic-monkeys-no-1-party-anthem-lyrics","213211","One, two, three, four

So you're on the prowl wondering whether
She left already or not
Leather jacket, collar popped like antenna
Never knowin' when to stop
Sunglasses indoors
Par for the course
Lights in the floors and sweat on the walls
Cages and poles

Call off the search for your soul
Or put it on hold again
She's having a sly indoor smoke
And she calls the folks who run this, her oldest friends
Sippin' her drink and laughin' at imaginary jokes
As all the signals are sent, her eyes invite you to approach
And it seems as though those lumps in your throat
That you just swallowed have got you going

Come on, come on, come on
Come on, come on, come on
Number one party anthem

She's a certified mind blower
Knowing full well that I know
May suggest there's somewhere from which I might know her
Just to get the ball to roll
Drunken monologues, confused because
It's not like I'm falling in love, I just want you
To do me no good
And you look like you could

Come on, come on, come on
Come on, come on, come on
Number one party anthem
Come on, come on, come on
Before the moment's gone
Number one party anthem, yeah, yeah

The look of love, the rush of blood
The ""She's with me""s, the Gallic shrug
The shutterbugs, the Camera Plus
The black & white and the colour dodge
The good time girls, the cubicles
The house of fun, the number one
Party anthem, oh

Come on, come on, come on
Come on, come on, come on
Come on, come on, come on
Come on, come on, come on
Before the moment's gone
Number one party anthem
Number one party anthem
Number one party anthem
Yeah, yeah"
"9","Knee Socks","Arctic Monkeys","AM (Live EP Bonus Edition)","","September 6, 2013","814048","484","64","","https://genius.com/Arctic-monkeys-knee-socks-lyrics","213246","You got the lights on in the afternoon
And the nights are drawn out long
And you're kissin' to cut through the gloom
With a cough drop coloured tongue
And you were sittin' in the corner with the coats all piled high
And I thought you might be mine
In a small world on an exceptionally rainy Tuesday night
In the right place and time

When the zeros line up on the 24-hour clock
When you know who's callin' even though the number is blocked
When you walked around your house wearin' my sky blue Lacoste
And your knee socks

Well, you cured my January blues
Yeah, you made it all alright
I got a feelin' I might have lit the very fuse
That you were tryin' not to light
You were a stranger in my phonebook I was actin' like I knew
'Cause I had nothin' to lose
When the winter's in full swing and your dreams just aren't comin' true
Ain't it funny what you'll do?

When the zeros line up on the 24-hour clock
When you know who's callin' even though the number is blocked
When you walked around your house wearin' my sky blue Lacoste
And your knee socks

The late afternoon, the ghost in your room
That you always thought didn't approve of you knockin' boots
Never stopped you lettin' me get hold of the sweet spot
By the scruff of your knee socks

You and me could have been a team
Each had a half of a king and queen seat
Like the beginning of Mean Streets
You could be my baby (Could be my baby)
You and me could have been a team
Each had a half of a king and queen seat
Like the beginning of Mean Streets
You could be my baby (Could be my baby)
All the zeros lined up
You and me could have been a team
Each had a half of a king and queen seat
Like the beginning of Mean Streets
You could be my baby (Could be my baby)
But the number's blocked
You and me could have been a team
Each had a half of a king and queen seat
When you've come undone
Like the beginning of Mean Streets
You could be my baby (Could be my baby)

When the zeros line up on the 24-hour clock (
All the zeros lined up
)
When you know who's callin' even though the number is blocked (
But the number's blocked
)
When you walked around your house wearin' my sky blue Lacoste (
When you've come undone)
And your knee socks
When the zeros line up on the 24-hour clock (All the zeros lined up)
When you know who's callin' even though the number is blocked
When you walked around your house wearin' my sky blue Lacoste
And your knee socks](10576182)

Knee socks (
Oh
)
Knee socks"
"10","Cornerstone","Arctic Monkeys","Humbug (Bonus Track Version)","","August 19, 2009","638376","288","40","","https://genius.com/Arctic-monkeys-cornerstone-lyrics","90195","I thought I saw you in the Battleship
But it was only a look-a-like
She was nothing but a vision trick
Under the warning light
She was close, close enough to be your ghost
But my chances turned to toast
When I asked her if I could call her your name

I thought I saw you in the Rusty Hook
Huddled up in a wicker chair
I wandered over for a closer look
And kissed whoever was sitting there
She was close and she held me very tightly
'Til I asked awfully politely
""Please, can I call you her name?""

And I elongated my lift home
Yeah, I let him go the long way round
I smelt your scent on the seatbelt
And kept my shortcuts to myself

I thought I saw you in the Parrot's Beak
Messing with the smoke alarm
It was too loud for me to hear her speak
And she had a broken arm
It was close, so close that the walls were wet
And she wrote it out in Letraset
""No, you can't call me her name""

And tell me, where's your hiding place?
I'm worried I'll forget your face
And I've asked everyone
I'm beginning to think I imagined you all along

I elongated my lift home
Yeah, I let him go the long way round
I smelt your scent on the seatbelt
And kept my shortcuts to myself

I saw your sister in the Cornerstone
On the phone to the middle man
When I saw that she was on her own
I thought she might understand
She was close, well, you couldn't get much closer
She said, ""I'm really not supposed to, but yes
You can call me anything you want"""
