word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,574,48,505; A Certain Romance; American Sports; Arabella; Baby I’m Yours; Balaclava; Batphone; Body Paint; Brianstorm; Cornerstone; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; Golden Trunks; I Bet You Look Good on the Dancefloor; I Wanna Be Yours; I Want It All; Knee Socks; Love Is a Laserquest; Mad Sounds; Mardy Bum; My Propeller; No. 1 Party Anthem; Old Yellow Bricks; One Point Perspective; One for the Road; Only Ones Who Know; Piledriver Waltz; Pretty Visitors; R U Mine?; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; She’s Thunderstorms; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,11.96,True,1
you,you,PRON,520,48,505; A Certain Romance; American Sports; Arabella; Baby I’m Yours; Balaclava; Batphone; Body Paint; Brianstorm; Cornerstone; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; Golden Trunks; I Bet You Look Good on the Dancefloor; I Wanna Be Yours; I Want It All; Knee Socks; Love Is a Laserquest; Mad Sounds; Mardy Bum; My Propeller; No. 1 Party Anthem; Old Yellow Bricks; One Point Perspective; One for the Road; Only Ones Who Know; Piledriver Waltz; Pretty Visitors; R U Mine?; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; She’s Thunderstorms; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,10.83,True,2
i,i,PRON,432,47,505; A Certain Romance; American Sports; Arabella; Baby I’m Yours; Balaclava; Batphone; Body Paint; Brianstorm; Cornerstone; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; Golden Trunks; I Bet You Look Good on the Dancefloor; I Wanna Be Yours; I Want It All; Knee Socks; Love Is a Laserquest; Mardy Bum; My Propeller; No. 1 Party Anthem; Old Yellow Bricks; One Point Perspective; One for the Road; Only Ones Who Know; Piledriver Waltz; Pretty Visitors; R U Mine?; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; She’s Thunderstorms; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,9.19,True,3
and,and,CCONJ,375,47,505; A Certain Romance; American Sports; Arabella; Baby I’m Yours; Balaclava; Batphone; Body Paint; Brianstorm; Cornerstone; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; Golden Trunks; I Bet You Look Good on the Dancefloor; I Want It All; Knee Socks; Love Is a Laserquest; Mad Sounds; Mardy Bum; My Propeller; No. 1 Party Anthem; Old Yellow Bricks; One Point Perspective; One for the Road; Only Ones Who Know; Piledriver Waltz; Pretty Visitors; R U Mine?; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; She’s Thunderstorms; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,7.98,True,4
a,a,DET,285,42,505; A Certain Romance; American Sports; Arabella; Balaclava; Batphone; Body Paint; Brianstorm; Cornerstone; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; Golden Trunks; I Bet You Look Good on the Dancefloor; I Want It All; Knee Socks; Love Is a Laserquest; Mardy Bum; My Propeller; No. 1 Party Anthem; Old Yellow Bricks; One Point Perspective; Only Ones Who Know; Piledriver Waltz; Pretty Visitors; R U Mine?; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,6.79,True,5
to,to,ADP,273,48,505; A Certain Romance; American Sports; Arabella; Baby I’m Yours; Balaclava; Batphone; Body Paint; Brianstorm; Cornerstone; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; Golden Trunks; I Bet You Look Good on the Dancefloor; I Wanna Be Yours; I Want It All; Knee Socks; Love Is a Laserquest; Mad Sounds; Mardy Bum; My Propeller; No. 1 Party Anthem; Old Yellow Bricks; One Point Perspective; One for the Road; Only Ones Who Know; Piledriver Waltz; Pretty Visitors; R U Mine?; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; She’s Thunderstorms; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,5.69,True,6
it,it,PRON,237,43,505; A Certain Romance; American Sports; Arabella; Balaclava; Batphone; Body Paint; Brianstorm; Cornerstone; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; Golden Trunks; I Bet You Look Good on the Dancefloor; I Want It All; Knee Socks; Love Is a Laserquest; Mardy Bum; My Propeller; No. 1 Party Anthem; Old Yellow Bricks; One Point Perspective; One for the Road; Only Ones Who Know; Piledriver Waltz; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; She’s Thunderstorms; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,5.51,True,7
s,be,VERB,233,43,505; A Certain Romance; American Sports; Arabella; Balaclava; Batphone; Body Paint; Brianstorm; Cornerstone; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; Golden Trunks; I Bet You Look Good on the Dancefloor; I Want It All; Knee Socks; Love Is a Laserquest; Mardy Bum; My Propeller; No. 1 Party Anthem; Old Yellow Bricks; One Point Perspective; One for the Road; Only Ones Who Know; R U Mine?; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; She’s Thunderstorms; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,5.42,True,8
that,that,DET,188,41,505; A Certain Romance; American Sports; Arabella; Balaclava; Batphone; Body Paint; Brianstorm; Cornerstone; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; I Bet You Look Good on the Dancefloor; I Wanna Be Yours; Knee Socks; Love Is a Laserquest; Mardy Bum; No. 1 Party Anthem; Old Yellow Bricks; One Point Perspective; One for the Road; Only Ones Who Know; Piledriver Waltz; R U Mine?; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,4.59,True,9
of,of,ADP,176,42,505; A Certain Romance; American Sports; Arabella; Baby I’m Yours; Balaclava; Batphone; Body Paint; Brianstorm; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; Golden Trunks; I Bet You Look Good on the Dancefloor; Knee Socks; Love Is a Laserquest; Mad Sounds; Mardy Bum; My Propeller; No. 1 Party Anthem; One Point Perspective; One for the Road; Piledriver Waltz; Pretty Visitors; R U Mine?; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; She’s Thunderstorms; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,4.19,True,10
in,in,ADP,175,45,505; A Certain Romance; American Sports; Arabella; Baby I’m Yours; Balaclava; Batphone; Body Paint; Cornerstone; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; Golden Trunks; I Bet You Look Good on the Dancefloor; I Wanna Be Yours; Knee Socks; Love Is a Laserquest; Mad Sounds; Mardy Bum; No. 1 Party Anthem; Old Yellow Bricks; One Point Perspective; One for the Road; Only Ones Who Know; Piledriver Waltz; Pretty Visitors; R U Mine?; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; She’s Thunderstorms; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,3.89,True,11
on,on,ADP,173,37,505; A Certain Romance; American Sports; Arabella; Balaclava; Body Paint; Brianstorm; Cornerstone; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fireside; Four Out of Five; From the Ritz to the Rubble; I Bet You Look Good on the Dancefloor; Knee Socks; Love Is a Laserquest; Mardy Bum; My Propeller; No. 1 Party Anthem; One Point Perspective; One for the Road; Only Ones Who Know; Piledriver Waltz; Pretty Visitors; R U Mine?; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; She’s Thunderstorms; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball; When the Sun Goes Down,4.68,True,12
n't,not,PART,167,38,A Certain Romance; American Sports; Arabella; Balaclava; Batphone; Body Paint; Brianstorm; Cornerstone; Crying Lightning; Do I Wanna Know?; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; I Bet You Look Good on the Dancefloor; I Want It All; Knee Socks; Love Is a Laserquest; Mad Sounds; Mardy Bum; My Propeller; Old Yellow Bricks; One for the Road; Only Ones Who Know; R U Mine?; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,4.39,True,13
your,your,PRON,155,38,505; American Sports; Arabella; Baby I’m Yours; Batphone; Body Paint; Brianstorm; Cornerstone; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; Golden Trunks; I Bet You Look Good on the Dancefloor; I Wanna Be Yours; I Want It All; Knee Socks; Mad Sounds; Mardy Bum; My Propeller; No. 1 Party Anthem; One for the Road; Only Ones Who Know; Piledriver Waltz; Pretty Visitors; Sculptures of Anything Goes; She Looks Like Fun; She’s Thunderstorms; Snap Out of It; Star Treatment; Teddy Picker; The View from the Afternoon; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,4.08,True,14
be,be,AUX,111,31,Arabella; Baby I’m Yours; Balaclava; Batphone; Body Paint; Brianstorm; Cornerstone; Do I Wanna Know?; Do Me a Favour; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; Golden Trunks; I Wanna Be Yours; Knee Socks; Mardy Bum; One for the Road; Only Ones Who Know; R U Mine?; Sculptures of Anything Goes; Secret Door; She Looks Like Fun; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,3.58,True,15
me,i,PRON,95,26,505; A Certain Romance; Baby I’m Yours; Body Paint; Brianstorm; Cornerstone; Crying Lightning; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Golden Trunks; I Bet You Look Good on the Dancefloor; I Wanna Be Yours; I Want It All; Knee Socks; My Propeller; No. 1 Party Anthem; One Point Perspective; One for the Road; Piledriver Waltz; R U Mine?; Sculptures of Anything Goes; She’s Thunderstorms; Star Treatment; There’d Better Be a Mirrorball; Why’d You Only Call Me When You’re High?,3.65,True,16
do,do,AUX,93,25,A Certain Romance; American Sports; Baby I’m Yours; Balaclava; Body Paint; Do I Wanna Know?; Do Me a Favour; Fake Tales of San Francisco; Four Out of Five; From the Ritz to the Rubble; I Bet You Look Good on the Dancefloor; Knee Socks; Love Is a Laserquest; Mad Sounds; Mardy Bum; No. 1 Party Anthem; Old Yellow Bricks; One for the Road; Only Ones Who Know; Snap Out of It; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; There’d Better Be a Mirrorball; When the Sun Goes Down,3.72,True,17
all,all,DET,91,34,A Certain Romance; American Sports; Baby I’m Yours; Balaclava; Batphone; Cornerstone; Crying Lightning; Do Me a Favour; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; I Want It All; Knee Socks; Love Is a Laserquest; Mad Sounds; Mardy Bum; No. 1 Party Anthem; Old Yellow Bricks; One Point Perspective; One for the Road; Only Ones Who Know; Pretty Visitors; R U Mine?; Secret Door; She Looks Like Fun; Star Treatment; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,2.68,True,18
when,when,SCONJ,89,28,505; American Sports; Arabella; Batphone; Cornerstone; Do I Wanna Know?; Do Me a Favour; Fireside; Fluorescent Adolescent; Golden Trunks; Knee Socks; Love Is a Laserquest; Mardy Bum; My Propeller; No. 1 Party Anthem; Old Yellow Bricks; One for the Road; Only Ones Who Know; Piledriver Waltz; R U Mine?; Sculptures of Anything Goes; She’s Thunderstorms; Stop the World I Wanna Get Off With You; Teddy Picker; The Ultracheese; The View from the Afternoon; When the Sun Goes Down; Why’d You Only Call Me When You’re High?,3.18,True,19
she,she,PRON,89,17,Arabella; Balaclava; Brianstorm; Cornerstone; Do Me a Favour; Fake Tales of San Francisco; Fluorescent Adolescent; No. 1 Party Anthem; Old Yellow Bricks; Only Ones Who Know; Pretty Visitors; R U Mine?; Secret Door; She’s Thunderstorms; Teddy Picker; The View from the Afternoon; When the Sun Goes Down,5.24,True,20
for,for,ADP,86,31,A Certain Romance; American Sports; Body Paint; Brianstorm; Cornerstone; Do I Wanna Know?; Fake Tales of San Francisco; Fireside; Fluorescent Adolescent; Four Out of Five; From the Ritz to the Rubble; Golden Trunks; I Bet You Look Good on the Dancefloor; Love Is a Laserquest; My Propeller; No. 1 Party Anthem; Old Yellow Bricks; One Point Perspective; One for the Road; Piledriver Waltz; Pretty Visitors; R U Mine?; Sculptures of Anything Goes; Secret Door; She’s Thunderstorms; Snap Out of It; Star Treatment; Teddy Picker; The Ultracheese; The View from the Afternoon; There’d Better Be a Mirrorball,2.77,True,21
