"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","thank u, next","Ariana Grande","thank u, next (Japanese Import)","","November 3, 2018","9442275","459","86","","https://genius.com/Ariana-grande-thank-u-next-lyrics","4063065","Thought I'd end up with Sean
But he wasn't a match
Wrote some songs about Ricky
Now I listen and laugh
Even almost got married
And for Pete, I'm so thankful
Wish I could say, ""Thank you"" to Malcolm
'Cause he was an angel

One taught me love
One taught me patience
And one taught me pain
Now, I'm so amazin'
Say I've loved and I've lost
But that's not what I see
So, look what I got
Look what you taught me
And for that, I say

Thank you, next (Next)
Thank you, next (Next)
Thank you, next
I'm so fuckin' grateful for my ex
Thank you, next (Next)
Thank you, next (Next)
Thank you, next (Next)
I'm so fuckin'—

Spend more time with my friends
I ain't worried 'bout nothin'
Plus, I met someone else
We havin' better discussions
I know they say I move on too fast
But this one gon' last
'Cause her name is Ari
And I'm so good with that (So good with that)

She taught me love (Love)
She taught me patience (Patience)
How she handles pain (Pain)
That shit's amazin' (Yeah, she's amazin')
I've loved and I've lost (Yeah, yeah)
But that's not what I see (Yeah, yeah)
'Cause look what I've found (Yeah, yeah, I've found)
Ain't no need for searching, and for that, I say

Thank you, next (Thank you, next)
Thank you, next (Thank you, next)
Thank you, next (Thank you)
I'm so fuckin' grateful for my ex
Thank you, next (Thank you, next)
Thank you, next (Said thank you, next)
Thank you, next (Next)
I'm so fuckin' grateful for my ex

Thank you, next
Thank you, next
Thank you, next
I'm so fuckin'—

One day I'll walk down the aisle
Holdin' hands with my mama
I'll be thankin' my dad
'Cause she grew from the drama
Only wanna do it once, real bad
Gon' make that shit last
God forbid somethin' happens
Least this song is a smash (Song is a smash)

I've got so much love (Love)
Got so much patience (Patience)
I've learned from the pain (Pain)
And turned out amazin' (Turned out amazin')
Say I've loved and I've lost (Yeah, yeah)
But that's not what I see (Yeah, yeah)
'Cause look what I've found (Yeah, yeah)
Ain't no need for searching
And for that, I say

Thank you, next (Thank you, next)
Thank you, next (Thank you, next)
Thank you, next
I'm so fuckin' grateful for my ex
Thank you, next (Thank you, next)
Thank you, next (Said thank you, next)
Thank you, next (Next)
I'm so fuckin' grateful for my ex

Thank you, next
Thank you, next
Thank you, next
Yeah, yee
Thank you, next
Thank you, next
Thank you, next
Yeah, yee"
"2","7 rings","Ariana Grande","thank u, next (Japanese Import)","","January 18, 2019","8604270","488","50","","https://genius.com/Ariana-grande-7-rings-lyrics","4067762","Yeah, breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes and diamonds, ATM machines
Buy myself all of my favorite things (Yeah)
Been through some bad shit, I should be a sad bitch
Who woulda thought it'd turn me to a savage?
Rather be tied up with calls and not strings
Write my own checks like I write what I sing, yeah (Yeah)

My wrist, stop watchin', my neck is flossy
Make big deposits, my gloss is poppin'
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yeah)

I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yep)

Wearing a ring, but ain't gon' be no ""Mrs.""
Bought matching diamonds for six of my bitches
I'd rather spoil all my friends with my riches
Think retail therapy my new addiction
Whoever said money can't solve your problems
Must not have had enough money to solve 'em
They say, ""Which one?"" I say, ""Nah, I want all of 'em""
Happiness is the same price as red-bottoms

My smile is beamin' (Yeah), my skin is gleamin' (Is gleamin')
The way it shine, I know you've seen it (You've seen it)
I bought a crib just for (Just for) the closet (Closet)
Both his and hers, I want it, I got it, yeah

I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it (Baby)
You like my hair? Gee, thanks, just bought it (Oh yeah)
I see it, I like it, I want it, I got it (Yep)

Yeah, my receipts be lookin' like phone numbers
If it ain't money, then wrong number
Black card is my business card
The way it be settin' the tone for me
I don't mean to brag, but I be like, ""Put it in the bag,"" yeah
When you see them racks, they stacked up like my ass, yeah
Shoot, go from the store to the booth
Make it all back in one loop, gimme the loot
Never mind, I got the juice
Nothing but net when we shoot
Look at my neck, look at my jet
Ain't got enough money to pay me respect
Ain't no budget when I'm on the set
If I like it, then that's what I get, yeah

I want it, I got it, I want it, I got it (Oh yeah)
I want it, I got it, I want it, I got it (Oh yeah, yeah)
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (I see, yep)"
"3","God is a woman","Ariana Grande","Sweetener (Japanese Import)","","July 13, 2018","3535268","449","59","","https://genius.com/Ariana-grande-god-is-a-woman-lyrics","3681280","You, you love it how I move you
You love it how I touch you, my one
When all is said and done
You'll believe God is a woman
And I, I feel it after midnight
A feelin' that you can't fight, my one
It lingers when we're done
You'll believe God is a woman

I don't wanna waste no time, yeah
You ain't got a one-track mind, yeah
Have it any way you like, yeah
And I can tell that you know I know how I want it
Ain't nobody else can relate
Boy, I like that you ain't afraid
Baby, lay me down and let's pray
I'm tellin' you the way I like it, how I want it

(Yeah) And I can be all the things you told me not to be
(Yeah) When you try to come for me, I keep on flourishing (Yeah)
(Yeah) And he see the universe when I'm the company (Yeah)
It's all in me

You, you love it how I move you
You love it how I touch you, my one
When all is said and done
You'll believe God is a woman
And I, I feel it after midnight
A feelin' that you can't fight, my one
It lingers when we're done
You'll believe God is a woman

(Yeah)
I tell you all the things you should know
So, baby, take my hands, save your soul
We can make it last, take it slow, mm
And I can tell that you know I know how I want it, yeah
But you're different from the rest
And, boy, if you confess, you might get blessed (Yeah)
See if you deserve what comes next
I'm tellin' you the way I like it, how I want it (Yeah)

(Yeah) And I can be all the things you told me not to be (Ooh)
(Yeah) When you try to come for me, I keep on flourishing (Yeah)
(Yeah) And he see the universe when I'm the company (Yeah)
It's all in me (Ooh)

You, you love it how I move you (Ooh)
You love it how I touch you, my one
When all is said and done
You'll believe God is a woman
And I, I feel it after midnight
A feelin' that you can't fight, my one
It lingers when we're done
You'll believe God is a woman

Yeah, yeah (God is a woman)
Yeah, yeah (God is a woman, yeah)
My one (One)
When all is said and done
You'll believe God is a woman
You'll believe God (God is a woman)
Oh yeah (God is a woman, yeah)
Ooh (One)
It lingers when we're done
You'll believe God is a woman"
"4","Side To Side","Ariana Grande","Dangerous Woman (Japanese Import)","","May 20, 2016","3172992","534","72","Nicki Minaj","https://genius.com/Ariana-grande-side-to-side-lyrics","2457495","I've been here all night
(Ariana)
I've been here all day
(Nicki Minaj)
And, boy, got me walkin' side to side
(Let them hoes know)

I'm talkin' to ya
See you standing over there with your body
Feeling like I wanna rock with your body
And we don't gotta think 'bout nothin' ('Bout nothin')
I'm comin' at ya
'Cause I know you got a bad reputation
Doesn't matter, 'cause you give me temptation
And we don't gotta think 'bout nothin' ('Bout nothin')

These friends keep talkin' way too much
Say I should give you up
Can't hear them, no, 'cause I—

I've been here all night
I've been here all day
And, boy, got me walkin' side to side
I've been here all night
I've been here all day
And, boy, got me walkin' side to side (Side to side)

Been tryna hide it
Baby, what's it gonna hurt if they don't know?
Makin' everybody think that we solo
Just as long as you know you got me (You got me)
And, boy, I got ya
'Cause tonight I'm making deals with the devil
And I know it's gonna get me in trouble
Just as long as you know you got me

These friends keep talkin' way too much
Say I should give you up
Can't hear them, no, 'cause I—

I've been here all night
I've been here all day
And, boy, got me walkin' side to side (Side to side)
I've been here all night (Been here all night, baby)
I've been here all day (Been here all day, baby, yeah)
And, boy, got me walkin' side to side (Side to side, boy)

Uh, yo
This the new style with the fresh type of flow
Wrist icicle, ride dick bicycle
Come through, yo, get you this type of blow
If you wanna ménage, I got a tricycle
All these bitches' flows is my mini-me
Body smoking, so they call me Young Nicki Chimney
Rappers in they feelings 'cause they feelin' me (Murder)
Uh, I-I give zero fucks and I got zero chill in me
Kissing me, copped the blue box that say Tiffany
Curry with the shot, just tell 'em to call me Stephanie
Gun pop, then I make my gum pop
I'm the queen of rap, young Ariana run pop, uh

These friends keep talkin' way too much (Way too much)
Say I should give him up (Give him up)
Can't hear them, no, 'cause I—

I've been here all night (Been here all night, baby)
I've been here all day (Been here all night, baby, yeah)
And, boy (Boy), got me walkin' side to side (Side to side)
I've been here all night (Been here all night, babe)
I've been here all day (Been here all day, baby, yeah; Ooh, baby)
And, boy (No), got me walkin' side to side (Side to side)
(Yeah, yeah-yeah-yeah)

Uh, yo
This the new style with the fresh type of flow (
Been here all night, baby
)
Wrist icicle, ride dick bicycle (Been here all day, baby; Ayy)
Come through, yo, get you this type of blow (No)
If you want a ménage, I got a tricycle (
Side to side, yeah
)"
"5","no tears left to cry","Ariana Grande","Sweetener (Japanese Import)","","April 20, 2018","3086603","512","73","","https://genius.com/Ariana-grande-no-tears-left-to-cry-lyrics","3649172","Right now, I'm in a state of mind
I wanna be in like all the time
Ain't got no tears left to cry
So, I'm pickin' it up, pickin' it up
I'm lovin', I'm livin' (Oh, ayy), I'm pickin' it up
I'm pickin' it up, pickin' it up (Yeah)
I'm lovin', I'm livin', I'm pickin' it up (Oh, yeah)

I'm pickin' it up (Yeah), pickin' it up (Yeah, ayy)
Lovin', I'm livin', so we turnin' up (We turnin' it up)
Yeah, we turnin' it up

Ain't got no tears in my body
I ran out, but, boy, I like it
I like it, I like it
Don't matter how, what, where, who tries it
We out here vibin'
We vibin', we vibin'

Comin' out
Even when it's rainin' down
Can't stop now
Can't stop so shut your mouth
Shut your mouth
And if you don't know, then now you know it, babe
Know it, babe, yeah

Right now, I'm in a state of mind
I wanna be in like all the time
Ain't got no tears left to cry
So, I'm pickin' it up, pickin' it up (Oh, yeah)
I'm lovin', I'm livin', I'm pickin' it up
Oh, I just want you to come with me (Ooh)
We on another mentality
Ain't got no tears left to cry (To cry)
So, I'm pickin' it up, pickin' it up (Oh, yeah)
I'm lovin', I'm livin', I'm pickin' it up (Oh)

Pickin' it up (Yeah), pickin' it up (Yeah, ayy)
Lovin', I'm livin', so we turnin' up (We turnin' it up)
Yeah (Yeah), we turnin' it up

They point out the colors in you, I see 'em too
And, boy, I like 'em
I like 'em, I like 'em
We way too fly to partake in all this hate
We out here vibin'
We vibin', we vibin'

Comin' out
Even when it's rainin' down
Can't stop now
Can't stop, so shut your mouth
Shut your mouth
And if you don't know, then now you know it, babe
Know it, babe, yeah

Right now, I'm in a state of mind
I wanna be in like all the time
Ain't got no tears left to cry
So, I'm pickin' it up, pickin' it up (Oh, yeah)
I'm lovin', I'm livin', I'm pickin' it up
Oh, I just want you to come with me (Ooh)
We on another mentality (Oh)
Ain't got no tears left to cry (To cry)
So, I'm pickin' it up, pickin' it up (Oh, yeah)
I'm lovin', I'm livin', I'm pickin' it up

Comin' out
Even when it's rainin' down
Can't stop now (Mm-oh)
Shut your mouth
Ain't got no tears left to cry
Oh, yeah, oh, yeah

Oh, I just want you to come with me (Me)
We on another mentality
Ain't got no tears left to cry (Cry)
So, I'm pickin' it up (Yeah), pickin' it up (Oh, yeah)
I'm lovin', I'm livin', I'm pickin' it up (Pickin' it up)

Pickin' it up (Mm), pickin' it up (Mm)
Lovin', I'm livin', so we turnin' up (Mm-hm)
Yeah, we turnin' it up"
"6","34+35","Ariana Grande","Positions (Deluxe)","","October 30, 2020","3008566","486","67","","https://genius.com/Ariana-grande-34-35-lyrics","6071429","Hmm

You might think I'm crazy
The way I've been cravin'
If I put it quite plainly
Just gimme them babies
So what you doin' tonight?
Better say, ""Doin' you right"" (Yeah)
Watchin' movies, but we ain't seen a thing tonight (Yeah)

I don't wanna keep you up (You up)
But show me, can you keep it up? (It up)
'Cause then I'll have to keep you up
Shit, maybe I'ma keep you up, boy
I've been drinkin' coffee (I've been drinkin' coffee; coffee)
And I've been eatin' healthy (I've been eatin' healthy; healthy)
You know I keep it squeaky, yeah (You know I keep it squeaky; squeaky)
Savin' up my energy (Yeah, yeah, savin' up my energy)

Can you stay up all night?
Fuck me 'til the daylight
Thirty-four, thirty-five (Ah)
Can you stay up all night? (All night)
Fuck me 'til the daylight
Thirty-four, thirty-five (Ah)

You drink it just likе water (Water)
You say it tastes likе candy
So what you doin' tonight? (Tonight)
Better say, ""Doin' you right"" (Alright)
Watchin' movies, but we ain't seen a thing tonight (Yeah)

I don't wanna keep you up (You up)
But show me, can you keep it up? (It up)
'Cause then I'll have to keep you up
Shit, maybe I'ma keep you up, boy
I've been drinkin' coffee (Said I've been drinkin' coffee; coffee)
And I've been eatin' healthy (And I've been eatin' healthy; healthy)
You know I keep it squeaky, yeah (Except this wine though; squeaky)
Savin' up my energy (Yeah, yeah, yeah)

Can you stay up all night? (All night)
Fuck me 'til the daylight (Daylight)
Thirty-four, thirty-five (Ah; thirty-five)
Can you stay up all night? (Can you stay?)
Fuck me 'til the daylight (Can you stay?)
Thirty-four, thirty-five (Ah)

Oh yeah, yeah
Baby, you might need a seat belt when I ride it
I'ma leave it open like a door, come inside it
Even though I'm wifey, you can hit it like a side chick
Don't need no side dick, no
Got the neighbors yellin', ""Earthquake!"" (Earthquake)
4.5 when I make the bed shake (Bed shake)
Put it down heavy even though it's lightweight (It's lightweight, yeah, yeah, yeah, ayy)
We started at midnight
Go 'til the sunrise (Sunrise)
Done at the same time (Yeah)
But who's countin' the time when we got it for life? (Got it for life)
I know all your favorite spots (Favorite spots)
We can take it from the top (From the top)
You're such a dream come true, true
Make a bitch wanna hit snooze, ooh

Can you stay up all night?
Fuck me 'til the daylight (Yeah, yeah)
Thirty-four, thirty-five (Ah; thirty-four, thirty-five)
Can you stay up all night? (Do you know what that means?)
Fuck me 'til the daylight (Do you know what that means?)
Thirty-four, thirty-five (Ah, yeah, yeah)

Means I wanna ""69"" with you
No shit
Math class
Never was good"
"7","break up with your girlfriend, i’m bored","Ariana Grande","thank u, next (Japanese Import)","","February 8, 2019","2719814","408","56","","https://genius.com/Ariana-grande-break-up-with-your-girlfriend-im-bored-lyrics","4226433","You got me some type of way (Hm)
Ain't used to feelin' this way (Mm, mm)
I do not know what to say (Yeah, yeah)
But I know I shouldn't think about it
Took one fuckin' look at your face (Hm)
Now I wanna know how you taste (Mm, mm)
Usually don't give it away (Yeah, yeah)
But you know I'm already thinkin' 'bout it

Then I realize she's right there
And I'm at home like, ""Damn, this ain't fair""

Break up with your girlfriend (Girlfriend)
Yeah, yeah, 'cause I'm bored
You could hit it in the mornin' (Mornin')
Yeah, yeah, like it's yours
I know it ain't right, but I don't care (Care)
Break up with your girlfriend (Girlfriend)
Yeah, yeah, 'cause I'm bored

This shit always happen to me (Yeah)
Why can't we just play for keeps? (Mm, mm)
Practically on my knees (Yeah, yeah)
But I know I shouldn't think about it
You know what you're doin' to me
You're singin' my songs in the streets, yeah, yeah
Actin' all innocent, please
When I know you already thinkin' 'bout it

Then you realize she's right there (Yeah)
And you're at home like, ""Damn, she can't compare""

Break up with your girlfriend (Girlfriend)
Yeah, yeah, 'cause I'm bored
You could hit it in the mornin' (In the mornin')
Yeah, yeah, like it's yours
I know it ain't right, but I don't care (I don't care, yee)
Break up with your girlfriend (With your girlfriend)
Yeah, yeah, 'cause I'm bored

With your girlfriend, girlfriend, girlfriend, girlfriend
With your girlfriend
With your girlfriend, girlfriend, girlfriend, girlfriend

You could say I'm hatin' if you want to
But I only hate on her 'cause I want you
Say I'm trippin' if you feel like
But you without me ain't right (Ain't right)
You could call me crazy 'cause I want you
And I never even ever fuckin' met you
Say I'm trippin' and it ain't right
But you without me ain't nice (Ain't nice, yeah)

Break up with your girlfriend (With your girlfriend)
Yeah, yeah, 'cause I'm bored
You could hit it in the mornin' (Hit in the mornin', yeah, yeah, yeah)
Yeah, yeah, like it's yours
I know it ain't right, but I don't care (Care, yeah)
Break up with your girlfriend (With your girlfriend)
Yeah, yeah, 'cause I'm bored

With your girlfriend, girlfriend, girlfriend, baby, girlfriend
With your girlfriend
With your girlfriend, girlfriend, girlfriend, girlfriend
With your girlfriend"
"8","breathin","Ariana Grande","Sweetener (Japanese Import)","","August 17, 2018","2113218","318","41","","https://genius.com/Ariana-grande-breathin-lyrics","3681287","​​lacigam gnihtemos od oT
​​thgin laiceps ruoy s'thginot tuB

Some days, things just take
Way too much of my energy
I look up and the whole room's spinning
You take my cares away
I can so over-complicate, people tell me to medicate

Feel my blood runnin', swear the sky's fallin'
I know that all this shit's fabricated, mmm
Time goes by and I can't control my mind
Don't know what else to try, but you tell me every time

Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, keep on breathin'
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, keep on breathin', mmm-mmm

Sometimes, it's hard to find
Find my way up into the clouds
Tune it out, they can be so loud
You remind me of a time
When things weren't so complicated
All I need is to see your face

Feel my blood runnin', swear the sky's fallin'
I know that all this shit's fabricated, mmm
Time goes by and I can't control my mind
Don't know what else to try, but you tell me every time

Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin'
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin', mmm, yeah

My, my air, my, my air
My, my air, my air
My, my air, my, my air
My, my air, yeah

Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin'
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin', mmm, yeah

Feel my blood runnin', swear the sky's fallin', oh, woah
I keep on breathin', oh yeah
Time goes by and I can't control my mind
I keep on breathin', mmm, yeah"
"9","One Last Time","Ariana Grande","My Everything (Italian Edition)","","August 25, 2014","2100074","403","46","","https://genius.com/Ariana-grande-one-last-time-lyrics","500846","I was a liar, I gave in to the fire
I know I should've fought it, at least I'm bein' honest
Feel like a failure 'cause I know that I failed you
I should've done you better 'cause you don't want a liar

And I know, and I know, and I know she gives you everything
But, boy, I couldn't give it to you
And I know, and I know, and I know that you got everything
But I got nothin' here without you

So, one last time
I need to be the one who takes you home
One more time
I promise after that, I'll let you go
Baby, I don't care if you got her in your heart
All I really care is you wake up in my arms
One last time
I need to be the one who takes you home

I don't deserve it, I know I don't deserve it
But stay with me a minute, I swear I'll make it worth it
Can't you forgive me? At least just temporarily
I know that this is my fault, I should've been more careful

And I know, and I know, and I know she gives you everything
But, boy, I couldn't give it to you
And I know, and I know, and I know that you got everything
But I got nothin' here without you, baby

So, one last time
I need to be the one who takes you home
One more time
I promise after that, I'll let you go
Baby, I don't care if you got her in your heart
All I really care is you wake up in my arms
One last time
I need to be the one who takes you home

Yeah
I know I should've fought it, at least I'm bein' honest, hey
But stay with me a minute, I swear I'll make it worth it, babe
'Cause I don't wanna be without you (Oh)

So, one last time
I need to be the one who takes you home (Takes you home, babe)
One more time
I promise after that, I'll let you go
Baby, I don't care if you got her in your heart, babe
All I really care is you wake up in my arms
One last time
I need to be the one who takes you home, yeah

One last time
I need to be the one who takes you home"
"10","positions","Ariana Grande","Positions (Deluxe)","","October 23, 2020","2082830","370","48","","https://genius.com/Ariana-grande-positions-lyrics","6068618","Heaven sent you to me
I'm just hopin’ I don't repeat history

Boy, I'm tryna meet your mama on a Sunday
Then make a lotta love on a Monday (Ah, ah)
Never need no (No), no one else, babe
’Cause I'll be

Switchin' them positions for you
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin’ I wouldn’t do
That I won't do, switchin’ for you

Perfect, perfect
You're too good to be true (You're too good to be true)
But I get tired of runnin', fuck it
Now, I’m runnin' with you (With you)

Said, boy, I'm tryna meet your mama on a Sunday
Then make a lotta love on a Monday (Ah, ah)
Never need no (No), no onе else, babe
'Causе I'll be

Switchin' them positions for you
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do
That I won't do, switchin' for you
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do (Nothin')
That I won't do, switchin' for you

This some shit that I usually don't do (Yeah)
But for you, I kinda, kinda want to (Mmm)
'Cause you're down for me and I'm down too (And I'm down too)
Yeah, I'm down too
Switchin' the positions for you
This some shit that I (Yeah) usually don't do (Don't do)
But for you, I kinda, kinda want to (Mmm)
'Cause you're down for me and I'm down too ('Cause you're down for me)

Switchin' them positions for you
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops (Jumpin', jumpin')
Know my love infinite, nothin' I wouldn't do
That I won't do, switchin' for you (Ooh woah)
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do (I wouldn't do)
That I won't do, switchin' for you

Yeah
Ah, yeah
Ah (Ah), yeah"
