word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1366,50,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; Moonlight; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; bad idea; better off; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; everytime; fake smile; fantasize*; get well soon; ghostin; goodnight n go; imagine; in my head; make up; motive; needy; no tears left to cry; off the table; pete davidson; positions; pov; sweetener; thank u, next; the boy is mine; the light is coming; twilight zone; we can’t be friends (wait for your love); yes, and?",27.32,True,1
you,you,PRON,1117,50,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; Moonlight; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; bad idea; better off; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; everytime; fake smile; fantasize*; get well soon; ghostin; goodnight n go; imagine; in my head; make up; motive; needy; no tears left to cry; off the table; pete davidson; positions; pov; sweetener; thank u, next; the boy is mine; the light is coming; twilight zone; we can’t be friends (wait for your love); yes, and?",22.34,True,2
it,it,PRON,593,48,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; Moonlight; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; bad idea; better off; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; everytime; fake smile; fantasize*; get well soon; ghostin; goodnight n go; imagine; in my head; make up; motive; needy; no tears left to cry; off the table; positions; pov; sweetener; thank u, next; the boy is mine; the light is coming; twilight zone; we can’t be friends (wait for your love)",12.35,True,3
n't,not,PART,475,50,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; Moonlight; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; bad idea; better off; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; everytime; fake smile; fantasize*; get well soon; ghostin; goodnight n go; imagine; in my head; make up; motive; needy; no tears left to cry; off the table; pete davidson; positions; pov; sweetener; thank u, next; the boy is mine; the light is coming; twilight zone; we can’t be friends (wait for your love); yes, and?",9.5,True,4
me,i,PRON,446,49,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; Moonlight; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; bad idea; better off; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; everytime; fake smile; fantasize*; get well soon; ghostin; goodnight n go; imagine; in my head; make up; motive; needy; no tears left to cry; off the table; pete davidson; positions; pov; sweetener; thank u, next; the boy is mine; the light is coming; twilight zone; we can’t be friends (wait for your love)",9.1,True,5
and,and,CCONJ,404,49,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; Moonlight; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; bad idea; better off; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; everytime; fake smile; fantasize*; get well soon; ghostin; goodnight n go; imagine; in my head; make up; needy; no tears left to cry; off the table; pete davidson; positions; pov; sweetener; thank u, next; the boy is mine; the light is coming; twilight zone; we can’t be friends (wait for your love); yes, and?",8.24,True,6
the,the,DET,391,49,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; Moonlight; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; bad idea; better off; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; everytime; fake smile; fantasize*; get well soon; ghostin; goodnight n go; imagine; in my head; make up; motive; no tears left to cry; off the table; pete davidson; positions; pov; sweetener; thank u, next; the boy is mine; the light is coming; twilight zone; we can’t be friends (wait for your love); yes, and?",7.98,True,7
to,to,ADP,391,46,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; bad idea; better off; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; everytime; fake smile; fantasize*; get well soon; ghostin; goodnight n go; in my head; make up; motive; needy; no tears left to cry; off the table; positions; pov; sweetener; thank u, next; the boy is mine; the light is coming; twilight zone; we can’t be friends (wait for your love)",8.5,True,8
m,be,AUX,337,49,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; Moonlight; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; bad idea; better off; bloodline; break up with your girlfriend, i’m bored; eternal sunshine; everytime; fake smile; fantasize*; get well soon; ghostin; goodnight n go; imagine; in my head; make up; motive; needy; no tears left to cry; off the table; pete davidson; positions; pov; sweetener; thank u, next; the boy is mine; the light is coming; twilight zone; we can’t be friends (wait for your love); yes, and?",6.88,True,9
a,a,DET,324,48,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; Moonlight; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; bad idea; better off; bloodline; breathin; eternal sunshine; everytime; fake smile; fantasize*; get well soon; ghostin; imagine; in my head; make up; motive; needy; no tears left to cry; off the table; pete davidson; positions; pov; sweetener; thank u, next; the boy is mine; the light is coming; twilight zone; we can’t be friends (wait for your love); yes, and?",6.75,True,10
my,my,PRON,282,45,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; Moonlight; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; better off; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; everytime; fake smile; fantasize*; get well soon; imagine; in my head; make up; needy; no tears left to cry; off the table; pete davidson; positions; pov; sweetener; thank u, next; the boy is mine; the light is coming; we can’t be friends (wait for your love); yes, and?",6.27,True,11
do,do,AUX,237,46,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; bad idea; better off; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; everytime; fake smile; get well soon; ghostin; goodnight n go; imagine; make up; motive; needy; no tears left to cry; off the table; positions; pov; sweetener; thank u, next; the boy is mine; the light is coming; twilight zone; we can’t be friends (wait for your love); yes, and?",5.15,True,12
yeah,yeah,INTJ,229,35,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Into You; Let Me Love You; Love Me Harder; MONOPOLY; NASA; One Last Time; Problem; R.E.M.; Side To Side; Stuck with U; The Way; bad idea; better off; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; get well soon; ghostin; in my head; make up; no tears left to cry; pete davidson; positions; pov; sweetener; thank u, next; we can’t be friends (wait for your love)",6.54,False,13
got,get,AUX,223,37,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; One Last Time; Problem; Santa Tell Me; Side To Side; Stuck with U; The Way; bad idea; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; fake smile; fantasize*; get well soon; goodnight n go; in my head; motive; needy; no tears left to cry; off the table; pete davidson; pov; thank u, next; the boy is mine; we can’t be friends (wait for your love)",6.03,False,14
s,be,AUX,214,44,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; MONOPOLY; Moonlight; NASA; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; better off; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; everytime; fake smile; fantasize*; get well soon; ghostin; goodnight n go; imagine; in my head; make up; motive; no tears left to cry; off the table; pov; sweetener; thank u, next; the boy is mine; the light is coming; twilight zone; we can’t be friends (wait for your love); yes, and?",4.86,True,15
your,your,PRON,204,38,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Let Me Love You; Love Me Harder; MONOPOLY; Moonlight; NASA; One Last Time; Problem; R.E.M.; Side To Side; Stuck with U; The Way; better off; break up with your girlfriend, i’m bored; breathin; eternal sunshine; everytime; get well soon; ghostin; goodnight n go; imagine; in my head; motive; needy; no tears left to cry; off the table; positions; pov; sweetener; the light is coming; we can’t be friends (wait for your love); yes, and?",5.37,True,16
love,love,NOUN,204,24,"Boyfriend; God is a woman; Let Me Love You; Love Me Harder; NASA; Problem; R.E.M.; Santa Tell Me; The Way; better off; bloodline; fake smile; ghostin; goodnight n go; imagine; in my head; make up; needy; off the table; positions; pov; thank u, next; the light is coming; we can’t be friends (wait for your love)",8.5,False,17
that,that,PRON,189,42,"34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Into You; Let Me Love You; Love Me Harder; MONOPOLY; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; better off; bloodline; breathin; everytime; fake smile; fantasize*; get well soon; ghostin; goodnight n go; imagine; in my head; make up; motive; needy; off the table; pete davidson; positions; pov; sweetener; thank u, next; the light is coming; twilight zone; we can’t be friends (wait for your love); yes, and?",4.5,True,18
know,know,VERB,187,45,"34+35; 34+35 (Remix); 7 rings; Boyfriend; Dangerous Woman; Don’t Call Me Angel (Charlie’s Angels); God is a woman; Hampstead; Into You; Let Me Love You; Love Me Harder; NASA; One Last Time; Problem; R.E.M.; Santa Tell Me; Side To Side; Stuck with U; The Way; bad idea; better off; bloodline; break up with your girlfriend, i’m bored; breathin; eternal sunshine; fake smile; fantasize*; get well soon; ghostin; goodnight n go; imagine; in my head; make up; needy; no tears left to cry; off the table; pete davidson; positions; pov; sweetener; thank u, next; the boy is mine; the light is coming; twilight zone; we can’t be friends (wait for your love)",4.16,False,19
