word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1337,50,"***Flawless; 16 CARRIAGES; 6 Inch; 7/11; ALIEN SUPERSTAR; All Night; BLACK PARADE; BREAK MY SOUL; BROWN SKIN GIRL; Blow; Blue; Bow Down / I Been On; CUFF IT; Countdown; Crazy in Love; DAUGHTER; Daddy Lessons; Don’t Hurt Yourself; Drunk in Love; Drunk in Love (Remix); Flawless (Remix); Formation; Forward; Freedom; HEATED; Halo; Haunted; Heaven; Hold Up; If I Were a Boy; Irreplaceable; JOLENE; Jealous; Lemonade Film (Script); Listen; Love Drought; Love On Top; MOOD 4 EVA; Me, Myself and I; Mine; Partition; Pray You Catch Me; Pretty Hurts; Rocket; Sandcastles; Single Ladies (Put a Ring on It); Sorry; TEXAS HOLD ’EM; Upgrade U; XO",26.74,True,1
you,you,PRON,1240,50,"***Flawless; 16 CARRIAGES; 6 Inch; 7/11; ALIEN SUPERSTAR; All Night; BLACK PARADE; BREAK MY SOUL; BROWN SKIN GIRL; Blow; Blue; Bow Down / I Been On; CUFF IT; Countdown; Crazy in Love; DAUGHTER; Daddy Lessons; Don’t Hurt Yourself; Drunk in Love; Drunk in Love (Remix); Flawless (Remix); Formation; Forward; Freedom; HEATED; Halo; Haunted; Heaven; Hold Up; If I Were a Boy; Irreplaceable; JOLENE; Jealous; Lemonade Film (Script); Listen; Love Drought; Love On Top; MOOD 4 EVA; Me, Myself and I; Mine; Partition; Pray You Catch Me; Pretty Hurts; Rocket; Sandcastles; Single Ladies (Put a Ring on It); Sorry; TEXAS HOLD ’EM; Upgrade U; XO",24.8,True,2
the,the,DET,988,48,"***Flawless; 16 CARRIAGES; 6 Inch; 7/11; ALIEN SUPERSTAR; All Night; BLACK PARADE; BREAK MY SOUL; BROWN SKIN GIRL; Blow; Bow Down / I Been On; CUFF IT; Countdown; Crazy in Love; DAUGHTER; Daddy Lessons; Don’t Hurt Yourself; Drunk in Love; Drunk in Love (Remix); Flawless (Remix); Formation; Freedom; HEATED; Halo; Haunted; Heaven; Hold Up; If I Were a Boy; Irreplaceable; JOLENE; Jealous; Lemonade Film (Script); Listen; Love Drought; Love On Top; MOOD 4 EVA; Me, Myself and I; Mine; Partition; Pray You Catch Me; Pretty Hurts; Rocket; Sandcastles; Single Ladies (Put a Ring on It); Sorry; TEXAS HOLD ’EM; Upgrade U; XO",20.58,True,3
a,a,DET,615,44,"***Flawless; 16 CARRIAGES; ALIEN SUPERSTAR; BLACK PARADE; BREAK MY SOUL; BROWN SKIN GIRL; Blow; Blue; CUFF IT; Countdown; Crazy in Love; DAUGHTER; Daddy Lessons; Don’t Hurt Yourself; Drunk in Love; Drunk in Love (Remix); Flawless (Remix); Formation; Forward; Freedom; HEATED; Halo; Haunted; Hold Up; If I Were a Boy; Irreplaceable; JOLENE; Jealous; Lemonade Film (Script); Listen; Love Drought; Love On Top; MOOD 4 EVA; Me, Myself and I; Mine; Partition; Pray You Catch Me; Pretty Hurts; Rocket; Single Ladies (Put a Ring on It); Sorry; TEXAS HOLD ’EM; Upgrade U; XO",13.98,True,4
to,to,ADP,612,48,"***Flawless; 16 CARRIAGES; 6 Inch; 7/11; ALIEN SUPERSTAR; All Night; BLACK PARADE; BREAK MY SOUL; BROWN SKIN GIRL; Blow; Blue; Bow Down / I Been On; CUFF IT; Countdown; Crazy in Love; DAUGHTER; Daddy Lessons; Don’t Hurt Yourself; Drunk in Love; Drunk in Love (Remix); Flawless (Remix); Formation; Forward; Freedom; HEATED; Halo; Haunted; Heaven; Hold Up; If I Were a Boy; Irreplaceable; JOLENE; Jealous; Lemonade Film (Script); Listen; Love Drought; Love On Top; MOOD 4 EVA; Me, Myself and I; Mine; Partition; Pray You Catch Me; Pretty Hurts; Rocket; Single Ladies (Put a Ring on It); Sorry; TEXAS HOLD ’EM; Upgrade U",12.75,True,5
me,i,PRON,566,49,"***Flawless; 16 CARRIAGES; 6 Inch; 7/11; ALIEN SUPERSTAR; All Night; BLACK PARADE; BREAK MY SOUL; BROWN SKIN GIRL; Blow; Blue; Bow Down / I Been On; CUFF IT; Countdown; Crazy in Love; DAUGHTER; Daddy Lessons; Don’t Hurt Yourself; Drunk in Love; Drunk in Love (Remix); Flawless (Remix); Formation; Forward; Freedom; HEATED; Halo; Haunted; Heaven; Hold Up; If I Were a Boy; Irreplaceable; JOLENE; Jealous; Lemonade Film (Script); Listen; Love Drought; Love On Top; MOOD 4 EVA; Me, Myself and I; Mine; Partition; Pray You Catch Me; Rocket; Sandcastles; Single Ladies (Put a Ring on It); Sorry; TEXAS HOLD ’EM; Upgrade U; XO",11.55,True,6
my,my,PRON,517,47,"***Flawless; 16 CARRIAGES; 7/11; ALIEN SUPERSTAR; All Night; BLACK PARADE; BREAK MY SOUL; BROWN SKIN GIRL; Blow; Blue; Bow Down / I Been On; CUFF IT; Countdown; Crazy in Love; DAUGHTER; Daddy Lessons; Don’t Hurt Yourself; Drunk in Love; Drunk in Love (Remix); Flawless (Remix); Formation; Freedom; HEATED; Halo; Haunted; Hold Up; If I Were a Boy; Irreplaceable; JOLENE; Jealous; Lemonade Film (Script); Listen; Love Drought; Love On Top; MOOD 4 EVA; Me, Myself and I; Mine; Partition; Pray You Catch Me; Pretty Hurts; Rocket; Sandcastles; Single Ladies (Put a Ring on It); Sorry; TEXAS HOLD ’EM; Upgrade U; XO",11.0,True,7
in,in,ADP,441,47,"***Flawless; 16 CARRIAGES; 6 Inch; 7/11; ALIEN SUPERSTAR; BLACK PARADE; BREAK MY SOUL; BROWN SKIN GIRL; Blow; Blue; Bow Down / I Been On; CUFF IT; Countdown; Crazy in Love; DAUGHTER; Daddy Lessons; Don’t Hurt Yourself; Drunk in Love; Drunk in Love (Remix); Flawless (Remix); Formation; Forward; Freedom; HEATED; Halo; Haunted; Hold Up; If I Were a Boy; Irreplaceable; JOLENE; Jealous; Lemonade Film (Script); Listen; Love Drought; Love On Top; MOOD 4 EVA; Me, Myself and I; Mine; Partition; Pray You Catch Me; Pretty Hurts; Rocket; Single Ladies (Put a Ring on It); Sorry; TEXAS HOLD ’EM; Upgrade U; XO",9.38,True,8
it,it,PRON,441,47,"***Flawless; 16 CARRIAGES; 6 Inch; 7/11; ALIEN SUPERSTAR; All Night; BLACK PARADE; BREAK MY SOUL; BROWN SKIN GIRL; Blow; Blue; Bow Down / I Been On; CUFF IT; Countdown; Crazy in Love; Daddy Lessons; Don’t Hurt Yourself; Drunk in Love; Drunk in Love (Remix); Flawless (Remix); Formation; Forward; Freedom; HEATED; Halo; Haunted; Heaven; Hold Up; If I Were a Boy; Irreplaceable; Jealous; Lemonade Film (Script); Listen; Love Drought; Love On Top; MOOD 4 EVA; Me, Myself and I; Mine; Partition; Pray You Catch Me; Pretty Hurts; Rocket; Sandcastles; Single Ladies (Put a Ring on It); Sorry; TEXAS HOLD ’EM; Upgrade U",9.38,True,9
and,and,CCONJ,420,47,"***Flawless; 16 CARRIAGES; 6 Inch; 7/11; ALIEN SUPERSTAR; All Night; BLACK PARADE; BREAK MY SOUL; BROWN SKIN GIRL; Blow; Blue; Bow Down / I Been On; CUFF IT; Countdown; Crazy in Love; DAUGHTER; Daddy Lessons; Don’t Hurt Yourself; Drunk in Love; Drunk in Love (Remix); Flawless (Remix); Formation; Freedom; HEATED; Halo; Haunted; Hold Up; If I Were a Boy; Irreplaceable; JOLENE; Jealous; Lemonade Film (Script); Listen; Love Drought; Love On Top; MOOD 4 EVA; Me, Myself and I; Mine; Partition; Pretty Hurts; Rocket; Sandcastles; Single Ladies (Put a Ring on It); Sorry; TEXAS HOLD ’EM; Upgrade U; XO",8.94,True,10
