"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","lovely","Billie Eilish","Music from “Billie Eilish: The World’s a Little Blurry” (An Apple Original Film)","","August 11, 2017","4786562","191","32","","https://genius.com/Billie-eilish-and-khalid-lovely-lyrics","3422526","Thought I found a way
Thought I found a way out (
Found
)
But you never go away (
Never go away
)
So I guess I gotta stay now

Oh, I hope some day I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can't fight my fear

Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home

Walking out of time
Looking for a better place (Looking for a better place)
Something's on my mind (Mind)
Always in my head space

But I know someday I'll make it out of here
Even if it takes all night or a hundred years
Need a place to hide, but I can't find one near
Wanna feel alive, outside I can't fight my fear

Isn't it lovely, all alone?
Heart made of glass, my mind of stone
Tear me to pieces, skin to bone
Hello, welcome home

Woah, yeah
Yeah, ah
Woah, woah
Hello, welcome home"
"2","WILDFLOWER","Billie Eilish","L’intégrale De Ses Albums","","May 17, 2024","4713325","313","38","","https://genius.com/Billie-eilish-wildflower-lyrics","10257627","Things fall apart
And time breaks your heart
I wasn't there, but I know
She was your girl
You showed her the world
But fell out of love and you both let go

She was cryin’ on my shoulder
All I could do was hold her
Only made us closer until July
Now, I know that you love me
You don't need to remind me
I should put it all behind me, shouldn't I?

But I see her in the back of my mind all the time
Like a fever, like I’m burning alive, like a sign
Did I cross the line?

(Mm) Hmm

Well, good things don't last (Good things don't last)
And life moves so fast (Life moves so fast)
I'd never ask who was better (I'd never ask who was better)
'Cause she couldn't be (Couldn't)
More different from me (Different)
Happy and free in leather (Happy)

And I know that you love me (You love me)
You don’t need to remind me (Remind me)
Wanna put it all behind me, but baby

I see her in the back of my mind (Back of my mind) all the time (All the time)
Feels like a fever (Like a fever), like I’m burning alive (Burning alive), like a sign
Did I cross the line?

You say no one knows you so well (Oh)
But every time you touch me, I just wonder how she felt
Valentine's Day, cryin’ in the hotel
I know you didn't mean to hurt me, so I kept it to myself

And I wonder
Do you see her in the back of your mind in my eyes?

You say no one knows you so well
But every time you touch me, I just wonder how she felt
Valentine's Day, cryin' in the hotel
I know you didn’t mean to hurt me, so I kept it to myself"
"3","when the party’s over","Billie Eilish","L’intégrale De Ses Albums","","October 17, 2018","4165739","192","21","","https://genius.com/Billie-eilish-when-the-partys-over-lyrics","3484874","Don't you know I'm no good for you?
I've learned to lose you, can't afford to
Tore my shirt to stop you bleedin'
But nothin' ever stops you leavin'

Quiet when I'm coming home and I'm on my own
I could lie, say I like it like that, like it like that
I could lie, say I like it like that, like it like that

Don't you know too much already?
I'll only hurt you if you let me
Call me friend, but keep me closer (Call me back)
And I'll call you when the party's over

Quiet when I'm coming home and I'm on my own
And I could lie, say I like it like that, like it like that
Yeah, I could lie, say I like it like that, like it like that

But nothin' is better sometimes
Once we've both said our goodbyes
Let's just let it go
Let me let you go

Quiet when I'm coming home and I'm on my own
I could lie, say I like it like that, like it like that
I could lie, say I like it like that, like it like that"
"4","Happier Than Ever","Billie Eilish","L’intégrale De Ses Albums","","July 30, 2021","4140683","341","49","","https://genius.com/Billie-eilish-happier-than-ever-lyrics","6533253","When I'm away from you
I'm happier than ever
Wish I could explain it better
I wish it wasn't true

Give me a day or two to think of something clever
To write myself a letter
To tell me what to do, mm-mm
Do you read my interviews?
Or do you skip my avenue?
When you said you were passin' through
Was I even on your way?
I knew when I asked you to (When I asked you to)
Be cool about what I was tellin' you
You'd do the opposite of what you said you'd do (What you said you'd do)
And I'd end up more afraid
Don't say it isn't fair
You clearly werеn't aware that you made me misеrable
So if you really wanna know

When I'm away from you (When I'm away from you)
I'm happier than ever (Happier than ever)
Wish I could explain it better (Wish I could explain it better)
I wish it wasn't true, mm-mm

You call me again, drunk in your Benz
Drivin' home under the influence
You scared me to death, but I'm wastin' my breath
'Cause you only listen to your fuckin' friends
I don't relate to you
I don't relate to you, no
'Cause I'd never treat me this shitty
You made me hate this city

And I don't talk shit about you on the internet
Never told anyone anything bad
'Cause that shit's embarrassing, you were my everything
And all that you did was make me fuckin' sad
So don't waste the time I don't have
And don't try to make me feel bad
I could talk about every time that you showed up on time
But I'd have an empty line 'cause you never did
Never paid any mind to my mother or friends, so I
Shut 'em all out for you 'cause I was a kid

You ruined everything good
Always said you were misunderstood
Made all my moments your own
Just fuckin' leave me alone, yeah (Fuck you)
(Ah)
(Goddamn)
(Ah)
(Fuck you)
(Fuck you)"
"5","bad guy","Billie Eilish","L’intégrale De Ses Albums","","March 29, 2019","4075036","257","48","","https://genius.com/Billie-eilish-bad-guy-lyrics","4271772","White shirt now red, my bloody nose
Sleepin', you're on your tippy toes
Creepin' around like no one knows
Think you're so criminal
Bruises on both my knees for you
Don't say thank you or please
I do what I want when I'm wanting to
My soul? So cynical

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh

I'm the bad guy

I like it when you take control
Even if you know that you don't
Own me, I'll let you play the role
I'll be your animal
My mommy likes to sing along with me
But she won't sing this song
If she reads all the lyrics
She'll pity the men I know

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh

I'm the bad guy, duh
I'm only good at bein' bad, bad

I like when you get mad
I guess I'm pretty glad that you're alone
You said she's scared of me?
I mean, I don't see what she sees
But maybe it's 'cause I'm wearing your cologne

I'm a bad guy
I'm, I'm a bad guy
Bad guy, bad guy
I'm a bad"
"6","everything i wanted","Billie Eilish","Happier Than Ever / WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","","November 13, 2019","3736519","313","48","","https://genius.com/Billie-eilish-everything-i-wanted-lyrics","5013279","I had a dream
I got everything I wanted
Not what you'd think
And if I'm bein' honest
It might've been a nightmare
To anyone who might care
Thought I could fly (Fly)
So I stepped off the Golden, mm
Nobody cried (Cried, cried, cried, cried)
Nobody even noticed
I saw them standing right there
Kinda thought they might care (Might care, might care)

I had a dream
I got everything I wanted
But when I wake up, I see
You with me

And you say, ""As long as I'm here, no one can hurt you
Don't wanna lie here, but you can learn to
If I could change the way that you see yourself
You wouldn't wonder why you hear
'They don't deserve you'""

I tried to scream
But my head was underwater
They called me weak
Like I'm not just somebody's daughter
Coulda been a nightmare
But it felt like they were right there
And it feels like yesterday was a year ago
But I don't wanna let anybody know
'Cause everybody wants something from me now
And I don't wanna let 'em down

I had a dream
I got everything I wanted
But when I wake up, I see
You with me

And you say, ""As long as I'm here, no one can hurt you
Don't wanna lie here, but you can learn to
If I could change the way that you see yourself
You wouldn't wonder why you hear
'They don't deserve you'""

If I knew it all then, would I do it again?
Would I do it again?
If they knew what they said would go straight to my head
What would they say instead?
If I knew it all then, would I do it again?
Would I do it again?
If they knew what they said would go straight to my head
What would they say instead?"
"7","idontwannabeyouanymore","Billie Eilish","Music from “Billie Eilish: The World’s a Little Blurry” (An Apple Original Film)","","July 21, 2017","3517067","182","32","","https://genius.com/Billie-eilish-idontwannabeyouanymore-lyrics","3143252","Ba-da-da-da-da
Ba-da-da-da-da

Don't be that way
Fall apart twice a day
I just wish you could feel what you say
Show, never tell
But I know you too well
Got a mood that you wish you could sell

If teardrops could be bottled
There'd be swimming pools filled by models
Told, ""A tight dress is what makes you a whore""
If ""I love you"" was a promise
Would you break it, if you're honest?
Tell the mirror what you know she's heard before
I don't wanna be you
Anymore

Hands getting cold
Losing feeling is getting old
Was I made from a broken mold?
Hurt, I can't shake
We've made every mistake
Only you know the way that I break

If teardrops could be bottled
There'd be swimming pools filled by models
Told, ""A tight dress is what makes you a whore""
If ""I love you"" was a promise
Would you break it, if you're honest?
Tell the mirror what you know she's heard before
I, I don't wanna be you
I don't wanna be you
I don't wanna be you
Anymore"
"8","i love you","Billie Eilish","L’intégrale De Ses Albums","","March 29, 2019","3210693","187","30","","https://genius.com/Billie-eilish-i-love-you-lyrics","4186978","It's not true
Tell me I’ve been lied to
Crying isn't like you, ooh
What the hell did I do?
Never been the type to
Let someone see right through, ooh

Maybe won't you take it back?
Say you were tryna make me laugh
And nothing has to change today
You didn’t mean to say ""I love you""
I love you and I don't want to, ooh

Up all night on another red-eye
I wish we never learned to fly
Maybe we should just try
To tell ourselves a good lie
Didn't mean to make you cry

Maybe won't you take it back?
Say you were tryna make me laugh
And nothing has to change today
You didn't mean to say ""I love you""
I love you and I don't want to, ooh

The smile that you gave me
Even when you felt like dying

We fall apart as it gets dark
I'm in your arms in Central Park
There's nothing you could do or say
I can’t escape the way I love you
I don’t want to, but I love you, ooh
Ooh, ooh
Ooh, ooh"
"9","bury a friend","Billie Eilish","L’intégrale De Ses Albums","","January 30, 2019","2944370","389","49","","https://genius.com/Billie-eilish-bury-a-friend-lyrics","4266880","Billie

What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?

Come here
Say it, spit it out, what is it exactly
You're payin'? Is the amount cleanin' you out? Am I satisfactory?
Today, I'm thinkin' about the things that are deadly
The way I'm drinkin' you down
Like I wanna drown, like I wanna end me

Step on the glass, staple your tongue (Ahh)
Bury a friend, try to wake up (Ah-ahh)
Cannibal class, killing the son (Ahh)
Bury a friend, I wanna end me

I wanna end me
I wanna, I wanna, I wanna… end me
I wanna, I wanna, I wanna…

What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?

Listen
Keep you in the dark, what had you expected?
Me to make you my art and make you a star
And get you connected?
I'll meet you in the park, I'll be calm and collected
But we knew right from the start that you'd fall apart
'Cause I'm too expensive
It's probably somethin' that shouldn't be said out loud
Honestly, I thought that I would be dead by now (Wow)
Calling security, keepin' my head held down
Bury the hatchet or bury a friend right now

The debt I owe, gotta sell my soul
'Cause I can't say no, no, I can't say no
Then my limbs all froze and my eyes won't close
And I can't say no, I can't say no
Careful

Step on the glass, staple your tongue (Ahh)
Bury a friend, try to wake up (Ah-ahh)
Cannibal class, killing the son (Ahh)
Bury a friend, I wanna end me

I wanna end me
I wanna, I wanna, I wanna… end me
I wanna, I wanna, I wanna…

What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?"
"10","BIRDS OF A FEATHER","Billie Eilish","L’intégrale De Ses Albums","","May 17, 2024","2259665","298","39","","https://genius.com/Billie-eilish-birds-of-a-feather-lyrics","10257626","(But I wanna stay)

I want you to stay
'Til I'm in the grave
'Til I rot away, dead and buried
'Til I'm in the casket you carry
If you go, I'm goin' too, uh
'Cause it was always you (Alright)
And if I'm turnin' blue, please don't save me
Nothin' left to lose without my baby

Birds of a feather, we should stick together, I know
I said I'd never think I wasn't better alone
Can't change the weather, might not be forever
But if it's forever, it's even better

And I don't know what I'm cryin' for
I don't think I could love you more
It might not be long, but baby, I

I'll love you 'til the day that I die
'Til the day that I die
'Til the light leaves my eyes
'Til the day that I die

I want you to see, hm
How you look to me, hm
You wouldn't believe if I told ya
You would keep the compliments I throw ya
But you're so full of shit, uh
Tell me it's a bit, oh
Say you don't see it, your mind's polluted
Say you wanna quit, don't be stupid

And I don't know what I'm cryin' for
I don't think I could love you more
It might not be long, but baby, I
Don't wanna say goodbye

Birds of a feather, we should stick together, I know ('Til the day that I die)
I said I'd never think I wasn't better alone ('Til the light leaves my eyes)
Can't change the weather, might not be forever ('Til the day that I die)
But if it's forever, it's even better

I knew you in another life
You had that same look in your eyes
I love you, don't act so surprised"
