word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,935,49,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; No Time To Die; SKINNY; Six Feet Under; THE DINER; THE GREATEST; TV; The 30th; Therefore I Am; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; come out and play; everything i wanted; goodbye; hostage; i love you; idontwannabeyouanymore; ilomilo; listen before i go; lovely; my boy; my future; my strange addiction; ocean eyes; party favor; watch; when the party’s over; wish you were gay; xanny; you should see me in a crown,19.08,True,1
you,you,PRON,763,48,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; No Time To Die; SKINNY; Six Feet Under; THE DINER; THE GREATEST; TV; The 30th; Therefore I Am; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bitches broken hearts; bury a friend; come out and play; everything i wanted; goodbye; hostage; i love you; idontwannabeyouanymore; ilomilo; listen before i go; lovely; my boy; my future; my strange addiction; ocean eyes; party favor; watch; when the party’s over; wish you were gay; xanny; you should see me in a crown,15.9,True,2
n't,not,PART,313,47,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; SKINNY; Six Feet Under; THE DINER; THE GREATEST; TV; The 30th; Therefore I Am; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; come out and play; everything i wanted; goodbye; hostage; i love you; idontwannabeyouanymore; ilomilo; listen before i go; lovely; my boy; my future; my strange addiction; ocean eyes; party favor; watch; when the party’s over; wish you were gay; xanny,6.66,True,3
the,the,DET,273,45,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; No Time To Die; SKINNY; Six Feet Under; THE DINER; THE GREATEST; TV; The 30th; Therefore I Am; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; come out and play; everything i wanted; goodbye; hostage; i love you; idontwannabeyouanymore; ilomilo; listen before i go; my strange addiction; party favor; watch; when the party’s over; wish you were gay; xanny; you should see me in a crown,6.07,True,4
to,to,PART,257,47,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; No Time To Die; SKINNY; Six Feet Under; THE DINER; THE GREATEST; TV; The 30th; Therefore I Am; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; come out and play; everything i wanted; goodbye; hostage; i love you; ilomilo; listen before i go; lovely; my boy; my future; my strange addiction; ocean eyes; party favor; watch; when the party’s over; wish you were gay; xanny,5.47,True,5
me,i,PRON,248,46,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; No Time To Die; SKINNY; Six Feet Under; THE DINER; THE GREATEST; TV; The 30th; Therefore I Am; WILDFLOWER; Your Power; all the good girls go to hell; bad guy; bitches broken hearts; bury a friend; come out and play; everything i wanted; goodbye; hostage; i love you; ilomilo; listen before i go; lovely; my boy; my future; my strange addiction; ocean eyes; party favor; watch; when the party’s over; wish you were gay; xanny; you should see me in a crown,5.39,True,6
my,my,PRON,236,40,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; NDA; No Time To Die; SKINNY; Six Feet Under; THE DINER; THE GREATEST; TV; Therefore I Am; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bellyache; bury a friend; everything i wanted; goodbye; hostage; ilomilo; listen before i go; lovely; my boy; my future; my strange addiction; party favor; watch; when the party’s over; wish you were gay; xanny; you should see me in a crown,5.9,True,7
it,it,PRON,230,41,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; No Time To Die; SKINNY; Six Feet Under; THE DINER; THE GREATEST; TV; The 30th; WILDFLOWER; What Was I Made For?; Your Power; bad guy; bellyache; bitches broken hearts; bury a friend; come out and play; everything i wanted; goodbye; hostage; i love you; idontwannabeyouanymore; ilomilo; lovely; my strange addiction; party favor; watch; when the party’s over; wish you were gay; xanny,5.61,True,8
do,do,VERB,216,42,8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; Male Fantasy; NDA; SKINNY; Six Feet Under; THE DINER; THE GREATEST; TV; The 30th; Therefore I Am; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; come out and play; everything i wanted; goodbye; hostage; i love you; idontwannabeyouanymore; ilomilo; listen before i go; my boy; my future; my strange addiction; party favor; watch; when the party’s over; wish you were gay; xanny,5.14,True,9
m,be,AUX,202,39,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; Male Fantasy; SKINNY; THE DINER; THE GREATEST; TV; Therefore I Am; WILDFLOWER; What Was I Made For?; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; everything i wanted; goodbye; hostage; i love you; ilomilo; listen before i go; my future; my strange addiction; ocean eyes; party favor; watch; when the party’s over; wish you were gay; xanny; you should see me in a crown,5.18,True,10
and,and,CCONJ,194,40,6.18.18; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; SKINNY; Six Feet Under; THE DINER; THE GREATEST; TV; The 30th; Therefore I Am; WILDFLOWER; Your Power; all the good girls go to hell; bitches broken hearts; bury a friend; come out and play; everything i wanted; goodbye; hostage; i love you; ilomilo; listen before i go; my boy; my future; my strange addiction; ocean eyes; party favor; watch; when the party’s over; wish you were gay; xanny,4.85,True,11
a,a,DET,187,45,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; No Time To Die; SKINNY; Six Feet Under; THE DINER; THE GREATEST; TV; The 30th; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; come out and play; everything i wanted; goodbye; hostage; i love you; idontwannabeyouanymore; ilomilo; listen before i go; lovely; my boy; my future; my strange addiction; ocean eyes; party favor; wish you were gay; xanny; you should see me in a crown,4.16,True,12
s,be,AUX,161,45,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; No Time To Die; SKINNY; Six Feet Under; THE GREATEST; TV; The 30th; Therefore I Am; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; come out and play; everything i wanted; goodbye; hostage; i love you; idontwannabeyouanymore; ilomilo; listen before i go; lovely; my boy; my future; my strange addiction; party favor; when the party’s over; wish you were gay; xanny,3.58,True,13
but,but,CCONJ,153,44,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; No Time To Die; SKINNY; Six Feet Under; THE DINER; The 30th; Therefore I Am; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; come out and play; everything i wanted; hostage; i love you; idontwannabeyouanymore; ilomilo; listen before i go; lovely; my boy; my future; my strange addiction; party favor; watch; when the party’s over; wish you were gay; xanny,3.48,True,14
your,your,PRON,137,34,6.18.18; 8; BIRDS OF A FEATHER; BLUE; Billie Bossa Nova; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; SKINNY; Six Feet Under; THE DINER; THE GREATEST; The 30th; Therefore I Am; WILDFLOWER; Your Power; all the good girls go to hell; bad guy; bitches broken hearts; bury a friend; come out and play; hostage; i love you; ilomilo; my future; my strange addiction; ocean eyes; party favor; watch; wish you were gay; xanny; you should see me in a crown,4.03,True,15
know,know,VERB,121,40,6.18.18; 8; BIRDS OF A FEATHER; BLUE; Billie Bossa Nova; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; SKINNY; THE DINER; THE GREATEST; TV; The 30th; Therefore I Am; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bitches broken hearts; bury a friend; come out and play; everything i wanted; goodbye; hostage; idontwannabeyouanymore; ilomilo; listen before i go; lovely; my boy; my future; my strange addiction; ocean eyes; party favor; watch; when the party’s over,3.02,False,16
in,in,ADP,116,32,8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; NDA; SKINNY; Six Feet Under; THE DINER; THE GREATEST; TV; The 30th; WILDFLOWER; Your Power; all the good girls go to hell; bellyache; bury a friend; come out and play; hostage; i love you; lovely; my future; my strange addiction; watch; wish you were gay; xanny; you should see me in a crown,3.62,True,17
that,that,SCONJ,112,35,6.18.18; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; Male Fantasy; No Time To Die; THE DINER; TV; The 30th; Therefore I Am; WILDFLOWER; Your Power; bad guy; bellyache; bitches broken hearts; bury a friend; everything i wanted; hostage; i love you; idontwannabeyouanymore; ilomilo; listen before i go; my boy; my strange addiction; party favor; watch; when the party’s over; wish you were gay; xanny,3.2,True,18
like,like,ADP,100,29,8; BLUE; Billie Bossa Nova; LUNCH; L’AMOUR DE MA VIE; NDA; Six Feet Under; The 30th; Therefore I Am; WILDFLOWER; Your Power; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; everything i wanted; hostage; i love you; ilomilo; listen before i go; my boy; my future; my strange addiction; party favor; when the party’s over; wish you were gay; xanny; you should see me in a crown,3.45,False,19
so,so,ADV,96,31,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; SKINNY; THE DINER; TV; The 30th; Therefore I Am; WILDFLOWER; What Was I Made For?; Your Power; bad guy; everything i wanted; goodbye; hostage; ilomilo; listen before i go; lovely; my future; watch; wish you were gay,3.1,True,20
what,what,PRON,95,33,6.18.18; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Bored; CHIHIRO; Happier Than Ever; L’AMOUR DE MA VIE; Male Fantasy; NDA; THE DINER; THE GREATEST; TV; The 30th; Therefore I Am; What Was I Made For?; bad guy; bellyache; bitches broken hearts; bury a friend; come out and play; everything i wanted; goodbye; hostage; i love you; idontwannabeyouanymore; ilomilo; listen before i go; my boy; my strange addiction; party favor; watch; xanny,2.88,True,21
da,da,PROPN,94,7,6.18.18; 8; Billie Bossa Nova; bad guy; idontwannabeyouanymore; my boy; ocean eyes,13.43,False,22
all,all,DET,91,33,6.18.18; BITTERSUITE; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; Six Feet Under; THE DINER; THE GREATEST; TV; The 30th; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; everything i wanted; goodbye; hostage; i love you; listen before i go; lovely; my future; party favor; watch; wish you were gay; you should see me in a crown,2.76,True,23
not,not,PART,88,30,6.18.18; 8; BIRDS OF A FEATHER; BLUE; Billie Bossa Nova; Bored; CHIHIRO; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; THE GREATEST; TV; The 30th; Therefore I Am; What Was I Made For?; Your Power; all the good girls go to hell; bitches broken hearts; everything i wanted; goodbye; hostage; i love you; ilomilo; listen before i go; my future; my strange addiction; party favor; wish you were gay; xanny; you should see me in a crown,2.93,True,24
re,be,AUX,81,27,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; Billie Bossa Nova; Bored; COPYCAT; LUNCH; L’AMOUR DE MA VIE; No Time To Die; Six Feet Under; THE DINER; TV; The 30th; Therefore I Am; bad guy; bitches broken hearts; bury a friend; come out and play; hostage; idontwannabeyouanymore; ilomilo; my future; my strange addiction; wish you were gay; xanny; you should see me in a crown,3.0,True,25
when,when,SCONJ,80,35,6.18.18; 8; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; SKINNY; THE DINER; THE GREATEST; TV; The 30th; Therefore I Am; What Was I Made For?; Your Power; bad guy; bury a friend; come out and play; everything i wanted; hostage; i love you; listen before i go; my strange addiction; ocean eyes; party favor; watch; when the party’s over; wish you were gay; xanny,2.29,True,26
love,love,NOUN,80,26,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; Billie Bossa Nova; Bored; CHIHIRO; COPYCAT; L’AMOUR DE MA VIE; Male Fantasy; No Time To Die; SKINNY; Six Feet Under; THE GREATEST; TV; WILDFLOWER; come out and play; hostage; i love you; idontwannabeyouanymore; ilomilo; listen before i go; my boy; my future; watch; xanny,3.08,False,27
for,for,ADP,79,30,8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; NDA; No Time To Die; SKINNY; Six Feet Under; THE DINER; THE GREATEST; TV; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; goodbye; lovely; ocean eyes; when the party’s over; wish you were gay; you should see me in a crown,2.63,True,28
on,on,ADP,76,29,6.18.18; 8; BITTERSUITE; Billie Bossa Nova; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; NDA; No Time To Die; SKINNY; THE DINER; TV; The 30th; Therefore I Am; WILDFLOWER; all the good girls go to hell; bad guy; bitches broken hearts; bury a friend; hostage; i love you; listen before i go; lovely; my strange addiction; party favor; when the party’s over; xanny; you should see me in a crown,2.62,True,29
just,just,ADV,75,30,8; BLUE; Bored; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; No Time To Die; SKINNY; THE DINER; THE GREATEST; TV; The 30th; Therefore I Am; WILDFLOWER; What Was I Made For?; bad guy; everything i wanted; hostage; i love you; idontwannabeyouanymore; ilomilo; my boy; my future; my strange addiction; party favor; when the party’s over; wish you were gay; xanny,2.5,True,30
be,be,AUX,74,31,8; BIRDS OF A FEATHER; BITTERSUITE; Billie Bossa Nova; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; THE DINER; TV; The 30th; Therefore I Am; WILDFLOWER; What Was I Made For?; bad guy; bellyache; bury a friend; come out and play; goodbye; hostage; idontwannabeyouanymore; ilomilo; listen before i go; my boy; my future; my strange addiction; party favor; watch; xanny,2.39,True,31
wanna,wanna,PROPN,72,27,6.18.18; BIRDS OF A FEATHER; BITTERSUITE; Billie Bossa Nova; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; THE DINER; THE GREATEST; TV; Therefore I Am; WILDFLOWER; What Was I Made For?; Your Power; bellyache; bitches broken hearts; bury a friend; everything i wanted; hostage; idontwannabeyouanymore; ilomilo; listen before i go; lovely; my future; my strange addiction; watch; wish you were gay,2.67,False,32
of,of,ADP,69,25,BIRDS OF A FEATHER; BITTERSUITE; BLUE; Billie Bossa Nova; Bored; CHIHIRO; COPYCAT; Happier Than Ever; L’AMOUR DE MA VIE; SKINNY; Six Feet Under; THE DINER; TV; The 30th; Therefore I Am; WILDFLOWER; all the good girls go to hell; bad guy; bellyache; bury a friend; come out and play; lovely; my strange addiction; ocean eyes; wish you were gay,2.76,True,33
ca,can,AUX,68,25,BIRDS OF A FEATHER; BITTERSUITE; BLUE; Bored; CHIHIRO; COPYCAT; Male Fantasy; NDA; Six Feet Under; all the good girls go to hell; bad guy; bury a friend; hostage; i love you; idontwannabeyouanymore; ilomilo; listen before i go; lovely; my future; my strange addiction; ocean eyes; party favor; when the party’s over; wish you were gay; xanny,2.72,True,34
say,say,VERB,65,27,6.18.18; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Bored; CHIHIRO; COPYCAT; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; NDA; SKINNY; THE DINER; THE GREATEST; Therefore I Am; WILDFLOWER; all the good girls go to hell; bad guy; bury a friend; come out and play; everything i wanted; i love you; idontwannabeyouanymore; listen before i go; when the party’s over; wish you were gay; you should see me in a crown,2.41,True,35
now,now,ADV,65,29,8; BLUE; CHIHIRO; COPYCAT; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; No Time To Die; SKINNY; THE DINER; TV; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; everything i wanted; ilomilo; listen before i go; lovely; my boy; my future; party favor; watch; xanny,2.24,True,36
was,be,AUX,64,23,6.18.18; BIRDS OF A FEATHER; BITTERSUITE; CHIHIRO; Happier Than Ever; L’AMOUR DE MA VIE; Male Fantasy; NDA; No Time To Die; SKINNY; Six Feet Under; THE DINER; THE GREATEST; The 30th; WILDFLOWER; What Was I Made For?; Your Power; everything i wanted; idontwannabeyouanymore; ilomilo; my boy; my strange addiction; wish you were gay,2.78,True,37
is,be,AUX,64,28,6.18.18; 8; BITTERSUITE; Happier Than Ever; L’AMOUR DE MA VIE; Male Fantasy; No Time To Die; SKINNY; Six Feet Under; Therefore I Am; Your Power; all the good girls go to hell; bad guy; bellyache; bitches broken hearts; bury a friend; come out and play; goodbye; i love you; idontwannabeyouanymore; listen before i go; lovely; my strange addiction; watch; when the party’s over; wish you were gay; xanny; you should see me in a crown,2.29,True,38
could,could,AUX,63,25,6.18.18; 8; BIRDS OF A FEATHER; BLUE; CHIHIRO; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; NDA; Six Feet Under; THE DINER; THE GREATEST; Therefore I Am; WILDFLOWER; Your Power; bellyache; come out and play; everything i wanted; i love you; idontwannabeyouanymore; ilomilo; my strange addiction; watch; when the party’s over,2.52,True,39
if,if,SCONJ,58,24,BIRDS OF A FEATHER; BITTERSUITE; Billie Bossa Nova; CHIHIRO; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; Six Feet Under; THE DINER; The 30th; Your Power; bad guy; everything i wanted; idontwannabeyouanymore; ilomilo; listen before i go; lovely; my boy; party favor; watch; when the party’s over; wish you were gay; you should see me in a crown,2.42,True,40
never,never,ADV,57,22,6.18.18; 8; BIRDS OF A FEATHER; BITTERSUITE; BLUE; Bored; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; Male Fantasy; No Time To Die; SKINNY; WILDFLOWER; bitches broken hearts; come out and play; i love you; idontwannabeyouanymore; ilomilo; lovely; ocean eyes; watch; wish you were gay,2.59,True,41
ll,will,AUX,55,21,BIRDS OF A FEATHER; BITTERSUITE; CHIHIRO; LUNCH; No Time To Die; THE DINER; TV; all the good girls go to hell; bad guy; bellyache; bury a friend; come out and play; hostage; ilomilo; listen before i go; lovely; my future; party favor; watch; when the party’s over; wish you were gay,2.62,True,42
mm,mm,PROPN,50,13,BITTERSUITE; BLUE; Billie Bossa Nova; CHIHIRO; Happier Than Ever; LUNCH; L’AMOUR DE MA VIE; NDA; THE GREATEST; What Was I Made For?; come out and play; everything i wanted; ocean eyes,3.85,False,43
did,do,AUX,48,19,8; CHIHIRO; COPYCAT; Happier Than Ever; L’AMOUR DE MA VIE; NDA; SKINNY; TV; The 30th; Therefore I Am; WILDFLOWER; What Was I Made For?; Your Power; all the good girls go to hell; i love you; ilomilo; my strange addiction; watch; wish you were gay,2.53,True,44
