word,exclusion_category
abe,PROPER_NOUN
abel,PROPER_NOUN
abraham,PROPER_NOUN
alcatraz,PROPER_NOUN
alfred,PROPER_NOUN
algiers,PROPER_NOUN
altamont,PROPER_NOUN
amelia,PROPER_NOUN
anne,PROPER_NOUN
annie,PROPER_NOUN
arthur,PROPER_NOUN
ashtabula,PROPER_NOUN
astor,PROPER_NOUN
backus,PROPER_NOUN
barcelona,PROPER_NOUN
bayview,PROPER_NOUN
beatles,ARTIST_NAME
beethoven,PROPER_NOUN
bello,PROPER_NOUN
bette,PROPER_NOUN
betts,PROPER_NOUN
blake,PROPER_NOUN
bradley,PROPER_NOUN
budapest,PROPER_NOUN
buddha,PROPER_NOUN
bugsy,PROPER_NOUN
cadillac,PROPER_NOUN
cain,PROPER_NOUN
calvin,PROPER_NOUN
carl,PROPER_NOUN
carter,PROPER_NOUN
cecil,PROPER_NOUN
charlie,PROPER_NOUN
chelsea,PROPER_NOUN
chopin,PROPER_NOUN
cinderella,PROPER_NOUN
claus,PROPER_NOUN
cleo,PROPER_NOUN
cline,PROPER_NOUN
clinton,PROPER_NOUN
cole,PROPER_NOUN
corso,PROPER_NOUN
da,SOUND_EFFECT
dallas,PROPER_NOUN
davey,PROPER_NOUN
davis,PROPER_NOUN
dealey,PROPER_NOUN
delacroix,PROPER_NOUN
delilah,PROPER_NOUN
demille,PROPER_NOUN
deuteronomy,PROPER_NOUN
dickey,PROPER_NOUN
dooley,PROPER_NOUN
dumbarton,PROPER_NOUN
einstein,PROPER_NOUN
eisenhower,PROPER_NOUN
eliot,PROPER_NOUN
ellum,PROPER_NOUN
etta,PROPER_NOUN
ezra,PROPER_NOUN
f.,MUSIC_JUNK
fitzgerald,PROPER_NOUN
floyd,PROPER_NOUN
francisco,PROPER_NOUN
frey,PROPER_NOUN
galileo,PROPER_NOUN
georgia,PROPER_NOUN
getz,PROPER_NOUN
ginsberg,PROPER_NOUN
glenn,PROPER_NOUN
gomorrah,PROPER_NOUN
gower,PROPER_NOUN
graf,PROPER_NOUN
henley,PROPER_NOUN
hmm,SOUND_EFFECT
honolulu,PROPER_NOUN
houdini,PROPER_NOUN
howard,PROPER_NOUN
indiana,PROPER_NOUN
iscariot,PROPER_NOUN
italy,PROPER_NOUN
james,PROPER_NOUN
jesus,PROPER_NOUN
jim,PROPER_NOUN
jimmy,PROPER_NOUN
johanna,PROPER_NOUN
johnny,PROPER_NOUN
johnson,PROPER_NOUN
jones,PROPER_NOUN
