word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,1139,49,"A Hard Rain’s A-Gonna Fall; All Along the Watchtower; Ballad of a Thin Man; Blowin’ in the Wind; Boots of Spanish Leather; Desolation Row; Don’t Think Twice, It’s All Right; Girl from the North Country; Highway 61 Revisited; Hurricane; I Contain Multitudes; I Want You; Idiot Wind; If You See Her, Say Hello; It Ain’t Me Babe; It’s All Over Now, Baby Blue; It’s Alright, Ma (I’m Only Bleeding); Jokerman; Just Like Tom Thumb’s Blues; Just Like a Woman; Key West (Philosopher Pirate); Knockin’ on Heaven’s Door; Lay Lady Lay; Like a Rolling Stone; Lily, Rosemary and the Jack of Hearts; Love Minus Zero/No Limit; Maggie’s Farm; Make You Feel My Love; Masters of War; Mr. Tambourine Man; Murder Most Foul; My Back Pages; Positively 4th Street; Rainy Day Women #12 & 35; Sad-Eyed Lady of the Lowlands; Sara; Shelter from the Storm; Simple Twist of Fate; Stuck Inside of Mobile with the Memphis Blues Again; Subterranean Homesick Blues; Tangled Up in Blue; Tempest; The Times They Are A-Changin’; To Fall in Love with You; Tombstone Blues; Visions of Johanna; With God on Our Side; You Belong to Me; You’re Gonna Make Me Lonesome When You Go",23.24,True,1
you,you,PRON,571,44,"A Hard Rain’s A-Gonna Fall; All Along the Watchtower; Ballad of a Thin Man; Blowin’ in the Wind; Boots of Spanish Leather; Desolation Row; Don’t Think Twice, It’s All Right; Girl from the North Country; Highway 61 Revisited; Hurricane; I Contain Multitudes; I Want You; Idiot Wind; If You See Her, Say Hello; It Ain’t Me Babe; It’s All Over Now, Baby Blue; It’s Alright, Ma (I’m Only Bleeding); Jokerman; Just Like Tom Thumb’s Blues; Just Like a Woman; Key West (Philosopher Pirate); Lay Lady Lay; Like a Rolling Stone; Lily, Rosemary and the Jack of Hearts; Maggie’s Farm; Make You Feel My Love; Masters of War; Mr. Tambourine Man; Murder Most Foul; Positively 4th Street; Rainy Day Women #12 & 35; Sad-Eyed Lady of the Lowlands; Sara; Shelter from the Storm; Stuck Inside of Mobile with the Memphis Blues Again; Subterranean Homesick Blues; Tangled Up in Blue; The Times They Are A-Changin’; To Fall in Love with You; Tombstone Blues; Visions of Johanna; With God on Our Side; You Belong to Me; You’re Gonna Make Me Lonesome When You Go",12.98,True,2
i,i,PRON,567,43,"A Hard Rain’s A-Gonna Fall; All Along the Watchtower; Ballad of a Thin Man; Boots of Spanish Leather; Desolation Row; Don’t Think Twice, It’s All Right; Girl from the North Country; Highway 61 Revisited; Hurricane; I Contain Multitudes; I Want You; Idiot Wind; If You See Her, Say Hello; It Ain’t Me Babe; It’s Alright, Ma (I’m Only Bleeding); Just Like Tom Thumb’s Blues; Just Like a Woman; Key West (Philosopher Pirate); Knockin’ on Heaven’s Door; Lay Lady Lay; Lily, Rosemary and the Jack of Hearts; Maggie’s Farm; Make You Feel My Love; Masters of War; Mr. Tambourine Man; Murder Most Foul; My Back Pages; Positively 4th Street; Rainy Day Women #12 & 35; Sad-Eyed Lady of the Lowlands; Sara; Shelter from the Storm; Simple Twist of Fate; Stuck Inside of Mobile with the Memphis Blues Again; Subterranean Homesick Blues; Tangled Up in Blue; Tempest; To Fall in Love with You; Tombstone Blues; Visions of Johanna; With God on Our Side; You Belong to Me; You’re Gonna Make Me Lonesome When You Go",13.19,True,3
and,and,CCONJ,548,49,"A Hard Rain’s A-Gonna Fall; All Along the Watchtower; Ballad of a Thin Man; Blowin’ in the Wind; Boots of Spanish Leather; Desolation Row; Don’t Think Twice, It’s All Right; Girl from the North Country; Highway 61 Revisited; Hurricane; I Contain Multitudes; I Want You; Idiot Wind; If You See Her, Say Hello; It Ain’t Me Babe; It’s All Over Now, Baby Blue; It’s Alright, Ma (I’m Only Bleeding); Jokerman; Just Like Tom Thumb’s Blues; Just Like a Woman; Key West (Philosopher Pirate); Lay Lady Lay; Like a Rolling Stone; Lily, Rosemary and the Jack of Hearts; Love Minus Zero/No Limit; Maggie’s Farm; Make You Feel My Love; Masters of War; Mr. Tambourine Man; Murder Most Foul; Must Be Santa; My Back Pages; Positively 4th Street; Rainy Day Women #12 & 35; Sad-Eyed Lady of the Lowlands; Sara; Shelter from the Storm; Simple Twist of Fate; Stuck Inside of Mobile with the Memphis Blues Again; Subterranean Homesick Blues; Tangled Up in Blue; Tempest; The Times They Are A-Changin’; To Fall in Love with You; Tombstone Blues; Visions of Johanna; With God on Our Side; You Belong to Me; You’re Gonna Make Me Lonesome When You Go",11.18,True,4
to,to,ADP,458,49,"A Hard Rain’s A-Gonna Fall; All Along the Watchtower; Ballad of a Thin Man; Blowin’ in the Wind; Boots of Spanish Leather; Desolation Row; Don’t Think Twice, It’s All Right; Girl from the North Country; Highway 61 Revisited; Hurricane; I Contain Multitudes; I Want You; Idiot Wind; If You See Her, Say Hello; It Ain’t Me Babe; It’s All Over Now, Baby Blue; It’s Alright, Ma (I’m Only Bleeding); Jokerman; Just Like Tom Thumb’s Blues; Just Like a Woman; Key West (Philosopher Pirate); Knockin’ on Heaven’s Door; Lay Lady Lay; Like a Rolling Stone; Lily, Rosemary and the Jack of Hearts; Love Minus Zero/No Limit; Maggie’s Farm; Make You Feel My Love; Masters of War; Mr. Tambourine Man; Murder Most Foul; My Back Pages; Positively 4th Street; Rainy Day Women #12 & 35; Sad-Eyed Lady of the Lowlands; Sara; Shelter from the Storm; Simple Twist of Fate; Stuck Inside of Mobile with the Memphis Blues Again; Subterranean Homesick Blues; Tangled Up in Blue; Tempest; The Times They Are A-Changin’; To Fall in Love with You; Tombstone Blues; Visions of Johanna; With God on Our Side; You Belong to Me; You’re Gonna Make Me Lonesome When You Go",9.35,True,5
a,a,DET,430,47,"A Hard Rain’s A-Gonna Fall; All Along the Watchtower; Ballad of a Thin Man; Blowin’ in the Wind; Boots of Spanish Leather; Desolation Row; Don’t Think Twice, It’s All Right; Girl from the North Country; Highway 61 Revisited; Hurricane; I Contain Multitudes; I Want You; Idiot Wind; If You See Her, Say Hello; It Ain’t Me Babe; It’s All Over Now, Baby Blue; It’s Alright, Ma (I’m Only Bleeding); Jokerman; Just Like Tom Thumb’s Blues; Just Like a Woman; Key West (Philosopher Pirate); Like a Rolling Stone; Lily, Rosemary and the Jack of Hearts; Love Minus Zero/No Limit; Maggie’s Farm; Make You Feel My Love; Masters of War; Mr. Tambourine Man; Murder Most Foul; Must Be Santa; My Back Pages; Positively 4th Street; Rainy Day Women #12 & 35; Sara; Shelter from the Storm; Simple Twist of Fate; Stuck Inside of Mobile with the Memphis Blues Again; Subterranean Homesick Blues; Tangled Up in Blue; Tempest; The Times They Are A-Changin’; To Fall in Love with You; Tombstone Blues; Visions of Johanna; With God on Our Side; You Belong to Me; You’re Gonna Make Me Lonesome When You Go",9.15,True,6
in,in,ADP,345,48,"A Hard Rain’s A-Gonna Fall; All Along the Watchtower; Ballad of a Thin Man; Blowin’ in the Wind; Boots of Spanish Leather; Desolation Row; Don’t Think Twice, It’s All Right; Girl from the North Country; Highway 61 Revisited; Hurricane; I Contain Multitudes; Idiot Wind; If You See Her, Say Hello; It Ain’t Me Babe; It’s All Over Now, Baby Blue; It’s Alright, Ma (I’m Only Bleeding); Jokerman; Just Like Tom Thumb’s Blues; Just Like a Woman; Key West (Philosopher Pirate); Knockin’ on Heaven’s Door; Lay Lady Lay; Like a Rolling Stone; Lily, Rosemary and the Jack of Hearts; Love Minus Zero/No Limit; Maggie’s Farm; Make You Feel My Love; Masters of War; Mr. Tambourine Man; Murder Most Foul; My Back Pages; Positively 4th Street; Rainy Day Women #12 & 35; Sad-Eyed Lady of the Lowlands; Sara; Shelter from the Storm; Simple Twist of Fate; Stuck Inside of Mobile with the Memphis Blues Again; Subterranean Homesick Blues; Tangled Up in Blue; Tempest; The Times They Are A-Changin’; To Fall in Love with You; Tombstone Blues; Visions of Johanna; With God on Our Side; You Belong to Me; You’re Gonna Make Me Lonesome When You Go",7.19,True,7
s,be,AUX,316,49,"A Hard Rain’s A-Gonna Fall; All Along the Watchtower; Ballad of a Thin Man; Boots of Spanish Leather; Desolation Row; Don’t Think Twice, It’s All Right; Girl from the North Country; Highway 61 Revisited; Hurricane; I Contain Multitudes; I Want You; Idiot Wind; If You See Her, Say Hello; It Ain’t Me Babe; It’s All Over Now, Baby Blue; It’s Alright, Ma (I’m Only Bleeding); Jokerman; Just Like Tom Thumb’s Blues; Just Like a Woman; Key West (Philosopher Pirate); Knockin’ on Heaven’s Door; Lay Lady Lay; Like a Rolling Stone; Lily, Rosemary and the Jack of Hearts; Love Minus Zero/No Limit; Maggie’s Farm; Make You Feel My Love; Masters of War; Mr. Tambourine Man; Murder Most Foul; Must Be Santa; My Back Pages; Positively 4th Street; Rainy Day Women #12 & 35; Sad-Eyed Lady of the Lowlands; Sara; Shelter from the Storm; Simple Twist of Fate; Stuck Inside of Mobile with the Memphis Blues Again; Subterranean Homesick Blues; Tangled Up in Blue; Tempest; The Times They Are A-Changin’; To Fall in Love with You; Tombstone Blues; Visions of Johanna; With God on Our Side; You Belong to Me; You’re Gonna Make Me Lonesome When You Go",6.45,True,8
it,it,PRON,295,46,"A Hard Rain’s A-Gonna Fall; All Along the Watchtower; Ballad of a Thin Man; Blowin’ in the Wind; Boots of Spanish Leather; Desolation Row; Don’t Think Twice, It’s All Right; Girl from the North Country; Highway 61 Revisited; Hurricane; I Contain Multitudes; I Want You; Idiot Wind; If You See Her, Say Hello; It Ain’t Me Babe; It’s All Over Now, Baby Blue; It’s Alright, Ma (I’m Only Bleeding); Jokerman; Just Like Tom Thumb’s Blues; Just Like a Woman; Key West (Philosopher Pirate); Knockin’ on Heaven’s Door; Lay Lady Lay; Like a Rolling Stone; Lily, Rosemary and the Jack of Hearts; Maggie’s Farm; Make You Feel My Love; Masters of War; Mr. Tambourine Man; Murder Most Foul; Positively 4th Street; Sad-Eyed Lady of the Lowlands; Sara; Shelter from the Storm; Simple Twist of Fate; Stuck Inside of Mobile with the Memphis Blues Again; Subterranean Homesick Blues; Tangled Up in Blue; Tempest; The Times They Are A-Changin’; To Fall in Love with You; Tombstone Blues; Visions of Johanna; With God on Our Side; You Belong to Me; You’re Gonna Make Me Lonesome When You Go",6.41,True,9
of,of,ADP,288,46,"A Hard Rain’s A-Gonna Fall; All Along the Watchtower; Ballad of a Thin Man; Boots of Spanish Leather; Desolation Row; Don’t Think Twice, It’s All Right; Girl from the North Country; Highway 61 Revisited; Hurricane; I Contain Multitudes; I Want You; Idiot Wind; If You See Her, Say Hello; It Ain’t Me Babe; It’s Alright, Ma (I’m Only Bleeding); Jokerman; Just Like Tom Thumb’s Blues; Just Like a Woman; Key West (Philosopher Pirate); Knockin’ on Heaven’s Door; Lay Lady Lay; Like a Rolling Stone; Lily, Rosemary and the Jack of Hearts; Love Minus Zero/No Limit; Maggie’s Farm; Make You Feel My Love; Masters of War; Mr. Tambourine Man; Murder Most Foul; Must Be Santa; My Back Pages; Positively 4th Street; Sad-Eyed Lady of the Lowlands; Sara; Shelter from the Storm; Simple Twist of Fate; Stuck Inside of Mobile with the Memphis Blues Again; Subterranean Homesick Blues; Tangled Up in Blue; Tempest; The Times They Are A-Changin’; To Fall in Love with You; Tombstone Blues; Visions of Johanna; With God on Our Side; You’re Gonna Make Me Lonesome When You Go",6.26,True,10
