"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Redemption Song","Bob Marley & The Wailers","Gold: Bob Marley and the Wailers","","October 7, 1980","1658531","215","43","","https://genius.com/Bob-marley-and-the-wailers-redemption-song-lyrics","1813","Old pirates, yes, they rob I
Sold I to the merchant ships
Minutes after they took I
From the bottomless pit
But my hand was made strong
By the hand of the Almighty
We forward in this generation
Triumphantly

Won't you help to sing
These songs of freedom?
'Cause all I ever have
Redemption songs
Redemption songs

Emancipate yourselves from mental slavery
None but ourselves can free our minds
Have no fear for atomic energy
'Cause none of them can stop the time
How long shall they kill our prophets
While we stand aside and look?
Ooh, some say it's just a part of it
We've got to fulfill the book

Won't you help to sing
These songs of freedom?
'Cause all I ever have
Redemption songs
Redemption songs
Redemption songs

Emancipate yourselves from mental slavery
None but ourselves can free our mind
Woah, have no fear for atomic energy
'Cause none of them-ah can-ah stop-ah the time
How long shall they kill our prophets
While we stand aside and look?
Yes, some say it's just a part of it
We've got to fulfill the book

Won't you help to sing
These songs of freedom?
'Cause all I ever have
Redemption songs

All I ever have
Redemption songs
These songs of freedom
Songs of freedom"
"2","Three Little Birds","Bob Marley & The Wailers","One Love: The Very Best of Bob Marley & The Wailers","","June 3, 1977","1627679","198","26","","https://genius.com/Bob-marley-and-the-wailers-three-little-birds-lyrics","58349","Don't worry about a thing
'Cause every little thing gonna be alright
Singing, ""Don't worry about a thing
'Cause every little thing gonna be alright""

Rise up this morning, smiled with the rising sun
Three little birds pitch by my doorstep
Singing sweet songs of melodies pure and true
Saying, ""This is my message to you-ou-ou""

Singing, ""Don't worry about a thing
'Cause every little thing gonna be alright""
Singing, ""Don't worry about a thing"" (Don't worry)
""'Cause every little thing gonna be alright""

Rise up this morning, smiled with the rising sun
Three little birds pitch by my doorstep
Singing sweet songs of melodies pure and true
Saying, ""This is my message to you-ou-ou""

Singing, ""Don't worry about a thing"" (Worry 'bout a thing, oh)
""Every little thing gonna be alright"" (Don't worry)
Singing, ""Don't worry about a thing"" (I won't worry)
""'Cause every little thing gonna be alright""
Singing, ""Don't worry about a thing
'Cause every little thing gonna be alright"" (I won't worry)
Singing, ""Don't worry about a thing
'Cause every little thing is gonna be alright""
Singing, ""Don't worry about a thing"" (Don't worry 'bout a thing)
""'Cause every little thing gonna be alright"""
"3","No Woman, No Cry","Bob Marley & The Wailers","Natty Dread","","October 25, 1974","1047472","261","41","","https://genius.com/Bob-marley-and-the-wailers-no-woman-no-cry-lyrics","57824","No, woman, no cry
No, woman, no cry
No, woman, no cry
No, woman, no cry

'Cause, 'cause, 'cause I remember when we used to sit
In the government yard in Trenchtown
Oba, observing the hypocrites, yeah
Mingle with the good people we meet, yeah
Good friends we have had, oh, good friends we've lost along the way, yeah
In this great future you can't forget your past
So dry your tears I say, yeah

No, woman, no cry
No, woman, no cry, eh, yeah
Little darling don't shed no tears
No, woman, no cry

Eh, said, said, said I remember when we used to sit
In the government yard in Trenchtown, yeah
And then Georgie would make the fire light, I say
A log wood burning through the night
Then we would cook corn meal porridge, I say
Of which I'll share with you, yeah
My feet is my only carriage
And so I've got to push on through
But while I'm gone

Everything's going to be alright
Everything's going to be alright
Everything's going to be alright
Everything's going to be alright
Everything's going to be alright
Everything's going to be alright
Everything's going to be alright
Everything's going to be alright
So no woman, no cry
No, woman, no cry, I say
Oh, little, oh, little darling, don't shed no tears
No woman, no cry, eh

No, woman, no woman, no woman, no cry
No, woman, no cry
One more time I've got to say
Oh, little, little darling, please don't shed no tears
No, woman, no cry"
"4","One Love / People Get Ready","Bob Marley & The Wailers","Gold: Bob Marley and the Wailers","","June 3, 1977","442591","247","26","","https://genius.com/Bob-marley-and-the-wailers-one-love-people-get-ready-lyrics","2140","One love, one heart
Let's get together and feel alright
Hear the children cryin' (One love)
Hear the children cryin' (One heart)
Sayin', ""Give thanks and praise to the Lord and I will feel alright""
Sayin', ""Let's get together and feel alright, woah-woah-woah-woah""

Let them all pass all their dirty remarks (One love)
There is one question I'd really love to ask (One heart)
Is there a place for the hopeless sinners
Who has hurt all mankind just to save his own beliefs?

One love (What about the one heart?), one heart (What about the—)
Let's get together and feel alright (As it was in the beginning)
One love (So shall it be in the end), one heart (Alright)
Give thanks and praise to the Lord and I will feel alright
Let's get together and feel alright, one more thing

Let's get together to fight this Holy Armagiddyon (One love)
So when the Man comes, there will be no, no doom (One song)
Have pity on those whose chances grows thinner
There ain't no hiding place from the Father of Creation, singing

One love (What about the one heart?), one heart (What about the—)
Let's get together and feel alright (I'm pleadin' to mankind)
One love (Oh, Lord), one heart (Woah)
Give thanks and praise to the Lord and I will feel alright
Let's get together and feel alright
Give thanks and praise to the Lord and I will feel alright
Let's get together and feel alright"
"5","Could You Be Loved","Bob Marley & The Wailers","Gold: Bob Marley and the Wailers","","June 10, 1980","352157","324","49","","https://genius.com/Bob-marley-and-the-wailers-could-you-be-loved-lyrics","105187","Could you be loved and be love?
Could you be loved and be love?

Don't let them fool ya
Or even try to school ya, oh no
We've got a mind of our own
So go to hell if what you're thinking isn't right
Love would never leave us alone
A-in the darkness, there must come out to light

Could you be loved and be love?
Could you be loved, woah, yeah
And be loved?

The road of life is rocky and you may stumble too
So while you point your fingers, someone else is judging you

Love your brotherman
Could you be, could you be, could you be loved?
Could you be, could you be loved?
Could you be, could you be, could you be loved?
Could you be, could you be loved?

Don't let them change ya, oh
Or even rearrange ya
Oh no
We've got a life to live
(Ooh, ooh, ooh)
They say, only, only
Only the fittest of the fittest shall survive
Stay alive, eh

Could you be loved and be loved?
Could you be loved, woah yeah
And be loved?

Never miss your water until your well runs dry
No matter how you treat him, the man will never be satisfied

Say something (Could you be, could you be, could you be loved? Could you be, could you be loved?)
Say something, say something
(Could you be, could you be, could you be loved?)
Say something
Say something, say something, say something
Say something, say something (Could you be loved?)
Say something, say something, reggae, reggae
Say something, rockers, rockers
Say something, reggae, reggae
Say something, rockers, rockers
Say something (Could you be loved?)
Say something, uh
Say something, come on
Say something (Could you be, could you be, could you be loved?)
Say something (Could you be, could you be loved?)
Say something (Could you be, could you be, could you be loved?)
Say something
Say something"
"6","Is This Love","Bob Marley & The Wailers","Gold: Bob Marley and the Wailers","","March 23, 1978","319105","295","34","","https://genius.com/Bob-marley-and-the-wailers-is-this-love-lyrics","60668","I wanna love you and treat you right
I wanna love you every day and every night
We'll be together with a roof right over our heads
We'll share the shelter of my single bed
We'll share the same room, yeah, for Jah provide the bread

Is this love? Is this love? Is this love?
Is this love that I'm feeling?
Is this love? Is this love? Is this love?
Is this love that I'm feeling?
I wanna know, wanna know, wanna know now
I got to know, got to know, got to know now
I-I-I-I-I-I-I-I-I, I'm willing and able
So I throw my cards on your table

I wanna love you, I wanna love and treat, love and treat you right
I wanna love you every day and every night
We'll be together, yeah, with a roof right over our heads
We'll share the shelter, yeah, oh-yeah, of my single bed
We'll share the same room, yeah, for Jah provides the bread

Is this love? Is this love? Is this love?
Is this love that I'm feeling?
Is this love? Is this love? Is this love?
Is this love that I'm feeling?
Wo-o-o-oah
Oh, yes, I know; yes, I know, yes, I know now
Oh, yes, I know; yes, I know, yes, I know now
I-I-I-I-I-I-I-I-I, I'm willing and able
So I throw my cards on your table

See, I wanna love you, I wanna love and treat you, love and treat you right
I wanna love you every day and every night
We'll be together with a roof right over our heads
We'll share the shelter of my single bed
We'll share the same room, yeah, Jah provides the bread

We'll share the shelter of my single bed
We'll share the same room"
"7","Buffalo Soldier","Bob Marley & The Wailers","Gold: Bob Marley and the Wailers","","May 23, 1983","305002","297","44","","https://genius.com/Bob-marley-and-the-wailers-buffalo-soldier-lyrics","2251","Buffalo soldier, dreadlock Rasta
There was a Buffalo Soldier in the heart of America
Stolen from Africa, brought to America
Fighting on arrival, fighting for survival
I mean it, when I analyze the stench
To me, it makes a lot of sense
How the dreadlock Rasta
Was a Buffalo Soldier

And he was taken from Africa, brought to America
Fighting on arrival, fighting for survival
Said it was a Buffalo Soldier, dreadlock Rasta
Buffalo Soldier in the heart of America

If you know your history
Then you would know where you're coming from
Then you wouldn't have to ask me
Who the heck do I think I am?

I'm just a Buffalo Soldier in the heart of America
Stolen from Africa, brought to America
Said he was fighting on arrival, fighting for survival
Said he was a Buffalo Soldier, in the war for America

Said he, woy, yoy, yoy, woy, yoy-yoy, yoy
Woy, yoy, yoy, yoy-yoy, yoy-yoy, yoy
Woy, yoy, yoy, woy, yoy-yoy, yoy
Woy, yoy, yoy, yoy-yoy, yoy-yoy, yoy

Buffalo Soldier troddin' through the land, whoa-ho!
Said he wanna ran and then you wanna hand
Troddin' through the land, yeah-heah-eah

Said he was a Buffalo Soldier in the war for America
Buffalo Soldier, dreadlock Rasta
Fighting on arrival, fighting for survival
Driven from the mainland to the heart of the Caribbean

Said he, woy, yoy, yoy, woy, yoy-yoy, yoy
Woy, yoy, yoy, yoy-yoy, yoy-yoy, yoy
Woy, yoy, yoy, woy, yoy-yoy, yoy
Woy, yoy, yoy, yoy-yoy, yoy-yoy, yoy

Trodding through San Juan
In the arms of America
Trodding through Jamaica, a Buffalo Soldier
Fighting on arrival, fighting for survival
Buffalo Soldier, dreadlock Rasta

Woy, yoy, yoy, woy, yoy-yoy, yoy
Woy, yoy, yoy, yoy-yoy, yoy-yoy, yoy
Woy, yoy, yoy, woy, yoy-yoy, yoy
Woy, yoy, yoy, yoy-yoy, yoy-yoy, yoy"
"8","War","Bob Marley & The Wailers","Natural Mystic: The Legend Lives On","","April 30, 1976","300576","213","53","","https://genius.com/Bob-marley-and-the-wailers-war-lyrics","63663","Until the philosophy which hold one race
Superior and another Inferior
Is finally
And permanently
Discredited
And abandoned
Everywhere is war
Me say war

That until there are no longer
First-class and second-class citizens of any nation
Until the colour of a man's skin
Is of no more significance than the colour of his eyes
Me say war

That until the basic human rights
Are equally guaranteed to all
Without regard to race
Dis a war

That until that day
The dream of lasting peace
World citizenship
Rule of international morality
Will remain in but a fleeting illusion to be pursued
But never attained
Now everywhere is war
War

And until the ignoble and unhappy regime
That hold our brothers in Angola
In Mozambique
South Africa
Sub-human bondage
Have been toppled
Utterly destroyed
Well, everywhere is war
Me say war

War in the east
War in the west
War up north
War down south

War, war
Rumors of war
And until that day
The African continent
Will not know peace
We Africans will fight, we find it necessary
And we know we shall win
As we are confident
In the victory
Of good over evil

Good over evil, yeah!
Good over evil
Good over evil, yeah!
Good over evil
Good over evil, yeah!"
"9","Get Up, Stand Up","Bob Marley & The Wailers","Gold: Bob Marley and the Wailers","","April 1, 1973","279319","416","52","","https://genius.com/Bob-marley-and-the-wailers-get-up-stand-up-lyrics","4672","Get up, stand up, stand up for your right
Get up, stand up, stand up for your right
Get up, stand up, stand up for your right
Get up, stand up, don't give up the fight

Preacher man don't tell me heaven is under the earth
I know you don't know what life is really worth
It's not all that glitter is gold and
Half the story has never been told
So now you see the light, ayy
Stand up for your right, come on

Get up, stand up, stand up for your right
Get up, stand up, stand up for your right
Get up, stand up, stand up for your right
Get up, stand up, don't give up the fight

Most people think great God will come from the sky
Take away everything, and make everybody feel high
But if you know what life is worth
You would look for yours on Earth
And now you see the light
You stand up for your right, yeah

Get up, stand up (Yeah, yeah)
Stand up for your right (Ohh-huuh)
Get up, stand up (Get up, stand up)
Don't give up the fight (Life is your right)
Get up, stand up (So we can't give up the fight)
Stand up for your right (Lord, Lord)
Get up, stand up (Keep on struggling on)
Don't give up the fight (Yeah)

We're sick and tired of your ism and schism game
Die and go to heaven in Jesus' name, Lord
We know and we understand
Almighty God is a living man
You can fool some people sometimes
But you can't fool all the people all the time
So now we see the light
(What you gonna do?)
We going to stand up for our right
(Yeah, yeah, yeah)

So you'd better...

Get up, stand up (In the morning, get it up)
Stand up for your right (In the night)
Get up, stand up
Don't give up the fight (Don't give it up, don't give it up)
Get up, stand up (Get up, stand up)
Stand up for your right (Get up, stand up)
Get up, stand up (Don't be a nig​ger in your neighborhood, yeah)
Don't give up the fight (Get up, stand up)
Get up, stand up (I don't think that should be very good, Lord)
(Get up, stand up)
Stand up for your right (Get up, stand up)
Get up, stand up (I said, don't be a nig​ger in your neighborhood, yeah)
Don't give up the fight"
"10","Waiting in Vain","Bob Marley & The Wailers","Gold: Bob Marley and the Wailers","","June 3, 1977","264463","422","43","","https://genius.com/Bob-marley-and-the-wailers-waiting-in-vain-lyrics","99720","One, two, one, two, three

I don't wanna wait in vain for your love
I don't wanna wait in vain for your love

From the very first time I placed my eyes on you, girl
My heart says, ""Follow through""
But I know, now, that I'm way down on your line
But the waitin' feel is fine
So don't treat me like a puppet on a string
'Cause I know how to do my thing
Don't talk to me as if you think I'm dumb
I wanna know when you're gonna come, see

I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
'Cause if summer is here, I'm still waiting there
Winter is here and I'm still waiting there

Like I said, it's been three years since I'm knockin' on your door
And I still can knock some more
Ooh, girl, ooh, girl, is it feasible?
I wanna know now, for I to knock some more
Ya see, in life, I know there's lots of grief
But your love is my relief
Tears in my eyes burn, tears in my eyes burn
While I'm waiting, while I'm waiting for my turn, see

I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
I don't wanna wait in vain for your love
I don't wanna wait in vain for your love, oh

I don't wanna, I don't wanna, I don't wanna, I don't wanna
I don't wanna wait in vain
No, I don't wanna, I don't wanna, I don't wanna, I don't wanna
I don't wanna wait in vain
No, I, no, I (I don't wanna, I don't wanna, I don't wanna, I don't wanna)
I don't wanna wait in vain
No, no, no, I, no, I (I don't wanna, I don't wanna, I don't wanna, I don't wanna)
I don't wanna wait in vain
It's your love that I'm waiting on (I don't wanna, I don't wanna, I don't wanna, I don't wanna)
It's my love that you're running from (I don't wanna wait in vain)
It's your love that I'm waiting on (I don't wanna, I don't wanna, I don't wanna, I don't wanna)
It's my love that you're running from, oh (I don't wanna wait in vain)
I don't wanna, I don't wanna, I don't wanna, I don't wanna
I don't wanna wait in vain"
