word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,466,48,"Babylon System; Bad Card; Buffalo Soldier; Burnin’ and Lootin’; Coming in from the Cold; Concrete Jungle; Corner Stone; Could You Be Loved; Crazy Baldheads; Crisis; Exodus; Forever Loving Jah; Get Up, Stand Up; Guiltiness; I Shot the Sheriff; Iron Lion Zion; Is This Love; Jamming; Jammin’ (Remix); Kaya; Kinky Reggae; Lively Up Yourself; Mr. Brown; Natural Mystic; No Woman, No Cry; One Drop; One Love / People Get Ready; Pimper’s Paradise; Positive Vibration; Punky Reggae Party; Rat Race; Redemption Song; Ride Natty Ride; Running Away; Satisfy My Soul; So Much Things to Say; Stir It Up; Stir It Up (Live); Sun Is Shining; The Heathen; Them Belly Full (But We Hungry); Three Little Birds; Time Will Tell; Trenchtown Rock; Waiting in Vain; War; Who the Cap Fit; Zimbabwe",9.71,True,1
i,i,PRON,425,43,"Babylon System; Bad Card; Buffalo Soldier; Burnin’ and Lootin’; Coming in from the Cold; Concrete Jungle; Corner Stone; Crazy Baldheads; Crisis; Easy Skanking; Forever Loving Jah; Get Up, Stand Up; Guiltiness; I Shot the Sheriff; Iron Lion Zion; Is This Love; Jamming; Jammin’ (Remix); Kaya; Kinky Reggae; Lively Up Yourself; Mr. Brown; Natural Mystic; No Woman, No Cry; One Drop; One Love / People Get Ready; Pimper’s Paradise; Positive Vibration; Punky Reggae Party; Rat Race; Redemption Song; Running Away; Satisfy My Soul; So Much Things to Say; Stir It Up; Stir It Up (Live); Sun Is Shining; The Heathen; Trenchtown Rock; Turn Your Lights Down Low; Waiting in Vain; Who the Cap Fit; Zimbabwe",9.88,True,2
you,you,PRON,374,43,"Babylon System; Bad Card; Buffalo Soldier; Burnin’ and Lootin’; Coming in from the Cold; Concrete Jungle; Corner Stone; Could You Be Loved; Crazy Baldheads; Easy Skanking; Exodus; Forever Loving Jah; Get Up, Stand Up; Guiltiness; Iron Lion Zion; Is This Love; Jamming; Jammin’ (Remix); Kinky Reggae; Lively Up Yourself; Mr. Brown; Natural Mystic; No Woman, No Cry; One Drop; Positive Vibration; Punky Reggae Party; Rat Race; Redemption Song; Ride Natty Ride; Running Away; Satisfy My Soul; So Much Things to Say; Stir It Up; Stir It Up (Live); Sun Is Shining; Them Belly Full (But We Hungry); Three Little Birds; Time Will Tell; Trenchtown Rock; Turn Your Lights Down Low; Waiting in Vain; Who the Cap Fit; Zimbabwe",8.7,True,3
a,a,DET,296,45,"Bad Card; Buffalo Soldier; Burnin’ and Lootin’; Coming in from the Cold; Concrete Jungle; Corner Stone; Could You Be Loved; Crisis; Easy Skanking; Forever Loving Jah; Get Up, Stand Up; Guiltiness; I Shot the Sheriff; Iron Lion Zion; Is This Love; Jamming; Jammin’ (Remix); Kinky Reggae; Lively Up Yourself; Mr. Brown; Natural Mystic; No Woman, No Cry; One Drop; One Love / People Get Ready; Pimper’s Paradise; Positive Vibration; Punky Reggae Party; Rat Race; Redemption Song; Ride Natty Ride; Running Away; Satisfy My Soul; Stir It Up; Stir It Up (Live); Sun Is Shining; The Heathen; Them Belly Full (But We Hungry); Three Little Birds; Time Will Tell; Trenchtown Rock; Turn Your Lights Down Low; Waiting in Vain; War; Who the Cap Fit; Zimbabwe",6.58,True,4
to,to,ADP,276,49,"Babylon System; Bad Card; Buffalo Soldier; Burnin’ and Lootin’; Coming in from the Cold; Concrete Jungle; Could You Be Loved; Crazy Baldheads; Crisis; Easy Skanking; Exodus; Forever Loving Jah; Get Up, Stand Up; Guiltiness; I Shot the Sheriff; Iron Lion Zion; Is This Love; Jamming; Jammin’ (Remix); Kaya; Kinky Reggae; Lively Up Yourself; Mr. Brown; Natural Mystic; No Woman, No Cry; One Drop; One Love / People Get Ready; Pimper’s Paradise; Positive Vibration; Punky Reggae Party; Rat Race; Redemption Song; Ride Natty Ride; Running Away; Satisfy My Soul; So Much Things to Say; Stir It Up; Stir It Up (Live); Sun Is Shining; The Heathen; Them Belly Full (But We Hungry); Three Little Birds; Time Will Tell; Trenchtown Rock; Turn Your Lights Down Low; Waiting in Vain; War; Who the Cap Fit; Zimbabwe",5.63,True,5
and,and,CCONJ,253,48,"Babylon System; Bad Card; Buffalo Soldier; Burnin’ and Lootin’; Coming in from the Cold; Concrete Jungle; Corner Stone; Could You Be Loved; Crazy Baldheads; Crisis; Exodus; Forever Loving Jah; Get Up, Stand Up; Guiltiness; I Shot the Sheriff; Iron Lion Zion; Is This Love; Jamming; Jammin’ (Remix); Kaya; Kinky Reggae; Lively Up Yourself; Mr. Brown; Natural Mystic; No Woman, No Cry; One Drop; One Love / People Get Ready; Pimper’s Paradise; Positive Vibration; Punky Reggae Party; Rat Race; Redemption Song; Ride Natty Ride; Running Away; Satisfy My Soul; So Much Things to Say; Stir It Up; Stir It Up (Live); Sun Is Shining; The Heathen; Them Belly Full (But We Hungry); Three Little Birds; Trenchtown Rock; Turn Your Lights Down Low; Waiting in Vain; War; Who the Cap Fit; Zimbabwe",5.27,True,6
it,it,PRON,243,34,"Babylon System; Bad Card; Buffalo Soldier; Burnin’ and Lootin’; Coming in from the Cold; Concrete Jungle; Crisis; Easy Skanking; Get Up, Stand Up; I Shot the Sheriff; Jamming; Jammin’ (Remix); Kinky Reggae; Mr. Brown; Natural Mystic; One Drop; Positive Vibration; Punky Reggae Party; Rat Race; Redemption Song; Ride Natty Ride; Running Away; Satisfy My Soul; So Much Things to Say; Stir It Up; Stir It Up (Live); The Heathen; Them Belly Full (But We Hungry); Trenchtown Rock; Turn Your Lights Down Low; Waiting in Vain; War; Who the Cap Fit; Zimbabwe",7.15,True,7
we,we,PRON,216,29,"Babylon System; Bad Card; Burnin’ and Lootin’; Coming in from the Cold; Concrete Jungle; Could You Be Loved; Crazy Baldheads; Easy Skanking; Exodus; Forever Loving Jah; Get Up, Stand Up; Is This Love; Jamming; Jammin’ (Remix); No Woman, No Cry; One Drop; Positive Vibration; Punky Reggae Party; Redemption Song; Ride Natty Ride; Satisfy My Soul; Stir It Up; Stir It Up (Live); Sun Is Shining; Them Belly Full (But We Hungry); Trenchtown Rock; War; Who the Cap Fit; Zimbabwe",7.45,True,8
no,no,DET,185,30,"Babylon System; Coming in from the Cold; Concrete Jungle; Could You Be Loved; Crazy Baldheads; Crisis; Forever Loving Jah; I Shot the Sheriff; Iron Lion Zion; Jamming; Jammin’ (Remix); Lively Up Yourself; Natural Mystic; No Woman, No Cry; One Drop; One Love / People Get Ready; Pimper’s Paradise; Punky Reggae Party; Rat Race; Redemption Song; Ride Natty Ride; Running Away; So Much Things to Say; Time Will Tell; Trenchtown Rock; Turn Your Lights Down Low; Waiting in Vain; War; Who the Cap Fit; Zimbabwe",6.17,True,9
in,in,ADP,174,33,"Bad Card; Buffalo Soldier; Burnin’ and Lootin’; Coming in from the Cold; Concrete Jungle; Could You Be Loved; Crisis; Forever Loving Jah; Get Up, Stand Up; I Shot the Sheriff; Iron Lion Zion; Jamming; Jammin’ (Remix); Kaya; Kinky Reggae; Lively Up Yourself; Mr. Brown; No Woman, No Cry; One Drop; Pimper’s Paradise; Punky Reggae Party; Rat Race; Redemption Song; Ride Natty Ride; Running Away; So Much Things to Say; Stir It Up; Stir It Up (Live); Time Will Tell; Turn Your Lights Down Low; Waiting in Vain; War; Zimbabwe",5.27,True,10
