"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","That’s What I Like","Bruno Mars","24K Magic (Japan Edition)","","January 30, 2017","3420868","536","74","","https://genius.com/Bruno-mars-thats-what-i-like-lyrics","2909160","Ayy, ayy, ayy
I got a condo in Manhattan
Baby girl, what's happenin'?
You and your ass invited
So go on and get to clappin'
So pop it for a player
Pop, pop it for me
Turn around and drop it for a player
Drop, drop it for me
I'll rent a beach house in Miami (-ami)
Wake up with no jammies (Nope)
Lobster tail for dinner
Julio, serve that scampi (Julio!)
You got it if you want it
Got, got it if you want it
Said, you got it if you want it
Take my wallet if you want it now

Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it, baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shinin' so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

I'm talkin' trips to Puerto Rico (Bih)
Say the word and we go (Say it)
You can be my freaka (Brrrt!)
Girl, I'll be your fleeko, Mamacita
I will never make a promise that I can't keep
I promise that your smile ain't gon' ever leave
Shoppin' sprees in Paris
Everything 24 karats
Take a look in that mirror
Now, tell me, who's the fairest?
Is it you?
(Is it you?)
Is it me?
(Is it me?)
Say it's us
(Say it's us)
and I'll agree, baby

Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it, baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shinin' so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

You say you want a good time
Well, here I am, baby, here I am, baby
Talk to me, talk to me, talk to me, baby
Tell me, what's on your mind? (What's on your mind?)
If you want it, girl, come and get it
All this is here for you
Tell me, baby, tell me, tell me, baby
What you tryna do?

Gold jewelry shinin' so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like (That's what I like, babe)
Lucky for you, that's what I like, that's what I like (Oh, oh)
Sex by the fire at night
Silk sheets and diamonds all white (All white)
Lucky for you, that's what I like, that's what I like (That's what I like, babe)
Lucky for you, that's what I like, that's what I like (Ooh, ooh, ooh)"
"2","When I Was Your Man","Bruno Mars","Unorthodox Jukebox (Deluxe/Target Edition)","","December 3, 2012","3008904","304","44","","https://genius.com/Bruno-mars-when-i-was-your-man-lyrics","122542","Same bed, but it feels just a little bit bigger now
Our song on the radio, but it don't sound the same
When our friends talk about you, all it does is just tear me down
'Cause my heart breaks a little when I hear your name

It all just sounds like (Ooh, ooh)
Mm, too young, too dumb to realize

That I should've bought you flowers
And held your hand
Shoulda gave you all my hours
When I had the chance
Take you to every party
'Cause all you wanted to do was dance
Now my baby's dancin'
But she's dancin' with another man

Uh, my pride, my ego, my needs, and my selfish ways
Caused a good, strong woman like you to walk out my life
Now I'll never, never get to clean up the mess I made, oh
And that haunts me every time I close my eyes

It all just sounds like (Ooh, ooh)
Mm, too young, too dumb to realize

That I should've bought you flowers
And held your hand
Shoulda gave you all my hours
When I had the chance
Take you to every party
'Cause all you wanted to do was dance
Now my baby's dancin'
But she's dancin' with another man

Although it hurts
I'll be the first to say that
I was wrong
Oh, I know I'm probably much too late
To try and apologize for my mistakes
But I just want you to know

I hope he buys you flowers
I hope he holds your hand
Give you all his hours
When he has the chance
Take you to every party
'Cause I remember how much you love to dance
Do all the things I should've done
When I was your man
Do all the things I should've done
When I was your man"
"3","Finesse (Remix)","Bruno Mars","Collaborations","","January 4, 2018","2802326","644","93","Cardi B","https://genius.com/Bruno-mars-finesse-remix-lyrics","3411476","Drop top Porsche (Porsche), Rollie on my wrist (Wrist)
Diamonds up and down my chain (Aha)
Cardi B, straight stuntin', can't tell me nothin'
Bossed up and I changed the game (You see me?)
It's my big Bronx boogie, got all them girls shook (Shook)
My big fat ass got all them boys hooked (Hooked)
Went from dollar bills, now we poppin' rubber bands (Ha)
Bruno sang to me while I do my money dance like
Ayy, flexin' on the 'Gram like
Ayy, hit the Lil Jon
Okay (Okay), okay (Okay)
Oh, yeah, we drippin' in finesse and gettin' paid, ow

Ooh, don't we look good together?
There's a reason why they watch all night long (All night long, woo)
Yeah, I know we'll turn heads forever
So tonight, I'm gonna show you off

When I walk in with you (When I walk in with you)
I watch the whole room change (I watch the whole room change)
Baby, that's what you do (Baby, that's what you do)
No, my baby don't play (No)
Blame it on my confidence or blame it on your measurements
Shut the shit down on sight
That's right

We out here drippin' in finesse
It don't make no sense
Out here drippin' in finesse
You know it, you know
We out here drippin' in finesse
It don't make no sense
Out here drippin' in finesse
You know it, you know it

Now, slow it down for me, baby (Slow it down, girl)
'Cause I love the way it feels when we grind (When we grind), yeah
Our connection's so magnetic on the floor
Nothing can stop us tonight

When I walk in with you (When I walk in with you)
I watch the whole room change (I watch the whole room change)
Baby, that's what you do (Baby, that's what you do)
No, my baby don't play (No)
Blame it on my confidence or blame it on your measurements
Shut the shit down on sight
That's right

We out here drippin' in finesse
It don't make no sense
Out here drippin' in finesse
You know it, you know
We out here drippin' in finesse
It don't make no sense
Out here drippin' in finesse
You know it, you know it (Woo)

Fellas, grab your ladies if your lady fine
Tell her she the one, she the one for life (Woo)
Ladies, grab your fellas and let's do this right (Do this right)
If you're on one like me and mine (Ow)

Yeah, we got it goin' on, got it goin' on
Don't it feel so good to be us? Ayy
Yeah, we got it goin' on, got it goin' on, yeah
Girl, we got it goin' on
Yeah, we got it goin' on, got it goin' on (
Hey, hey
)
Don't it feel so good to be us? Ayy (
It feels so good with you
)
Yeah, we got it goin' on, got it goin' on, yeah (Woo)

We out here drippin' in finesse (
We drippin' on 'em
)
It don't make no sense
Out here drippin' in finesse
You know it, you know it
We out here drippin' in finesse with my baby
It don't make no sense (Oh-oh)
Out here drippin' in finesse (
Yeah, yeah
)
You know it, you know it (Girl, you know we got it goin' on)

Yeah, we got it goin' on, got it goin' on
Don't it feel so good to be us? Ayy
Yeah, we got it goin' on, got it goin' on
You know it, you know it
(
Ooh
)
Yeah, we got it goin' on, got it goin' on (
Girl, we got it
)
Don't it feel so good to be us? Ayy
(
Baby
)
Yeah, we got it goin' on, got it goin' on (Woo)
You know it, you know it"
"4","Versace on the Floor","Bruno Mars","24K Magic (Japan Edition)","","November 4, 2016","2261795","335","55","","https://genius.com/Bruno-mars-versace-on-the-floor-lyrics","2898687","Let's take our time tonight, girl
Above us, all the stars are watchin'
There's no place I'd rather be in this world
Your eyes are where I'm lost in
Underneath the chandelier
We're dancin' all alone
There's no reason to hide
What we're feelin' inside
Right now

So, baby, let's just turn down the lights
And close the door
Ooh, I love that dress
But you won't need it anymore
No, you won't need it no more
Let's just kiss 'til we're naked, baby

Versace on the floor
Ooh, take it off for me, for me, for me, for me now, girl
Versace on the floor
Ooh, take it off for me, for me, for me, for me now, girl

I'll unzip the back and watch it fall
While I kiss your neck and shoulders
No, don't be afraid to show it all
I'll be right here ready to hold you
Girl, you know you're perfect from
Your head down to your heels
Don't be confused by my smile
'Cause I ain't ever been more for real, for real

So just turn down the lights
And close the door
Ooh, I love that dress
But you won't need it anymore
No, you won't need it no more
Let's just kiss 'til we're naked, baby

Versace on the floor
Ooh, take it off for me, for me, for me, for me now, girl
Versace on the floor
Ooh, take it off for me, for me, for me, for me now, girl
Dance

It's warmin' up
Can you feel it?
It's warmin' up
Can you feel it?
It's warmin' up
Can you feel it, baby?
It's warmin' up
Oh, seems like you're ready for more, more, more
Let's just kiss 'til we're naked

Ooh, Versace on the floor
Hey, baby
Take it off for me, for me, for me, for me now, girl
Versace on the floor
Ooh, take it off for me, for me, for me, for me now, girl

Versace on the floor
Floor
Floor"
"5","It Will Rain","Bruno Mars","The Twilight Saga: Breaking Dawn, Pt. 1 (Original Motion Picture Soundtrack)","","September 27, 2011","1870512","307","36","","https://genius.com/Bruno-mars-it-will-rain-lyrics","57149","If you ever leave me, baby
Leave some morphine at my door
'Cause it would take a whole lot of medication
To realize what we used to have
We don't have it anymore
There's no religion that could save me
No matter how long my knees are on the floor, oh
So keep in mind all the sacrifices I'm makin'
To keep you by my side
To keep you from walkin' out the door

'Cause there'll be no sunlight, if I lose you, baby
There'll be no clear skies, if I lose you, baby
Just like the clouds, my eyes will do the same
If you walk away, every day, it'll rain, rain, rain

I'll never be your mother's favorite
Your daddy can't even look me in the eye
Ooh, if I was in their shoes, I'd be doin' the same thing
Sayin', ""There goes my little girl
Walkin' with that troublesome guy""
But they're just afraid of somethin' they can't understand
Ooh, but, little darlin', watch me change their minds
Yeah, for you, I'll try, I'll try, I'll try, I'll try

And pick up these broken pieces 'til I'm bleedin'
If that'll make you mine

'Cause there'll be no sunlight, if I lose you, baby
There'll be no clear skies, if I lose you, baby
Just like the clouds, my eyes will do the same
If you walk away, every day it'll rain, rain, rain

Oh, don't you say (Don't you say) goodbye (Goodbye)
Don't you say (Don't you say) goodbye (Goodbye)

I'll pick up these broken pieces 'til I'm bleedin'
If that'll make it right

'Cause there'll be no sunlight, if I lose you, baby
There'll be no clear skies, if I lose you, baby
Just like the clouds, my eyes will do the same
If you walk away, every day it'll rain, rain, rain"
"6","24K Magic","Bruno Mars","24K Magic (Japan Edition)","","October 7, 2016","1869156","479","64","","https://genius.com/Bruno-mars-24k-magic-lyrics","2872960","Tonight
I just wanna take you higher
Throw your hands up in the sky
Let's set this party off right
Players

Put your pinky rings up to the moon
Girls, what y'all tryna do?
24-karat magic in the air
Head to toe so player
Look out, uh

Pop-pop, it's show time (Show time), show time (Show time)
Guess who's back again? (Brrah)
Oh, they don't know? (Go on, tell 'em) Oh, they don't know? (Go on, tell 'em)
I bet they know as soon as we walk in (Showin' up)
Wearin' Cuban links (Yeah), designer minks (Yeah)
Inglewood's finest shoes (Woop, woop)
Don't look too hard, might hurt yourself
Known to give the color red the blues
Woo, shit

I'm a dangerous man with some money in my pocket (Keep up)
So many pretty girls around me and they wakin' up the rocket (Keep up)
Why you mad? Fix your face, ain't my fault they all be jockin' (Keep up)
Players only, come on

Put your pinky rings up to the moon
Girls, what y'all tryna do?
24-karat magic in the air
Head to toe so player
Look out, uh

Second verse for the hustlers (Hustlers), gangsters (Gangsters)
Bad bitches and your ugly ass friends (Haha)
Can I preach? (Uh-oh) Can I preach? (Uh-oh)
I gotta show 'em how a pimp get it in
First, take your sip (Sip), do your dip (Dip)
Spend your money like money ain't shit
Ooh-ooh (We too fresh)
Got to blame it on Jesus (Hashtag blessed)
They ain't ready for me, uh

I'm a dangerous man with some money in my pocket (Keep up)
So many pretty girls around me and they wakin' up the rocket (Keep up)
Why you mad? Fix your face, ain't my fault they all be jockin' (Keep up)
Players only, come on

Put your pinky rings up to the moon (Woo, hey, girls)
What y'all tryna do? (What you tryna do?)
24-karat magic in the air (Air, air)
Head to toe so player (Ooh)
Look out, uh

(Woo) Everywhere I go, they be like (Ooh, so player)
(Woo) Everywhere I go, they be like (Ooh, so player; ah)
(Woo) Everywhere I go, they be like (Ooh, so player, ooh)
Now, now, now
Now watch me break it down like, ugh
24-karat (Woo), 24-karat magic (What's that sound?)
24-karat, 24-karat magic (Come on now)
24-karat, 24-karat magic
Don't fight the feelin', invite the feelin', just

Put your pinky rings up to the moon (Ooh)
Girls, what y'all tryna do? (Tell me what you're tryna do)
24-karat magic in the air (Yeah, get up)
Head to toe so player (Hands up)
Put your pinky rings up to the moon (24-karat, 24-karat magic)
Girls, what y'all tryna do? (24-karat, 24-karat magic; do)
24-karat magic in the air (24-karat, 24-karat magic)
Head to toe so player (24-karat)
Look out, uh (24-karat magic)"
"7","Locked Out of Heaven","Bruno Mars","Unorthodox Jukebox (Deluxe/Target Edition)","","October 1, 2012","1768160","313","59","","https://genius.com/Bruno-mars-locked-out-of-heaven-lyrics","90551","(One, two, one, two, three)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)

Never had much faith in love or miracles (Uh)
Never wanna put my heart on the line (Uh)
But swimmin' in your water's somethin' spiritual (Uh)
I'm born again every time you spend the night, —ight (Uh)

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows
Yeah, yeah, yeah

'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long

Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)

You bring me to my knees, you make me testify (Uh)
You can make a sinner change his ways (Uh)
Open up your gates 'cause I can't wait to see the light (Uh)
And right there is where I wanna stay, —ay (Uh)

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows
Yeah, yeah, yeah

'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long

Oh, woah, woah, woah
Yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?
Oh, woah, woah, woah
Yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?

'Cause you make me feel like
I've been locked outta heaven
For too long
For too long
Yeah, you make me feel like
I've been locked outta heaven
For too long
For too long

Aw, yeah, yeah, yeah, yeah (Uh)
Aw, yeah, yeah
Aw, yeah, yeah, yeah, yeah (Uh)"
"8","Grenade","Bruno Mars","Doo-Wops & Hooligans (Japanese Platinum Edition)","","September 28, 2010","1331076","447","50","","https://genius.com/Bruno-mars-grenade-lyrics","58988","Easy come, easy go, that's just how you live, oh
Take, take, take it all, but you never give
Shoulda known you was trouble from the first kiss
Had ya eyes wide open, uh, why were they open?

(Woo-ooh) Gave you all I had, and you tossed it in the trash
(Woo-ooh) You tossed it in the trash, you did
(Woo-ooh) To give me all your love is all I ever asked
'Cause what ya don't understand is

I'd catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah), oh-oh-oh-oh-oh
I would go through all this pain (Ooh)
Take a bullet straight through my brain (Ooh-ooh-ooh-ooh)
Yes, I would die for you, baby (Ooh)
But you won't do the same

No, no, no, no-oh-oh-oh
Uh

Black, black, black and blue, beat me 'til I'm numb
Tell the devil I said ""hey"" when you get back to where you're from
Mad woman, bad woman, that's just what you are
Yeah, you'll smile in my face, then rip the brakes out my car

(Woo-ooh) Gave you all I had, and you tossed it in the trash
(Woo-ooh) You tossed it in the trash, yes, you did
(Woo-ooh) To give me all your love is all I ever asked
'Cause what you don't understand is

I'd catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah), oh-oh-oh-oh-oh
I would go through all this pain (Ooh)
Take a bullet straight through my brain (Ooh-ooh-ooh-ooh)
Yes, I would die for you, baby (Ooh)
But you won't do the same

(No) If my body was on fire
(No) Ooh, you'd watch me burn down in flames
(No) You said you loved me, you're a liar
'Cause you never, ever, ever did, baby

(Uh) But darlin', I'd still catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah), ooh-ooh-ooh-ooh-ooh
I would go through all this pain (Ooh)
Take a bullet straight through my brain (Ooh-ooh-ooh-ooh)
Yes, I would die for you, baby (Ooh)
But you won't do the same

No, you won't do the same
You wouldn't do the same
Ooh, you'd never do the same
No, no, no, no, oh-woah-oh"
"9","Just the Way You Are","Bruno Mars","Doo-Wops & Hooligans (Japanese Platinum Edition)","","July 20, 2010","1178650","296","50","","https://genius.com/Bruno-mars-just-the-way-you-are-lyrics","724006","Oh
Oh
Oh
Oh

Oh, her eyes, her eyes make the stars look like they're not shinin'
Her hair, her hair falls perfectly without her tryin'
She's so beautiful, uh
And I tell her every day
Yeah, I know, I know, when I compliment her, she won't believe me
And it's so, it's so sad to think that she don't see what I see
But every time she asks me, ""Do I look okay?""
I say

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are
Yeah

Her lips, her lips, I could kiss them all day if she'd let me
Her laugh, her laugh, she hates, but I think it's so sexy
She's so beautiful, uh
And I tell her every day
Oh, you know, you know, you know I'd never ask you to change
If perfect's what you're searching for, then just stay the same
So don't even bother askin' if you look okay
You know I'll say

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are

The way you are
The way you are
Girl, you're amazing
Just the way you are

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are
Yeah"
"10","Count on Me","Bruno Mars","Doo-Wops & Hooligans (Japanese Platinum Edition)","","November 7, 2011","907525","277","37","","https://genius.com/Bruno-mars-count-on-me-lyrics","100690","Oh-oh-oh

If you ever find yourself stuck in the middle of the sea
I'll sail the world to find you
If you ever find yourself lost in the dark and you can't see
I'll be the light to guide you

We find out what we're made of
When we are called to help our friends in need

You can count on me like one, two, three, I'll be there
And I know when I need it
I can count on you like four, three, two and you'll be there
'Cause that's what friends are s'posed to do, oh, yeah

Ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh
Ooh, yeah, yeah

If you're tossin' and you're turnin' and you just can't fall asleep
I'll sing a song beside you
And if you ever forget how much you really mean to me
Everyday, I will remind you, oh

We find out what we're made of
When we are called to help our friends in need

You can count on me like one, two, three, I'll be there
And I know when I need it
I can count on you like four, three, two and you'll be there
'Cause that's what friends are s'posed to do, oh, yeah

Ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh
Ooh, yeah, yeah

You'll always have my shoulder when you cry
I'll never let go, never say goodbye

You know you can count on me like one, two, three, I'll be there
And I know when I need it
I can count on you like four, three, two and you'll be there
'Cause that's what friends are s'posed to do, oh, yeah

Ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh
Ooh

You can count on me 'cause I can count on you"
