word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
you,you,PRON,1012,47,24K Magic; All I Ask (Live at the BBC); Calling All My Lovelies; Chunky; Count on Me; Don’t Give Up (Sesame Street); Finesse; Finesse (Remix); Forget You; Gorilla; Gorilla (G-Mix); Grenade; Grenade (Remix); I Just Might; If I Knew; It Will Rain; Just the Way You Are; Just the Way You Are (2010 Remix); Leave The Door Open (Live); Liquor Store Blues; Locked Out of Heaven; Long Distance; Love’s Train; Marry You; Money Make Her Smile; Moonshine; Natalie; Our First Time; Perm; Rest Of My Life; Runaway; Runaway Baby; Show Me; Straight Up & Down; Talking to the Moon; Talking to the Moon (Acoustic Piano Version); That’s What I Like; That’s What I Like (Gucci Mane Remix); That’s What I Like (PARTYNEXTDOOR Remix); The Lazy Song; The Other Side; Today My Life Begins; Too Good to Say Goodbye; Treasure; Versace on the Floor; When I Was Your Man; Young Girls,21.53,True,1
i,i,PRON,899,49,24K Magic; All I Ask (Live at the BBC); Calling All My Lovelies; Chunky; Come to Brazil; Count on Me; Don’t Give Up (Sesame Street); Finesse; Finesse (Remix); Forget You; Gorilla; Gorilla (G-Mix); Grenade; Grenade (Remix); I Just Might; If I Knew; It Will Rain; Just the Way You Are; Just the Way You Are (2010 Remix); Leave The Door Open (Live); Liquor Store Blues; Locked Out of Heaven; Long Distance; Love’s Train; Marry You; Money Make Her Smile; Moonshine; Natalie; Our First Time; Perm; Rest Of My Life; Runaway; Runaway Baby; Show Me; Somewhere In Brooklyn; Straight Up & Down; Talking to the Moon; Talking to the Moon (Acoustic Piano Version); That’s What I Like; That’s What I Like (Gucci Mane Remix); That’s What I Like (PARTYNEXTDOOR Remix); The Lazy Song; The Other Side; Today My Life Begins; Too Good to Say Goodbye; Treasure; Versace on the Floor; When I Was Your Man; Young Girls,18.35,True,2
it,it,PRON,481,43,24K Magic; All I Ask (Live at the BBC); Calling All My Lovelies; Chunky; Count on Me; Don’t Give Up (Sesame Street); Finesse; Finesse (Remix); Gorilla; Gorilla (G-Mix); Grenade; Grenade (Remix); I Just Might; If I Knew; It Will Rain; Just the Way You Are; Just the Way You Are (2010 Remix); Leave The Door Open (Live); Liquor Store Blues; Locked Out of Heaven; Love’s Train; Marry You; Money Make Her Smile; Moonshine; Natalie; Our First Time; Perm; Rest Of My Life; Runaway; Runaway Baby; Show Me; Somewhere In Brooklyn; Straight Up & Down; That’s What I Like; That’s What I Like (Gucci Mane Remix); That’s What I Like (PARTYNEXTDOOR Remix); The Lazy Song; The Other Side; Today My Life Begins; Too Good to Say Goodbye; Treasure; Versace on the Floor; When I Was Your Man,11.19,True,3
the,the,DET,442,47,24K Magic; All I Ask (Live at the BBC); Calling All My Lovelies; Chunky; Count on Me; Don’t Give Up (Sesame Street); Finesse; Finesse (Remix); Forget You; Gorilla; Gorilla (G-Mix); Grenade; Grenade (Remix); I Just Might; If I Knew; It Will Rain; Just the Way You Are; Just the Way You Are (2010 Remix); Leave The Door Open (Live); Liquor Store Blues; Locked Out of Heaven; Long Distance; Love’s Train; Marry You; Money Make Her Smile; Moonshine; Natalie; Our First Time; Perm; Rest Of My Life; Runaway; Runaway Baby; Show Me; Somewhere In Brooklyn; Straight Up & Down; Talking to the Moon; Talking to the Moon (Acoustic Piano Version); That’s What I Like; That’s What I Like (Gucci Mane Remix); That’s What I Like (PARTYNEXTDOOR Remix); The Lazy Song; The Other Side; Today My Life Begins; Too Good to Say Goodbye; Versace on the Floor; When I Was Your Man; Young Girls,9.4,True,4
me,i,PRON,344,43,24K Magic; All I Ask (Live at the BBC); Calling All My Lovelies; Chunky; Count on Me; Finesse; Finesse (Remix); Forget You; Gorilla; Gorilla (G-Mix); Grenade; Grenade (Remix); I Just Might; If I Knew; It Will Rain; Just the Way You Are; Just the Way You Are (2010 Remix); Leave The Door Open (Live); Liquor Store Blues; Locked Out of Heaven; Long Distance; Love’s Train; Marry You; Moonshine; Natalie; Perm; Rest Of My Life; Runaway; Runaway Baby; Show Me; Straight Up & Down; Talking to the Moon; Talking to the Moon (Acoustic Piano Version); That’s What I Like; That’s What I Like (Gucci Mane Remix); That’s What I Like (PARTYNEXTDOOR Remix); The Lazy Song; Today My Life Begins; Too Good to Say Goodbye; Treasure; Versace on the Floor; When I Was Your Man; Young Girls,8.0,True,5
s,be,AUX,330,44,24K Magic; All I Ask (Live at the BBC); Calling All My Lovelies; Chunky; Count on Me; Finesse; Finesse (Remix); Forget You; Gorilla; Gorilla (G-Mix); Grenade; Grenade (Remix); I Just Might; If I Knew; It Will Rain; Just the Way You Are; Just the Way You Are (2010 Remix); Leave The Door Open (Live); Liquor Store Blues; Locked Out of Heaven; Long Distance; Love’s Train; Marry You; Money Make Her Smile; Moonshine; Natalie; Our First Time; Perm; Runaway; Runaway Baby; Show Me; Somewhere In Brooklyn; Talking to the Moon; Talking to the Moon (Acoustic Piano Version); That’s What I Like; That’s What I Like (Gucci Mane Remix); That’s What I Like (PARTYNEXTDOOR Remix); The Lazy Song; The Other Side; Today My Life Begins; Too Good to Say Goodbye; Treasure; Versace on the Floor; When I Was Your Man,7.5,True,6
to,to,PART,325,49,24K Magic; All I Ask (Live at the BBC); Calling All My Lovelies; Chunky; Come to Brazil; Count on Me; Don’t Give Up (Sesame Street); Finesse; Finesse (Remix); Forget You; Gorilla; Gorilla (G-Mix); Grenade; Grenade (Remix); I Just Might; If I Knew; It Will Rain; Just the Way You Are; Just the Way You Are (2010 Remix); Leave The Door Open (Live); Liquor Store Blues; Locked Out of Heaven; Long Distance; Love’s Train; Marry You; Money Make Her Smile; Moonshine; Natalie; Our First Time; Perm; Rest Of My Life; Runaway; Runaway Baby; Show Me; Somewhere In Brooklyn; Straight Up & Down; Talking to the Moon; Talking to the Moon (Acoustic Piano Version); That’s What I Like; That’s What I Like (Gucci Mane Remix); That’s What I Like (PARTYNEXTDOOR Remix); The Lazy Song; The Other Side; Today My Life Begins; Too Good to Say Goodbye; Treasure; Versace on the Floor; When I Was Your Man; Young Girls,6.63,True,7
and,and,CCONJ,285,43,24K Magic; All I Ask (Live at the BBC); Calling All My Lovelies; Chunky; Count on Me; Don’t Give Up (Sesame Street); Finesse; Finesse (Remix); Forget You; Gorilla; Gorilla (G-Mix); Grenade; Grenade (Remix); I Just Might; It Will Rain; Just the Way You Are; Just the Way You Are (2010 Remix); Leave The Door Open (Live); Liquor Store Blues; Locked Out of Heaven; Long Distance; Love’s Train; Marry You; Money Make Her Smile; Moonshine; Natalie; Our First Time; Perm; Rest Of My Life; Runaway; Runaway Baby; Somewhere In Brooklyn; Straight Up & Down; That’s What I Like; That’s What I Like (Gucci Mane Remix); That’s What I Like (PARTYNEXTDOOR Remix); The Lazy Song; The Other Side; Today My Life Begins; Too Good to Say Goodbye; Versace on the Floor; When I Was Your Man; Young Girls,6.63,True,8
n't,not,PART,274,46,24K Magic; All I Ask (Live at the BBC); Calling All My Lovelies; Chunky; Count on Me; Don’t Give Up (Sesame Street); Finesse; Finesse (Remix); Forget You; Gorilla; Gorilla (G-Mix); Grenade; Grenade (Remix); I Just Might; If I Knew; It Will Rain; Just the Way You Are; Just the Way You Are (2010 Remix); Leave The Door Open (Live); Liquor Store Blues; Locked Out of Heaven; Long Distance; Love’s Train; Marry You; Money Make Her Smile; Moonshine; Natalie; Our First Time; Perm; Rest Of My Life; Runaway; Runaway Baby; Show Me; Straight Up & Down; Talking to the Moon; Talking to the Moon (Acoustic Piano Version); That’s What I Like; That’s What I Like (Gucci Mane Remix); That’s What I Like (PARTYNEXTDOOR Remix); The Lazy Song; The Other Side; Too Good to Say Goodbye; Treasure; Versace on the Floor; When I Was Your Man; Young Girls,5.96,True,9
do,do,AUX,246,43,24K Magic; All I Ask (Live at the BBC); Bonde do Brunão; Calling All My Lovelies; Count on Me; Don’t Give Up (Sesame Street); Finesse; Finesse (Remix); Forget You; Gorilla; Gorilla (G-Mix); Grenade; Grenade (Remix); I Just Might; It Will Rain; Just the Way You Are; Just the Way You Are (2010 Remix); Leave The Door Open (Live); Liquor Store Blues; Long Distance; Marry You; Money Make Her Smile; Moonshine; Natalie; Our First Time; Perm; Runaway; Runaway Baby; Show Me; Somewhere In Brooklyn; Straight Up & Down; Talking to the Moon; Talking to the Moon (Acoustic Piano Version); That’s What I Like; That’s What I Like (Gucci Mane Remix); That’s What I Like (PARTYNEXTDOOR Remix); The Lazy Song; The Other Side; Too Good to Say Goodbye; Treasure; Versace on the Floor; When I Was Your Man; Young Girls,5.72,True,10
