"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","(They Long to Be) Close to You","Carpenters","The Essential Collection: 1965-1997","","May 15, 1970","532926","214","33","","https://genius.com/Carpenters-they-long-to-be-close-to-you-lyrics","870120","Why do birds suddenly appear
Every time you are near?
Just like me, they long to be
Close to you

Why do stars fall down from the sky
Every time you walk by?
Just like me, they long to be
Close to you

On the day that you were born, the angels got together
And decided to create a dream come true
So they sprinkled moon dust in your hair
Of gold and starlight in your eyes of blue

That is why all the girls in town (Girls in town)
Follow you all around (Follow you all around)
Just like me, they long to be
Close to you

On the day that you were born, the angels got together
And decided to create a dream come true
So they sprinkled moon dust in your hair
Of gold and starlight in your eyes of blue

That is why all the girls in town (Girls in town)
Follow you all around (Follow you all around)
Just like me, they long to be
Close to you
Just like me, they long to be (Just like me)
Close to you

Wa-ah-ah, close to you
Wa-ah-ah, close to you
Ha-ah-ah, close to you
Wa-ah-ah, close to you
Wa-ah-ah, close to you
Wa-ah-ah, close to you
Wa-ah-ah, close to you"
"2","Yesterday Once More","Carpenters","The Ultimate Collection ","","May 16, 1973","209773","236","48","","https://genius.com/Carpenters-yesterday-once-more-lyrics","984107","When I was young, I'd listen to the radio
Waitin' for my favorite songs
When they played, I'd sing along
It made me smile

Those were such happy times
And not so long ago
How I wondered where they'd gone
But they're back again
Just like a long-lost friend
All the songs I loved so well

Every ""Sha-la-la-la""
Every ""Woah, woah-oh"" still shines
Every ""Shing-a-ling-a-ling""
That they're startin' to sing so fine
When they get to the part
Where he's breakin' her heart
It can really make me cry
Just like before, it's yesterday once more
(Shoobie-doo, lang, lang)
(Shoobie-doo, lang, lang)

Lookin' back on how it was in years gone by
And the good times that I had
Makes today seem rather sad
So much has changed

It was songs of love
That I would sing to them
And I'd memorize each word
Those old melodies
Still sound so good to me
As they melt the years away

Every ""Sha-la-la-la""
Every ""Woah, woah-oh"" still shines
(Only oldies, but goodies)
Every ""Shing-a-ling-a-ling""
That they're startin' to sing so fine
All my best memories
Come back clearly to me
Some can even make me cry
Just like before, it's yesterday once more
(Shoobie-doo, lang, lang)

Every ""Sha-la-la-la""
Every ""Woah, woah-oh"" still shines
Every ""Shing-a-ling-a-ling""
That they're startin' to sing so fine
Every ""Sha-la-la-la""
Every ""Woah, woah-oh"" still shines
Every ""Shing-a-ling-a-ling""
That they're startin' to sing so fine"
"3","Top of the World","Carpenters","The Essential Collection: 1965-1997","","June 22, 1972","208472","263","31","","https://genius.com/Carpenters-top-of-the-world-lyrics","165046","Such a feeling's coming over me
There is wonder in most everything I see
Not a cloud in the sky, got the sun in my eyes
And I won't be surprised if it's a dream

Everything I want the world to be
Is now coming true especially for me
And the reason is clear, it's because you are here
You're the nearest thing to heaven that I've seen

I'm on the
top of the world, looking down on creation
And the only explanation I can find
Is the love that I've found ever since you've been around
Your love's put me at the top of the world

Something in the wind has learned my name
And it's tellin' me that things are not the same
In the leaves on the trees and the touch of the breeze
There's a pleasing sense of happiness for me

There is only one wish on my mind
When this day is through, I hope that I will find
That tomorrow will be just the same for you and me
All I need will be mine if you are here

I'm on the
top of the world, looking down on creation
And the only explanation I can find
Is the love that I've found ever since you've been around
Your love's put me at the top of the world
I'm on the
top of the world, looking down on creation
And the only explanation I can find
Is the love that I've found ever since you've been around
Your love's put me at the top of the world"
"4","Superstar","Carpenters","The Essential Collection: 1965-1997","","May 14, 1971","91338","171","22","","https://genius.com/Carpenters-superstar-lyrics","101497","Long ago, and, oh, so far away
I fell in love with you before the second show
Your guitar, it sounds so sweet and clear
But you're not really here, it's just the radio

Don't you remember, you told me you loved me, baby?
You said you'd be comin' back this way again, baby
Baby, baby, baby, baby, oh baby
I love you, I really do

Loneliness is such a sad affair
And I can hardly wait to be with you again
What to say (What to say)
To make you come again? (Ooh, baby)
Come back to me again (Ooh, baby)
And play your sad guitar

Don't you remember, you told me you loved me, baby?
You said you'd be comin' back this way again, baby
Baby, baby, baby, baby, oh baby
I love you, I really do

Don't you remember, you told me you loved me, baby?
You said you'd be comin' back this way again, baby
Baby, baby, baby, baby, oh baby
I love you, I really do"
"5","You","Carpenters","A Kind of Hush","","June 11, 1976","69294","182","25","","https://genius.com/Carpenters-you-lyrics","1474909","You are the one who makes me happy
When everything else turned to grey
Yours is the voice that wakes me mornings
And sends me out into the day

You are the crowd that sits quiet listening to me
And all the mad sense I make
You are one of the few things worth remembering
And since it's all true
How could anyone mean more to me than you?

Sorry if sometimes I look past you
There's no one beyond your eyes (Beyond your eyes)
Inside my head, the wheels are turning
And sometimes I'm not so wise

You are my heart and my soul, my inspiration
Just like the old love song goes
You are one of the few things worth remembering (Ooh)
And since it's all true
How could anyone mean more to me than you?

Beyond your eyes

You are my heart and my soul, my inspiration
Just like the old love song goes
You are one of the few things worth remembering (Ooh)
And since it's all true
How could anyone mean more to me than you?

Ah"
"6","We’ve Only Just Begun","Carpenters","The Essential Collection: 1965-1997","","August 21, 1970","68170","153","24","","https://genius.com/Carpenters-weve-only-just-begun-lyrics","266841","We've only just begun to live
White lace and promises
A kiss for luck and we're on our way
We've only begun

Before the rising sun, we fly
So many roads to choose
We start out walking and learn to run
And yes, we've just begun

Sharing horizons that are new to us
Watching the signs along the way
Talkin' it over, just the two of us
Workin' together day to day, together

And when the evening comes, we smile
So much of life ahead
We'll find a place where there's room to grow
And yes, we've just begun

Sharing horizons that are new to us
Watching the signs along the way
Talkin' it over, just the two of us
Workin' together day to day, together, together

And when the evening comes, we smile
So much of life ahead
We'll find a place where there's room to grow
And yes, we've just begun"
"7","Love Me For What I Am","Carpenters","Horizon","","June 6, 1975","55407","258","47","","https://genius.com/Carpenters-love-me-for-what-i-am-lyrics","1333871","We fell in love
On the first night that we met
Together we've been happy
I have very few regrets
The ordinary problems
Have not been hard to face
But lately little changes
Have been slowly taking place

You're always finding something
Is wrong in what I do
But you can't rearrange my life
Because it pleases you

You've got to love me for what I am
For simply being me
Don't love me for what you intend
Or hope that I will be
And if you're only using me
To feed your fantasy
You're really not in love
So let me go, I must be free

If what you want
Isn't natural for me
I won't pretend to keep you
What I am I have to be
The picture of perfection
Is only in your mind
For all your expectations
Love can never be designed

We either take each other
For everything we are
Or leave the life we've made behind
And make another start

You've got to love me for what I am
For simply being me (Simply being me)
Don't love me for what you intend
Or hope that I will be
And if you're only using me
To feed your fantasy
You're really not in love
So let me go, I must be free

Ah, ah, ah, ah-ah

And if you're only using me
To feed your fantasy
You're really not in love
So let me go, I must be free
You're really not in love
So let me go, I must be free"
"8","I Won’t Last a Day Without You","Carpenters","The Ultimate Collection ","","March 25, 1974","51879","285","37","","https://genius.com/Carpenters-i-wont-last-a-day-without-you-lyrics","1115848","Ooh-ooh-ooh-ooh

Day after day
I must face a world of strangers
Where I don't belong
I'm not that strong
It's nice to know that there's someone I can turn to
Who will always care
You're always there

When there's no getting over that rainbow
When my smallest of dreams won't come true
I can take all the madness the world has to give
But, I won't last a day without you

So many times when the city seems to be without
A friendly face, a lonely place
It's nice to know that you'll be there if I need you
And you'll always smile, it's all worthwhile

When there's no getting over that rainbow
When my smallest of dreams won't come true
I can take all the madness the world has to give
But, I won't last a day without you

Touch me and I end up singing
Trouble seems to up and disappear
You touch me with the love you're bringing
I can't really lose when you're near (When you're near, my love)

If all my friends have forgotten half their promises
They're not unkind, just hard to find
One look at you and I know that I could learn to live
Without the rest, I've found the best

When there's no getting over that rainbow
When my smallest of dreams won't come true
I can take all the madness the world has to give
But, I won't last a day without you
When there's no getting over that rainbow
When my smallest of dreams won't come true
I can take all the madness the world has to give
But, I won't last a day without you
(Won't last a day without you, without you)"
"9","Sing","Carpenters","The Ultimate Collection ","","May 1, 1973","51579","253","38","","https://genius.com/Carpenters-sing-lyrics","1293269","Sing, sing a song
Sing out loud, sing out strong
Sing of good things, not bad
Sing of happy, not sad

Sing, sing a song
Make it simple to last your whole life long
Don't worry that it's not good enough
For anyone else to hear
Just sing, sing a song

La la la la la
La la la la la la
La la la la la la la

Sing, sing a song (Sing, sing)
Let the world sing along
Sing of love there could be
Sing for you and for me

Sing, sing a song (La la la la la, La la la la la la, La la la la la la la)
Make it simple to last your whole life long (La la la la la, La la la la la la)
Don't worry that it's not good enough
For anyone else to hear
Just sing, sing a song

Just sing, sing a song (Ooh)
Just sing, sing a song (Ooh)

La la la la la
La la la la la la
La la la la la la la
La la la la la
La la la la la la
La la la la la la la
La la la la la
La la la la la la
La la la la la la la
La la la la la
La la la la la la
La la la la la la la
La la la la la
La la la la la la
La la la la la la la"
"10","Rainy Days and Mondays","Carpenters","The Ultimate Collection ","","April 23, 1971","44920","226","33","","https://genius.com/Carpenters-rainy-days-and-mondays-lyrics","1478656","Talkin' to myself and feelin' old
Sometimes I'd like to quit
Nothin' ever seems to fit

Hanging around
Nothin' to do but frown
Rainy days and Mondays always get me down

What I've got, they used to call the blues
Nothin' is really wrong
Feeling like I don't belong

Walking around
Some kind of lonely clown
Rainy days and Mondays always get me down

Funny, but it seems I always wind up here with you
Nice to know somebody loves me
Funny, but it seems that it's the only thing to do
Run and find the one who loves me (The one who loves me)

What I feel has come and gone before
No need to talk it out (Talk it out)
We know what it's all about

Hanging around (Hanging around)
Nothin' to do but frown
Rainy days and Mondays always get me down

Funny, but it seems that it's the only thing to do (Only thing to do)
Run and find the one who loves me (Ooh)

What I feel has come and gone before
No need to talk it out (Talk it out)
We know what it's all about

Hanging around (Hanging around)
Nothin' to do but frown
Rainy days and Mondays always get me down
Hanging around (Hanging around)
Nothin' to do but frown
Rainy days and Mondays always get me down"
