word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
you,you,PRON,450,40,"(I’m Caught Between) Goodbye And I Love You; (There’s No Place Like) Home For The Holidays; (They Long to Be) Close to You; A Song for You; All You Get from Love Is a Love Song; Baby It’s You; Bacharach/David Medley; B’wana She No Home; Calling Occupants of Interplanetary Craft (The Recognized Anthem Of World Contact Day); Can’t Smile Without You; Christmas Waltz; For All We Know; Hurting Each Other; I Can Dream, Can’t I?; I Have You; I Just Fall in Love Again; I Need To Be In Love; I Won’t Last a Day Without You; It’s Christmas Time / Sleep Well, Little Children; I’ll Never Fall In Love Again; Let Me Be the One; Love Is Surrender; Love Me For What I Am; Maybe It’s You; Merry Christmas, Darling; Mr. Guder; Only Yesterday; Please Mr. Postman; Rainy Days and Mondays; Sing; Sleigh Ride; Sometimes; Superstar; Sweet, Sweet Smile; The End of the World; The Rainbow Connection (Outtake); There’s a Kind of Hush; Top of the World; Touch Me When We’re Dancing; You",11.25,True,1
i,i,PRON,440,38,"(I’m Caught Between) Goodbye And I Love You; (There’s No Place Like) Home For The Holidays; A Song for You; All You Get from Love Is a Love Song; Baby It’s You; Bacharach/David Medley; B’wana She No Home; Calling Occupants of Interplanetary Craft (The Recognized Anthem Of World Contact Day); Can’t Smile Without You; For All We Know; Goodbye to Love; Hurting Each Other; I Can Dream, Can’t I?; I Have You; I Just Fall in Love Again; I Need To Be In Love; I Won’t Last a Day Without You; It’ Going To Take Some Time; I’ll Never Fall In Love Again; Love Me For What I Am; Maybe It’s You; Merry Christmas, Darling; Mr. Guder; Only Yesterday; Please Mr. Postman; Rainy Days and Mondays; Sometimes; Superstar; Sweet, Sweet Smile; The End of the World; The Rainbow Connection (Outtake); There’s a Kind of Hush; This Masquerade; Ticket To Ride; Top of the World; Touch Me When We’re Dancing; Yesterday Once More; You",11.58,True,2
the,the,DET,406,49,"(I’m Caught Between) Goodbye And I Love You; (There’s No Place Like) Home For The Holidays; (They Long to Be) Close to You; A Song for You; All You Get from Love Is a Love Song; Baby It’s You; Bacharach/David Medley; Bless the Beasts and Children; B’wana She No Home; Calling Occupants of Interplanetary Craft (The Recognized Anthem Of World Contact Day); Can’t Smile Without You; Carol Of The Bells; Christmas Waltz; For All We Know; Goodbye to Love; Hurting Each Other; I Can Dream, Can’t I?; I Have You; I Just Fall in Love Again; I Need To Be In Love; I Won’t Last a Day Without You; It’ Going To Take Some Time; It’s Christmas Time / Sleep Well, Little Children; Jambalaya (On The Bayou); Let Me Be the One; Love Is Surrender; Love Me For What I Am; Maybe It’s You; Merry Christmas, Darling; Mr. Guder; Only Yesterday; Please Mr. Postman; Rainy Days and Mondays; Sing; Sleigh Ride; Solitaire; Sometimes; Superstar; Sweet, Sweet Smile; The End of the World; The Rainbow Connection (Outtake); There’s a Kind of Hush; This Masquerade; Ticket To Ride; Top of the World; Touch Me When We’re Dancing; We’ve Only Just Begun; Yesterday Once More; You",8.29,True,3
to,to,PART,322,46,"(I’m Caught Between) Goodbye And I Love You; (There’s No Place Like) Home For The Holidays; (They Long to Be) Close to You; A Song for You; All You Get from Love Is a Love Song; Bacharach/David Medley; B’wana She No Home; Calling Occupants of Interplanetary Craft (The Recognized Anthem Of World Contact Day); Can’t Smile Without You; Carol Of The Bells; Christmas Waltz; For All We Know; Goodbye to Love; Hurting Each Other; I Can Dream, Can’t I?; I Have You; I Just Fall in Love Again; I Need To Be In Love; I Won’t Last a Day Without You; It’ Going To Take Some Time; It’s Christmas Time / Sleep Well, Little Children; I’ll Never Fall In Love Again; Jambalaya (On The Bayou); Let Me Be the One; Love Is Surrender; Love Me For What I Am; Maybe It’s You; Merry Christmas, Darling; Mr. Guder; Only Yesterday; Please Mr. Postman; Rainy Days and Mondays; Sing; Sleigh Ride; Solitaire; Sometimes; Superstar; The End of the World; The Rainbow Connection (Outtake); This Masquerade; Ticket To Ride; Top of the World; Touch Me When We’re Dancing; We’ve Only Just Begun; Yesterday Once More; You",7.0,True,4
and,and,CCONJ,309,48,"(I’m Caught Between) Goodbye And I Love You; (There’s No Place Like) Home For The Holidays; (They Long to Be) Close to You; A Song for You; Bacharach/David Medley; Bless the Beasts and Children; B’wana She No Home; Calling Occupants of Interplanetary Craft (The Recognized Anthem Of World Contact Day); Can’t Smile Without You; Carol Of The Bells; Christmas Waltz; For All We Know; Goodbye to Love; Hurting Each Other; I Can Dream, Can’t I?; I Have You; I Just Fall in Love Again; I Need To Be In Love; I Won’t Last a Day Without You; It’ Going To Take Some Time; It’s Christmas Time / Sleep Well, Little Children; I’ll Never Fall In Love Again; Jambalaya (On The Bayou); Let Me Be the One; Love Is Surrender; Love Me For What I Am; Maybe It’s You; Merry Christmas, Darling; Mr. Guder; Only Yesterday; Please Mr. Postman; Rainy Days and Mondays; Sing; Sleigh Ride; Solitaire; Sometimes; Superstar; Sweet, Sweet Smile; The End of the World; The Rainbow Connection (Outtake); There’s a Kind of Hush; This Masquerade; Ticket To Ride; Top of the World; Touch Me When We’re Dancing; We’ve Only Just Begun; Yesterday Once More; You",6.44,True,5
a,a,DET,216,38,"(I’m Caught Between) Goodbye And I Love You; (There’s No Place Like) Home For The Holidays; (They Long to Be) Close to You; A Song for You; All You Get from Love Is a Love Song; Bacharach/David Medley; Calling Occupants of Interplanetary Craft (The Recognized Anthem Of World Contact Day); Can’t Smile Without You; For All We Know; Goodbye to Love; Hurting Each Other; I Can Dream, Can’t I?; I Have You; I Just Fall in Love Again; I Need To Be In Love; I Won’t Last a Day Without You; It’s Christmas Time / Sleep Well, Little Children; I’ll Never Fall In Love Again; Jambalaya (On The Bayou); Let Me Be the One; Love Is Surrender; Maybe It’s You; Merry Christmas, Darling; Mr. Guder; Only Yesterday; Please Mr. Postman; Sing; Sleigh Ride; Solitaire; Superstar; Sweet, Sweet Smile; There’s a Kind of Hush; This Masquerade; Ticket To Ride; Top of the World; Touch Me When We’re Dancing; We’ve Only Just Begun; Yesterday Once More",5.68,True,6
me,i,PRON,188,39,"(I’m Caught Between) Goodbye And I Love You; (They Long to Be) Close to You; A Song for You; All You Get from Love Is a Love Song; Baby It’s You; Bacharach/David Medley; B’wana She No Home; Can’t Smile Without You; Christmas Waltz; For All We Know; Goodbye to Love; Hurting Each Other; I Can Dream, Can’t I?; I Have You; I Just Fall in Love Again; I Need To Be In Love; I Won’t Last a Day Without You; It’ Going To Take Some Time; It’s Christmas Time / Sleep Well, Little Children; I’ll Never Fall In Love Again; Jambalaya (On The Bayou); Let Me Be the One; Love Me For What I Am; Maybe It’s You; Merry Christmas, Darling; Only Yesterday; Please Mr. Postman; Rainy Days and Mondays; Sing; Sometimes; Superstar; Sweet, Sweet Smile; The End of the World; The Rainbow Connection (Outtake); Ticket To Ride; Top of the World; Touch Me When We’re Dancing; Yesterday Once More; You",4.82,True,7
s,be,AUX,169,38,"(There’s No Place Like) Home For The Holidays; A Song for You; All You Get from Love Is a Love Song; Baby It’s You; Bacharach/David Medley; Calling Occupants of Interplanetary Craft (The Recognized Anthem Of World Contact Day); Can’t Smile Without You; Christmas Waltz; For All We Know; Goodbye to Love; Hurting Each Other; I Can Dream, Can’t I?; I Need To Be In Love; I Won’t Last a Day Without You; It’ Going To Take Some Time; It’s Christmas Time / Sleep Well, Little Children; I’ll Never Fall In Love Again; Let Me Be the One; Maybe It’s You; Merry Christmas, Darling; Mr. Guder; Only Yesterday; Please Mr. Postman; Rainy Days and Mondays; Sing; Sleigh Ride; Solitaire; Superstar; Sweet, Sweet Smile; The End of the World; The Rainbow Connection (Outtake); There’s a Kind of Hush; Ticket To Ride; Top of the World; Touch Me When We’re Dancing; We’ve Only Just Begun; Yesterday Once More; You",4.45,True,8
it,it,PRON,157,41,"(I’m Caught Between) Goodbye And I Love You; All You Get from Love Is a Love Song; Baby It’s You; Bacharach/David Medley; Bless the Beasts and Children; Calling Occupants of Interplanetary Craft (The Recognized Anthem Of World Contact Day); Can’t Smile Without You; Christmas Waltz; Goodbye to Love; Hurting Each Other; I Can Dream, Can’t I?; I Have You; I Just Fall in Love Again; I Need To Be In Love; I Won’t Last a Day Without You; It’ Going To Take Some Time; It’s Christmas Time / Sleep Well, Little Children; I’ll Never Fall In Love Again; Love Is Surrender; Love Me For What I Am; Maybe It’s You; Merry Christmas, Darling; Mr. Guder; Only Yesterday; Please Mr. Postman; Rainy Days and Mondays; Sing; Sleigh Ride; Solitaire; Superstar; Sweet, Sweet Smile; The End of the World; The Rainbow Connection (Outtake); There’s a Kind of Hush; This Masquerade; Ticket To Ride; Top of the World; Touch Me When We’re Dancing; We’ve Only Just Begun; Yesterday Once More; You",3.83,True,9
love,love,NOUN,146,32,"(I’m Caught Between) Goodbye And I Love You; A Song for You; All You Get from Love Is a Love Song; Baby It’s You; Bacharach/David Medley; Bless the Beasts and Children; Christmas Waltz; For All We Know; Goodbye to Love; Hurting Each Other; I Have You; I Just Fall in Love Again; I Need To Be In Love; I Won’t Last a Day Without You; I’ll Never Fall In Love Again; Let Me Be the One; Love Is Surrender; Love Me For What I Am; Maybe It’s You; Only Yesterday; Sing; Sleigh Ride; Solitaire; Sometimes; Superstar; Sweet, Sweet Smile; The End of the World; There’s a Kind of Hush; Top of the World; Touch Me When We’re Dancing; Yesterday Once More; You",4.56,False,10
