"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Viva La Vida","Coldplay","Viva la Vida or Death and All His Friends (Prospekt’s March Edition)","","May 25, 2008","4199337","341","65","","https://genius.com/Coldplay-viva-la-vida-lyrics","49192","I used to rule the world
Seas would rise when I gave the word
Now in the mornin', I sleep alone
Sweep the streets I used to own

I used to roll the dice
Feel the fear in my enemy's eyes
Listen as the crowd would sing
""Now the old king is dead, long live the king""
One minute, I held the key
Next, the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand

I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
Once you'd gone, there was never
Never an honest word
And that was when I ruled the world

It was a wicked and wild wind
Blew down the doors to let me in
Shattered windows and the sound of drums
People couldn't believe what I'd become
And revolutionaries wait
For my head on a silver plate
Just a puppet on a lonely string (
Mmm, mmm
)
Aw, who would ever wanna be king?

I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh

[Chorus: Chris Martin,
Brian Eno
, Guy Berryman, Jonny Buckland & Will Champion
]
(
Oh-oh-oh, oh-oh, oh
)
Hear Jerusalem bells a-ringin'
(Oh-oh-oh, oh-oh, oh)
Roman cavalry choirs are singin'
(Oh-oh-oh, oh-oh, oh)
Be my mirror, my sword and shield
(Oh-oh-oh, oh-oh, oh)
My missionaries in a foreign field
(Oh-oh-oh, oh-oh, oh)
For some reason, I can't explain
(Oh-oh-oh, oh-oh, oh)
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm"
"2","The Scientist","Coldplay","The Singles 1999–2006","","August 8, 2002","2238254","187","30","","https://genius.com/Coldplay-the-scientist-lyrics","77594","Come up to meet you, tell you I'm sorry
You don't know how lovely you are
I had to find you, tell you I need you
And tell you I set you apart
Tell me your secrets and ask me your questions
No, let's go back to the start
Runnin' in circles, comin' up tails
Heads on a science apart

Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard
Oh, take me back to the start

I was just guessin' at numbers and figures
Pullin' your puzzles apart
Questions of science, science and progress
Do not speak as loud as my heart
And tell me you love me, come back and haunt me
Oh, and I rush to the start
Runnin' in circles, chasin' our tails
Comin' back as we are

Nobody said it was easy
Oh, it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard
I'm goin' back to the start

Ah-ooh
Ah-ooh
Ah-ooh
Ah-ooh"
"3","Yellow","Coldplay","The Singles 1999–2006","","June 26, 2000","2107332","218","45","","https://genius.com/Coldplay-yellow-lyrics","77782","Look at the stars
Look how they shine for you
And everything you do
Yeah, they were all yellow
I came along
I wrote a song for you
And all the things you do
And it was called ""Yellow""
So then I took my turn
Oh, what a thing to have done
And it was all yellow

(
Ah
) Your skin, oh, yeah, your skin and bones
(
Ooh
) Turn into something beautiful
(
Ah
) And you know, you know I love you so
You know I love you so

I swam across
I jumped across for you
Oh, what a thing to do
'Cause you were all yellow
I drew a line
I drew a line for you
Oh, what a thing to do
And it was all yellow

(Ah) And your skin, oh, yeah, your skin and bones
(Ooh) Turn into something beautiful
(
Ah
) And you know, for you, I'd bleed myself dry
For you, I'd bleed myself dry

It's true
Look how they shine for you
Look how they shine for you
Look how they shine for
Look how they shine for you
Look how they shine for you
Look how they shine

Look at the stars
Look how they shine for you
And all the things that you do"
"4","Fix You","Coldplay","The Singles 1999–2006","","June 6, 2005","1718461","176","28","","https://genius.com/Coldplay-fix-you-lyrics","79647","When you try your best, but you don't succeed
When you get what you want, but not what you need
When you feel so tired, but you can't sleep
Stuck in reverse

And the tears come streamin' down your face
When you lose somethin' you can't replace
When you love someone, but it goes to waste
Could it be worse?

Lights will guide you home
And ignite your bones
And I will try to fix you

And high up above or down below
When you're too in love to let it go
But if you never try, you'll never know
Just what you're worth

Lights will guide you home
And ignite your bones
And I will try
to fix you

Tears stream down your face
When you lose somethin' you cannot replace
Tears stream down your face, and I...
Tears stream down your face
I promise you I will learn from my mistakes
Tears stream down your face, and I...

Lights will guide you home
And ignite your bones
And I will try to fix you"
"5","Hymn for the Weekend","Coldplay","A Head Full of Dreams (Atlantic 75 Edition)","","January 25, 2016","1102556","391","79","Beyoncé","https://genius.com/Coldplay-hymn-for-the-weekend-lyrics","2353271","And said drink from me, drink from me
(I, oh, I, oh, I)
That we shoot across the sky
Got me feeling drunk and high
Pour on a symphony
So high, so high
That we shoot across the sky
Pour on a symphony
Drink from me, drink from me
(I, oh, I, oh, I)
That we shoot across the sky
Got me feelin' drunk and high
Pour on a symphony
So high, so high
That we shoot across the sky

Oh, angel sent from up above
You know you make my world light up
When I was down, when I was hurt
You came to lift me up
Life is a drink and love's a drug
Oh, now I think I must be miles up
When I was a river dried up
You came to rain a flood

I said,
drink from me, drink from me
When I was
so
thirsty
Pour on a symphony
Now I just can't get enough
Put
your wings on me, wings on me
When I was
so
heavy
Pour on a symphony
When I'm low, low, low, low

I, oh, I, oh, I
Got me feeling drunk and high, so high, so high
Oh, I, oh, I, oh, I
Now I'm feeling drunk and high, so high, so high (Woo)

Ooh-ooh
-ooh-ooh-ooh
Ooh-ooh
Ooh-ooh

Oh, angel sent from up above
I feel you coursin' through my blood
Life is a drink and your love's about
To make the stars (
Stars
) come out

Put
your wings on me, wings on me
When I was
so
heavy
Pour on a symphony
When I'm low, low, low, low

I, oh, I, oh, I
Got me feeling drunk and high, so high, so high
Oh, I, oh, I, oh, I
Now I'm feeling drunk and high, so high, so high
I, oh, I, oh, I
La, la, la, la, la, la, la, so high, so high
I, oh, I, oh, I
Now I'm feeling drunk and high, so high, so high

[Outro: Beyoncé & Chris Martin,
Beyoncé
]
That we shoot across the sky
That we shoot across the
That we shoot across the sky
That we shoot across the (
That we shoot
)
That we shoot across the sky
That we shoot across the
That we shoot across the sky
That we shoot across the"
"6","Sparks","Coldplay","Parachutes","","July 10, 2000","913764","109","25","","https://genius.com/Coldplay-sparks-lyrics","77781","Did I drive you away?
I know what you'll say
You say, ""Oh, sing one we know""
But I promise you this
I'll always look out for you
Yeah, that's what I'll do

I say, oh
I say, oh

My heart is yours
It's you that I hold onto
Yeah, that's what I do
And I know I was wrong
But I won't let you down
Oh, yeah, I will, yeah, I will, yes, I will

I said, oh
I cry, oh

Yeah, I saw sparks
Yeah, I saw sparks
And I saw sparks
Yeah, I saw sparks

Sing it out
La-la-la-la, oh-oh
La-la-la-la, oh-oh
La-la-la-la, oh-oh
La-la-la-la, oh-oh"
"7","A Sky Full of Stars","Coldplay","Ghost Stories (Target Exclusive Edition)","","May 2, 2014","744370","178","25","","https://genius.com/Coldplay-a-sky-full-of-stars-lyrics","387508","'Cause you're a sky, 'cause you're a sky full of stars
I'm gonna give you my heart
'Cause you're a sky, 'cause you're a sky full of stars
'Cause you light up the path

I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in a sky full of stars
I think I saw you, ooh-ooh-ooh, ooh-ooh-ooh

'Cause you're a sky, 'cause you're a sky full of stars
I wanna die in your arms, oh-oh-oh, oh-oh
'Cause you get lighter the more it gets dark
I'm gonna give you my heart, oh

I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in a sky full of stars
I think I see you, ooh-ooh-ooh, ooh-ooh-ooh
I think I see you, ooh-ooh-ooh, ooh-ooh-ooh

Ooh-ooh-ooh, ooh-ooh-ooh

'Cause you're a sky, you're a sky full of stars
Such a heavenly view, ooh-ooh-ooh, ooh-ooh-ooh
You're such a heavenly view, ooh-ooh-ooh, ooh-ooh-ooh
(Yeah, yeah, yeah, oh)

(Ooh-ooh-ooh)
(Ooh-ooh-ooh)
(Ooh-ooh-ooh)"
"8","Adventure of a Lifetime","Coldplay","A Head Full of Dreams (Atlantic 75 Edition)","","November 6, 2015","634855","264","52","","https://genius.com/Coldplay-adventure-of-a-lifetime-lyrics","2349494","""Turn your magic on,"" Umi, she'd say
""Everythin' you want's a dream away
We are legends every day""
That's what she told me
""Turn your magic on,"" to me, she'd say
""Everythin' you want's a dream away
Under this pressure, under this weight
We are diamonds""

Now, I feel my heart beatin'
I feel my heart underneath my skin
Now, I feel my heart beatin'
Oh, you make me feel

Like I'm alive again
(Alive again)
Oh, you make me feel
Like I'm alive again

Said, ""I can't go on, not in this way
I'm a dream that died by light of day
Gonna hold up half the sky and say
Only I own me""

Now, I feel my heart beatin'
I feel my heart underneath my skin
Oh, I can feel my heart beatin'
'Cause you make me feel

Like I'm alive again
(Alive again)
Oh, you make me feel
Like I'm alive again

""Turn your magic on,"" Umi, she'd say
""Everythin' you want's a dream away
Under this pressure, under this weight
We are diamonds takin' shape
We are diamonds takin' shape""

(Woo, woo-hoo)
(Woo, woo-hoo)
If we've only got this life, this adventure, oh, then I
And if we've only got this life, you'll get me through alive
And if we've only got this life, in this adventure, oh, then I
Want to share it with you, with you, with you
Oh, see, yeah, see, yeah, I

Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)"
"9","Clocks","Coldplay","The Singles 1999–2006","","August 26, 2002","624700","167","33","","https://genius.com/Coldplay-clocks-lyrics","53753","The lights go out, and I can't be saved
Tides that I tried to swim against
Have brought me down upon my knees
Oh, I beg, I beg and plead, singin'
Come out of things unsaid
Shoot an apple off my head, and a
Trouble that can't be named
A tiger's waitin' to be tamed, singin'

You are
You are

Confusion never stops
Closin' walls and tickin' clocks, gonna
Come back and take you home
I could not stop, that you now know, singin'
Come out upon my seas
Cursed missed opportunities, am I
A part of the cure
Or am I part of the disease? Singin'

You are
You are
You are
You are

You are
You are

And nothin' else compares
Oh, nothin' else compares
And nothin' else compares

You are
You are

Home, home, where I wanted to go
Home, home, where I wanted to go
Home (You are) home, where I wanted to go
Home (You are) home, where I wanted to go"
"10","Paradise","Coldplay","Mylo Xyloto","","September 12, 2011","623831","241","50","","https://genius.com/Coldplay-paradise-lyrics","55882","Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh

When she was just a girl
She expected the world
But it flew away from her reach
So she ran away in her sleep

And dreamed of para-, para-, paradise
Para-, para-, paradise
Para-, para-, paradise
Every time she closed her eyes

Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh

When she was just a girl
She expected the world
But it flew away from her reach
And the bullets catch in her teeth

Life goes on, it gets so heavy
The wheel breaks the butterfly
Every tear, a waterfall
In the night, the stormy night, she'd close her eyes
In the night, the stormy night, away she'd fly

And dream of para-, para-, paradise
Para-, para-, paradise
Para-, para-, paradise
Oh, oh-oh, oh-oh, oh-oh-oh
She'd dream of para-, para-, paradise
Para-, para-, paradise
Para-, para-, paradise
Oh, oh-oh, oh-oh, oh-oh-oh

La, la-la, la-la-la
La, la-la, la-la-la
La, la-la, la-la-la, la-la
So lying underneath those stormy skies
She said, ""Oh, oh-oh-oh-oh, I know the sun must set to rise""

This could be para-, para-, paradise
Para-, para-, paradise
This could be para-, para-, paradise
Oh, oh-oh, oh-oh, oh-oh-oh
This could be para-, para-paradise
Para-, para-, paradise
This could be para-, para-, paradise
Oh, oh-oh, oh-oh, oh-oh-oh

This could be para-, para-, paradise
This could be para-, para-, paradise
This could be para-, para-, paradise
Oh-oh-oh-oh-oh, oh-oh-oh

Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh"
