word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,655,50,A Rush of Blood to the Head; A Sky Full of Stars; Adventure of a Lifetime; All I Can Think About Is You; Always in My Head; Amsterdam; Arabesque; Champion of the World; Charlie Brown; Church; Clocks; Coloratura; Daddy; Death and All His Friends; Don’t Panic; Everglow; Every Teardrop Is a Waterfall; Everyday Life; Fix You; God Put a Smile upon Your Face; Green Eyes; Higher Power; Hymn for the Weekend; Hypnotised; In My Place; Ink; Let Somebody Go; Magic; Midnight; Miracles (Someone Special); My Universe; O; Orphans; Paradise; Princess of China; Shiver; Sparks; Speed of Sound; Strawberry Swing; The Scientist; Trouble; Trouble in Town; Up&Up; Violet Hill; Viva La Vida; WE PRAY (Single Version); Warning Sign; Yellow; feelslikeimfallinginlove; ♡ (Human Heart),13.1,True,1
you,you,PRON,499,43,A Rush of Blood to the Head; A Sky Full of Stars; Adventure of a Lifetime; All I Can Think About Is You; Always in My Head; Amsterdam; Arabesque; Champion of the World; Church; Clocks; Coloratura; Daddy; Everglow; Every Teardrop Is a Waterfall; Everyday Life; Fix You; God Put a Smile upon Your Face; Green Eyes; Higher Power; Hymn for the Weekend; In My Place; Ink; Let Somebody Go; Magic; Miracles (Someone Special); My Universe; O; Orphans; Princess of China; Shiver; Sparks; Speed of Sound; Strawberry Swing; The Scientist; Trouble; Trouble in Town; Up&Up; Violet Hill; Viva La Vida; WE PRAY (Single Version); Warning Sign; Yellow; feelslikeimfallinginlove,11.6,True,2
oh,oh,INTJ,405,35,A Rush of Blood to the Head; A Sky Full of Stars; Adventure of a Lifetime; Amsterdam; Champion of the World; Church; Clocks; Coloratura; Daddy; Don’t Panic; Everglow; Every Teardrop Is a Waterfall; God Put a Smile upon Your Face; Green Eyes; Higher Power; Hymn for the Weekend; Hypnotised; In My Place; Let Somebody Go; Magic; Miracles (Someone Special); Orphans; Paradise; Princess of China; Shiver; Sparks; The Scientist; Trouble; Trouble in Town; Up&Up; Viva La Vida; WE PRAY (Single Version); Yellow; feelslikeimfallinginlove; ♡ (Human Heart),11.57,False,3
and,and,CCONJ,392,48,A Rush of Blood to the Head; A Sky Full of Stars; Adventure of a Lifetime; Always in My Head; Amsterdam; Arabesque; Champion of the World; Charlie Brown; Church; Clocks; Coloratura; Daddy; Death and All His Friends; Don’t Panic; Everglow; Every Teardrop Is a Waterfall; Everyday Life; Fix You; God Put a Smile upon Your Face; Green Eyes; Higher Power; Hymn for the Weekend; Hypnotised; In My Place; Ink; Let Somebody Go; Magic; Midnight; Miracles (Someone Special); My Universe; O; Orphans; Paradise; Princess of China; Shiver; Sparks; Speed of Sound; The Scientist; Trouble; Trouble in Town; Up&Up; Violet Hill; Viva La Vida; WE PRAY (Single Version); Warning Sign; Yellow; feelslikeimfallinginlove; ♡ (Human Heart),8.17,True,4
the,the,DET,325,46,A Rush of Blood to the Head; A Sky Full of Stars; Adventure of a Lifetime; All I Can Think About Is You; Always in My Head; Amsterdam; Arabesque; Champion of the World; Charlie Brown; Church; Clocks; Coloratura; Daddy; Death and All His Friends; Everglow; Every Teardrop Is a Waterfall; Everyday Life; Fix You; God Put a Smile upon Your Face; Green Eyes; Higher Power; Hymn for the Weekend; Hypnotised; Ink; Let Somebody Go; Midnight; Miracles (Someone Special); My Universe; O; Orphans; Paradise; Princess of China; Shiver; Speed of Sound; Strawberry Swing; The Scientist; Trouble; Trouble in Town; Up&Up; Violet Hill; Viva La Vida; WE PRAY (Single Version); Warning Sign; Yellow; feelslikeimfallinginlove; ♡ (Human Heart),7.07,True,5
a,a,DET,247,41,A Rush of Blood to the Head; A Sky Full of Stars; Adventure of a Lifetime; All I Can Think About Is You; Amsterdam; Champion of the World; Charlie Brown; Church; Clocks; Coloratura; Death and All His Friends; Don’t Panic; Everglow; Every Teardrop Is a Waterfall; God Put a Smile upon Your Face; Green Eyes; Higher Power; Hymn for the Weekend; Hypnotised; Ink; Let Somebody Go; Magic; Midnight; Miracles (Someone Special); My Universe; O; Paradise; Princess of China; Speed of Sound; Strawberry Swing; The Scientist; Trouble; Trouble in Town; Up&Up; Violet Hill; Viva La Vida; WE PRAY (Single Version); Warning Sign; Yellow; feelslikeimfallinginlove; ♡ (Human Heart),6.02,True,6
it,it,PRON,242,37,A Rush of Blood to the Head; A Sky Full of Stars; Adventure of a Lifetime; All I Can Think About Is You; Always in My Head; Amsterdam; Champion of the World; Coloratura; Daddy; Everglow; Every Teardrop Is a Waterfall; Everyday Life; Fix You; God Put a Smile upon Your Face; Green Eyes; Higher Power; Hypnotised; In My Place; Ink; Let Somebody Go; Magic; Miracles (Someone Special); Paradise; Shiver; Sparks; Speed of Sound; Strawberry Swing; The Scientist; Trouble; Trouble in Town; Up&Up; Violet Hill; Viva La Vida; WE PRAY (Single Version); Yellow; feelslikeimfallinginlove; ♡ (Human Heart),6.54,True,7
la,la,PROPN,206,7,Arabesque; Hymn for the Weekend; Paradise; Princess of China; Sparks; WE PRAY (Single Version); feelslikeimfallinginlove,29.43,False,8
to,to,PART,206,45,A Rush of Blood to the Head; Adventure of a Lifetime; All I Can Think About Is You; Always in My Head; Amsterdam; Champion of the World; Charlie Brown; Church; Clocks; Daddy; Death and All His Friends; Don’t Panic; Everglow; Every Teardrop Is a Waterfall; Everyday Life; Fix You; God Put a Smile upon Your Face; Green Eyes; Higher Power; Hymn for the Weekend; Hypnotised; In My Place; Ink; Let Somebody Go; Magic; Miracles (Someone Special); My Universe; O; Orphans; Paradise; Princess of China; Shiver; Speed of Sound; Strawberry Swing; The Scientist; Trouble; Trouble in Town; Up&Up; Violet Hill; Viva La Vida; WE PRAY (Single Version); Warning Sign; Yellow; feelslikeimfallinginlove; ♡ (Human Heart),4.58,True,9
ooh,ooh,PROPN,197,17,A Sky Full of Stars; Charlie Brown; Daddy; Every Teardrop Is a Waterfall; Higher Power; Hymn for the Weekend; Ink; Magic; Orphans; Paradise; Princess of China; Speed of Sound; The Scientist; WE PRAY (Single Version); Yellow; feelslikeimfallinginlove; ♡ (Human Heart),11.59,False,10
