word,artists,artist_count
away,abba|acdc|adele|alphaville|arctic_monkeys|ariana_grande|beyoncé|billie_eilish|bob_dylan|bob_marley_the_wailers|bruno_mars|carpenters|coldplay|david_bowie|depeche_mode|drake|dua_lipa|ed_sheeran|elton_john|elvis_presley|eminem|fleetwood_mac|foo_fighters|frank_ocean|imagine_dragons|johnny_cash|justin_bieber|kanye_west|katy_perry|kendrick_lamar|lady_gaga|lana_del_rey|led_zeppelin|leonard_cohen|lil_nas_x|linkin_park|madonna|metallica|michael_jackson|muse|nirvana|oasis|perry_como|pharrell_williams|pink_floyd|queen|radiohead|red_hot_chili_peppers|rihanna|sam_smith|sia|simon_garfunkel|stevie_wonder|sting|taylor_swift|the_beatles|the_cranberries|the_rolling_stones|the_weeknd|twenty_one_pilots|u2|whitney_houston,62
believe,abba|acdc|adele|alphaville|arctic_monkeys|ariana_grande|beyoncé|billie_eilish|bob_dylan|bob_marley_the_wailers|bruno_mars|carpenters|coldplay|david_bowie|depeche_mode|drake|dua_lipa|ed_sheeran|elton_john|elvis_presley|eminem|fleetwood_mac|foo_fighters|frank_ocean|imagine_dragons|johnny_cash|justin_bieber|kanye_west|katy_perry|kendrick_lamar|lady_gaga|lana_del_rey|led_zeppelin|leonard_cohen|lil_nas_x|linkin_park|madonna|metallica|michael_jackson|muse|nirvana|oasis|perry_como|pharrell_williams|pink_floyd|queen|radiohead|red_hot_chili_peppers|rihanna|sam_smith|sia|simon_garfunkel|stevie_wonder|sting|taylor_swift|the_beatles|the_cranberries|the_rolling_stones|the_weeknd|twenty_one_pilots|u2|whitney_houston,62
break,abba|acdc|adele|alphaville|arctic_monkeys|ariana_grande|beyoncé|billie_eilish|bob_dylan|bob_marley_the_wailers|bruno_mars|carpenters|coldplay|david_bowie|depeche_mode|drake|dua_lipa|ed_sheeran|elton_john|elvis_presley|eminem|fleetwood_mac|foo_fighters|frank_ocean|imagine_dragons|johnny_cash|justin_bieber|kanye_west|katy_perry|kendrick_lamar|lady_gaga|lana_del_rey|led_zeppelin|leonard_cohen|lil_nas_x|linkin_park|madonna|metallica|michael_jackson|muse|nirvana|oasis|perry_como|pharrell_williams|pink_floyd|queen|radiohead|red_hot_chili_peppers|rihanna|sam_smith|sia|simon_garfunkel|stevie_wonder|sting|taylor_swift|the_beatles|the_cranberries|the_rolling_stones|the_weeknd|twenty_one_pilots|u2|whitney_houston,62
change,abba|acdc|adele|alphaville|arctic_monkeys|ariana_grande|beyoncé|billie_eilish|bob_dylan|bob_marley_the_wailers|bruno_mars|carpenters|coldplay|david_bowie|depeche_mode|drake|dua_lipa|ed_sheeran|elton_john|elvis_presley|eminem|fleetwood_mac|foo_fighters|frank_ocean|imagine_dragons|johnny_cash|justin_bieber|kanye_west|katy_perry|kendrick_lamar|lady_gaga|lana_del_rey|led_zeppelin|leonard_cohen|lil_nas_x|linkin_park|madonna|metallica|michael_jackson|muse|nirvana|oasis|perry_como|pharrell_williams|pink_floyd|queen|radiohead|red_hot_chili_peppers|rihanna|sam_smith|sia|simon_garfunkel|stevie_wonder|sting|taylor_swift|the_beatles|the_cranberries|the_rolling_stones|the_weeknd|twenty_one_pilots|u2|whitney_houston,62
come,abba|acdc|adele|alphaville|arctic_monkeys|ariana_grande|beyoncé|billie_eilish|bob_dylan|bob_marley_the_wailers|bruno_mars|carpenters|coldplay|david_bowie|depeche_mode|drake|dua_lipa|ed_sheeran|elton_john|elvis_presley|eminem|fleetwood_mac|foo_fighters|frank_ocean|imagine_dragons|johnny_cash|justin_bieber|kanye_west|katy_perry|kendrick_lamar|lady_gaga|lana_del_rey|led_zeppelin|leonard_cohen|lil_nas_x|linkin_park|madonna|metallica|michael_jackson|muse|nirvana|oasis|perry_como|pharrell_williams|pink_floyd|queen|radiohead|red_hot_chili_peppers|rihanna|sam_smith|sia|simon_garfunkel|stevie_wonder|sting|taylor_swift|the_beatles|the_cranberries|the_rolling_stones|the_weeknd|twenty_one_pilots|u2|whitney_houston,62
cry,abba|acdc|adele|alphaville|arctic_monkeys|ariana_grande|beyoncé|billie_eilish|bob_dylan|bob_marley_the_wailers|bruno_mars|carpenters|coldplay|david_bowie|depeche_mode|drake|dua_lipa|ed_sheeran|elton_john|elvis_presley|eminem|fleetwood_mac|foo_fighters|frank_ocean|imagine_dragons|johnny_cash|justin_bieber|kanye_west|katy_perry|kendrick_lamar|lady_gaga|lana_del_rey|led_zeppelin|leonard_cohen|lil_nas_x|linkin_park|madonna|metallica|michael_jackson|muse|nirvana|oasis|perry_como|pharrell_williams|pink_floyd|queen|radiohead|red_hot_chili_peppers|rihanna|sam_smith|sia|simon_garfunkel|stevie_wonder|sting|taylor_swift|the_beatles|the_cranberries|the_rolling_stones|the_weeknd|twenty_one_pilots|u2|whitney_houston,62
day,abba|acdc|adele|alphaville|arctic_monkeys|ariana_grande|beyoncé|billie_eilish|bob_dylan|bob_marley_the_wailers|bruno_mars|carpenters|coldplay|david_bowie|depeche_mode|drake|dua_lipa|ed_sheeran|elton_john|elvis_presley|eminem|fleetwood_mac|foo_fighters|frank_ocean|imagine_dragons|johnny_cash|justin_bieber|kanye_west|katy_perry|kendrick_lamar|lady_gaga|lana_del_rey|led_zeppelin|leonard_cohen|lil_nas_x|linkin_park|madonna|metallica|michael_jackson|muse|nirvana|oasis|perry_como|pharrell_williams|pink_floyd|queen|radiohead|red_hot_chili_peppers|rihanna|sam_smith|sia|simon_garfunkel|stevie_wonder|sting|taylor_swift|the_beatles|the_cranberries|the_rolling_stones|the_weeknd|twenty_one_pilots|u2|whitney_houston,62
die,abba|acdc|adele|alphaville|arctic_monkeys|ariana_grande|beyoncé|billie_eilish|bob_dylan|bob_marley_the_wailers|bruno_mars|carpenters|coldplay|david_bowie|depeche_mode|drake|dua_lipa|ed_sheeran|elton_john|elvis_presley|eminem|fleetwood_mac|foo_fighters|frank_ocean|imagine_dragons|johnny_cash|justin_bieber|kanye_west|katy_perry|kendrick_lamar|lady_gaga|lana_del_rey|led_zeppelin|leonard_cohen|lil_nas_x|linkin_park|madonna|metallica|michael_jackson|muse|nirvana|oasis|perry_como|pharrell_williams|pink_floyd|queen|radiohead|red_hot_chili_peppers|rihanna|sam_smith|sia|simon_garfunkel|stevie_wonder|sting|taylor_swift|the_beatles|the_cranberries|the_rolling_stones|the_weeknd|twenty_one_pilots|u2|whitney_houston,62
dream,abba|acdc|adele|alphaville|arctic_monkeys|ariana_grande|beyoncé|billie_eilish|bob_dylan|bob_marley_the_wailers|bruno_mars|carpenters|coldplay|david_bowie|depeche_mode|drake|dua_lipa|ed_sheeran|elton_john|elvis_presley|eminem|fleetwood_mac|foo_fighters|frank_ocean|imagine_dragons|johnny_cash|justin_bieber|kanye_west|katy_perry|kendrick_lamar|lady_gaga|lana_del_rey|led_zeppelin|leonard_cohen|lil_nas_x|linkin_park|madonna|metallica|michael_jackson|muse|nirvana|oasis|perry_como|pharrell_williams|pink_floyd|queen|radiohead|red_hot_chili_peppers|rihanna|sam_smith|sia|simon_garfunkel|stevie_wonder|sting|taylor_swift|the_beatles|the_cranberries|the_rolling_stones|the_weeknd|twenty_one_pilots|u2|whitney_houston,62
eye,abba|acdc|adele|alphaville|arctic_monkeys|ariana_grande|beyoncé|billie_eilish|bob_dylan|bob_marley_the_wailers|bruno_mars|carpenters|coldplay|david_bowie|depeche_mode|drake|dua_lipa|ed_sheeran|elton_john|elvis_presley|eminem|fleetwood_mac|foo_fighters|frank_ocean|imagine_dragons|johnny_cash|justin_bieber|kanye_west|katy_perry|kendrick_lamar|lady_gaga|lana_del_rey|led_zeppelin|leonard_cohen|lil_nas_x|linkin_park|madonna|metallica|michael_jackson|muse|nirvana|oasis|perry_como|pharrell_williams|pink_floyd|queen|radiohead|red_hot_chili_peppers|rihanna|sam_smith|sia|simon_garfunkel|stevie_wonder|sting|taylor_swift|the_beatles|the_cranberries|the_rolling_stones|the_weeknd|twenty_one_pilots|u2|whitney_houston,62
