"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Space Oddity","David Bowie","Nothing Has Changed","","July 11, 1969","1721069","215","33","","https://genius.com/David-bowie-space-oddity-lyrics","112817","Ground Control to Major Tom
Ground Control to Major Tom
Take your protein pills and put your helmet on
(Ten) Ground Control (Nine) to Major Tom (Eight, seven)
(Six) Commencing (Five) countdown, engines on
(Four, three, two)
Check ignition (One) and may God's love (Lift off) be with you

This is Ground Control to Major Tom
You've really made the grade
And the papers want to know whose shirts you wear
Now it's time to leave the capsule if you dare
This is Major Tom to Ground Control
I'm stepping through the door
And I'm floating in a most peculiar way
And the stars look very different today

For here, am I sitting in a tin can
Far, above the world
Planet Earth is blue
And there's nothing I can do

Though I'm past one hundred thousand miles
I'm feeling very still
And I think my spaceship knows which way to go
Tell my wife I love her very much, she knows

Ground Control to Major Tom
Your circuit's dead, there's something wrong
Can you hear me, Major Tom?
Can you hear me, Major Tom?
Can you hear me, Major Tom?
Can you-

Here, am I floating 'round my tin can
Far, above the moon
Planet Earth is blue
And there's nothing I can do"
"2","Starman","David Bowie","The Singles 1969 to 1993 (Featuring His Greatest Hits)","","April 28, 1972","1315642","367","56","","https://genius.com/David-bowie-starman-lyrics","79216","Hey now, now
Goodbye, love

Didn't know what time it was; the lights were low
I leaned back on my radio
Some cat was layin' down some rock 'n' roll, ""Lotta soul,"" he said
Then the loud sound did seem to fade
Came back like a slow voice on a wave of phase
That weren't no DJ, that was hazy cosmic jive

There's a starman waitin' in the sky
He'd like to come and meet us
But he thinks he'd blow our minds
There's a starman waitin' in the sky
He's told us not to blow it
'Cause he knows it's all worthwhile

He told me
""Let the children lose it
Let the children use it
Let all the children boogie""

I had to phone someone, so I picked on you
Hey, that's far out, so you heard him too
Switch on the TV, we may pick him up on Channel Two
Look out your window, I can see his light
If we can sparkle, he may land tonight
Don't tell your poppa, or he'll get us locked up in fright

There's a starman waitin' in the sky
He'd like to come and meet us
But he thinks he'd blow our minds
There's a starman waitin' in the sky
He's told us not to blow it
'Cause he knows it's all worthwhile

He told me
""Let the children lose it
Let the children use it
Let all the children boogie""

Starman waitin' in the sky
He'd like to come and meet us
But he thinks he'd blow our minds
There's a starman waitin' in the sky
He's told us not to blow it
'Cause he knows it's all worthwhile

He told me
""Let the children lose it
Let the children use it
Let all the children boogie""

La, la, la, la-la
La, la, la-la, la, la, la-la
La, la, la-la, la, la, la-la
La, la, la-la, la, la, la-la
La, la, la-la, la, la, la-la
La, la, la-la, la, la, la-la
La, la, la-la, la, la, la-la
La, la, la-la, la, la, la-la
La, la, la-la, la, la, la-la
La, la, la-la, la, la, la-la
La, la, la-la, la, la, la-la
La, la, la-la, la, la, la-la"
"3","“Heroes”","David Bowie","Changesbowie","","September 23, 1977","1020337","264","40","","https://genius.com/David-bowie-heroes-lyrics","117078","I, I will be king
And you, you will be queen

Though nothing will drive them away
We can beat them, just for one day
We can be heroes, just for one day

And you, you can be mean
And I, I'll drink all the time
'Cause we're lovers, and that is a fact
Yes, we're lovers, and that is that

Though nothing will keep us together
We could steal time, just for one day
We can be heroes, forever and ever
What d'ya say?

I, I wish you could swim
Like the dolphins, like dolphins can swim

Though nothing, nothing will keep us together
We can beat them forever and ever
Oh, we can be heroes, just for one day

I, I will be king
And you, you will be queen

Though nothing will drive them away
We can be heroes, just for one day
We can be us, just for one day

I, I can remember (I remember)
Standing by the wall (By the wall)
And the guns shot above our heads (Over our heads)
And we kissed as though nothing could fall (Nothing could fall)

And the shame was on the other side
Oh, we can beat them forever and ever
Then we can be heroes, just for one day

We can be heroes
We can be heroes
We can be heroes, just for one day
We can be heroes

We are nothing, and nothing will help us
Maybe we're lying, then you better not stay
But we could be safer, just for one day

Oh-oh-oh-oh
Oh-oh-oh-oh
Just for one day"
"4","★ (Blackstar)","David Bowie","I Can’t Give Everything Away (2002-2016)","","November 8, 2015","878013","394","57","","https://genius.com/David-bowie-blackstar-lyrics","2370807","In the villa of Ormen, in the villa of Ormen
Stands a solitary candle, ah-ah, ah-ah
In the centre of it all, in the centre of it all
Your eyes

On the day of execution, on the day of execution
Only women kneel and smile, ah-ah, ah-ah
At the centre of it all, at the centre of it all
Your eyes, your eyes
Ah-ah-ah
​

Ah-ah-ah
In the villa of Ormen, in the villa of Ormen
Stands a solitary candle, ah-ah, ah-ah
At the centre of it all, at the centre of it all
Your eyes, your eyes
Ah-ah-ah

Something happened on the day he died
Spirit rose a metre and stepped aside
Somebody else took his place, and bravely cried
(I'm a blackstar, I'm a blackstar)

How many times does an angel fall?
How many people lie instead of talking tall?
He trod on sacred ground, he cried loud into the crowd
(I'm a blackstar, I'm a blackstar)
(I'm not a gangstar)
​

I can't answer why (I'm a blackstar)
Just go with me (I'm not a filmstar)
I'ma take you home (I'm a blackstar)
Take your passport and shoes (I'm not a popstar)
And your sedatives, boo (I'm a blackstar)
You're a flash in the pan (I'm not a marvel star)
I'm the Great I Am (I'm a blackstar)
​

I'm a blackstar, way up, on money, I've got game
I see right, so wide, so open-hearted pain
I want eagles in my daydreams, diamonds in my eyes
(I'm a blackstar, I'm a blackstar)

Something happened on the day he died
Spirit rose a metre then stepped aside
Somebody else took his place, and bravely cried
(I'm a blackstar, I'm a star's star, I'm a blackstar)

I can't answer why (I'm not a gangstar)
But I can tell you how (I'm not a flam star)
We were born upside-down (I'm a star's star)
Born the wrong way 'round (I’m not a white star)
I'm a blackstar,I'm not a gangstar
I'm a blackstar, I'm a blackstar
I'm not a pornstar, I'm not a wandering star
I'm a blackstar, I’m a blackstar

In the villa of Ormen stands a solitary candle
Ah-ah, ah-ah
At the centre of it all, your eyes

On the day of execution, only women kneel and smile
Ah-ah, ah-ah
At the centre of it all, your eyes, your eyes
Ah-ah-ah"
"5","Life on Mars?","David Bowie","Nothing Has Changed","","June 17, 1971","774926","254","38","","https://genius.com/David-bowie-life-on-mars-lyrics","99039","It's a god-awful small affair
To the girl with the mousy hair
But her mummy is yelling, ""No!""
And her daddy has told her to go
But her friend is nowhere to be seen
Now she walks through her sunken dream
To the seat with the clearest view
And she's hooked to the silver screen

But the film is a saddening bore
For she's lived it ten times or more
She could spit in the eyes of fools
As they ask her to focus on

Sailors fighting in the dance hall
Oh, man, look at those cavemen go
It's the freakiest show
Take a look at the lawman, beating up the wrong guy
Oh, man, wonder if he'll ever know
He's in the best-selling show
Is there life on Mars?

It's on America's tortured brow
That Mickey Mouse has grown up a cow
Now the workers have struck for fame
'Cause Lennon's on sale again
See the mice in their million hordes
From Ibiza to the Norfolk Broads
Rule Britannia is out of bounds
To my mother, my dog, and clowns

But the film is a saddening bore
Because I wrote it ten times or more
It's about to be writ again
As I ask you to focus on

Sailors fighting in the dance hall
Oh, man, look at those cavemen go
It's the freakiest show
Take a look at the lawman, beating up the wrong guy
Oh, man, wonder if he'll ever know
He's in the best-selling show
Is there life on Mars?"
"6","Changes","David Bowie","Sound + Vision [2003 Version]","","January 7, 1972","588229","271","38","","https://genius.com/David-bowie-changes-lyrics","161579","Oh, yeah
Mmm

Still don't know what I was waiting for
And my time was running wild, a million dead-end streets
And every time I thought I'd got it made
It seemed the taste was not so sweet
So I turned myself to face me
But I've never caught a glimpse
Of how the others must see the faker
I'm much too fast to take that test

Ch-ch-ch-ch-changes, turn and face the strange
Ch-ch-changes, don't want to be a richer man
Ch-ch-ch-ch-changes, turn and face the strange
Ch-ch-changes, just gonna have to be a different man
Time may change me, but I can't trace time

Ooh, yeah

I watch the ripples change their size
But never leave the stream of warm impermanence and
So the days float through my eyes
But still, the days seem the same
And these children that you spit on
As they try to change their worlds
Are immune to your consultations
They're quite aware of what they're going through

Ch-ch-ch-ch-changes, turn and face the strange
Ch-ch-changes, don't tell them to grow up and out of it
Ch-ch-ch-ch-changes, turn and face the strange
Ch-ch-changes, where's your shame?
You've left us up to our necks in it
Time may change me, but you can't trace time

Strange fascination, fascinating me
Ah, changes are taking the pace I'm going through

Ch-ch-ch-ch-changes, turn and face the strange
Ch-ch-changes, ooh, look out you rock 'n' rollers
Ch-ch-ch-ch-changes, turn and face the strange
Ch-ch-changes, pretty soon now you're gonna get older
Time may change me, but I can't trace time
I said that time may change me, but I can't trace time"
"7","Lazarus","David Bowie","I Can’t Give Everything Away (2002-2016)","","December 15, 2015","573129","119","17","","https://genius.com/David-bowie-lazarus-lyrics","2392498","Look up here, I'm in heaven
I've got scars that can't be seen
I've got drama, can't be stolen
Everybody knows me now

Look up here, man, I'm in danger
I've got nothing left to lose
I'm so high, it makes my brain whirl
Dropped my cell phone down below
Ain't that just like me?

By the time I got to New York
I was living like a king
There I used up all my money
I was looking for your ass

This way or no way, you know I'll be free
Just like that bluebird now, ain't that just like me?
Oh, I'll be free, just like that bluebird
Oh, I'll be free, ain't that just like me?"
"8","The Man Who Sold the World","David Bowie","Sound + Vision [2003 Version]","","November 4, 1970","547604","142","28","","https://genius.com/David-bowie-the-man-who-sold-the-world-lyrics","80265","We passed upon the stair
We spoke of was and when
Although I wasn't there
He said I was his friend
Which came as some surprise
I spoke into his eyes
""I thought you died alone
A long, long time ago""

Oh no, not me
I never lost control
You're face to face
With the man who sold the world

I laughed and shook his hand
And made my way back home
I searched for form and land
For years and years, I roamed
I gazed a gazely stare
At all the millions here
We must have died alone
A long, long time ago

Who knows? Not me
We never lost control
You're face to face
With the man who sold the world
Who knows? Not me
We never lost control
You're face to face
With the man who sold the world"
"9","Ziggy Stardust","David Bowie","Nothing Has Changed","","June 16, 1972","405244","179","29","","https://genius.com/David-bowie-ziggy-stardust-lyrics","146234","Oh
Oh yeah
Ah

Now Ziggy played guitar, jamming good with Weird and Gilly
And the Spiders from Mars
He played it left hand, but made it too far
Became the special man, then we were Ziggy's band

Ziggy really sang, screwed up eyes, and screwed down hairdo
Like some cat from Japan
He could lick 'em by smiling, he could leave 'em to hang
He came on so loaded, man, well-hung and snow-white tan

So where were the spiders
While the fly tried to break our balls?
Just the beer light to guide us
So we bitched about his fans
And should we crush his sweet hands?
Oh

Ziggy played for time, jiving us that we were voodoo
The kids were just crass, he was the nazz
With God-given ass, he took it all too far
But boy, could he play guitar

Making love with his ego
Ziggy sucked up into his mind (Ah)
Like a leper messiah
When the kids had killed the man
I had to break up the band

Oh yeah
Ooh
Ziggy played guitar"
"10","Moonage Daydream","David Bowie","Sound + Vision [2003 Version]","","June 16, 1972","375894","292","36","","https://genius.com/David-bowie-moonage-daydream-lyrics","174792","I'm an alligator, I'm a mama-papa coming for you
I'm a space invader, I'll be a rock 'n' rollin' bitch for you
Keep your mouth shut, you're squawking like a pink monkey bird
And I'm busting up my brains for the words

Keep your 'lectric eye on me, babe
Put your ray gun to my head
Press your space face close to mine, love
Freak out in a moonage daydream, oh yeah

Don't fake it, baby, lay the real thing on me
The church of man, love, is such a holy place to be
Make me, baby, make me know you really care
Make me jump into the air

Keep your 'lectric eye on me, babe
Put your ray gun to my head
Press your space face close to mine, love
Freak out in a moonage daydream, oh yeah

Keep your 'lectric eye on me, babe
Put your ray gun to my head
Press your space face close to mine, love
Freak out in a moonage daydream, oh-
Keep your 'lectric eye on me, babe
(Keep your 'lectric eye on me, babe)
('Lectric eye on me babe)
Put your ray gun to my head
(Put your ray gun to my head)
(Ray gun to my head)
Press your space face close to mine, love
(Press your space face close to mine, love)
(Press your space face close to mine, love)
Freak out in a moonage daydream, oh yeah
(Freak out in a moonage daydream, oh yeah)
(Freak out in a moonage daydream
Oh yeah, oh yeah, oh yeah, oh yeah, oh yeah...)

Freak out (Freak out, freak out, freak out, freak out...)
Far out (Far out, far out, far out, far out...)
In out (In out, in out, in out, in out...)"
