word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,532,50,Ashes to Ashes; Cat People (Putting Out Fire); Changes; China Girl; Diamond Dogs; Dollar Days; Drive-In Saturday; Fame; Fashion; Five Years; Girl Loves Me; Golden Years; Hang On to Yourself; I Can’t Give Everything Away; It Ain’t Easy; I’m Afraid of Americans; Lady Grinning Soul; Lady Stardust; Lazarus; Let’s Dance; Life on Mars?; Magic Dance; Modern Love; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rebel Rebel; Rock ‘n’ Roll Suicide; Scary Monsters (and Super Creeps); Soul Love; Sound and Vision; Space Oddity; Star; Starman; Station to Station; Sue (Or in a Season of Crime); Suffragette City; Sweet Thing; The Jean Genie; The Man Who Sold the World; The Next Day; Time; Valentine’s Day; Where Are We Now?; Young Americans; Ziggy Stardust; ’Tis a Pity She Was a Whore; “Heroes”; ★ (Blackstar),10.64,True,1
i,i,PRON,435,46,Ashes to Ashes; Cat People (Putting Out Fire); Changes; China Girl; Diamond Dogs; Dollar Days; Drive-In Saturday; Fame; Fashion; Five Years; Girl Loves Me; Golden Years; I Can’t Give Everything Away; It Ain’t Easy; I’m Afraid of Americans; Lady Stardust; Lazarus; Let’s Dance; Life on Mars?; Magic Dance; Modern Love; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rebel Rebel; Rock ‘n’ Roll Suicide; Scary Monsters (and Super Creeps); Soul Love; Sound and Vision; Space Oddity; Star; Starman; Station to Station; Sue (Or in a Season of Crime); Suffragette City; Sweet Thing; The Man Who Sold the World; The Next Day; Time; Where Are We Now?; Young Americans; Ziggy Stardust; ’Tis a Pity She Was a Whore; “Heroes”; ★ (Blackstar),9.46,True,2
and,and,CCONJ,306,45,Ashes to Ashes; Cat People (Putting Out Fire); Changes; China Girl; Diamond Dogs; Dollar Days; Drive-In Saturday; Fashion; Five Years; Girl Loves Me; Golden Years; Hang On to Yourself; I Can’t Give Everything Away; It Ain’t Easy; I’m Afraid of Americans; Lady Grinning Soul; Lady Stardust; Let’s Dance; Life on Mars?; Magic Dance; Modern Love; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rebel Rebel; Rock ‘n’ Roll Suicide; Scary Monsters (and Super Creeps); Soul Love; Sound and Vision; Space Oddity; Star; Starman; Station to Station; Suffragette City; Sweet Thing; The Jean Genie; The Man Who Sold the World; The Next Day; Time; Valentine’s Day; Young Americans; Ziggy Stardust; “Heroes”; ★ (Blackstar),6.8,True,3
you,you,PRON,293,41,Ashes to Ashes; Cat People (Putting Out Fire); Changes; China Girl; Diamond Dogs; Dollar Days; Fame; Fashion; Five Years; Girl Loves Me; Golden Years; Hang On to Yourself; It Ain’t Easy; Lady Grinning Soul; Lazarus; Let’s Dance; Life on Mars?; Magic Dance; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rebel Rebel; Rock ‘n’ Roll Suicide; Scary Monsters (and Super Creeps); Sound and Vision; Space Oddity; Star; Starman; Station to Station; Sue (Or in a Season of Crime); Suffragette City; Sweet Thing; The Jean Genie; The Man Who Sold the World; The Next Day; Time; Where Are We Now?; Young Americans; “Heroes”; ★ (Blackstar),7.15,True,4
s,'s,PART,278,39,Ashes to Ashes; Cat People (Putting Out Fire); Changes; China Girl; Diamond Dogs; Dollar Days; Drive-In Saturday; Fame; Fashion; Five Years; Girl Loves Me; Golden Years; Hang On to Yourself; I Can’t Give Everything Away; It Ain’t Easy; I’m Afraid of Americans; Let’s Dance; Life on Mars?; Magic Dance; Modern Love; Queen Bitch; Quicksand; Rebel Rebel; Rock ‘n’ Roll Suicide; Scary Monsters (and Super Creeps); Sound and Vision; Space Oddity; Starman; Station to Station; Sue (Or in a Season of Crime); Suffragette City; Sweet Thing; The Jean Genie; The Next Day; Time; Valentine’s Day; Where Are We Now?; Young Americans; Ziggy Stardust,7.13,True,5
to,to,ADP,264,42,Ashes to Ashes; Changes; China Girl; Diamond Dogs; Dollar Days; Drive-In Saturday; Fame; Fashion; Five Years; Girl Loves Me; Hang On to Yourself; It Ain’t Easy; I’m Afraid of Americans; Lady Stardust; Lazarus; Let’s Dance; Life on Mars?; Magic Dance; Modern Love; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rock ‘n’ Roll Suicide; Scary Monsters (and Super Creeps); Soul Love; Sound and Vision; Space Oddity; Star; Starman; Station to Station; Sue (Or in a Season of Crime); Suffragette City; Sweet Thing; The Jean Genie; The Man Who Sold the World; The Next Day; Time; Valentine’s Day; Where Are We Now?; Young Americans; Ziggy Stardust,6.29,True,6
a,a,DET,250,44,Ashes to Ashes; Cat People (Putting Out Fire); Changes; China Girl; Diamond Dogs; Drive-In Saturday; Fame; Fashion; Five Years; Girl Loves Me; Golden Years; Hang On to Yourself; It Ain’t Easy; I’m Afraid of Americans; Lady Grinning Soul; Lady Stardust; Lazarus; Let’s Dance; Life on Mars?; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rebel Rebel; Rock ‘n’ Roll Suicide; Scary Monsters (and Super Creeps); Soul Love; Space Oddity; Star; Starman; Station to Station; Sue (Or in a Season of Crime); Suffragette City; Sweet Thing; The Jean Genie; The Man Who Sold the World; The Next Day; Time; Where Are We Now?; Young Americans; Ziggy Stardust; ’Tis a Pity She Was a Whore; “Heroes”; ★ (Blackstar),5.68,True,7
it,it,PRON,224,38,Ashes to Ashes; Cat People (Putting Out Fire); Changes; China Girl; Diamond Dogs; Dollar Days; Drive-In Saturday; Fame; Fashion; Five Years; Golden Years; Hang On to Yourself; It Ain’t Easy; I’m Afraid of Americans; Lady Stardust; Lazarus; Life on Mars?; Modern Love; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rebel Rebel; Rock ‘n’ Roll Suicide; Soul Love; Space Oddity; Star; Starman; Station to Station; Sue (Or in a Season of Crime); Suffragette City; Sweet Thing; The Next Day; Time; Valentine’s Day; Young Americans; Ziggy Stardust; ★ (Blackstar),5.89,True,8
oh,oh,INTJ,186,24,Ashes to Ashes; Changes; China Girl; Diamond Dogs; Fashion; Golden Years; Hang On to Yourself; Lady Grinning Soul; Lady Stardust; Lazarus; Life on Mars?; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Rock ‘n’ Roll Suicide; Scary Monsters (and Super Creeps); Station to Station; Sue (Or in a Season of Crime); Suffragette City; The Jean Genie; The Man Who Sold the World; Time; Ziggy Stardust; “Heroes”,7.75,False,9
n't,not,PART,179,35,Ashes to Ashes; Cat People (Putting Out Fire); Changes; China Girl; Diamond Dogs; Dollar Days; Drive-In Saturday; Fashion; Five Years; Golden Years; Hang On to Yourself; I Can’t Give Everything Away; It Ain’t Easy; I’m Afraid of Americans; Lady Grinning Soul; Lazarus; Modern Love; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rebel Rebel; Rock ‘n’ Roll Suicide; Scary Monsters (and Super Creeps); Sound and Vision; Starman; Station to Station; Sue (Or in a Season of Crime); Suffragette City; Sweet Thing; The Jean Genie; The Man Who Sold the World; The Next Day; Young Americans; ★ (Blackstar),5.11,True,10
on,on,ADP,175,40,Changes; Diamond Dogs; Dollar Days; Drive-In Saturday; Fame; Fashion; Five Years; Girl Loves Me; Hang On to Yourself; It Ain’t Easy; I’m Afraid of Americans; Lady Grinning Soul; Lady Stardust; Let’s Dance; Life on Mars?; Magic Dance; Modern Love; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rebel Rebel; Rock ‘n’ Roll Suicide; Soul Love; Space Oddity; Star; Starman; Station to Station; Sue (Or in a Season of Crime); Suffragette City; Sweet Thing; The Jean Genie; The Next Day; Time; Where Are We Now?; Young Americans; Ziggy Stardust; ’Tis a Pity She Was a Whore; “Heroes”; ★ (Blackstar),4.38,True,11
in,in,ADP,167,37,Ashes to Ashes; Changes; China Girl; Diamond Dogs; Drive-In Saturday; Fame; Five Years; Girl Loves Me; Golden Years; It Ain’t Easy; I’m Afraid of Americans; Lady Stardust; Lazarus; Let’s Dance; Life on Mars?; Modern Love; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rebel Rebel; Rock ‘n’ Roll Suicide; Scary Monsters (and Super Creeps); Soul Love; Space Oddity; Star; Starman; Station to Station; Sue (Or in a Season of Crime); Sweet Thing; The Jean Genie; The Next Day; Time; Valentine’s Day; Where Are We Now?; Young Americans; ★ (Blackstar),4.51,True,12
la,la,PROPN,165,3,Fashion; Starman; Time,55.0,False,13
me,i,PRON,152,35,Ashes to Ashes; Cat People (Putting Out Fire); Changes; China Girl; Diamond Dogs; Dollar Days; Drive-In Saturday; Fame; Fashion; Girl Loves Me; Golden Years; It Ain’t Easy; Lazarus; Magic Dance; Modern Love; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rebel Rebel; Rock ‘n’ Roll Suicide; Scary Monsters (and Super Creeps); Space Oddity; Starman; Station to Station; Suffragette City; Sweet Thing; The Man Who Sold the World; The Next Day; Time; Valentine’s Day; Where Are We Now?; Young Americans; ’Tis a Pity She Was a Whore; ★ (Blackstar),4.34,True,14
do,do,VERB,152,28,Ashes to Ashes; Cat People (Putting Out Fire); Changes; Dollar Days; Drive-In Saturday; Fashion; Five Years; Golden Years; Hang On to Yourself; I’m Afraid of Americans; Lady Grinning Soul; Magic Dance; Modern Love; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rebel Rebel; Rock ‘n’ Roll Suicide; Scary Monsters (and Super Creeps); Sound and Vision; Space Oddity; Star; Starman; Suffragette City; The Next Day; Where Are We Now?; Young Americans,5.43,True,15
of,of,ADP,148,34,Ashes to Ashes; Cat People (Putting Out Fire); Changes; China Girl; Diamond Dogs; Fashion; Five Years; Golden Years; It Ain’t Easy; I’m Afraid of Americans; Lady Grinning Soul; Lady Stardust; Life on Mars?; Magic Dance; Modern Love; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rebel Rebel; Scary Monsters (and Super Creeps); Soul Love; Sound and Vision; Starman; Station to Station; Sue (Or in a Season of Crime); Suffragette City; Sweet Thing; The Man Who Sold the World; The Next Day; Time; Valentine’s Day; Young Americans; ★ (Blackstar),4.35,True,16
m,be,AUX,132,23,Ashes to Ashes; Changes; China Girl; Diamond Dogs; Dollar Days; Girl Loves Me; Golden Years; I’m Afraid of Americans; Lazarus; Modern Love; Moonage Daydream; Queen Bitch; Quicksand; Rebel Rebel; Space Oddity; Star; Station to Station; Sue (Or in a Season of Crime); Suffragette City; Sweet Thing; The Next Day; Time; ★ (Blackstar),5.74,True,17
my,my,PRON,123,34,Ashes to Ashes; Cat People (Putting Out Fire); Changes; China Girl; Drive-In Saturday; Five Years; Golden Years; Hang On to Yourself; I Can’t Give Everything Away; Lazarus; Let’s Dance; Life on Mars?; Magic Dance; Modern Love; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Quicksand; Rock ‘n’ Roll Suicide; Scary Monsters (and Super Creeps); Soul Love; Sound and Vision; Space Oddity; Star; Starman; Station to Station; Suffragette City; Sweet Thing; The Man Who Sold the World; The Next Day; Time; Young Americans; ’Tis a Pity She Was a Whore; ★ (Blackstar),3.62,True,18
your,your,PRON,117,24,Changes; China Girl; Diamond Dogs; Drive-In Saturday; Fame; Five Years; Lady Grinning Soul; Lazarus; Let’s Dance; Moonage Daydream; Oh! You Pretty Things; Queen Bitch; Rebel Rebel; Rock ‘n’ Roll Suicide; Space Oddity; Starman; Station to Station; Sue (Or in a Season of Crime); Sweet Thing; The Jean Genie; Time; Young Americans; ’Tis a Pity She Was a Whore; ★ (Blackstar),4.88,True,19
she,she,PRON,115,18,China Girl; Diamond Dogs; Drive-In Saturday; Five Years; Hang On to Yourself; It Ain’t Easy; Lady Grinning Soul; Life on Mars?; Queen Bitch; Rebel Rebel; Scary Monsters (and Super Creeps); Soul Love; Space Oddity; Suffragette City; The Jean Genie; The Next Day; Young Americans; ’Tis a Pity She Was a Whore,6.39,True,20
we,we,PRON,101,22,Ashes to Ashes; Dollar Days; Drive-In Saturday; Fashion; Five Years; Golden Years; Hang On to Yourself; It Ain’t Easy; Let’s Dance; Oh! You Pretty Things; Rebel Rebel; Scary Monsters (and Super Creeps); Starman; Station to Station; Sue (Or in a Season of Crime); The Man Who Sold the World; Time; Where Are We Now?; Young Americans; Ziggy Stardust; “Heroes”; ★ (Blackstar),4.59,True,21
he,he,PRON,100,17,Diamond Dogs; Drive-In Saturday; Five Years; Lady Stardust; Life on Mars?; Queen Bitch; Star; Starman; The Jean Genie; The Man Who Sold the World; The Next Day; Time; Valentine’s Day; Young Americans; Ziggy Stardust; ’Tis a Pity She Was a Whore; ★ (Blackstar),5.88,True,22
all,all,ADV,93,29,Ashes to Ashes; Dollar Days; Five Years; Girl Loves Me; Golden Years; I Can’t Give Everything Away; It Ain’t Easy; Lady Stardust; Lazarus; Let’s Dance; Oh! You Pretty Things; Queen Bitch; Quicksand; Rebel Rebel; Rock ‘n’ Roll Suicide; Soul Love; Sound and Vision; Star; Starman; Suffragette City; The Jean Genie; The Man Who Sold the World; The Next Day; Time; Valentine’s Day; Young Americans; Ziggy Stardust; “Heroes”; ★ (Blackstar),3.21,True,23
