"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Personal Jesus","Depeche Mode","DMBX4: Singles 19-24","","March 19, 1990","312730","180","34","","https://genius.com/Depeche-mode-personal-jesus-lyrics","1846","Reach out and touch faith

Your own personal Jesus
Someone to hear your prayers
Someone who cares
Your own personal Jesus
Someone to hear your prayers
Someone who's there

Feeling unknown and you're all alone
Flesh and bone by the telephone
Lift up the receiver, I'll make you a believer
Take second best, put me to the test
Things on your chest you need to confess
I will deliver, you know I'm a forgiver

Reach out and touch faith
Reach out and touch faith

Your own personal Jesus
Someone to hear your prayers
Someone who cares
Your own personal Jesus
Someone to hear your prayers
Someone who's there

Feeling unknown and you're all alone
Flesh and bone by the telephone
Lift up the receiver, I'll make you a believer
I will deliver, you know I'm a forgiver

Reach out and touch faith
Your own personal Jesus
Reach out and touch faith
Reach out and touch faith
Reach out and touch faith

Reach out and touch faith
Reach out and touch faith
(Reach out, reach out)
Reach out and touch faith"
"2","Everything Counts","Depeche Mode","Construction Time Again (North American CD Edition)","","July 11, 1983","155682","198","37","","https://genius.com/Depeche-mode-everything-counts-lyrics","210339","The handshake seals the contract
From the contract, there's no turning back
The turning point of a career
In Korea being insincere
The holiday was fun-packed
The contract still intact

The grabbing hands grab all they can
All for themselves, after all
The grabbing hands grab all they can
All for themselves, after all
It's a competitive world
Everything counts in large amounts

The graph on the wall
Tells the story of it all
Picture it now, see just how
The lies and deceit gained a little more power
Confidence taken in
By a suntan and a grin

The grabbing hands grab all they can
All for themselves, after all
The grabbing hands grab all they can
All for themselves, after all
It's a competitive world
Everything counts in large amounts
Everything counts in large amounts
Everything counts in large amounts

The grabbing hands grab all they can
Everything counts in large amounts
The grabbing hands grab all they can
Everything counts in large amounts

(Everything, everything)
(Everything, everything)

The grabbing hands grab all they can
Everything counts in large amounts
The grabbing hands grab all they can
Everything counts in large amounts

Everything counts in large amounts"
"3","Strangelove","Depeche Mode","DMBX4: Singles 19-24","","April 13, 1987","146547","298","52","","https://genius.com/Depeche-mode-strangelove-lyrics","329105","There'll be times when my crimes
Will seem almost unforgivable
I give in to sin
Because you have to make this life livable
But when you think I've had enough from your sea of love
I'll take more than another riverful
Yes, and I'll make it all worthwhile
I'll make your heart smile

Strangelove, strange highs and strange lows
Strangelove, that's how my love goes
Strangelove, will you give it to me?

Will you take the pain I will give to you
Again and again and will you return it?

There'll be days when I'll stray
I may appear to be constantly out of reach
I give in to sin
Because I like to practice what I preach
I'm not trying to say I'll have it all my way
I'm always willing to learn when you've got something to teach
Oh, and I'll make it all worthwhile
I'll make your heart smile

Pain, will you return it?
I'll say it again: pain
Pain, will you return it?
I'll say it again: pain
Pain, will you return it?
I'll say it again: pain
Pain, will you return it?
I won't say it again

Strangelove, strange highs and strange lows
Strangelove, that's how my love goes
Strangelove, will you give it to me?
Strangelove, strange highs and strange lows
Strangelove, that's how my love goes
Strangelove, will you give it to me?
Strangelove, strange highs and strange lows
Strangelove, that's how my love goes
Strangelove, will you give it to me?

I give in
Again and again
I give in
Will you give it to me?
I give in
I'll say it again
I give in
I give in
Again and again
I give in
That's how my love goes
I give in
I'll say it again
I give in"
"4","Never Let Me Down Again","Depeche Mode","DMBX4: Singles 19-24","","August 24, 1987","143484","243","34","","https://genius.com/Depeche-mode-never-let-me-down-again-lyrics","424248","I'm taking a ride with my best friend
I hope he never lets me down again
He knows where he's taking me
Taking me where I want to be
I'm taking a ride with my best friend

We're flying high
We're watching the world pass us by
Never want to come down
Never want to put my feet back down on the ground

I'm taking a ride with my best friend
I hope he never lets me down again
Promises me I'm as safe as houses
As long as I remember who's wearing the trousers
I hope he never lets me down again

We're flying high
We're watching the world pass us by
Never want to come down
Never want to put my feet back down on the ground
We're flying high
We're watching the world pass us by
Never want to come down
Never want to put my feet back down on the ground

Never let me down
Never let me down
Never let me down
Never let me down

See the stars, they're shining bright Never let me down
Everything's all right tonight Never let me down
See the stars, they're shining bright Never let me down
Everything's all right tonight Never let me down
See the stars, they're shining bright Never let me down
Everything's all right tonight Never let me down
See the stars, they're shining bright Never let me down
Everything's all right tonight Never let me down"
"5","Just Can’t Get Enough","Depeche Mode","Video Singles Collection","","September 7, 1981","112666","369","67","","https://genius.com/Depeche-mode-just-cant-get-enough-lyrics","224762","When I'm with you, baby
I go out of my head
And I just can't get enough
And I just can't get enough
All the things you do to me
And everything you said
I just can't get enough
I just can't get enough

We slip and slide as we fall in love
And I just can't seem to get enough of

We walk together
We're walking down the street
And I just can't get enough
And I just can't get enough
Every time I think of you
I know we have to meet
And I just can't get enough
And I just can't get enough

It's getting hotter, it's a burning love
And I just can't seem to get enough of

I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough

And when it rains
You're shining down for me
And I just can't get enough
And I just can't get enough
Just like a rainbow
You know you set me free
And I just can't get enough
And I just can't get enough

You're like an angel and you give me your love
And I just can't seem to get enough of

I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough
I just can't get enough..."
"6","Precious","Depeche Mode","Video Singles Collection","","September 30, 2005","111688","161","27","","https://genius.com/Depeche-mode-precious-lyrics","424342","Precious and fragile things
Need special handling
My God, what have we done to you?
We always tried to share
The tenderest of care
Now look what we have put you through

Things get damaged, things get broken
I thought we'd manage
But words left unspoken left us so brittle
There was so little left to give

Angels with silver wings
Shouldn't know suffering
I wish I could take the pain for you
If God has a master plan
That only He understands
I hope it's your eyes He's seeing through

Things get damaged, things get broken
I thought we'd manage
But words left unspoken left us so brittle
There was so little left to give

I pray you learn to trust
Have faith in both of us
And keep room in your hearts for two

Things get damaged, things get broken
I thought we'd manage
But words left unspoken left us so brittle
There was so little left to give"
"7","Policy of Truth","Depeche Mode","DMBX: Singles 25-30","","March 19, 1990","105576","219","44","","https://genius.com/Depeche-mode-policy-of-truth-lyrics","329123","You had something to hide
Should have hidden it, shouldn't you?
Now you're not satisfied
With what you're being put through

It's just time to pay the price
For not listening to advice
And deciding in your youth
On the policy of truth

Things could be so different now
It used to be so civilized
You will always wonder how
It could have been if you'd only lied

It's too late to change events
It's time to face the consequence
For delivering the proof
In the policy of truth

Never again is what you swore
The time before
Never again is what you swore
The time before

Now you're standing there tongue-tied
You'd better learn your lesson well
Hide what you have to hide
And tell what you have to tell

You'll see your problems multiplied
If you continually decide
To faithfully pursue
The policy of truth

Never again is what you swore
The time before
Never again is what you swore
The time before

Never again is what you swore
The time before
Never again is what you swore
The time before
Never again is what you swore
The time before
Never again is what you swore
The time before
Never again is what you swore
The time before
Never again is what you swore
The time before"
"8","Blasphemous Rumours","Depeche Mode","Blasphemous Rumours / Somebody  [single]","","October 29, 1984","103109","307","37","","https://genius.com/Depeche-mode-blasphemous-rumours-lyrics","424231","Girl of sixteen, whole life ahead of her
Slashed her wrists, bored with life
Didn't succeed, thank the Lord
For small mercies

Fighting back the tears, mother reads the note again
Sixteen candles burn in her mind
She takes the blame, it's always the same
She goes down on her knees and prays

I don't want to start any blasphemous rumours
But I think that God's got a sick sense of humour
And when I die, I expect to find him laughing

I don't want to start any blasphemous rumours
But I think that God's got a sick sense of humour
And when I die, I expect to find him laughing

Girl of eighteen fell in love with everything
Found new life in Jesus Christ
Hit by a car, ended up
On a life-support machine

Summer's day, as she passed away
Birds were singing in the summer sky
Then came the rain, and once again
A tear fell from her mother's eye

I don't want to start any blasphemous rumours
But I think that God's got a sick sense of humour
And when I die, I expect to find him laughing
I don't want to start any blasphemous rumours
But I think that God's got a sick sense of humour
And when I die, I expect to find him laughing
I don't want to start any blasphemous rumours
But I think that God's got a sick sense of humour
And when I die, I expect to find him laughing
I don't want to start any blasphemous rumours
But I think that God's got a sick sense of humour
And when I die, I expect to find him laughing
I don't want to start any blasphemous rumours
But I think that God's got a sick sense of humour
And when I die, I expect to find him laughing"
"9","Somebody","Depeche Mode","Some Great Reward","","October 29, 1984","93773","184","20","","https://genius.com/Depeche-mode-somebody-lyrics","424224","I want somebody to share, share the rest of my life
Share my innermost thoughts, know my intimate details
Someone who'll stand by my side and give me support
And in return, she'll get my support
She will listen to me when I want to speak
About the world we live in and life in general
Though my views may be wrong, they may even be perverted
She'll hear me out and won't easily be converted
To my way of thinking, in fact, she'll often disagree
But at the end of it all, she will understand me

I want somebody who cares for me passionately
With every thought and with every breath
Someone who'll help me see things in a different light
All the things I detest I will almost like
I don't want to be tied to anyone's strings
I'm carefully trying to steer clear of those things
But when I'm asleep I want somebody
Who will put their arms around me and kiss me tenderly
Though things like this make me sick
In a case like this, I'll get away with it"
"10","Ghosts Again","Depeche Mode","Memento Mori","","February 9, 2023","82055","89","24","","https://genius.com/Depeche-mode-ghosts-again-lyrics","8449182","Wasted feelings
Broken meanings
Time is fleeting
See what it brings

Hellos, goodbyes, a thousand midnights
Lost in sleepless lullabies

Heaven's dreaming
Thoughtless thoughts, my friends
We know we'll be ghosts again

Sunday's shining
Silver linings
Weightless hours
All my flowers

A place to hide the tears that you cried
Everybody says goodbye

Faith is sleeping
Lovers, in the end
Whisper we'll be ghosts again

Heaven's dreaming
Thoughtless thoughts, my friends
We know we'll be ghosts again

Faith is sleeping
Lovers, in the end
Whisper we'll be ghosts again"
