word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,428,46,A Pain That I’m Used To; A Question of Lust; A Question of Time; Barrel of a Gun; Behind the Wheel; Black Celebration; Blasphemous Rumours; Blue Dress; Caroline’s Monkey; Cover Me; Don’t Say You Love Me; Everything Counts; Freelove; Ghosts Again; Going Backwards; Halo; Home; I Feel You; In Your Room; It’s No Good; John the Revelator; Just Can’t Get Enough; Little 15; Master and Servant; Never Let Me Down Again; New Dress; New Life; Personal Jesus; Policy of Truth; Precious; Scum; Shake the Disease; So Much Love; Somebody; Speak to Me; Strangelove; Stripped; Suffer Well; Sweetest Perfection; Useless; Wagging Tongue; Waiting for the Night; Walking in My Shoes; Where’s the Revolution; World in My Eyes; Wrong,9.3,True,1
i,i,PRON,416,38,A Pain That I’m Used To; A Question of Lust; A Question of Time; Barrel of a Gun; Behind the Wheel; Black Celebration; Blasphemous Rumours; Blue Dress; Cover Me; Don’t Say You Love Me; Freelove; Halo; Home; I Feel You; In Your Room; It’s No Good; Just Can’t Get Enough; My Cosmos Is Mine; My Favourite Stranger; Never Let Me Down Again; New Life; People Are People; Personal Jesus; Precious; Shake the Disease; So Much Love; Somebody; Speak to Me; Strangelove; Stripped; Suffer Well; Sweetest Perfection; Useless; Wagging Tongue; Waiting for the Night; Walking in My Shoes; World in My Eyes; Wrong,10.95,True,2
you,you,PRON,400,40,A Pain That I’m Used To; A Question of Lust; A Question of Time; Barrel of a Gun; Behind the Wheel; Black Celebration; Blue Dress; Cover Me; Don’t Say You Love Me; Freelove; Ghosts Again; Going Backwards; Halo; Home; I Feel You; In Your Room; It’s No Good; Just Can’t Get Enough; Little 15; Master and Servant; New Dress; New Life; People Are People; Personal Jesus; Policy of Truth; Precious; Scum; Shake the Disease; So Much Love; Speak to Me; Strangelove; Stripped; Suffer Well; Sweetest Perfection; Useless; Wagging Tongue; Waiting for the Night; Walking in My Shoes; Where’s the Revolution; World in My Eyes,10.0,True,3
to,to,PART,237,44,A Pain That I’m Used To; A Question of Lust; A Question of Time; Barrel of a Gun; Behind the Wheel; Black Celebration; Blasphemous Rumours; Blue Dress; Caroline’s Monkey; Cover Me; Freelove; Ghosts Again; Going Backwards; Halo; Home; I Feel You; In Your Room; It’s No Good; John the Revelator; Just Can’t Get Enough; Little 15; Master and Servant; Never Let Me Down Again; New Life; People Are People; Personal Jesus; Policy of Truth; Precious; Scum; Shake the Disease; So Much Love; Somebody; Speak to Me; Strangelove; Stripped; Suffer Well; Sweetest Perfection; Useless; Wagging Tongue; Waiting for the Night; Walking in My Shoes; Where’s the Revolution; World in My Eyes; Wrong,5.39,True,4
s,be,AUX,229,39,A Pain That I’m Used To; A Question of Lust; A Question of Time; Barrel of a Gun; Black Celebration; Blasphemous Rumours; Caroline’s Monkey; Cover Me; Everything Counts; Freelove; Ghosts Again; Going Backwards; Halo; I Feel You; It’s No Good; John the Revelator; Just Can’t Get Enough; Little 15; Master and Servant; Never Let Me Down Again; New Life; People Are People; Personal Jesus; Policy of Truth; Precious; Scum; Shake the Disease; So Much Love; Somebody; Speak to Me; Strangelove; Stripped; Suffer Well; Useless; Waiting for the Night; Walking in My Shoes; Where’s the Revolution; World in My Eyes; Wrong,5.87,True,5
me,i,PRON,224,32,A Pain That I’m Used To; A Question of Lust; Barrel of a Gun; Behind the Wheel; Black Celebration; Blue Dress; Cover Me; Don’t Say You Love Me; Halo; Home; I Feel You; In Your Room; It’s No Good; Just Can’t Get Enough; Master and Servant; Never Let Me Down Again; New Life; People Are People; Personal Jesus; Shake the Disease; So Much Love; Somebody; Speak to Me; Strangelove; Stripped; Suffer Well; Sweetest Perfection; Wagging Tongue; Walking in My Shoes; Where’s the Revolution; World in My Eyes; Wrong,7.0,True,6
and,and,CCONJ,221,42,A Question of Lust; A Question of Time; Barrel of a Gun; Behind the Wheel; Black Celebration; Blasphemous Rumours; Blue Dress; Caroline’s Monkey; Cover Me; Don’t Say You Love Me; Everything Counts; Freelove; Halo; Home; I Feel You; It’s No Good; John the Revelator; Just Can’t Get Enough; Little 15; Master and Servant; My Favourite Stranger; New Dress; New Life; People Are People; Personal Jesus; Policy of Truth; Precious; Scum; Shake the Disease; Somebody; Speak to Me; Strangelove; Stripped; Suffer Well; Sweetest Perfection; Useless; Wagging Tongue; Waiting for the Night; Walking in My Shoes; Where’s the Revolution; World in My Eyes; Wrong,5.26,True,7
it,it,PRON,216,33,A Pain That I’m Used To; A Question of Lust; A Question of Time; Barrel of a Gun; Blasphemous Rumours; Blue Dress; Cover Me; Everything Counts; Freelove; Ghosts Again; Going Backwards; Halo; I Feel You; It’s No Good; John the Revelator; Just Can’t Get Enough; Little 15; Master and Servant; My Cosmos Is Mine; People Are People; Policy of Truth; Precious; Shake the Disease; So Much Love; Somebody; Speak to Me; Strangelove; Suffer Well; Sweetest Perfection; Useless; Wagging Tongue; Waiting for the Night; Wrong,6.55,True,8
a,a,DET,186,37,A Pain That I’m Used To; A Question of Lust; A Question of Time; Barrel of a Gun; Behind the Wheel; Black Celebration; Blasphemous Rumours; Blue Dress; Caroline’s Monkey; Everything Counts; Ghosts Again; Going Backwards; Halo; Home; John the Revelator; Just Can’t Get Enough; Little 15; Master and Servant; Never Let Me Down Again; New Dress; New Life; People Are People; Personal Jesus; Precious; Scum; Shake the Disease; So Much Love; Somebody; Speak to Me; Stripped; Suffer Well; Sweetest Perfection; Useless; Waiting for the Night; Walking in My Shoes; Where’s the Revolution; World in My Eyes,5.03,True,9
in,in,ADP,165,39,A Pain That I’m Used To; A Question of Lust; A Question of Time; Barrel of a Gun; Behind the Wheel; Black Celebration; Blasphemous Rumours; Caroline’s Monkey; Cover Me; Don’t Say You Love Me; Everything Counts; Ghosts Again; Going Backwards; Halo; Home; In Your Room; It’s No Good; John the Revelator; Just Can’t Get Enough; Little 15; Master and Servant; My Favourite Stranger; New Dress; New Life; Policy of Truth; Precious; Shake the Disease; So Much Love; Somebody; Speak to Me; Strangelove; Stripped; Suffer Well; Sweetest Perfection; Useless; Waiting for the Night; Walking in My Shoes; World in My Eyes; Wrong,4.23,True,10
