"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","God’s Plan","Drake","Scorpion","","January 19, 2018","9987589","349","50","","https://genius.com/Drake-gods-plan-lyrics","3315890","And they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah

I been movin' calm, don't start no trouble with me
Tryna keep it peaceful is a struggle for me
Don't pull up at 6 a.m. to cuddle with me
You know how I like it when you lovin' on me
I don't wanna die for them to miss me
Yes, I see the things that they wishin' on me
Hope I got some brothers that outlive me
They gon' tell the story, shit was different with me

God's plan, God's plan
I hold back, sometimes, I won't, yeah
I feel good, sometimes, I don't (Ayy, don't)
I finessed down Weston Road (Ayy, 'nessed)
Might go down a G-O-D (Yeah, wait)
I go hard on Southside G (Yeah, wait)
I make sure that north-side eat
And still

Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah, ayy, ayy

She say, ""Do you love me?"" I tell her, ""Only partly
I only love my bed and my mama, I'm sorry""
Fifty Dub, I even got it tatted on me
Eighty-one, they'll bring the crashers to the party
And you know me
Turn the O2 into the O3, dog
Without 40, Oli, there'd be no me
'Magine if I never met the broskies

God's plan, God's plan
I can't do this on my own, ayy (No, ayy)
Someone watchin' this shit close (Yep, close)
I've been me since Scarlett Road, ayy (Road, ayy)
Might go down as G-O-D (Yeah, wait, yeah)
I go hard on Southside G (Ayy, wait, ayy)
I make sure that north-side eat, yeah
And still

Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah, yeah
Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah"
"2","In My Feelings","Drake","Scorpion","","June 29, 2018","7888009","565","76","","https://genius.com/Drake-in-my-feelings-lyrics","3807759","Trap, TrapMoneyBenny
This shit got me in my feelings
Gotta be real with it, yeah

Kiki, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I need ya
And I'm down for you always
KB, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I need ya
And I'm down for you always

Look, the new me is really still the real me
I swear you gotta feel me before they try and kill me
They gotta make some choices, they runnin' out of options
'Cause I've been goin' off and they don't know when it's stoppin'
And when you get to toppin', I see that you've been learnin'
And when you get to shoppin', you spend it like you earned it
And when you popped off on your ex, he deserved it
I thought you were the one from the jump, that confirmed it
TrapMoneyBenny, ayy
I buy you Champagne but you love some Henny
From the block like you Jenny
I know you special, girl, 'cause I know too many

'Resha, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I need ya
And I'm down for you always
JT, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I need ya
And I'm down for you always

Two bad bitches and we kissin' in the Wraith
Kissin'-kissin' in the Wraith, kiss-kissin' in the Wraith
I need that black card and the code to the safe
Code to the safe, code-code to the safe-safe
I show him how that neck work
Fuck that Netflix and chill, what's your net-net-net worth?
'Cause I want ya, and I need ya
And I'm down for you always
Yeah, yeah, yeah, yeah, he bad
And I'm down for you always
Yeah, yeah, yeah, guess who's back
And I'm down for you always
D-down for you al–
Black biggy biggy black biggy black blake
D-d-down for you always
I got a new boy, and that nigga trade

Kiki, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want you, and I need you
And I'm down for you always
KB, do you love me? Are you riding?
Say you'll never ever leave from beside me
'Cause I want ya, and I–

Skate and Smoke and Rap
Now let me see you
Bring that ass, bring that ass, bring that ass back
B-bring that ass, bring that ass, bring that ass back
Shawty say the nigga that she with can't hit
But shawty, I'ma hit it, hit it like I can't miss
Now let me see you
Clap that ass, you're the only one I love
Clap that ass, clap-clap that ass
Bring that ass back
Clap-clap-clap that ass, you're the only one I love
Let's go, let's go, let's go
Bring that ass back

Trap, TrapMoneyBenny
This shit got me in my feelings
Gotta be real with it, ayy, yup
(
BlaqNmilD, you a genius, you diggin' me?
)

You know what, I don't even care, I need a photo with Drake
Because my Instagram is weak as fuck
I'm just being real, my shit, look—"
"3","Hotline Bling","Drake","Views","","July 25, 2015","7292419","431","64","","https://genius.com/Drake-hotline-bling-lyrics","2263723","You used to call me on my
You used to, you used to
Yeah

You used to call me on my cell phone
Late-night when you need my love
Call me on my cell phone
Late-night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

Ever since I left the city, you
Got a reputation for yourself now
Everybody knows and I feel left out
Girl, you got me down, you got me stressed out
'Cause ever since I left the city, you
Started wearin' less and goin' out more
Glasses of champagne out on the dance floor
Hangin' with some girls I never seen before

You used to call me on my cell phone
Late-night when you need my love
Call me on my cell phone
Late-night when you need, my love
I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

Ever since I left the city, you, you, you
You and me, we just don't get along
You make me feel like I did you wrong
Goin' places where you don't belong
Ever since I left the city, you
You got exactly what you asked for
Runnin' out of pages in your passport
Hangin' with some girls I've never seen before

You used to call me on my cell phone
Late-night when you need my love
Call me on my cell phone
Late-night when you need, my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

These days, all I do is
Wonder if you're bendin' over backwards for someone else
Wonder if you're rollin' up a Backwoods for someone else
Doing things I taught you, gettin' nasty for someone else
You don't need no one else
You don't need nobody else, no
Why you never alone?
Why you always touchin' road?
Used to always stay at home
Be a good girl, you was in the zone
Yeah, you should just be yourself
Right now, you're someone else

You used to call me on my cell phone
Late-night when you need my love
Call me on my cell phone
Late-night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

Ever since I left the city—"
"4","One Dance","Drake","Views","","April 5, 2016","6319368","469","83","Kyla, Wizkid","https://genius.com/Drake-one-dance-lyrics","2450584","Baby, I like your style

Grips on your waist, front way, back way
You know that I don't play
Streets not safe but I never run away
Even when I'm away
Oti, oti
There's never much love when we go OT
I pray to make it back in one piece
I pray, I pray

That's why I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

Baby, I like your style

Strength and guidance
All that I'm wishing for my friends
Nobody makes it from my ends
I had to bust up the silence
You know you gotta stick by me
Soon as you see the text, reply me
I don't wanna spend time fighting
We've got no time, and that's why

I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

Got a pretty girl and she love me long time
Fine like a wine, she love me long time
Oh, yeah, very long time
Back up, back up, back up, and whine it
Back up, back up, and whine it
Girl, just back up, back up, back up, and whine, girl
Oh, yes, steady and fine
Back, up, back up and whine it, mm

Oh, tell me, I need to know
Where do you wanna go?
'Cause if you're down, I'll take it slow
Make you lose control

Where, where, where
Where, where, where, where (
Oh, yeah, very long time
)
Where, where, where (
Back up, back up, and whine am, girl
)
Where, where, where, where
'Cause if you're down (
Back up, back up, and–
)
'Cause if you're down (
Back up, back up, and–
)
'Cause if you're down (
Back up, back up, and–
)

I need a one dance (
Where, where, where
)
Got a Hennessy in my hand (
Where, where, where, where
)
One more time 'fore I go (
Where
)
Higher powers taking a hold on me (
Where, where, where, where
)
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

How do you spell ""Hennessy?""
I put two ""N""s and two ""S""es, is it like that? Hen... Henn... Henn...
It's definitely not showing up
I know ""Hennessy"" has two ""S""es for sure, so I'm gonna take out one of the ""N""s"
"5","Hold On, We’re Going Home","Drake","Nothing Was the Same","","August 7, 2013","5675714","339","67","Majid Jordan","https://genius.com/Drake-hold-on-were-going-home-lyrics","200546","I got my eyes on you
You're everything that I see
I want your heart, love and emotion endlessly
I can't get over you
You left your mark on me
I want your hot love and emotion endlessly

'Cause you're a good girl and you know it
You act so different around me
'Cause you're a good girl and you know it
I know exactly who you could be

Just hold on, we're going home
Just hold on, we're going home
It's hard to do these things alone
Just hold on, we're going home
Home

I got my eyes on you
You're everything that I see
I want your heart, love and emotion endlessly
I can't get over you
You left your mark on me
I want your hot love and emotion endlessly

'Cause you're a good girl and you know it (
Oh yeah
)
You act so different around me (
Ah-ah, da-da
)
'Cause you're a good girl and you know it (
Ah-ah-ah
)
I know exactly who you could be

So just hold on, we're going home (
Going home
)
Just hold on, we're going home (
Going home
)
It's hard to do these things alone (
Things alone
)
Just hold on, we're going home (Going home)
Home (Going home)

You're the girl, you're the one
Gave you everything I loved
I think there's something, baby
I think there's something, baby
You're the girl, you're the one
Gave you everything I loved (Oh)
I think there's something, baby
I think there's something, baby

'Cause you're a good girl and you know it
You act so different around me
'Cause you're a good girl and you know it
I know exactly who you could be

Oh, just hold on, we're going home (
Going home
)
Just hold on, we're going home (
Going home
)
It's hard to do these things alone (
Things alone
)
Just hold on, we're going home (Going home)
Home (Going home)

(Hold on)
(Oh, oh)"
"6","Know Yourself","Drake","If You’re Reading This It’s Too Late","","February 13, 2015","5405847","563","80","","https://genius.com/Drake-know-yourself-lyrics","703654","Hol' it yute, hol' it, hol' it, hol' it, hol' it, hol' it
No sleepin' in the streets!
Shaky warrior
Yeah, this that Oliver, 40, Niko shit man
15 Fort York shit, y'know?
Boi-1da, what's poppin'?
Yeah, yeah

Runnin' through the 6 with my woes
Countin' money, you know how it goes
Pray the real live forever, man
Pray the fakes get exposed
I want that Ferrari, then I swerve
I want that Bugatti, just to hurt
I ain't rockin' my jewelry, that's on purpose
Niggas want my spot and don't deserve it
I don't like how serious they take themselves
I've always been me, I guess I know myself
Shakiness, man, I don't have no time for that
My city too turned up, I'll take the fine for that
This been where you find me at
That's been where you find me at
I know a nigga named Johnny Bling
He put me on to the finer things
Had a job sellin' Girbaud jeans
I had a yellow TechnoMarine
Then Kanye dropped, it was polos and backpacks
Man, that was when Ethan was pushin' a Subaru hatchback
Man, I'm talkin' way before hashtags
I was runnin' through the 6 with my woes
(Yeah!)

I was runnin' through the 6 with my woes
You know how that shit go
You know how that shit go
You know how that shit go
Runnin' through the 6 with my woes
You know how that shit go
You know how that shit go
You know how that shit go

Don't fuck with them niggas, they too irrational, woah
This is that nasty flow
Top boy in this shit, I'm so international
Reps up is in here
Got P Reign and Chubby and TJ and Winnie and woah
Yeah, and you know how that shit go
I might declare it a holiday as soon as Baka get back on the road
Yeah, but you know how that shit go
They so irrational, they don't wanna patch it up
They wanna mash it up, woah
My nigga Jibba, he whip it, I ride in the passenger
I'm way up, I stay up, I'm two up, I'm three up
I had to get back to you, woah
I'm turnin' into a nigga that thinks about money and women
Like 24/7, that's where my life took me
That's just how shit happened to go
And you know
Runnin' through the 6 with my, with my

I was running through the 6 with my woes
And you know how that shit go
You know how that shit go
You know how that shit go
Runnin' through the 6 with my woes
You know how that shit go
You know how that shit go
You know how that shit go
Runnin' through the 6 with my woes
You know how that shit go

[Outro: Popcaan &
Drake
]
...Shell out, all if yuh eye nuh big
Always haffi look out, yuh no know if yuh head book out
Dun know, a de Unruly boss, dis man
No bomboclat, otha
And if a boy nuh like OVO or Chromatic
Yuh can jus suck yuh mada!!
With no apology, if you nuh like we, we nuh like you neither youth
Your girl a say we cute, if you diss you will get execute
That's the truth, OVO Unruly
*Machine gun shots*
With my woes"
"7","Back To Back","Drake","Feed The Streets 12","","July 29, 2015","5301080","527","62","","https://genius.com/Drake-back-to-back-lyrics","2266961","Oh man
Oh man, oh man
Not again

Yeah
I learned the game from William Wesley, you can never check me
Back to back for the niggas that didn't get the message
Back to back, like I'm on the cover of Lethal Weapon
Back to back, like I'm Jordan '96, '97
Woah—very important and very pretentious
When I look back, I might be mad that I gave this attention
Yeah, but it's weighin' heavy on my conscience
Yeah, and fuck, you left The Boy no options
I wanna see my niggas go insane
You gon' make me step out of my fuckin' frame
You gon' make me buy bottles for Charlamagne
You gon' make me go out of my fuckin' way
I waited four days, nigga, where y'all at?
I drove here in the Wraith, playin' AR-AB
I'm not sure what it was that really made y'all mad
But I guess this is what I gotta do to make y'all rap
I mean woah, can't fool the city, man, they know what's up
Second floor at Tootsies, gettin' shoulder rubs
This for y'all that think that I don't write enough
They just mad 'cause I got the Midas touch
You love her, then you gotta give the world to her
Is that a world tour or your girl's tour?
I know that you gotta be a thug for her
This ain't what she meant when she told you to open up more
Yeah, trigger fingers turn to Twitter fingers
Yeah, you gettin' bodied by a singin' nigga
I'm not the type of nigga that'll type to niggas
And shout to all my boss bitches wifin' niggas
Make sure you hit him with the prenup
Then tell that man to ease up
I did another one, I did another one
You still ain't did shit about the other one

I got the drink in me, going back to back
Yeah, going back to back
I got the drink in me, going back to back
Yeah, I'm going back to back

I don't wanna hear about this ever again
Not even when she tell him that they better as friends
Not even when you saying, ""Drizzy, tell 'em again!""
I been puttin' on a show, it was a sell-out event
Oh, you need better seatin'
I didn't wanna do it, gave me every reason
The point I'm tryin' to make is I don't ever need 'em
Seen what you'd do for fame, what would you do for freedom?
Please, check 'em for a wire or a earpiece
Please, please do not let these niggas near me
Please, think before you come for the great one
Please, who's a real nigga and who ain't one?
Please, somebody stop me
I'm talkin' boasy and gwanin wassy
I got the fest in five days and it's my shit
Soon as a nigga hit the stage, they gon'

They gon' ask if I can play this shit back to back
Yeah, they want it back to back
They gon' ask if I can play this shit back to back
I took a break from
Views
, now it's back to that, nigga (Six)"
"8","Family Matters","Drake","","","May 3, 2024","4996108","1694","155","","https://genius.com/Drake-family-matters-lyrics","10356318","Maybe in this song, you shouldn't start by saying
Nigga, I said it, I know that you mad
I've emptied the clip over friendlier jabs
You mentioned my seed, now deal with his dad
I gotta go bad, I gotta go bad

Mm, mm, yeah
Drop, drop, drop, drop
Drop a fifty bag for the mob in the spot
Drop a fifty bag, 29 for the thot
Uh, I was really, really tryna keep it PG
I was really, really tryna keep it PG
If you had a set, they'd give your ass a DP
But you civilian gang, in real life, you PC

You know who really bang a set? My nigga YG
You know who really bang a set? My nigga Chuck T
You know who even bang a set out there is CB
And, nigga, Cole losin' sleep on this, it ain't me
You better have some paperwork or that shit fake tea
Can't bе rappin' 'bout no rattin' that we can't read
I mean it's truе a nigga slimed me for my AP
Just like how Metro nigga slimed him for his main squeeze
Out here beggin' for attention, nigga, say please
Always rappin' like you 'bout to get the slaves freed
You just actin' like an activist, it's make-believe
Don't even go back to your hood and plant no money trees
Say you hate the girls I fuck, but what you really mean?
I been with Black and white and everything that's in between
You the Black messiah wifin' up a mixed queen
And hit vanilla cream to help out with your self-esteem
On some Bobby shit, I wanna know what Whitney need
All that puppy love was over in y'all late teens
Why you never hold your son and tell him, ""Say cheese""?
We could've left the kids out of this, don't blame me
You a dog and you know it, you just play sweet
Your baby mama captions always screamin', ""Save me""
You did her dirty all your life, you tryna make peace
I heard that one of 'em little kids might be Dave Free
Don't make it Dave Free's
'Cause if your GM is your BM secret BD
Then this is all makin' plenty fuckin' sense to me
Ayy, let that shorty breathe
Shake that ass, bitch, hands on your knees
Hands on your knees, hands on your knees
Shake that ass for Drake, now shake that ass for free
Yeah, yeah
Well, not that kind of free, I'm talkin' 'bout my nigga Dave
Your man a lil' K, we call that shit a mini Drac'
He always said I overlooked him, I was starin' straight
These bars go over Kenny head no matter what I say
I know you like to keep it short, so let me paraphrase
Knew it was smoke when Abel hit us with the serenade
Nigga said, ""Uh, uh""
Almost started reachin' for my waist

Drop, drop, drop, drop
Drop a fifty bag for the mob in the spot
Drop a fifty bag, 29 for the thot
Uh, I was really, really tryna keep it—

Yeah
Let me stop playin' around, let me take this shit serious, like
Niggas is a joke, I take it serious, though
Yeah, look

If Drake shooters doing TikToks, nigga
Realest shooter in your gang, that's P's brother, y'all ain't getting shit shot, nigga
Can't listen to the stick talk in falsetto, save it for a hip-hop nigga
You don't even be at home, dog, you a souvenir-out-the-gift-shop nigga
Still mad about that one ho, we ain't even fuck, I just lip-locked with her
I get active when it's war time, I ain't even really let my dick drop, nigga
What the fuck I heard Rick drop, nigga? Talkin' somethin' 'bout a nose job, nigga
Ozempic got a side effect of jealousy and doctor never told y'all niggas
Put a nigga in the bars, let a nigga rot, kind of like your old job, nigga
House sittin' on some land, but it's out where no one even really know y'all niggas
Bitches gotta drive two hours 'fore you pay 'em just to give a blowjob, nigga
Must've snorted up a snowball
'Cause my last record deal was four hundred M's, these days, that's a low ball, nigga
Ayy
Who's next on the list?
Which one of my so-called niggas
Which one of my so-called niggas
Which one of my so-called niggas need a shell from the clip?
Always knew I had to smoke y'all niggas
​good kid, m.A.A.d city
van, we'll pop the latch and let the door slide
Tears runnin' down my cheek, laughin' at you pussies dyin', it's a war cry
Weeknd music gettin' played in all the spots where boys got a little more pride
That's why all your friends dippin' to Atlanta, payin' just to find a tour guide
Abel, run your fuckin' bread, need to buy some more chains for some more guys
Let me find another street nigga I can take to the game courtside
Let me get a used Ferrari for a rapper, take the nigga on a horse ride
Anything to take the spotlight off the fact the boss is a drugged-out lil' punk sissy from the Northside
Rakim talkin' shit again
Gassed 'cause you hit my BM first, nigga, do the math, who I was hittin' then?
I ain't even know you rapped still 'cause they only talkin' 'bout your 'fit again
Probably gotta have a kid again 'fore you think of droppin' any shit again
Even when you do drop, they gon' say you should've modeled 'cause it's mid again
Smokin' Fenty 'bout it, should've put you on the first one, tryna get it in
Ask Fring if this a good idea the next time you cuddled in that bed again
She'll even tell you leave the boy alone 'fore you get your head split again
Pluto shit make me sick to my stomach, we ain't never really been through it
Leland Wayne, he a fuckin' lame, so I know he had to be an influence
These niggas had a plan and they finally found a way to rope you into it
Two separate albums dissin', I just did a Kim to it, nigga, skim through it
Me and Savage had the hoes drippin' wet at shows, almost had to swim to it
K-Dot shit is only hittin' hard when Baby Keem put his pen to it
Ross callin' me the white boy and the shit kind of got a ring to it
'Cause all these rappers wavin' white flags while the whole fuckin' club sing to it
Murder scene on your man tonight, then come to the vigil with the candlelight
Body after fuckin' body and you know Rick readin' my Miranda rights
I'm goin' on vacation now, hope next time y'all plan it right
'Cause you gotta pay for sayin' my name, guess now niggas understand the price
Nigga, what? (
6ix
)

Ayy
Kendrick just opened his mouth, someone go hand him a Grammy right now
Where is your uncle at? 'Cause I wanna talk to the man of the house
West Coast niggas do fades, right? Come get this ass whoopin', I'm handin' 'em out
You wanna take up for Pharrell? Then come get his legacy out of my house
A cease and desist is for hoes, can't listen to lies that come out of your mouth
You called the Tupac estate and begged 'em to sue me and get that shit down
I'm losin' perspective on beef, Boi-1da send beat and I'll kill you for fun
Your daddy got robbed by Top, you Stunna and Wayne, like father, like son
Anthony set up the plays, Kojo be chargin' you double for nothin'
They shook about what I'ma say, but textin' your phone like, ""We already won""
You tell me what I shouldn't say, but fuck it, my nigga, it's already done
We already know it's a twenty-v-one, we already know why you went number one
It's clearly because of The Boy, the honorable thing is to give me the loot
You right about ""Fuck the big three,"" it's only Big D, and there's video proof
Our sons should go play at the park, two lightskin kids, that shit would be cute
Unless you don't want to be seen with anyone that isn't Blacker than you
We get it, we got it
The blacker the berry, the sweeter the juice
We get that you like to put gin in your juice
We get that you think that you Bishop in
Juice
When you put your hands on your girl, is it self-defense 'cause she bigger than you?
Your back is up against the curb, you diggin' for dirt, should be diggin' for proof
Why did you move to New York? Is it 'cause you livin' that bachelor life?
Proposed in 2015, but don't wanna make her your actual wife
I'm guessin' this wedding ain't happenin', right?
'Cause we know the girls that you actually like
Your darkest secrets are comin' to light
It's all on your face like what happened to Mike
Oh shit, it's all makin' sense, maybe I'm Prince and you actually Mike
Michael was prayin' his features would change so people believe that he's actually white
Top would make you do features for change, get on pop records and rap for the whites
And wait, you say your brother Jermaine, but you wanted him to stay out of the light
Oh shit, just follow me, right? 'Cause nothin' you sayin' could bother me, right?
I get off the plane and nothing has changed, I head to Delilah with all of my ice
Head to Delilah with all of my ice, head to Delilah with all of my ice
This shit gotta be over by now for anyone out here that's calling it, right?
You're dead
You're dead, you're dead
There's nowhere to hide, there's nowhere to hide, you know what I mean
They hired a crisis management team to clean up the fact that you beat on your queen
The picture you painted ain't what it seem, you're dead"
"9","All Me","Drake","Nothing Was the Same","","September 24, 2013","4148795","1021","126","2 Chainz, Big Sean","https://genius.com/Drake-all-me-lyrics","196551","I'm really stepping up my game
These bitches gotta start paying me for this
Can't get no more free, Randy

Got everything, I got everything
I cannot complain, I cannot
I don't even know how much I really made, I forgot, it's a lot
Fuck that, never mind what I got
Nigga don't watch that 'cause I—
Came up, that's all me, stay true, that's all me (Yeah)
No help, that's all me, all me for real
Came up, that's all me, stay true, that's all me (2 Chainz)
No help, that's all me, all me for real

Money on my mind, you should think the same
J's on, pinky ring, doggin' these hoes, I need quarantine
In the same league, but we don't ball the same
(Ah) She want all the fame, I hear that shit all the time
She said she love me, I said, ""Baby girl, fall in line""
Okay, made a million off a dinner fork, watch me switch it up
Walked in, ""Ill nigga alert, ill nigga alert""
You need that work, I got that work, got bitches in my condo
Just bought a shirt that cost a Mercedes-Benz car note
From the A to Toronto, we let the metal go off
And my dick so hard it make the metal detector go off
This that sauce, this that dressing
Givenchy, nigga, God bless you
If havin' a bad bitch was a crime, I'd be arrested (Tru)

Got everything, I got everything
I cannot complain, I cannot
I don't even know how much I really made, I forgot, it's a lot
Fuck that, never mind what I got
Nigga don't watch that 'cause I—
Came up, that's all me, stay true, that's all me
No help, that's all me, all me for real
Came up, that's all me, stay true, that's all me
No help, that's all me, all me for real

I touched down in '86, knew I was the man by the age of six
I even fucked the girl that used to babysit
But that was years later on some crazy shit
I heard your new shit, nigga hated it
Damon Wayans, homie don't play that shit
I get paid a lot, you get paid a bit
And my latest shit is like a greatest hits
Goddamn, ain't no wishing over on this side
Y'all don't fuck with us, then we don't fuck with y'all
It's no different over on this side
Goddamn, should I listen to everybody or myself?
'Cause myself just told myself:
""You're the motherfucking man, you don't need no help""
Cashing checks and I'm bigging up my chest
Y'all keep talking 'bout who next, but I'm about as big as it gets
I swear y'all just wasting y'all breath
I'm the light-skinned Keith Sweat, I'ma make it last forever
It's not your turn 'cause I ain't done yet
Look, just understand that I'm on a roll like Cottonelle
I was made for all of this shit
And I'm on the road box office sales
I'm getting paid for all of this shit
Ask you to please excuse my table manners
I was making room for the table dancers
'Cause if we judging off your advances
Then I just got paid like eight advances, goddamn

Got everything, I got everything
I cannot complain, I cannot
I don't even know how much I really made, I forgot, it's a lot
Fuck that, never mind what I got
Nigga don't watch that 'cause I—
Came up, that's all me, stay true, that's all me
No help, that's all me, all me for real
Came up, that's all me, stay true, that's all me—

Ho, shut the fuck up!
I got way too much on my mental
I learn from what I've been through
I'm finna do what I didn't do
And still waking up like the rent's due
Not complicated, it's simple
I got sexy ladies, a whole Benz-full
And to them hoes I'm everything—everything but gentle
But I still take my time (Time)
Man, I guess I'm just old fashioned
Wearing retro sh—, that's old fashion
Nigga, see what I'm saying, no closed caption
I paint pics, see the shit, good sex, need to hit
Keep a broad on the floor year 'round like season tickets
I plead the fifth, drink a fifth, load the nine
Leave you split, in the half, smoke a half, need a zip
My new girl is on Glee and shit
Probably making more money than me and shit
I swear to God I got 99 problems but a bitch ain't one
I got 99 problems, getting rich ain't one
Like I got trust issues
I'm sorry for the people I've pushed out
I'm the type to have a bullet-proof condom
And still gotta pull out
But that's just me and I ain't perfect
I ain't a saint but I am worth it
If it's one thing, I am worth it
Niggas still hating but it ain't working
Lil' bitch...

Oh me, oh me, oh my
I think I done fucked too many women from the 305
'Fore the end of this year
I'll do King of Diamonds 3 more times
Smoking on that kush all in our section
Like it's legalized
Girl, you can't always have your way
Sometimes it be like that
They don't really fuck with you like that
They ain't never did me like that
I just took my time, you got the shine
I let you eat like that
I been taught to never loan somebody
What you need right back
And I need that shit right back
(No more free Randy) I'm blessed than a muhfucka
Niggas been stressed than a muhfucka
Niggas getting nervous
Clutching they chests like a muhfucka
Damn that's a motherfucker
Tell the truth, I don't listen to you
'Cause I don't like being lied to
And that ship won't sail
And that wind won't guide you
Daddy was in jail, we was talking through the window
Like a motherfucking drive-thru
That was back then, man
Now my niggas rich enough to do whatever I do"
"10","From Time","Drake","Nothing Was the Same","","September 24, 2013","4042846","743","87","Jhené Aiko","https://genius.com/Drake-from-time-lyrics","217270","What's up?
Been a minute since we kicked it, you've been caught up
With them bitches, I don't get it, you're a star, love
You shouldn't have to deal with that
I'd never make you feel like that
'Cause...

I love me
I love me enough for the both of us
That's why you trust me
I know you been through more than most of us
So what are you
What are you, what are you so afraid of?
Darling, you
You give, but you cannot take love

Yeah, I needed to hear that shit, I hate when you're submissive
Passive aggressive when we're texting, I feel the distance
I look around the peers that surround me, these niggas tripping
I like when money makes a difference but don't make you different
Started realizing a couple places I could take it
I want to get back to when I was that kid in the basement
I want to take it deeper than money, pussy, vacation
And influence a generation that's lacking in patience
I've been dealing with my dad, speaking of lack of patience
Just me and my old man getting back to basics
We've been talking 'bout the future and time that we wasted
When he put that bottle down, girl, that nigga's amazing
Well, fuck it, we had a couple Coronas
We might have rolled a white paper, just something to hold us
We even talked about you and our couple of moments
He said we should hash it out like a couple of grown-ups
You a flower child, beautiful child, I'm in your zone
Looking like you came from the seventies on your own
My mother is sixty-six and her favorite line to hit me with is
""Who the fuck wants to be seventy and alone?""
You don't even know what you want from love anymore
I search for something I'm missing and disappear when I'm bored
But girl, what qualities was I looking for before?
Who you settling for? Who better for you than the boy, huh?

I love me
I love me enough for the both of us
That's why you trust me
I know you been through more than most of us
So what are you
What are you, what are you so afraid of?
Darling, you
You give, but you cannot take love

Uh, thinking 'bout Texas, back when Porscha used to work at Treasures
Or further back than that, before I had the Houston leverage
When I got Summer a Michael Kors with my momma's debit
A weak attempt at flexing, I'll never forget it
'Cause that night I played her three songs
Then we got to talking 'bout something we disagreed on
Then she start telling me how I'll never be as big as Trey Songz
Boy, was she wrong
That was just negative energy for me to feed off
Now it's therapeutic blowing money in the Galleria
Or Beverly Center Macy's where I discovered Bria
Landmarks of the muses that inspired the music
When I could tell it was sincere without tryna prove it
The one that I needed was Courtney from Hooters on Peachtree
I've always been feeling like she was the piece to complete me
Now she engaged to be married, what's the rush on commitment?
Know we were going through some shit, name a couple that isn't
Remember our talk in the parking lot at the Ritz
Girl, I felt like we had it all planned out
I guess I fucked up the vision
Learning the true consequences of my selfish decisions
When you find out how I'm living, I just hope I'm forgiven
It seem like you don't want this love anymore
I'm acting out in the open, it's hard for you to ignore
But girl, what qualities was I looking for before?
Who you settling for? Who better for you than the boy, huh?

I love me
I love me enough for the both of us
That's why you trust me
I know you been through more than most of us
So what are you
What are you, what are you so afraid of?
Darling, you
You give, but you cannot take love

Been Baka aka Not Nice from time, G
Been a East Side ting
Scarborough ting from time, G
Been have up di ting dem from time, G
So I don't know what's wrong with these
Little wasteman out here, eh?
Y'all need to know yourself"
