word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1552,50,"0 to 100 / The Catch Up; All Me; Back To Back; Child’s Play; Controlla; Crew Love; Do Not Disturb; Doing It Wrong; Energy; Fake Love; Family Matters; Forever; From Time; Furthest Thing; Girls Love Beyoncé; God’s Plan; Gyalchester; HYFR (Hell Ya Fucking Right); Headlines; Hold On, We’re Going Home; Hotline Bling; How Bout Now; In My Feelings; I’m Upset; Jumpman; Jungle; Know Yourself; Legend; Look What You’ve Done; Marvins Room; Nice For What; Nonstop; One Dance; Over My Dead Body; Passionfruit; Portland; Pound Cake / Paris Morton Music 2; Push Ups; Shot for Me; Started from the Bottom; Summer Sixteen; THE HEART PART 6; Take Care; Teenage Fever; The Language; The Motto; Too Good; Too Much; U With Me?; Worst Behavior",31.04,True,1
you,you,PRON,1221,50,"0 to 100 / The Catch Up; All Me; Back To Back; Child’s Play; Controlla; Crew Love; Do Not Disturb; Doing It Wrong; Energy; Fake Love; Family Matters; Forever; From Time; Furthest Thing; Girls Love Beyoncé; God’s Plan; Gyalchester; HYFR (Hell Ya Fucking Right); Headlines; Hold On, We’re Going Home; Hotline Bling; How Bout Now; In My Feelings; I’m Upset; Jumpman; Jungle; Know Yourself; Legend; Look What You’ve Done; Marvins Room; Nice For What; Nonstop; One Dance; Over My Dead Body; Passionfruit; Portland; Pound Cake / Paris Morton Music 2; Push Ups; Shot for Me; Started from the Bottom; Summer Sixteen; THE HEART PART 6; Take Care; Teenage Fever; The Language; The Motto; Too Good; Too Much; U With Me?; Worst Behavior",24.42,True,2
the,the,DET,985,50,"0 to 100 / The Catch Up; All Me; Back To Back; Child’s Play; Controlla; Crew Love; Do Not Disturb; Doing It Wrong; Energy; Fake Love; Family Matters; Forever; From Time; Furthest Thing; Girls Love Beyoncé; God’s Plan; Gyalchester; HYFR (Hell Ya Fucking Right); Headlines; Hold On, We’re Going Home; Hotline Bling; How Bout Now; In My Feelings; I’m Upset; Jumpman; Jungle; Know Yourself; Legend; Look What You’ve Done; Marvins Room; Nice For What; Nonstop; One Dance; Over My Dead Body; Passionfruit; Portland; Pound Cake / Paris Morton Music 2; Push Ups; Shot for Me; Started from the Bottom; Summer Sixteen; THE HEART PART 6; Take Care; Teenage Fever; The Language; The Motto; Too Good; Too Much; U With Me?; Worst Behavior",19.7,True,3
to,to,PART,596,50,"0 to 100 / The Catch Up; All Me; Back To Back; Child’s Play; Controlla; Crew Love; Do Not Disturb; Doing It Wrong; Energy; Fake Love; Family Matters; Forever; From Time; Furthest Thing; Girls Love Beyoncé; God’s Plan; Gyalchester; HYFR (Hell Ya Fucking Right); Headlines; Hold On, We’re Going Home; Hotline Bling; How Bout Now; In My Feelings; I’m Upset; Jumpman; Jungle; Know Yourself; Legend; Look What You’ve Done; Marvins Room; Nice For What; Nonstop; One Dance; Over My Dead Body; Passionfruit; Portland; Pound Cake / Paris Morton Music 2; Push Ups; Shot for Me; Started from the Bottom; Summer Sixteen; THE HEART PART 6; Take Care; Teenage Fever; The Language; The Motto; Too Good; Too Much; U With Me?; Worst Behavior",11.92,True,4
that,that,PRON,591,50,"0 to 100 / The Catch Up; All Me; Back To Back; Child’s Play; Controlla; Crew Love; Do Not Disturb; Doing It Wrong; Energy; Fake Love; Family Matters; Forever; From Time; Furthest Thing; Girls Love Beyoncé; God’s Plan; Gyalchester; HYFR (Hell Ya Fucking Right); Headlines; Hold On, We’re Going Home; Hotline Bling; How Bout Now; In My Feelings; I’m Upset; Jumpman; Jungle; Know Yourself; Legend; Look What You’ve Done; Marvins Room; Nice For What; Nonstop; One Dance; Over My Dead Body; Passionfruit; Portland; Pound Cake / Paris Morton Music 2; Push Ups; Shot for Me; Started from the Bottom; Summer Sixteen; THE HEART PART 6; Take Care; Teenage Fever; The Language; The Motto; Too Good; Too Much; U With Me?; Worst Behavior",11.82,True,5
it,it,PRON,588,49,"0 to 100 / The Catch Up; All Me; Back To Back; Child’s Play; Controlla; Crew Love; Do Not Disturb; Doing It Wrong; Energy; Fake Love; Family Matters; Forever; From Time; Furthest Thing; Girls Love Beyoncé; God’s Plan; Gyalchester; HYFR (Hell Ya Fucking Right); Headlines; Hold On, We’re Going Home; How Bout Now; In My Feelings; I’m Upset; Jumpman; Jungle; Know Yourself; Legend; Look What You’ve Done; Marvins Room; Nice For What; Nonstop; One Dance; Over My Dead Body; Passionfruit; Portland; Pound Cake / Paris Morton Music 2; Push Ups; Shot for Me; Started from the Bottom; Summer Sixteen; THE HEART PART 6; Take Care; Teenage Fever; The Language; The Motto; Too Good; Too Much; U With Me?; Worst Behavior",12.0,True,6
me,i,PRON,574,49,"0 to 100 / The Catch Up; All Me; Back To Back; Child’s Play; Controlla; Crew Love; Do Not Disturb; Doing It Wrong; Energy; Fake Love; Family Matters; Forever; From Time; Furthest Thing; Girls Love Beyoncé; God’s Plan; Gyalchester; HYFR (Hell Ya Fucking Right); Headlines; Hold On, We’re Going Home; Hotline Bling; How Bout Now; In My Feelings; I’m Upset; Jumpman; Jungle; Know Yourself; Legend; Look What You’ve Done; Marvins Room; Nice For What; Nonstop; One Dance; Over My Dead Body; Portland; Pound Cake / Paris Morton Music 2; Push Ups; Shot for Me; Started from the Bottom; Summer Sixteen; THE HEART PART 6; Take Care; Teenage Fever; The Language; The Motto; Too Good; Too Much; U With Me?; Worst Behavior",11.71,True,7
a,a,DET,564,50,"0 to 100 / The Catch Up; All Me; Back To Back; Child’s Play; Controlla; Crew Love; Do Not Disturb; Doing It Wrong; Energy; Fake Love; Family Matters; Forever; From Time; Furthest Thing; Girls Love Beyoncé; God’s Plan; Gyalchester; HYFR (Hell Ya Fucking Right); Headlines; Hold On, We’re Going Home; Hotline Bling; How Bout Now; In My Feelings; I’m Upset; Jumpman; Jungle; Know Yourself; Legend; Look What You’ve Done; Marvins Room; Nice For What; Nonstop; One Dance; Over My Dead Body; Passionfruit; Portland; Pound Cake / Paris Morton Music 2; Push Ups; Shot for Me; Started from the Bottom; Summer Sixteen; THE HEART PART 6; Take Care; Teenage Fever; The Language; The Motto; Too Good; Too Much; U With Me?; Worst Behavior",11.28,True,8
and,and,CCONJ,550,49,"0 to 100 / The Catch Up; All Me; Back To Back; Child’s Play; Controlla; Crew Love; Do Not Disturb; Doing It Wrong; Energy; Fake Love; Family Matters; Forever; From Time; Furthest Thing; Girls Love Beyoncé; God’s Plan; Gyalchester; HYFR (Hell Ya Fucking Right); Headlines; Hold On, We’re Going Home; Hotline Bling; How Bout Now; In My Feelings; I’m Upset; Jumpman; Jungle; Know Yourself; Legend; Look What You’ve Done; Marvins Room; Nice For What; Nonstop; One Dance; Over My Dead Body; Portland; Pound Cake / Paris Morton Music 2; Push Ups; Shot for Me; Started from the Bottom; Summer Sixteen; THE HEART PART 6; Take Care; Teenage Fever; The Language; The Motto; Too Good; Too Much; U With Me?; Worst Behavior",11.22,True,9
n't,not,PART,434,50,"0 to 100 / The Catch Up; All Me; Back To Back; Child’s Play; Controlla; Crew Love; Do Not Disturb; Doing It Wrong; Energy; Fake Love; Family Matters; Forever; From Time; Furthest Thing; Girls Love Beyoncé; God’s Plan; Gyalchester; HYFR (Hell Ya Fucking Right); Headlines; Hold On, We’re Going Home; Hotline Bling; How Bout Now; In My Feelings; I’m Upset; Jumpman; Jungle; Know Yourself; Legend; Look What You’ve Done; Marvins Room; Nice For What; Nonstop; One Dance; Over My Dead Body; Passionfruit; Portland; Pound Cake / Paris Morton Music 2; Push Ups; Shot for Me; Started from the Bottom; Summer Sixteen; THE HEART PART 6; Take Care; Teenage Fever; The Language; The Motto; Too Good; Too Much; U With Me?; Worst Behavior",8.68,True,10
