"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","New Rules","Dua Lipa","Future Nostalgia + Dua Lipa (Box Set Limited Edition)","","June 2, 2017","4779392","479","65","","https://genius.com/Dua-lipa-new-rules-lyrics","3013669","One

Talkin' in my sleep at night, makin' myself crazy
(Out of my mind, out of my mind)
Wrote it down and read it out, hopin' it would save me
(Too many times, too many times)

My love
He makes me feel like nobody else, nobody else
But my love
He doesn't love me, so I tell myself, I tell myself

One, don't pick up the phone
You know he's only callin' 'cause he's drunk and alone
Two, don't let him in
You'll have to kick him out again
Three, don't be his friend
You know you're gonna wake up in his bed in the mornin'
And if you're under him, you ain't gettin' over him

I got new rules, I count 'em
I got new rules, I count 'em
I gotta tell them to myself
I got new rules, I count 'em
I gotta tell them to myself

I keep pushin' forwards, but he keeps pullin' me backwards
(Nowhere to turn, no way, nowhere to turn, no)
Now I'm standin' back from it, I finally see the pattern
(I never learn, I never learn)

But my love
He doesn't love me, so I tell myself, I tell myself
I do, I do, I do

One, don't pick up the phone
You know he's only callin' 'cause he's drunk and alone
Two, don't let him in
You'll have to kick him out again
Three, don't be his friend
You know you're gonna wake up in his bed in the mornin'
And if you're under him, you ain't gettin' over him

I got new rules, I count 'em
I got new rules, I count 'em
I gotta tell them to myself
I got new rules, I count 'em
I gotta tell them to myself

Practice makes perfect
I'm still tryna learn it by heart (I got new rules, I count 'em)
Eat, sleep, and breathe it
Rehearse and repeat it 'cause I (I got new, I got new)

One, don't pick up the phone (Yeah)
You know he's only callin' 'cause he's drunk and alone (Alone)
Two, don't let him in (Oh-ooh)
You'll have to kick him out again (Again)
Three, don't be his friend
You know you're gonna wake up in his bed in the mornin'
And if you're under him, you ain't gettin' over him

I got new rules, I count 'em
I got new rules, I count 'em (Woah, oh)
I gotta tell them to myself
I got new rules, I count 'em (Baby, you know I count 'em)
I gotta tell them to myself

Don't let him in, don't let him in
Don't, don't, don't, don't
Don't be his friend, don't be his friend
Don't, don't, don't, don't
Don't let him in, don't let him in
Don't, don't, don't, don't
Don't be his friend, don't be his friend
Don't, don't, don't, don't
You're gettin' over him"
"2","Don’t Start Now","Dua Lipa","Future Nostalgia + Dua Lipa (Box Set Limited Edition)","","November 1, 2019","1684210","304","49","","https://genius.com/Dua-lipa-dont-start-now-lyrics","4547279","If you don't wanna see me

Did a full one-eighty, crazy
Thinking 'bout the way I was
Did the heartbreak change me? Maybe
But look at where I ended up

I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now

Aren't you the guy who tried to
Hurt me with the word ""goodbye""?
Though it took some time to survive you
I'm better on the other side

I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me
(Don't, don't, don't)

Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now ('Bout me now, 'bout me)

Up, up
Don't come out, out, out
Don't show up, up, up
Don't start now (Oh)
Up, up
Don't come out, out
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

Don't show up (Don't show up), don't come out (Don't come out)
Don't start caring about me now ('Bout me now)
Walk away (Walk away), you know how (You know how)
Don't start caring about me now (So)

Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away (So)
Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away, oh"
"3","Levitating","Dua Lipa","Future Nostalgia + Dua Lipa (Box Set Limited Edition)","","March 27, 2020","1498395","537","74","","https://genius.com/Dua-lipa-levitating-lyrics","5215007","If you wanna run away with me, I know a galaxy
And I can take you for a ride
I had a premonition that we fell into a rhythm
Where the music don't stop for life
Glitter in the sky, glitter in my eyes
Shining just the way I like
If you're feeling like you need a little bit of company
You met me at the perfect time

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yeah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (You're the moonlight)
I need you all night, come on, dance with me
I'm levitating

I believe that you're for me, I feel it in our energy
I see us written in the stars
We can go wherever, so let's do it now or never
Baby, nothing's ever, ever too far
Glitter in the sky, glitter in our eyes
Shining just the way we are
I feel like we're forever every time we get together
But whatever, let's get lost on Mars

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yeah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (You're the moonlight)
I need you all night, come on, dance with me
I'm levitating

You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah
I'm levitating (Woo)
You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Woo)

My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah
My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading

I got you (Yeah), moonlight, you're my starlight
I need you all night (All night), come on, dance with me
I'm levitating (Woo)

You can fly away with me tonight (Tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Take you for a ride)
I'm levitating (Woo)
You can fly away with me tonight (Tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Let me take you for a ride)

I got you, moonlight, you're my starlight (You are my starlight)
I need you all night, come on, dance with me (Come on, dance with me)
I'm levitating
You, moonlight, you're my starlight (You're the moonlight)
I need you all night, come on, dance with me
I'm levitating"
"4","IDGAF","Dua Lipa","Future Nostalgia + Dua Lipa (Box Set Limited Edition)","","June 2, 2017","1376668","440","68","","https://genius.com/Dua-lipa-idgaf-lyrics","3051942","You call me all friendly
Tellin' me how much you miss me
That's funny, I guess you've heard my songs
Well, I'm too busy for your business
Go find a girl who wants to listen
'Cause if you think I was born yesterday, you have got me wrong

So I cut you off
I don't need your love
'Cause I already cried enough
I've been done
I've been movin' on since we said goodbye
I cut you off
I don't need your love
So you can try all you want
Your time is up, I'll tell you why

You say you're sorry, but it's too late now
So save it, get gone, shut up
'Cause if you think I care about you now
Well, boy, I don't give a fuck

I remember that weekend
When my best friend caught you creepin'
You blamed it all on the alcohol
So, I made my decision
'Cause you made your bed, sleep in it
Play the victim and switch your position
I'm through, I'm done

So I cut you off
I don't need your love
'Cause I already cried enough
I've been done
I've been movin' on since we said goodbye
I cut you off
I don't need your love
So you can try all you want
Your time is up, I'll tell you why

You say you're sorry, but it's too late now
So save it, get gone, shut up
'Cause if you think I care about you now
Well, boy, I don't give a fuck

I see you tryna get to me
I see you beggin' on your knees
Boy, I don't give a fuck
So stop tryna get to me
Tch, get up off your knees
'Cause, boy, I don't give a fuck

About you
No, I don't give a damn
You keep reminiscin' on when you were my man
But I'm over you
Now you're all in the past
You talk all that sweet talk, but I ain't comin' back

Cut you off
I don't need your love
So you can try all you want
Your time is up, I'll tell you why
I'll tell you why

You say you're sorry, but it's too late now
So save it, get gone, shut up
(Too late now)
'Cause if you think I care about you now
Well, boy, I don't give a fuck
(Boy, I don't give a)

I see you tryna get to me
I see you beggin' on your knees
Boy, I don't give a fuck
So stop tryna get to me (Get to me)
Tch, get up off your knees
'Cause, boy, I don't give a fuck"
"5","Blow Your Mind (Mwah)","Dua Lipa","Future Nostalgia + Dua Lipa (Box Set Limited Edition)","","August 26, 2016","829739","426","71","","https://genius.com/Dua-lipa-blow-your-mind-mwah-lyrics","2461299","I know it's hot
I know we've got
Something that money can't buy
Fighting in fits
Biting your lip
Loving till late in the night

Tell me I'm too crazy
You can't tame me, can't tame me
Tell me I have changed
But I'm the same me, oh, same me
Inside (Hey)

If you don't like the way I talk
Then why am I on your mind?
If you don't like the way I rock
Then finish your glass of wine
We fight and we argue
You'll still love me blind
If we don't fuck this whole thing up
Guaranteed, I can blow your mind, mwah

And tonight, I'm alive, ain't no dollar sign
Guaranteed, I can blow your mind, mwah
And tonight, I'm alive, ain't no dollar sign
Guaranteed, I can blow your mind, mwah
(Mwah, mwah, mwah, mwah)
(Mwah, mwah, mwah, mwah)

Yeah, I'm so bad
Best that you've had
I guess you're diggin' the show
Open the door
You want some more
When you wanna leave, let me know

Tell me I'm too crazy
You can't tame me, can't tame me
Tell me I have changed
But I'm the same me, oh, same me
Inside (Hey)

If you don't like the way I talk
Then why am I on your mind?
If you don't like the way I rock
Then finish your glass of wine
We fight and we argue
You'll still love me blind
If we don't fuck this whole thing up
Guaranteed, I can blow your mind, mwah

And tonight, I'm alive, ain't no dollar sign
Guaranteed, I can blow your mind, mwah
And tonight, I'm alive, ain't no dollar sign
Guaranteed, I can blow your mind, mwah

And tonight, I'm alive, ain't no dollar sign
Guaranteed, I can blow your mind, mwah (Hey)
And tonight, I'm alive, ain't no dollar sign
Guaranteed, I can blow your mind (Hey)

Tell me I'm too crazy
You can't tame me, can't tame me
Tell me I have changed
But I'm the same me, oh, same me
Inside
Hey
Mwah

If you don't like the way I talk
Then why am I on your mind?
If you don't like the way I rock
Then finish your glass of wine
We fight and we argue
You'll still love me blind
If we don't fuck this whole thing up
Guaranteed, I can blow your mind, mwah

And tonight, I'm alive, ain't no dollar sign
Guaranteed, I can blow your mind, mwah
And tonight, I'm alive, ain't no dollar sign
Guaranteed, I can blow your mind, mwah"
"6","Break My Heart","Dua Lipa","Future Nostalgia + Dua Lipa (Box Set Limited Edition)","","March 25, 2020","801466","512","67","","https://genius.com/Dua-lipa-break-my-heart-lyrics","5122410","I've always been the one to say the first goodbye
Had to love and lose a hundred million times
Had to get it wrong to know just what I like
Now I'm falling
You say my name like I have never heard before
I'm indecisive, but, this time, I know for sure
I hope I'm not the only one that feels it all
Are you falling?

Centre of attention
You know you can get whatever you want from me
Whenever you want it, baby
It's you in my reflection
I'm afraid of all the things it could do to me
If I would've known it, baby

I would've stayed at home
'Cause I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?
Oh no, I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?

I wonder, when you go, if I stay on your mind
Two can play that game, but you win me every time
Everyone before you was a waste of time
Yeah, you got me

Centre of attention
You know you can get whatever you want from me
Whenever you want it, baby
It's you in my reflection
I'm afraid of all the things it could do to me
If I would've known it, baby

I would've stayed at home
'Cause I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home (I would've stayed at home 'cause I–)
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?
Oh no, I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?

Ooh, break my heart
Ooh, break my heart
Ooh
Am I falling in love with the one that could break my heart?

I would've stayed at home
'Cause I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home (I would've stayed at home 'cause I–)
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?
Oh no (Oh no), I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?"
"7","Kiss and Make Up","Dua Lipa","Future Nostalgia + Dua Lipa (Box Set Limited Edition)","","October 19, 2018","718748","497","78","","https://genius.com/Dua-lipa-and-blackpink-kiss-and-make-up-lyrics","3932739","Kiss and make, kiss, kiss and make up
Kiss and make, kiss, kiss and make up
Kiss and make, kiss, kiss and make up
Kiss and make, kiss, kiss and make up

We haven't talked all morning
Bang my head, bang my head against the wall
I'm scared, I'm falling
Losing all, losing all my control
And I'm tired of talking
Feel myself saying the same old things
But this love's important
Don't wanna lose, don't wanna lose you this way

I, I, I, I, I, I, I, I, I, I
Feel like we about to break up
I, I, I, I, I, I, I, I, I, I
Just wanna kiss and make up one last time

Touch me like you touch nobody
Put your hands all up on me
Tired of hearing sorry
Kiss and make, kiss, kiss and make up
How about we leave this party?
'Cause all I want is you up on me
Tired of hearing sorry
Kiss and make, kiss, kiss and make up
Kiss, kiss and make up
Kiss and make, kiss, kiss and make up
Kiss, kiss and make up
Kiss and make, kiss, kiss and make up

[Verse 2: Jennie,
Jisoo
]
아직 너를 못 떠나고
뭘 하고 있는 건지
언젠가는 다 끝날 걸
떠날 걸 알지만
고장 난 우릴
다시 고쳐 볼 수는 없을지
아무런 말도 넌 하지 마
마지막은 없어

I, I, I, I, I, I, I, I, I, I
Feel like we about to break up
I, I, I, I, I, I, I, I, I, I
Just wanna kiss and make up one last time

Touch me like you touch nobody
Put your hands all up on me
Tired of hearing sorry
Kiss and make, kiss, kiss and make up
How about we leave this party?
'Cause all I want is you up on me
Tired of hearing sorry
Kiss and make, kiss, kiss and make up
Kiss, kiss and make up
Kiss and make, kiss, kiss and make up
Kiss, kiss and make up
Kiss and make, kiss, kiss and make up

그게 뭐가 되었건 다 필요 없어, 너면 됐어
So tell me, can we work this whole thing out?
Work this whole thing out
날 첨 만났던, 설레던 순간 그때처럼
So tell me, can we work this whole thing out?
Work this whole thing out
Kiss, kiss and make up

Touch me like you touch nobody
Put your hands all up on me
Tired of hearing sorry
Kiss and make, kiss, kiss and make up
How about we leave this party?
'Cause all I want is you up on me
Tired of hearing sorry
Kiss and make, kiss, kiss and make up
Kiss, kiss and make up
Kiss and make, kiss, kiss and make up
Kiss, kiss and make up
Kiss and make, kiss, kiss and make up

Kiss, kiss and make up
Kiss and make, kiss, kiss and make up
Kiss, kiss and make up
Kiss and make, kiss, kiss and make up"
"8","Be the One","Dua Lipa","Future Nostalgia + Dua Lipa (Box Set Limited Edition)","","October 30, 2015","708443","404","50","","https://genius.com/Dua-lipa-be-the-one-lyrics","2342780","I see the moon, I see the moon, I see the moon
Oh, when you're looking at the sun
You're not a fool, I'm not a fool, not a fool
No, you're not fooling anyone

Oh, but when you're gone, when you're gone, when you're gone
Oh, baby, all the lights go out
Thinking now that maybe I was wrong, I was wrong, I was wrong
Come back to me, baby, we can work this out

Oh, baby, come on, let me get to know you
Just another chance so that I can show
That I won't let you down and run
No, I won't let you down and run
'Cause I could be the one
I could be the one

I could be the one
I could be the one

I see in blue, I see in blue, I see in blue
Oh, when you see everything in red
There is nothing that I wouldn't do for you, do for you, do for you
Oh, 'cause you got inside my head

Oh, but when you're gone, when you're gone, when you're gone
Oh, baby, all the lights go out
Thinking now that maybe I was wrong, I was wrong, I was wrong
Come back to me, baby, we can work this out

Oh, baby, come on, let me get to know you
Just another chance so that I can show
That I won't let you down and run
No, I won't let you down and run
'Cause I could be the one
I could be the one

I could be the one
Be the one, be the one, be the one
Be the one, be the one, be the one
I could be the one
Be the one, be the one, be the one
Be the one, be the one, be the one
I could be the one
Be the one, be the one, be the one
Be the one, be the one, be the one
I could be the one
Be the one, be the one, be the one
Be the one, be the one, be the one
Will you be mine?

Oh, baby, come on, let me get to know you
Just another chance so that I can show
That I won't let you down and run
No, I won't let you down and run
'Cause I could be the one
I could be the one

I could be the one"
"9","Levitating (Remix)","Dua Lipa","Future Nostalgia + Dua Lipa (Box Set Limited Edition)","","October 2, 2020","678567","637","83","DaBaby","https://genius.com/Dua-lipa-levitating-remix-lyrics","5992353","Billboard Baby, Dua Lipa make 'em dance when it come on
Everybody lookin' for a dancefloor to run on

If you wanna run away with me, I know a galaxy
And I can take you for a ride
I had a premonition that we fell into a rhythm
Where the music don't stop for life
Glitter in the sky, glitter in my eyes
Shining just the way I like
If you're feeling like you need a little bit of company
You met me at the perfect time

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yеah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, comе on, dance with me
I'm levitating
You, moonlight, you're my starlight (You're the moonlight)
I need you all night, come on, dance with me
I'm levitating

I'm one of the greatest, ain't no debatin' on it (Let's go)
I'm still levitated, I'm heavily medicated
Ironic I gave 'em love and they end up hatin' on me (Go)
She told me she love me and she been waitin'
Been fightin' hard for your love and I'm runnin' thin on my patience
Needed someone to hug, even took it back to the basics
You see what you got me out here doin'? (Yeah)
Mighta threw me off, but can't nobody stop the movement
Uh-uh, let's go
Left foot, right foot, levitatin' (C'mon)
Pop stars (Go), Dua Lipa with DaBaby
I had to lace my shoes for all the blessings I was chasin' (Go)
If I ever slip, I'll fall into a better situation
So catch up, go put some cheese on it
Get out and get your bread up (Yeah, yeah)
They always leave when you fall, but you run together (Hey)
Weight of the world on my shoulders, I kept my head up
Now, baby, stand up, 'cause, girl, you

You want me (Hey), I want you, baby (Hey)
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yeah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (You're the moonlight)
I need you all night, come on, dance with me
I'm levitating

You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah
I'm levitating (Woo)
You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Woo)

My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah
My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading

I got you (Yeah), moonlight, you're my starlight
I need you all night (All night), come on, dance with me (Let's go)
I'm levitating (Woo)

You can fly away with me tonight (Tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Take you for a ride)
I'm levitating (Woo)
You can fly away with me tonight (Tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Let me take you for a ride)

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating"
"10","Physical","Dua Lipa","Future Nostalgia + Dua Lipa (Box Set Limited Edition)","","January 30, 2020","581652","348","55","","https://genius.com/Dua-lipa-physical-lyrics","5153374","Common love isn't for us
We created something phenomenal
Don't you agree?
Don't you agree?
You got me feeling diamond rich
Nothing on this planet compares to it
Don't you agree?
Don't you agree?

Who needs to go to sleep when I got you next to me?

All night, I'll riot with you
I know you got my back and you know I got you
So come on (Come on), come on (Come on), come on (Come on)
Let's get physical
Lights out, follow the noise
Baby, keep on dancing like you ain't got a choice
So come on (Come on), come on (Come on), come on
Let's get physical

Adrenaline keeps on rushing in
Love the simulation we're dreaming in
Don't you agree?
Don't you agree?
I don't wanna live another life
'Cause this one's pretty nice
Living it up

Who needs to go to sleep when I got you next to me?

All night, I'll riot with you
I know you got my back and you know I got you
So come on (Come on), come on (Come on), come on (Come on)
Let's get physical
Lights out, follow the noise
Baby, keep on dancing like you ain't got a choice
So come on (Come on), come on (Come on), come on
Let's get physical

Hold on just a little tighter
Come on, hold on, tell me if you're ready
Come on (Come on, come on)
Baby, keep on dancing
Let's get physical
Hold on just a little tighter
Come on, hold on, tell me if you're ready
Come on (Come on, come on)
Baby, keep on dancing
Let's get physical

All night, I'll riot with you
I know you got my back and you know I got you
So come on, come on, come on
Let's get physical
Lights out, follow the noise
Baby, keep on dancing like you ain't got a choice
So come on (Come on), come on (Come on), come on
Let's get physical (Physical, physical)

Let's get physical (Physical, physical)
Physical (Physical, physical)
Let's get physical (Physical, physical)
Come on, phy-phy-phy-physical"
