word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1151,50,Anything For Love; Bad Together; Bang Bang; Be the One; Begging; Blow Your Mind (Mwah); Boys Will Be Boys; Break My Heart; Cool; Dance The Night; Don’t Start Now; Dreams; End Of An Era; Falling Forever; Fever; French Exit; Future Nostalgia; Garden; Genesis; Good in Bed; Hallucinate; Happy For You; Homesick; Hotter Than Hell; Houdini; IDGAF; If It Ain’t Me; Illusion; Kiss and Make Up; Last Dance; Levitating; Levitating (Remix); Lost in Your Light; Love Again; Maria; New Love; New Rules; No Goodbyes; Physical; Pretty Please; Room for 2; Swan Song; That Kind of Woman; These Walls; Thinking ’Bout You; Training Season; Training Season (Extended); Want To; We’re Good; Whatcha Doing,23.02,True,1
you,you,PRON,922,49,Anything For Love; Bad Together; Bang Bang; Be the One; Begging; Blow Your Mind (Mwah); Boys Will Be Boys; Break My Heart; Cool; Dance The Night; Don’t Start Now; Dreams; End Of An Era; Falling Forever; Fever; French Exit; Future Nostalgia; Garden; Genesis; Good in Bed; Hallucinate; Happy For You; Homesick; Hotter Than Hell; Houdini; IDGAF; If It Ain’t Me; Illusion; Kiss and Make Up; Last Dance; Levitating; Levitating (Remix); Lost in Your Light; Love Again; Maria; New Love; New Rules; No Goodbyes; Physical; Pretty Please; Room for 2; Swan Song; That Kind of Woman; These Walls; Thinking ’Bout You; Training Season; Training Season (Extended); We’re Good; Whatcha Doing,18.82,True,2
me,i,PRON,500,45,Anything For Love; Bad Together; Bang Bang; Be the One; Begging; Blow Your Mind (Mwah); Break My Heart; Cool; Dance The Night; Don’t Start Now; Dreams; End Of An Era; Falling Forever; Fever; Future Nostalgia; Garden; Genesis; Good in Bed; Hallucinate; Homesick; Hotter Than Hell; Houdini; IDGAF; If It Ain’t Me; Illusion; Kiss and Make Up; Last Dance; Levitating; Levitating (Remix); Lost in Your Light; Love Again; New Love; New Rules; No Goodbyes; Physical; Pretty Please; Room for 2; Swan Song; That Kind of Woman; Thinking ’Bout You; Training Season; Training Season (Extended); Want To; We’re Good; Whatcha Doing,11.11,True,3
the,the,DET,396,49,Anything For Love; Bad Together; Bang Bang; Be the One; Begging; Blow Your Mind (Mwah); Boys Will Be Boys; Break My Heart; Cool; Dance The Night; Don’t Start Now; Dreams; End Of An Era; Falling Forever; French Exit; Future Nostalgia; Garden; Genesis; Good in Bed; Hallucinate; Happy For You; Homesick; Hotter Than Hell; Houdini; IDGAF; If It Ain’t Me; Illusion; Kiss and Make Up; Last Dance; Levitating; Levitating (Remix); Lost in Your Light; Love Again; Maria; New Love; New Rules; No Goodbyes; Physical; Pretty Please; Room for 2; Swan Song; That Kind of Woman; These Walls; Thinking ’Bout You; Training Season; Training Season (Extended); Want To; We’re Good; Whatcha Doing,8.08,True,4
n't,not,PART,390,47,Anything For Love; Bad Together; Bang Bang; Be the One; Begging; Blow Your Mind (Mwah); Boys Will Be Boys; Break My Heart; Dance The Night; Don’t Start Now; Dreams; Falling Forever; Fever; French Exit; Future Nostalgia; Garden; Genesis; Good in Bed; Hallucinate; Happy For You; Hotter Than Hell; Houdini; IDGAF; If It Ain’t Me; Illusion; Kiss and Make Up; Last Dance; Levitating; Levitating (Remix); Lost in Your Light; Love Again; Maria; New Love; New Rules; No Goodbyes; Physical; Pretty Please; Room for 2; Swan Song; That Kind of Woman; These Walls; Thinking ’Bout You; Training Season; Training Season (Extended); Want To; We’re Good; Whatcha Doing,8.3,True,5
to,to,PART,336,46,Anything For Love; Bad Together; Bang Bang; Be the One; Begging; Boys Will Be Boys; Break My Heart; Cool; Dance The Night; Don’t Start Now; Dreams; End Of An Era; Falling Forever; French Exit; Future Nostalgia; Garden; Genesis; Good in Bed; Hallucinate; Happy For You; Homesick; Hotter Than Hell; Houdini; IDGAF; If It Ain’t Me; Illusion; Kiss and Make Up; Last Dance; Levitating; Levitating (Remix); Lost in Your Light; Love Again; Maria; New Love; New Rules; No Goodbyes; Physical; Room for 2; Swan Song; That Kind of Woman; These Walls; Training Season; Training Season (Extended); Want To; We’re Good; Whatcha Doing,7.3,True,6
it,it,PRON,322,46,Anything For Love; Bad Together; Begging; Blow Your Mind (Mwah); Boys Will Be Boys; Break My Heart; Cool; Dance The Night; Don’t Start Now; Dreams; End Of An Era; Falling Forever; Fever; French Exit; Future Nostalgia; Garden; Genesis; Good in Bed; Hallucinate; Happy For You; Homesick; Hotter Than Hell; Houdini; IDGAF; If It Ain’t Me; Illusion; Last Dance; Levitating; Levitating (Remix); Lost in Your Light; Love Again; Maria; New Love; New Rules; No Goodbyes; Physical; Pretty Please; Room for 2; Swan Song; That Kind of Woman; These Walls; Thinking ’Bout You; Training Season; Training Season (Extended); Want To; We’re Good,7.0,True,7
my,my,PRON,311,38,Bad Together; Bang Bang; Be the One; Begging; Break My Heart; Cool; Dance The Night; Dreams; End Of An Era; Fever; Future Nostalgia; Genesis; Good in Bed; Hallucinate; Homesick; Hotter Than Hell; Houdini; IDGAF; If It Ain’t Me; Illusion; Kiss and Make Up; Last Dance; Levitating; Levitating (Remix); Lost in Your Light; Love Again; New Love; New Rules; Physical; Pretty Please; Room for 2; Swan Song; Thinking ’Bout You; Training Season; Training Season (Extended); Want To; We’re Good; Whatcha Doing,8.18,True,8
and,and,CCONJ,303,47,Anything For Love; Bad Together; Bang Bang; Be the One; Begging; Blow Your Mind (Mwah); Boys Will Be Boys; Break My Heart; Cool; Dance The Night; Dreams; End Of An Era; Falling Forever; Fever; French Exit; Garden; Genesis; Good in Bed; Hallucinate; Happy For You; Homesick; Hotter Than Hell; Houdini; IDGAF; If It Ain’t Me; Illusion; Kiss and Make Up; Last Dance; Levitating; Levitating (Remix); Lost in Your Light; Love Again; Maria; New Love; New Rules; No Goodbyes; Physical; Pretty Please; Room for 2; That Kind of Woman; These Walls; Thinking ’Bout You; Training Season; Training Season (Extended); Want To; We’re Good; Whatcha Doing,6.45,True,9
s,be,AUX,289,47,Anything For Love; Bad Together; Bang Bang; Blow Your Mind (Mwah); Boys Will Be Boys; Break My Heart; Cool; Dance The Night; Don’t Start Now; Dreams; End Of An Era; Falling Forever; French Exit; Future Nostalgia; Garden; Genesis; Good in Bed; Hallucinate; Happy For You; Homesick; Hotter Than Hell; Houdini; IDGAF; If It Ain’t Me; Illusion; Kiss and Make Up; Last Dance; Levitating; Levitating (Remix); Lost in Your Light; Love Again; Maria; New Love; New Rules; No Goodbyes; Physical; Pretty Please; Room for 2; Swan Song; That Kind of Woman; These Walls; Thinking ’Bout You; Training Season; Training Season (Extended); Want To; We’re Good; Whatcha Doing,6.15,True,10
do,do,AUX,260,45,Anything For Love; Bad Together; Bang Bang; Be the One; Begging; Blow Your Mind (Mwah); Boys Will Be Boys; Break My Heart; Cool; Dance The Night; Don’t Start Now; Dreams; Falling Forever; Fever; French Exit; Future Nostalgia; Garden; Genesis; Good in Bed; Hallucinate; Homesick; Houdini; IDGAF; If It Ain’t Me; Illusion; Kiss and Make Up; Last Dance; Levitating; Levitating (Remix); Lost in Your Light; Love Again; New Love; New Rules; No Goodbyes; Physical; Pretty Please; Room for 2; Swan Song; That Kind of Woman; These Walls; Training Season; Training Season (Extended); Want To; We’re Good; Whatcha Doing,5.78,True,11
we,we,PRON,220,30,Anything For Love; Bad Together; Bang Bang; Be the One; Begging; Blow Your Mind (Mwah); Boys Will Be Boys; Cool; Dreams; End Of An Era; Falling Forever; Garden; Genesis; Good in Bed; Hotter Than Hell; IDGAF; If It Ain’t Me; Kiss and Make Up; Last Dance; Levitating; Levitating (Remix); Maria; New Love; No Goodbyes; Physical; Pretty Please; Room for 2; Swan Song; These Walls; We’re Good,7.33,True,12
m,be,AUX,210,38,Anything For Love; Bad Together; Be the One; Begging; Blow Your Mind (Mwah); Boys Will Be Boys; Break My Heart; Cool; Don’t Start Now; Dreams; Falling Forever; French Exit; Future Nostalgia; Garden; Genesis; Hallucinate; Happy For You; Homesick; Hotter Than Hell; Houdini; IDGAF; If It Ain’t Me; Illusion; Kiss and Make Up; Last Dance; Levitating; Levitating (Remix); Lost in Your Light; Love Again; Maria; New Rules; Room for 2; Swan Song; Training Season; Training Season (Extended); Want To; We’re Good; Whatcha Doing,5.53,True,13
