"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Shape of You","Ed Sheeran","+–=÷× (TOUR COLLECTION)","","January 6, 2017","15691134","699","91","","https://genius.com/Ed-sheeran-shape-of-you-lyrics","2949128","A club isn't the best place to find a lover
So the bar is where I go (Mm)
Me and my friends at the table doin' shots
Drinkin' fast and then we talk slow (Mm)
And you come over and start up a conversation with just me
And trust me, I'll give it a chance now (Mm)
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance, and now I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

One week in, we let the story begin
We're goin' out on our first date (Mm)
You and me are thrifty, so go all-you-can-eat
Fill up your bag and I fill up a plate (Mm)
We talk for hours and hours about the sweet and the sour
And how your family is doin' okay (Mm)
And leave and get in a taxi, and kiss in the back seat
Tell the driver make the radio play and I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you"
"2","Perfect","Ed Sheeran","+–=÷× (TOUR COLLECTION)","","March 3, 2017","7788763","297","35","","https://genius.com/Ed-sheeran-perfect-lyrics","2953761","I found a love for me
Oh, darlin', just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waitin' for me

'Cause we were just kids when we fell in love
Not knowin' what it was
I will not give you up this time
But, darlin', just kiss me slow
Your heart is all I own
And in your eyes, you're holdin' mine

Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, ""Darlin', you look perfect tonight""

Well, I found a woman stronger than anyone I know
She shares my dreams, I hope that, someday, I'll share her home
I found a love to carry more than just my secrets
To carry love, to carry children of our own

We are still kids, but we're so in love
Fightin' against all odds
I know we'll be alright this time
Darlin', just hold my hand
Be my girl, I'll be your man
I see my future in your eyes

Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When I saw you in that dress, lookin' so beautiful
I don't deserve this, darlin', you look perfect tonight

No, no, no
Mm, no, no

Baby, I'm dancin' in the dark with you between my arms
We're barefoot on the grass, oh, listenin' to our favourite song
I have faith in what I see, now I know I have met
An angel in person and she looks perfect
I don't deserve this, you look perfect tonight"
"3","Photograph","Ed Sheeran","× (Multiply) [Wembley Edition]","","June 23, 2014","4487363","324","51","","https://genius.com/Ed-sheeran-photograph-lyrics","451776","Lovin' can hurt
Lovin' can hurt sometimes
But it's the only thing that I know
And when it gets hard
You know it can get hard sometimes
It is the only thing that makes us feel alive

We keep this love in a photograph
We made these memories for ourselves
Where our eyes are never closin'
Hearts are never broken
And time's forever frozen still

So you can keep me
Inside the pocket of your ripped jeans
Holdin' me closer 'til our eyes meet
You won't ever be alone
Wait for me to come home

Lovin' can heal
Lovin' can mend your soul
And it's the only thing that I know, know
I swear it will get easier
Remember that with every piece of ya
Mm, and it's the only thing we take with us when we die

Mm, we keep this love in this photograph
We made these memories for ourselves
Where our eyes are never closin'
Hearts were never broken
And time's forever frozen still

So you can keep me
Inside the pocket of your ripped jeans
Holdin' me closer 'til our eyes meet
You won't ever be alone
And if you hurt me
Well, that's okay, baby, only words bleed
Inside these pages, you just hold me
And I won't ever let you go
Wait for me to come home

Wait for me to come home
Wait for me to come home
Wait for me to come home

Oh, you can fit me
Inside that necklace you got when you were sixteen
Next to your heartbeat, where I should be
Keep it deep within your soul
And if you hurt me
Well, that's okay, baby, only words bleed
Inside these pages, you just hold me
And I won't ever let you go

When I'm away, I will remember how you kissed me
Under the lamppost back on Sixth Street
Hearin' you whisper through the phone
""Wait for me to come home"""
"4","Castle on the Hill","Ed Sheeran","+–=÷× (TOUR COLLECTION)","","January 6, 2017","2489539","345","43","","https://genius.com/Ed-sheeran-castle-on-the-hill-lyrics","2949338","When I was six years old, I broke my leg
I was runnin' from my brother and his friends
And tasted the sweet perfume of the mountain grass I rolled down
I was younger then, take me back to when I

Found my heart and broke it here
Made friends and lost them through the years
And I've not seen the roaring fields in so long, I know I've grown
But I can't wait to go home

I'm on my way
Drivin' at ninety down those country lanes
Singin' to ""Tiny Dancer""
And I miss the way you make me feel and it's real
We watched the sunset over the castle on the hill

Fifteen years old and smoking hand-rolled cigarettes
Runnin' from the law through the backfields and gettin' drunk with my friends
Had my first kiss on a Friday night, I don't reckon that I did it right
But I was younger then, take me back to when

We found weekend jobs, when we got paid
We'd buy cheap spirits and drink them straight
Me and my friends have not thrown up in so long, oh, how we've grown
But I can't wait to go home

I'm on my way
Drivin' at ninety down those country lanes
Singin' to ""Tiny Dancer""
And I miss the way you make me feel and it's real
We watched the sunset over the castle on the hill
Over the castle on the hill
Over the castle on the hill

One friend left to sell clothes
One works down by the coast
One had two kids but lives alone
One's brother overdosed
One's already on his second wife
One's just barely gettin' by
But these people raised me
And I can't wait to go home

And I'm on my way, I still remember
These old country lanes
When we did not know the answers
And I miss the way you make me feel and it's real
We watched the sunset over the castle on the hill
Over the castle on the hill
Over the castle on the hill"
"5","Thinking Out Loud","Ed Sheeran","× (Multiply) [Wembley Edition]","","June 23, 2014","2381775","325","38","","https://genius.com/Ed-sheeran-thinking-out-loud-lyrics","437103","When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love?
Will your eyes still smile from your cheeks?
And darlin', I will be lovin' you till we're seventy
And baby, my heart could still fall as hard at twenty-three

And I'm thinkin' 'bout how
People fall in love in mysterious ways
Maybe just the touch of a hand
Well, me, I fall in love with you every single day
And I just wanna tell you I am

So honey, now, take me into your lovin' arms
Kiss me under the light of a thousand stars
And place your head on my beatin' heart, I'm thinkin' out loud
Maybe we found love right where we are

When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way, mmm
I know you will still love me the same
'Cause, honey, your soul could never grow old, it's evergreen
And baby, your smile's forever in my mind and memory

I'm thinkin' 'bout how
People fall in love in mysterious ways
And maybe it's all part of a plan
Oh, I'll just keep on makin' the same mistakes
Hoping that you'll understand

That, baby, now, take me into your lovin' arms
Kiss me under the light of a thousand stars
Place your head on my beatin' heart, I'm thinkin' out loud
And maybe we found love right where we are, oh-oh

Lo-lo-lo, lo-lo-lo
Lo-lo-lo, lo-lo-lo, love

So baby, now, take me into your lovin' arms
And kiss me under the light of a thousand stars, oh, darlin'
Place your head on my beatin' heart, I'm thinkin' out loud
That maybe we found love right where we are
Oh, maybe we found love right where we are
And we found love right where we are"
"6","Supermarket Flowers","Ed Sheeran","÷ (Divide) [French Collector’s Edition]","","March 3, 2017","2294978","271","38","","https://genius.com/Ed-sheeran-supermarket-flowers-lyrics","2953767","I took the supermarket flowers from the windowsill
I threw the day-old tea from the cup
Packed up the photo album Matthew had made
Memories of a life that's been loved
Took the get-well-soon cards and stuffed animals
Poured the old ginger beer down the sink
Dad always told me, ""Don't you cry when you're down""
But, Mum, there's a tear every time that I blink

Oh, I'm in pieces, it's tearing me up, but I know
A heart that's broke is a heart that's been loved

So I'll sing Hallelujah
You were an angel in the shape of my mum
When I fell down, you'd be there holding me up
Spread your wings as you go
When God takes you back
He'll say, ""Hallelujah, you're home""

I fluffed the pillows, made the beds, stacked the chairs up
Folded your nightgowns neatly in a case
John says he'd drive then put his hand on my cheek
And wiped a tear from the side of my face

And I hope that I see the world as you did 'cause I know
A life with love is a life that's been lived

So I'll sing Hallelujah
You were an angel in the shape of my mum
When I fell down, you'd be there holding me up
Spread your wings as you go
When God takes you back
He'll say, ""Hallelujah, you're home""

(Ooh)
(Ooh)
(Ooh)
(Ooh)

Hallelujah
You were an angel in the shape of my mum
You got to see the person I have become
Spread your wings and I know
That when God took you back
He said, ""Hallelujah, you're home"""
"7","Happier","Ed Sheeran","+–=÷× (TOUR COLLECTION)","","March 3, 2017","2163584","259","33","","https://genius.com/Ed-sheeran-happier-lyrics","2953764","Walkin' down 29th and Park
I saw you in another's arm
Only a month we've been apart
You look happier
Saw you walk inside a bar
He said somethin' to make you laugh
I saw that both your smiles were twice as wide as ours
Yeah, you look happier, you do

Ain't nobody hurt you like I hurt you
But ain't nobody love you like I do
Promise that I will not take it personal, baby
If you're movin' on with someone new

'Cause, baby, you look happier, you do
My friends told me one day I'll feel it, too
And until then, I'll smile to hide the truth
But I know I was happier with you

Hey-yeah, hey-yeah, hey-yeah

Sat in the corner of the room
Everything's reminding me of you
Nursin' an empty bottle and tellin' myself
You're happier, aren't you? (Hey-yeah, hey-yeah, hey-yeah)

Oh, ain't nobody hurt you like I hurt you (Hey-yeah, hey-yeah, hey-yeah)
But ain't nobody need you like I do (Hey-yeah, hey-yeah, hey-yeah)
I know that there's others that deserve you (Hey-yeah, hey-yeah, hey-yeah)
But, my darlin', I am still in love with you

But I guess you look happier, you do
My friends told me one day I'll feel it, too
I could try to smile to hide the truth
But I know I was happier with you

'Cause, baby, you look happier, you do
I knew one day you'd fall for someone new
But if he breaks your heart like lovers do
Just know that I'll be waitin' here for you"
"8","Perfect Duet","Ed Sheeran","Perfect (Duet) (with Beyoncé)","","December 1, 2017","2044374","300","36","","https://genius.com/Ed-sheeran-and-beyonce-perfect-duet-lyrics","3343029","I found a love for me
Oh, darling, just dive right in and follow my lead
Well, I found a girl beautiful and sweet
Oh, I never knew you were the someone waitin' for me

'Cause we were just kids when we fell in love
Not knowin' what it was
I will not give you up this time
But, darling, just kiss me slow
Your heart is all I own
And in your eyes, you're holding mine

Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, darling, you look perfect tonight

Well, I found a man stronger than anyone I know
He shares my dreams, I hope that someday we'll share a home
I found a love to carry more than just my secrets
To carry love, to carry children of our own

We are still kids, but we're so in love
Fighting against all odds
I know we'll be alright this time
Darling, just hold my hand
Be your girl, you'll be my man
And I see my future in your eyes

Well, baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favorite song
When I saw you in that dress looking so beautiful
I don't deserve this, darling, you look perfect tonight

Ah, no, no, no
Ah-ah-oh

Baby, I'm dancin' in the dark with you between my arms
Oh, barefoot on the grass while listenin' to our favorite song
I have faith in what I see
Now, I know I have met an angel in person
And she (He) looks perfect
No, I don't deserve this, you look perfect tonight"
"9","Galway Girl","Ed Sheeran","+–=÷× (TOUR COLLECTION)","","March 3, 2017","1981311","484","50","","https://genius.com/Ed-sheeran-galway-girl-lyrics","2953763","She played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just wanna dance""

I met her on Grafton Street right outside of the bar
She shared a cigarette with me while her brother played the guitar
She asked me what does it mean, the Gaelic ink on your arm?
Said it was one of my friend's songs, do you wanna drink on?
She took Jamie as a chaser, Jack for the fun
She got Arthur on the table with Johnny riding a shotgun
Chatted some more, one more drink at the bar
Then put Van on the jukebox, got up to dance

You know, she played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just wanna dance""
With my pretty little Galway Girl
You're my pretty little Galway Girl

You know she beat me at darts and then she beat me at pool
And then she kissed me like there was nobody else in the room
As last orders were called was when she stood on the stool
After dancing the céili singing to trad tunes
I never heard Carrickfergus ever sung so sweet
A cappella in the bar using her feet for a beat
Oh, I could have that voice playing on repeat for a week
And in this packed out room, swear she was singing to me

You know, she played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just wanna dance""
My pretty little Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl

And now we've outstayed our welcome and it's closing time
I was holding her hand, her hand was holding mine
Our coats both smell of smoke, whisky and wine
As we fill up our lungs with the cold air of the night
I walked her home then she took me inside
To finish some Doritos and another bottle of wine
I swear I'm gonna put you in a song that I write
About a Galway Girl and a perfect night

She played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just wanna dance""
My pretty little Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl (Hey)"
"10","The A Team","Ed Sheeran","+–=÷× (TOUR COLLECTION)","","June 12, 2011","1896528","346","70","","https://genius.com/Ed-sheeran-the-a-team-lyrics","60449","White lips, pale face
Breathin' in the snowflakes
Burnt lungs, sour taste
Light's gone, days end
Struggling to pay rent
Long nights, strange men

And they say
She's in the Class A Team
Stuck in her daydream
Been this way since eighteen, but lately
Her face seems
Slowly sinking, wasting
Crumbling like pastries
And they scream
""The worst things in life come free to us""

'Cause we're just under the upper hand
And go mad for a couple grams
And she don't wanna go outside tonight
And in a pipe, she flies to the Motherland
Or sells love to another man
It's too cold outside
For angels to fly
Angels to fly

Ripped gloves, raincoat
Tried to swim and stay afloat
Dry house, wet clothes
Loose change, banknotes
Weary-eyed, dry throat
Call girl, no phone

And they say
She's in the Class A Team
Stuck in her daydream
Been this way since eighteen, but lately
Her face seems
Slowly sinking, wasting
Crumbling like pastries
And they scream
""The worst things in life come free to us""

'Cause we're just under the upper hand
And go mad for a couple grams
But she don't wanna go outside tonight
And in a pipe, she flies to the Motherland
Or sells love to another man
It's too cold outside
For angels to fly

An angel will die, covered in white
Closed eye and hopin' for a better life
This time, we'll fade out tonight
Straight down the line

And they say
She's in the Class A Team
Stuck in her daydream
Been this way since eighteen, but lately
Her face seems
Slowly sinking, wasting
Crumbling like pastries
And they scream
""The worst things in life come free to us""

And we're all under the upper hand
And go mad for a couple grams
And we don't wanna go outside tonight
And in a pipe, we fly to the Motherland
Or sell love to another man
It's too cold outside
For angels to fly

Angels to fly
Fly, fly
For angels to fly
To fly, to fly
Angels to die"
