word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
i,i,PRON,1333,49,"Afire Love; Afterglow; Antisocial; Azizam; Bad Habits; Barcelona; Beautiful People; Bibia Be Ye Ye; Bloodstream; Castle on the Hill; Cross Me; Dive; Don’t; Eraser; Eyes Closed; Galway Girl; Give Me Love; Happier; Hearts Don’t Break Around Here; How Would You Feel (Paean); I Don’t Care; I See Fire; I’m a Mess; Kiss Me; Lego House; Merry Christmas; Nancy Mulligan; New Man; One; Perfect; Perfect Duet; Perfect Symphony; Photograph; Remember the Name; Sapphire; Save Myself; Shape of You; Shape of You (Stormzy Remix); Shivers; Sing; South of the Border; Supermarket Flowers; Take Me Back To London; Tenerife Sea; Thinking Out Loud; Visiting Hours; What Do I Know?; You Need Me, I Don’t Need You; You Need Me, I Don’t Need You (Live at The Live Room)",27.2,True,1
you,you,PRON,832,49,"Afire Love; Afterglow; Antisocial; Azizam; Bad Habits; Barcelona; Beautiful People; Bibia Be Ye Ye; Bloodstream; Castle on the Hill; Cross Me; Dive; Don’t; Eraser; Eyes Closed; Galway Girl; Give Me Love; Happier; Hearts Don’t Break Around Here; How Would You Feel (Paean); I Don’t Care; I See Fire; I’m a Mess; Kiss Me; Lego House; Merry Christmas; Nancy Mulligan; New Man; One; Perfect; Perfect Duet; Perfect Symphony; Photograph; Remember the Name; Sapphire; Save Myself; Shape of You; Shape of You (Stormzy Remix); Shivers; Sing; South of the Border; Supermarket Flowers; Take Me Back To London; Tenerife Sea; Thinking Out Loud; Visiting Hours; What Do I Know?; You Need Me, I Don’t Need You; You Need Me, I Don’t Need You (Live at The Live Room)",16.98,True,2
the,the,DET,792,50,"Afire Love; Afterglow; Antisocial; Azizam; Bad Habits; Barcelona; Beautiful People; Bibia Be Ye Ye; Bloodstream; Castle on the Hill; Cross Me; Dive; Don’t; Eraser; Eyes Closed; Galway Girl; Give Me Love; Happier; Hearts Don’t Break Around Here; How Would You Feel (Paean); I Don’t Care; I See Fire; I’m a Mess; Kiss Me; Lego House; Merry Christmas; Nancy Mulligan; New Man; One; Perfect; Perfect Duet; Perfect Symphony; Photograph; Remember the Name; Sapphire; Save Myself; Shape of You; Shape of You (Stormzy Remix); Shivers; Sing; South of the Border; Supermarket Flowers; Take Me Back To London; Tenerife Sea; The A Team; Thinking Out Loud; Visiting Hours; What Do I Know?; You Need Me, I Don’t Need You; You Need Me, I Don’t Need You (Live at The Live Room)",15.84,True,3
my,my,PRON,658,46,"Afire Love; Afterglow; Antisocial; Bad Habits; Barcelona; Beautiful People; Bibia Be Ye Ye; Bloodstream; Castle on the Hill; Cross Me; Dive; Don’t; Eraser; Eyes Closed; Galway Girl; Give Me Love; Happier; Hearts Don’t Break Around Here; How Would You Feel (Paean); I Don’t Care; I See Fire; I’m a Mess; Kiss Me; Lego House; Merry Christmas; Nancy Mulligan; New Man; One; Perfect; Perfect Duet; Perfect Symphony; Remember the Name; Sapphire; Save Myself; Shape of You; Shape of You (Stormzy Remix); Shivers; Sing; South of the Border; Supermarket Flowers; Take Me Back To London; Thinking Out Loud; Visiting Hours; What Do I Know?; You Need Me, I Don’t Need You; You Need Me, I Don’t Need You (Live at The Live Room)",14.3,True,4
and,and,CCONJ,603,50,"Afire Love; Afterglow; Antisocial; Azizam; Bad Habits; Barcelona; Beautiful People; Bibia Be Ye Ye; Bloodstream; Castle on the Hill; Cross Me; Dive; Don’t; Eraser; Eyes Closed; Galway Girl; Give Me Love; Happier; Hearts Don’t Break Around Here; How Would You Feel (Paean); I Don’t Care; I See Fire; I’m a Mess; Kiss Me; Lego House; Merry Christmas; Nancy Mulligan; New Man; One; Perfect; Perfect Duet; Perfect Symphony; Photograph; Remember the Name; Sapphire; Save Myself; Shape of You; Shape of You (Stormzy Remix); Shivers; Sing; South of the Border; Supermarket Flowers; Take Me Back To London; Tenerife Sea; The A Team; Thinking Out Loud; Visiting Hours; What Do I Know?; You Need Me, I Don’t Need You; You Need Me, I Don’t Need You (Live at The Live Room)",12.06,True,5
me,i,PRON,540,46,"Afire Love; Antisocial; Azizam; Barcelona; Beautiful People; Bibia Be Ye Ye; Bloodstream; Castle on the Hill; Cross Me; Dive; Don’t; Eraser; Eyes Closed; Galway Girl; Give Me Love; Happier; Hearts Don’t Break Around Here; How Would You Feel (Paean); I Don’t Care; I See Fire; I’m a Mess; Kiss Me; Lego House; Merry Christmas; New Man; One; Perfect; Perfect Duet; Perfect Symphony; Photograph; Remember the Name; Sapphire; Save Myself; Shape of You; Shape of You (Stormzy Remix); Shivers; Sing; South of the Border; Supermarket Flowers; Take Me Back To London; Tenerife Sea; Thinking Out Loud; Visiting Hours; What Do I Know?; You Need Me, I Don’t Need You; You Need Me, I Don’t Need You (Live at The Live Room)",11.74,True,6
in,in,ADP,432,48,"Afire Love; Afterglow; Antisocial; Azizam; Barcelona; Beautiful People; Bibia Be Ye Ye; Bloodstream; Castle on the Hill; Cross Me; Dive; Don’t; Eraser; Eyes Closed; Galway Girl; Give Me Love; Happier; Hearts Don’t Break Around Here; How Would You Feel (Paean); I Don’t Care; I See Fire; I’m a Mess; Kiss Me; Lego House; Merry Christmas; Nancy Mulligan; New Man; Perfect; Perfect Duet; Perfect Symphony; Photograph; Remember the Name; Sapphire; Save Myself; Shape of You; Shape of You (Stormzy Remix); Shivers; Sing; South of the Border; Supermarket Flowers; Take Me Back To London; Tenerife Sea; The A Team; Thinking Out Loud; Visiting Hours; What Do I Know?; You Need Me, I Don’t Need You; You Need Me, I Don’t Need You (Live at The Live Room)",9.0,True,7
a,a,DET,354,49,"Afire Love; Afterglow; Antisocial; Azizam; Bad Habits; Barcelona; Beautiful People; Bibia Be Ye Ye; Bloodstream; Castle on the Hill; Cross Me; Dive; Don’t; Eraser; Eyes Closed; Galway Girl; Give Me Love; Happier; Hearts Don’t Break Around Here; How Would You Feel (Paean); I Don’t Care; I See Fire; I’m a Mess; Kiss Me; Lego House; Merry Christmas; Nancy Mulligan; New Man; One; Perfect; Perfect Duet; Perfect Symphony; Photograph; Remember the Name; Save Myself; Shape of You; Shape of You (Stormzy Remix); Shivers; Sing; South of the Border; Supermarket Flowers; Take Me Back To London; Tenerife Sea; The A Team; Thinking Out Loud; Visiting Hours; What Do I Know?; You Need Me, I Don’t Need You; You Need Me, I Don’t Need You (Live at The Live Room)",7.22,True,8
n't,not,PART,352,42,"Afire Love; Afterglow; Antisocial; Azizam; Bad Habits; Barcelona; Beautiful People; Bibia Be Ye Ye; Bloodstream; Castle on the Hill; Cross Me; Dive; Don’t; Eraser; Eyes Closed; Happier; Hearts Don’t Break Around Here; I Don’t Care; I’m a Mess; Kiss Me; Lego House; Nancy Mulligan; New Man; Perfect; Perfect Duet; Photograph; Remember the Name; Sapphire; Save Myself; Shape of You; Shape of You (Stormzy Remix); Shivers; Sing; South of the Border; Supermarket Flowers; Take Me Back To London; The A Team; Thinking Out Loud; Visiting Hours; What Do I Know?; You Need Me, I Don’t Need You; You Need Me, I Don’t Need You (Live at The Live Room)",8.38,True,9
to,to,PART,332,47,"Afire Love; Afterglow; Antisocial; Azizam; Bad Habits; Barcelona; Beautiful People; Bibia Be Ye Ye; Bloodstream; Castle on the Hill; Cross Me; Dive; Don’t; Eraser; Galway Girl; Give Me Love; Happier; How Would You Feel (Paean); I Don’t Care; I See Fire; I’m a Mess; Kiss Me; Lego House; Merry Christmas; New Man; One; Perfect; Perfect Duet; Perfect Symphony; Photograph; Remember the Name; Sapphire; Save Myself; Shape of You; Shape of You (Stormzy Remix); Shivers; Sing; South of the Border; Supermarket Flowers; Take Me Back To London; Tenerife Sea; The A Team; Thinking Out Loud; Visiting Hours; What Do I Know?; You Need Me, I Don’t Need You; You Need Me, I Don’t Need You (Live at The Live Room)",7.06,True,10
