word,exclusion_category
alice,PROPER_NOUN
alvin,PROPER_NOUN
bardot,PROPER_NOUN
brigitte,PROPER_NOUN
brighton,PROPER_NOUN
broadway,PROPER_NOUN
cain,PROPER_NOUN
chevy,PROPER_NOUN
daniel,PROPER_NOUN
donna,PROPER_NOUN
elton,ARTIST_NAME
england,PROPER_NOUN
geronimo,PROPER_NOUN
gucci,PROPER_NOUN
harlem,PROPER_NOUN
hollywood,PROPER_NOUN
hoo,SOUND_EFFECT
iroquois,PROPER_NOUN
jeane,PROPER_NOUN
jeannie,PROPER_NOUN
jesus,PROPER_NOUN
l.a.,PROPER_NOUN
la,SOUND_EFFECT
laa,SOUND_EFFECT
levon,PROPER_NOUN
lexington,PROPER_NOUN
lisas,PROPER_NOUN
mais,FOREIGN
margiela,PROPER_NOUN
marilyn,PROPER_NOUN
maybach,PROPER_NOUN
mm,SOUND_EFFECT
mona,PROPER_NOUN
monroe,PROPER_NOUN
moses,PROPER_NOUN
nikita,PROPER_NOUN
norma,PROPER_NOUN
orleans,PROPER_NOUN
philadelphia,PROPER_NOUN
ronnie,PROPER_NOUN
saidwell,MUSIC_JUNK
shoorah,SOUND_EFFECT
sioux,PROPER_NOUN
soho,PROPER_NOUN
spain,PROPER_NOUN
squaw,PROPER_NOUN
susie,PROPER_NOUN
tella,SLANG
tostig,PROPER_NOUN
untrainеd,MUSIC_JUNK
unturne,MUSIC_JUNK
venus,PROPER_NOUN
warlance,PROPER_NOUN
whoo,SOUND_EFFECT
whеn,MUSIC_JUNK
woah,SOUND_EFFECT
york,PROPER_NOUN
