word,lemma,pos,total_count,song_count,songs,avg_per_song,is_stopword,frequency_rank
the,the,DET,705,50,"(I’m Gonna) Love Me Again; All the Girls Love Alice; Always Love You; Bennie and the Jets; Blue Eyes; Border Song; Can You Feel the Love Tonight; Candle in the Wind; Candle in the Wind 1997; Captain Fantastic and the Brown Dirt Cowboy; Circle of Life; Cold Heart (PNAU Remix); Crocodile Rock; Daniel; Don’t Go Breaking My Heart; Don’t Let the Sun Go Down on Me; Funeral for a Friend / Love Lies Bleeding; Goodbye England’s Rose; Goodbye Yellow Brick Road; Hold Me Closer; Honky Cat; I Guess That’s Why They Call It the Blues; I Think I’m Going to Kill Myself; I Want Love; Indian Sunset; Island Girl; I’m Still Standing; Levon; Little Jeannie; Love Song; Madman Across the Water; Mona Lisas and Mad Hatters; Nikita; Philadelphia Freedom; Pinball Wizard; Rocket Man (I Think It’s Going to Be a Long, Long Time); Sacrifice; Sad Songs (Say So Much); Saturday Night’s Alright (For Fighting); Skyline Pigeon; Someone Saved My Life Tonight; Something About the Way You Look Tonight; Sorry Seems to Be the Hardest Word; Step Into Christmas; Take Me to the Pilot; The Bitch Is Back; The One; Tiny Dancer; Who Believes In Angels?; Your Song",14.1,True,1
i,i,PRON,618,43,"(I’m Gonna) Love Me Again; All the Girls Love Alice; Always Love You; Bennie and the Jets; Blue Eyes; Border Song; Candle in the Wind; Captain Fantastic and the Brown Dirt Cowboy; Cold Heart (PNAU Remix); Crocodile Rock; Daniel; Don’t Go Breaking My Heart; Don’t Let the Sun Go Down on Me; Funeral for a Friend / Love Lies Bleeding; Goodbye Yellow Brick Road; Hold Me Closer; Honky Cat; I Guess That’s Why They Call It the Blues; I Think I’m Going to Kill Myself; I Want Love; Indian Sunset; Island Girl; I’m Still Standing; Little Jeannie; Love Song; Madman Across the Water; Mona Lisas and Mad Hatters; Nikita; Philadelphia Freedom; Pinball Wizard; Rocket Man (I Think It’s Going to Be a Long, Long Time); Saturday Night’s Alright (For Fighting); Skyline Pigeon; Someone Saved My Life Tonight; Something About the Way You Look Tonight; Sorry Seems to Be the Hardest Word; Step Into Christmas; Take Me to the Pilot; The Bitch Is Back; The One; Tiny Dancer; Who Believes In Angels?; Your Song",14.37,True,2
you,you,PRON,460,44,"(I’m Gonna) Love Me Again; All the Girls Love Alice; Always Love You; Bennie and the Jets; Border Song; Can You Feel the Love Tonight; Candle in the Wind; Candle in the Wind 1997; Circle of Life; Cold Heart (PNAU Remix); Daniel; Don’t Go Breaking My Heart; Don’t Let the Sun Go Down on Me; Funeral for a Friend / Love Lies Bleeding; Goodbye England’s Rose; Goodbye Yellow Brick Road; Hold Me Closer; Honky Cat; I Guess That’s Why They Call It the Blues; I Think I’m Going to Kill Myself; Indian Sunset; Island Girl; I’m Still Standing; Little Jeannie; Love Song; Madman Across the Water; Mona Lisas and Mad Hatters; Nikita; Philadelphia Freedom; Rocket Man (I Think It’s Going to Be a Long, Long Time); Sacrifice; Sad Songs (Say So Much); Saturday Night’s Alright (For Fighting); Skyline Pigeon; Someone Saved My Life Tonight; Something About the Way You Look Tonight; Sorry Seems to Be the Hardest Word; Step Into Christmas; Take Me to the Pilot; The Bitch Is Back; The One; Tiny Dancer; Who Believes In Angels?; Your Song",10.45,True,3
and,and,CCONJ,384,49,"(I’m Gonna) Love Me Again; All the Girls Love Alice; Always Love You; Bennie and the Jets; Blue Eyes; Border Song; Can You Feel the Love Tonight; Candle in the Wind; Candle in the Wind 1997; Captain Fantastic and the Brown Dirt Cowboy; Circle of Life; Cold Heart (PNAU Remix); Crocodile Rock; Daniel; Don’t Go Breaking My Heart; Don’t Let the Sun Go Down on Me; Funeral for a Friend / Love Lies Bleeding; Goodbye England’s Rose; Goodbye Yellow Brick Road; Hold Me Closer; Honky Cat; I Guess That’s Why They Call It the Blues; I Think I’m Going to Kill Myself; I Want Love; Indian Sunset; Island Girl; I’m Still Standing; Levon; Little Jeannie; Love Song; Madman Across the Water; Mona Lisas and Mad Hatters; Nikita; Philadelphia Freedom; Pinball Wizard; Rocket Man (I Think It’s Going to Be a Long, Long Time); Sacrifice; Sad Songs (Say So Much); Saturday Night’s Alright (For Fighting); Skyline Pigeon; Someone Saved My Life Tonight; Something About the Way You Look Tonight; Sorry Seems to Be the Hardest Word; Step Into Christmas; Take Me to the Pilot; The One; Tiny Dancer; Who Believes In Angels?; Your Song",7.84,True,4
a,a,DET,336,46,"(I’m Gonna) Love Me Again; All the Girls Love Alice; Always Love You; Bennie and the Jets; Blue Eyes; Border Song; Can You Feel the Love Tonight; Candle in the Wind; Candle in the Wind 1997; Captain Fantastic and the Brown Dirt Cowboy; Cold Heart (PNAU Remix); Crocodile Rock; Daniel; Don’t Let the Sun Go Down on Me; Funeral for a Friend / Love Lies Bleeding; Goodbye England’s Rose; Goodbye Yellow Brick Road; Hold Me Closer; Honky Cat; I Think I’m Going to Kill Myself; I Want Love; Indian Sunset; Island Girl; I’m Still Standing; Levon; Little Jeannie; Madman Across the Water; Mona Lisas and Mad Hatters; Nikita; Philadelphia Freedom; Pinball Wizard; Rocket Man (I Think It’s Going to Be a Long, Long Time); Sacrifice; Sad Songs (Say So Much); Saturday Night’s Alright (For Fighting); Skyline Pigeon; Someone Saved My Life Tonight; Something About the Way You Look Tonight; Sorry Seems to Be the Hardest Word; Step Into Christmas; Take Me to the Pilot; The Bitch Is Back; The One; Tiny Dancer; Who Believes In Angels?; Your Song",7.3,True,5
s,be,AUX,280,42,"(I’m Gonna) Love Me Again; All the Girls Love Alice; Always Love You; Bennie and the Jets; Blue Eyes; Border Song; Can You Feel the Love Tonight; Candle in the Wind 1997; Captain Fantastic and the Brown Dirt Cowboy; Circle of Life; Cold Heart (PNAU Remix); Daniel; Don’t Go Breaking My Heart; Don’t Let the Sun Go Down on Me; Goodbye England’s Rose; Goodbye Yellow Brick Road; Honky Cat; I Guess That’s Why They Call It the Blues; I Think I’m Going to Kill Myself; I Want Love; Indian Sunset; Island Girl; I’m Still Standing; Levon; Little Jeannie; Love Song; Madman Across the Water; Mona Lisas and Mad Hatters; Pinball Wizard; Rocket Man (I Think It’s Going to Be a Long, Long Time); Sacrifice; Sad Songs (Say So Much); Saturday Night’s Alright (For Fighting); Someone Saved My Life Tonight; Something About the Way You Look Tonight; Sorry Seems to Be the Hardest Word; Step Into Christmas; Take Me to the Pilot; The Bitch Is Back; Tiny Dancer; Who Believes In Angels?; Your Song",6.67,True,6
to,to,PART,261,42,"(I’m Gonna) Love Me Again; All the Girls Love Alice; Always Love You; Bennie and the Jets; Blue Eyes; Border Song; Can You Feel the Love Tonight; Candle in the Wind; Candle in the Wind 1997; Captain Fantastic and the Brown Dirt Cowboy; Circle of Life; Cold Heart (PNAU Remix); Crocodile Rock; Don’t Go Breaking My Heart; Don’t Let the Sun Go Down on Me; Funeral for a Friend / Love Lies Bleeding; Goodbye England’s Rose; Goodbye Yellow Brick Road; Honky Cat; I Guess That’s Why They Call It the Blues; I Think I’m Going to Kill Myself; Indian Sunset; Island Girl; I’m Still Standing; Levon; Little Jeannie; Love Song; Mona Lisas and Mad Hatters; Nikita; Philadelphia Freedom; Pinball Wizard; Rocket Man (I Think It’s Going to Be a Long, Long Time); Sacrifice; Sad Songs (Say So Much); Saturday Night’s Alright (For Fighting); Skyline Pigeon; Someone Saved My Life Tonight; Something About the Way You Look Tonight; Sorry Seems to Be the Hardest Word; Step Into Christmas; Take Me to the Pilot; Who Believes In Angels?",6.21,True,7
in,in,ADP,241,44,"(I’m Gonna) Love Me Again; All the Girls Love Alice; Always Love You; Bennie and the Jets; Blue Eyes; Border Song; Can You Feel the Love Tonight; Candle in the Wind; Candle in the Wind 1997; Captain Fantastic and the Brown Dirt Cowboy; Circle of Life; Daniel; Don’t Go Breaking My Heart; Funeral for a Friend / Love Lies Bleeding; Goodbye England’s Rose; Goodbye Yellow Brick Road; Hold Me Closer; Honky Cat; I Guess That’s Why They Call It the Blues; I Think I’m Going to Kill Myself; I Want Love; Indian Sunset; Island Girl; I’m Still Standing; Levon; Little Jeannie; Madman Across the Water; Mona Lisas and Mad Hatters; Nikita; Pinball Wizard; Rocket Man (I Think It’s Going to Be a Long, Long Time); Sacrifice; Sad Songs (Say So Much); Saturday Night’s Alright (For Fighting); Skyline Pigeon; Someone Saved My Life Tonight; Something About the Way You Look Tonight; Step Into Christmas; Take Me to the Pilot; The Bitch Is Back; The One; Tiny Dancer; Who Believes In Angels?; Your Song",5.48,True,8
it,it,PRON,214,40,"(I’m Gonna) Love Me Again; All the Girls Love Alice; Always Love You; Bennie and the Jets; Border Song; Can You Feel the Love Tonight; Candle in the Wind; Candle in the Wind 1997; Captain Fantastic and the Brown Dirt Cowboy; Circle of Life; Cold Heart (PNAU Remix); Daniel; Don’t Go Breaking My Heart; Don’t Let the Sun Go Down on Me; Funeral for a Friend / Love Lies Bleeding; Goodbye England’s Rose; Goodbye Yellow Brick Road; Honky Cat; I Guess That’s Why They Call It the Blues; I Want Love; Indian Sunset; I’m Still Standing; Little Jeannie; Love Song; Madman Across the Water; Mona Lisas and Mad Hatters; Nikita; Rocket Man (I Think It’s Going to Be a Long, Long Time); Sacrifice; Sad Songs (Say So Much); Saturday Night’s Alright (For Fighting); Someone Saved My Life Tonight; Something About the Way You Look Tonight; Sorry Seems to Be the Hardest Word; Step Into Christmas; Take Me to the Pilot; The Bitch Is Back; Tiny Dancer; Who Believes In Angels?; Your Song",5.35,True,9
me,i,PRON,213,37,"(I’m Gonna) Love Me Again; All the Girls Love Alice; Always Love You; Blue Eyes; Can You Feel the Love Tonight; Candle in the Wind; Candle in the Wind 1997; Cold Heart (PNAU Remix); Crocodile Rock; Daniel; Don’t Go Breaking My Heart; Don’t Let the Sun Go Down on Me; Funeral for a Friend / Love Lies Bleeding; Goodbye England’s Rose; Goodbye Yellow Brick Road; Hold Me Closer; Honky Cat; I Guess That’s Why They Call It the Blues; I Think I’m Going to Kill Myself; I Want Love; Indian Sunset; Island Girl; I’m Still Standing; Little Jeannie; Nikita; Philadelphia Freedom; Pinball Wizard; Rocket Man (I Think It’s Going to Be a Long, Long Time); Saturday Night’s Alright (For Fighting); Skyline Pigeon; Someone Saved My Life Tonight; Something About the Way You Look Tonight; Sorry Seems to Be the Hardest Word; Step Into Christmas; Take Me to the Pilot; Tiny Dancer; Your Song",5.76,True,10
