"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Can’t Help Falling in Love","Elvis Presley","If I Can Dream: The Very Best of Elvis","","October 1, 1961","3887795","112","26","","https://genius.com/Elvis-presley-cant-help-falling-in-love-lyrics","197191","Wise men say
""Only fools rush in""
But I can't help
Falling in love with you

Shall I stay?
Would it be a sin
If I can't help
Falling in love with you?

Like a river flows
Surely to the sea
Darling, so it goes
Some things are meant to be

Take my hand
Take my whole life, too
For I can't help
Falling in love with you

Like a river flows
Surely to the sea
Darling, so it goes
Some things are meant to be

Take my hand
Take my whole life, too
For I can't help
Falling in love with you
For I can't help
Falling in love with you"
"2","Love Me Tender","Elvis Presley","If I Can Dream: The Very Best of Elvis","","September 28, 1956","459979","125","24","","https://genius.com/Elvis-presley-love-me-tender-lyrics","197067","Love me tender, love me sweet
Never let me go
You have made my life complete
And I love you so

Love me tender, love me true
All my dreams fulfill
For, my darling, I love you
And I always will

Love me tender, love me long
Take me to your heart
For it's there that I belong
And we'll never part

Love me tender, love me true
All my dreams fulfill
For, my darling, I love you
And I always will

Love me tender, love me dear
Tell me you are mine
I'll be yours through all the years
Till the end of time

Love me tender, love me true
All my dreams fulfill
For, my darling, I love you
And I always will"
"3","Jailhouse Rock","Elvis Presley","If I Can Dream: The Very Best of Elvis","","September 24, 1957","378351","283","41","","https://genius.com/Elvis-presley-jailhouse-rock-lyrics","76171","The warden threw a party in the county jail
The prison band was there, they began to wail
The band was jumping, and the joint began to swing
You shoulda heard those locked-out jailbirds sing

Let's rock, everybody, let's rock
Everybody in the whole cell block
Was dancing to the Jailhouse Rock

Spider Murphy played the tenor saxophone
Little Joe was blowing on the slide trombone
The drummer boy from Illinois went crash, boom, bang
The whole rhythm section was the Purple Gang

Let's rock, everybody, let's rock
Everybody in the whole cell block
Was dancing to the Jailhouse Rock

Number forty-seven said to number three:
""You’re the cutest jailbird I ever did see
I sure would be delighted with your company
Come on and do the Jailhouse Rock with me""

Let's rock, everybody, let's rock
Everybody in the whole cell block
Was dancing to the Jailhouse Rock
Rock, rock, rock

Sad Sack was sitting on a block of stone
Way over in the corner weeping all alone
The warden said, ""Hey, buddy, don't you be no square
You can't find a partner, use a wooden chair""

Let's rock, everybody, let's rock
Everybody in the whole cell block
Was dancing to the Jailhouse Rock

Shifty Henry said to Bugs, ""For Heaven's sake
No one's looking, now's our chance to make a break""
Bugsy turned to Shifty, and he said, ""Nix nix
I wanna stick around a while and get my kicks.""

Let's rock, everybody, let's rock
Everybody in the whole cell block
Was dancing to the Jailhouse Rock

Dancing to the Jailhouse Rock
Dancing to the Jailhouse Rock
Dancing to the Jailhouse Rock
Dancing to the Jailhouse Rock
Dancing to the Jailhouse Rock"
"4","Hound Dog","Elvis Presley","If I Can Dream: The Very Best of Elvis","","July 13, 1956","328455","230","40","","https://genius.com/Elvis-presley-hound-dog-lyrics","166381","You ain't nothin' but a hound dog
Cryin' all the time
You ain't nothin' but a hound dog
Cryin' all the time
Well, you ain't never caught a rabbit
And you ain't no friend of mine

Well, they said you was high-classed
Well, that was just a lie
Yeah, they said you was high-classed
Well, that was just a lie
Yeah, you ain't never caught a rabbit
And you ain't no friend of mine

You ain't nothin' but a hound dog
Cryin' all the time
You ain't nothin' but a hound dog
Cryin' all the time
Well, you ain't never caught a rabbit
And you ain't no friend of mine

Ahh, ahh
Ahh, ahh

Well, they said you was high-classed
Well, that was just a lie
Yeah, they said you was high-classed
Well, that was just a lie
Well, you ain't never caught a rabbit
And you ain't no friend of mine

Ahh, ahh
Ahh, ahh

Well, they said you was high-classed
Well, that was just a lie
You know, they said you was high-classed
Well, that was just a lie
Yeah, you ain't never caught a rabbit
And you ain't no friend of mine

You ain't nothin' but a hound dog
Cryin' all the time
You ain't nothin' but a hound dog
Cryin' all the time
Well, you ain't never caught a rabbit
You ain't no friend of mine"
"5","Suspicious Minds","Elvis Presley","If I Can Dream: The Very Best of Elvis","","August 26, 1969","255268","303","43","","https://genius.com/Elvis-presley-suspicious-minds-lyrics","197703","We're caught in a trap, I can't walk out
Because I love you too much, baby
Why can't you see what you're doin' to me
When you don't believe a word I say?

We can't go on together
With suspicious minds (
With suspicious minds
)
And we can't build our dreams
On suspicious minds

So if an old friend I know stops by to say hello
Would I still see suspicion in your eyes?
Here we go again, asking where I've been
You can't see the tears are real, I'm cryin' (
Yes, I'm cryin'
)

We can't go on together
With suspicious minds (
With suspicious minds
)
And we can't build our dreams
On suspicious minds

Oh, let our love survive
I'll dry the tears from your eyes
Let's don't let a good thing die
When, honey, you know I've never lied to you
Mmm, yeah, yeah

We're caught in a trap, I can't walk out
Because I love you too much, baby
Why can't you see what you're doin' to me
When you don't believe a word I say?

Well, don't you know I'm caught in a trap? I can't walk out
Because I love you too much, baby
Well, don't you know I'm caught in a trap? I can't walk out
Because I love you too much, baby
Well, don't you know I'm caught in a trap? I can't walk out
Because I love you too much, baby
Well, don't you know I'm caught in a trap? I can't walk out
Because I love you too much, baby
Well, don't you know I'm caught in a trap? I can't walk out
Because I love you too much, baby
Well, don't you know I'm caught in a trap? I can't walk out
Because I love you too much, baby"
"6","If I Can Dream","Elvis Presley","The 50 Greatest Hits","","November 5, 1968","196908","199","19","","https://genius.com/Elvis-presley-if-i-can-dream-lyrics","197644","There must be lights burning brighter somewhere
Got to be birds flying higher in a sky more blue
If I can dream of a better land, where all my brothers walk hand in hand
Tell me why, oh why, oh why can't my dream come true? Oh, why?

There must be peace and understanding sometime
Strong wind of promise that will blow away the doubt and fear
If I can dream of a warmer sun, where hope keeps shining on everyone
Tell me why, oh why, oh why won't that sun appear?

We're lost in a cloud with too much rain
We're trapped in a world that's troubled with pain
But as long as a man has the strength to dream
He can redeem his soul and fly (He can fly)

Deep in my heart, there's a trembling question
Still, I am sure that the answer's... answer's gonna come somehow
Out there in the dark, there's a beckoning candle, yeah
And while I can think, while I can talk, while I can stand, while I can walk
While I can dream, oh, please let my dream come true, oh, right now

Let it come true right now
Oh, yeah"
"7","Heartbreak Hotel","Elvis Presley","If I Can Dream: The Very Best of Elvis","","January 27, 1956","156832","215","35","","https://genius.com/Elvis-presley-heartbreak-hotel-lyrics","119855","Well, since my baby left me
Well, I found a new place to dwell
Well, it's down at the end of Lonely Street
At Heartbreak Hotel

Where I'll be, I'll be so lonely, baby
Well, I'm so lonely
I'll be so lonely, I could die

Although it's always crowded
You still can find some room
For broken-hearted lovers
To cry there in their gloom

They'll be, they'll be so lonely, baby
They'll be so lonely
They're so lonely, they could die

Now, the bellhop's tears keep flowin'
And the desk clerk's dressed in black
Well, they've been so long on Lonely Street
They'll never, never look back

And they get so, they get so lonely, baby
Well, they are so lonely
They're so lonely, they could die

Well, now, if your baby leaves you
And you got a tale to tell
Well, just take a walk down Lonely Street
To Heartbreak Hotel

Where you will be, you will be, you'll be so lonely, baby
Well, you will be lonely
You'll be so lonely, you could die

Although it's always crowded
You still can find some room
For broken-hearted lovers
To cry there in their gloom

Where they get so, they get so lonely, baby
Well, they're so lonely
They'll be so lonely, they could die"
"8","Trouble","Elvis Presley","If I Can Dream: The Very Best of Elvis","","September 19, 1958","144687","172","32","","https://genius.com/Elvis-presley-trouble-lyrics","197095","If you're looking for trouble
You came to the right place
If you're looking for trouble
Just look right in my face

I was born standing up
And talking back
My daddy was a green-eyed mountain jack

Because I'm evil
My middle name is “Misery,” yeah, yeah
Well, I’m evil
So don't you mess around with me

I've never looked for trouble
But I've never ran
I don't take no orders
From no kind of man

I'm only made out
Of flesh, blood and bone
But if you're gonna start a rumble
Don't you try it all alone

Because I'm evil
My middle name is “Misery,” yeah
Well, I’m evil
So don't you mess around with me

I'm evil, evil, evil as can be
I'm evil, evil, evil as can be
So don't mess around, don't mess around, don't mess around with me
I'm evil, I'm evil
Evil, evil
So don't mess around, don't mess around with me
I'm evil, I tell you I'm evil
So don't mess around with me
Yeah"
"9","Blue Suede Shoes","Elvis Presley","If I Can Dream: The Very Best of Elvis","","August 31, 1956","141412","235","29","","https://genius.com/Elvis-presley-blue-suede-shoes-lyrics","3708","Well, it's one for the money, two for the show
Three to get ready, now go, cat, go

But don't you step on my blue suede shoes
Well, you can do anything, but stay off of my blue suede shoes

Well, you can knock me down, step in my face
Slander my name all over the place
Well, do anything that you wanna do
But, uh-uh, honey, lay off of them shoes

And don't you step on my blue suede shoes
Well, you can do anything, but stay off of my blue suede shoes
Let's go, cat!

Ah, walk the dog

You can burn my house, steal my car
Drink my liquor from an old fruit jar
Well, do anything that you want to do
But, uh-uh, honey, lay off of my shoes

And don't you step on my blue suede shoes
Well, you can do anything, but lay off of my blue suede shoes
Rock it

Yeah!

Well, it's one for the money, two for the show
Three to get ready, now go, go, go

But don't you step on my blue suede shoes
Well, you can do anything, but lay off of my blue suede shoes

Well, it's blue, blue, blue suede shoes
Blue, blue, blue suede shoes, yeah
Blue, blue, blue suede shoes, baby
Blue, blue, blue suede shoes
Well, you can do anything, but lay off of my blue suede shoes"
"10","In the Ghetto","Elvis Presley","If I Can Dream: The Very Best of Elvis","","April 14, 1969","130174","251","42","","https://genius.com/Elvis-presley-in-the-ghetto-lyrics","197679","As the snow flies
On a cold and gray Chicago mornin'
A poor little baby child is born
In the ghetto (In the ghetto)
And his mama cries
'Cause if there's one thing that she don't need
It's another hungry mouth to feed
In the ghetto (
In the ghetto
)

A-people, don't you understand
A child needs a helping hand
Or he'll grow to be an angry young man someday
A-take a look at you and me
Are we too blind to see?
Do we simply turn our heads and look the other way?

Well, the world turns
And a hungry little boy with a runny nose
Plays in the street as the cold wind blows
In the ghetto (In the ghetto)
And his hunger burns
So he starts to roam the streets at night
And he learns how to steal, and he learns how to fight
In the ghetto (In the ghetto)

Then one night, in desperation
The young man breaks away
He buys a gun, he steals a car
Tries to run, but he don't get far

And his mama cries
As a crowd gathers 'round an angry young man
Facedown on the street with a gun in his hand
In the ghetto (
In the ghetto
)
And as her young man dies (
In the ghetto
)
On a cold and gray Chicago mornin'
Another little baby child is born
In the ghetto (In the ghetto)

And his mama cries
In the ghetto (In the ghetto)"
